Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Philadelphia Phillies,0,Atlanta Braves,2,2,April 4 2013,0
Kansas City Royals,0,Chicago White Sox,4,3,April 4 2013,1
LA Angels of Anaheim,1,Cincinnati Reds,9,4,April 4 2013,5
Detroit Tigers,1,Minnesota Twins,10,2,April 4 2013,8
Boston Red Sox,1,New York Yankees,6,2,April 4 2013,4
San Diego Padres,0,New York Mets,3,2,April 4 2013,1
Seattle Mariners,1,Oakland Athletics,10,2,April 4 2013,8
Chicago Cubs,0,Pittsburgh Pirates,5,3,April 4 2013,2
Baltimore Orioles,0,Tampa Bay Rays,9,6,April 4 2013,3
Cleveland Indians,1,Toronto Blue Jays,18,8,April 4 2013,10
Miami Marlins,1,Washington Nationals,7,1,April 4 2013,6
Chicago Cubs,1,Atlanta Braves,5,1,April 5 2013,4
Minnesota Twins,1,Baltimore Orioles,14,5,April 5 2013,9
Seattle Mariners,0,Chicago White Sox,15,8,April 5 2013,7
Washington Nationals,1,Cincinnati Reds,15,0,April 5 2013,15
San Diego Padres,1,Colorado Rockies,7,2,April 5 2013,5
New York Yankees,1,Detroit Tigers,11,3,April 5 2013,8
Oakland Athletics,0,Houston Astros,11,8,April 5 2013,3
Pittsburgh Pirates,1,Los Angeles Dodgers,3,0,April 5 2013,3
Arizona D'Backs,0,Milwaukee Brewers,4,3,April 5 2013,1
Miami Marlins,0,New York Mets,12,7,April 5 2013,5
Kansas City Royals,0,Philadelphia Phillies,17,13,April 5 2013,4
St. Louis Cardinals,1,San Francisco Giants,1,0,April 5 2013,1
Cleveland Indians,1,Tampa Bay Rays,4,0,April 5 2013,4
LA Angels of Anaheim,1,Texas Rangers,5,2,April 5 2013,3
Boston Red Sox,0,Toronto Blue Jays,10,6,April 5 2013,4
Chicago Cubs,1,Atlanta Braves,11,5,April 6 2013,6
Minnesota Twins,0,Baltimore Orioles,11,6,April 6 2013,5
Seattle Mariners,1,Chicago White Sox,7,3,April 6 2013,4
Washington Nationals,0,Cincinnati Reds,13,7,April 6 2013,6
San Diego Padres,1,Colorado Rockies,9,3,April 6 2013,6
New York Yankees,1,Detroit Tigers,12,4,April 6 2013,8
Oakland Athletics,0,Houston Astros,9,6,April 6 2013,3
Pittsburgh Pirates,1,Los Angeles Dodgers,1,0,April 6 2013,1
Arizona D'Backs,0,Milwaukee Brewers,11,9,April 6 2013,2
Miami Marlins,1,New York Mets,10,3,April 6 2013,7
Kansas City Royals,1,Philadelphia Phillies,7,3,April 6 2013,4
St. Louis Cardinals,0,San Francisco Giants,9,6,April 6 2013,3
Cleveland Indians,1,Tampa Bay Rays,6,0,April 6 2013,6
LA Angels of Anaheim,0,Texas Rangers,12,8,April 6 2013,4
Boston Red Sox,1,Toronto Blue Jays,5,0,April 6 2013,5
Chicago Cubs,1,Atlanta Braves,6,1,April 7 2013,5
Minnesota Twins,0,Baltimore Orioles,7,4,April 7 2013,3
Seattle Mariners,1,Chicago White Sox,7,3,April 7 2013,4
Washington Nationals,1,Cincinnati Reds,9,3,April 7 2013,6
San Diego Padres,1,Colorado Rockies,10,1,April 7 2013,9
New York Yankees,0,Detroit Tigers,7,7,April 7 2013,0
Oakland Athletics,0,Houston Astros,12,9,April 7 2013,3
Pittsburgh Pirates,1,Los Angeles Dodgers,8,2,April 7 2013,6
Arizona D'Backs,0,Milwaukee Brewers,15,8,April 7 2013,7
Miami Marlins,1,New York Mets,7,3,April 7 2013,4
Kansas City Royals,0,Philadelphia Phillies,17,9,April 7 2013,8
St. Louis Cardinals,0,San Francisco Giants,17,14,April 7 2013,3
Cleveland Indians,0,Tampa Bay Rays,13,13,April 7 2013,0
LA Angels of Anaheim,1,Texas Rangers,10,3,April 7 2013,7
Boston Red Sox,0,Toronto Blue Jays,13,13,April 7 2013,0
Pittsburgh Pirates,0,Arizona D'Backs,8,5,April 8 2013,3
Baltimore Orioles,1,Boston Red Sox,4,1,April 8 2013,3
Milwaukee Brewers,0,Chicago Cubs,11,7,April 8 2013,4
New York Yankees,0,Cleveland Indians,17,11,April 8 2013,6
Minnesota Twins,1,Kansas City Royals,4,1,April 8 2013,3
Atlanta Braves,0,Miami Marlins,2,2,April 8 2013,0
New York Mets,0,Philadelphia Phillies,9,7,April 8 2013,2
Houston Astros,1,Seattle Mariners,3,0,April 8 2013,3
Colorado Rockies,1,San Francisco Giants,6,2,April 8 2013,4
Cincinnati Reds,0,St. Louis Cardinals,17,13,April 8 2013,4
Tampa Bay Rays,1,Texas Rangers,9,4,April 8 2013,5
Oakland Athletics,0,LA Angels of Anaheim,14,9,April 9 2013,5
Pittsburgh Pirates,0,Arizona D'Backs,11,6,April 9 2013,5
Milwaukee Brewers,1,Chicago Cubs,9,3,April 9 2013,6
New York Yankees,0,Cleveland Indians,15,14,April 9 2013,1
Toronto Blue Jays,1,Detroit Tigers,10,3,April 9 2013,7
Minnesota Twins,1,Kansas City Royals,11,4,April 9 2013,7
Atlanta Braves,0,Miami Marlins,5,3,April 9 2013,2
New York Mets,1,Philadelphia Phillies,11,3,April 9 2013,8
Los Angeles Dodgers,1,San Diego Padres,12,3,April 9 2013,9
Houston Astros,0,Seattle Mariners,25,16,April 9 2013,9
Colorado Rockies,1,San Francisco Giants,15,6,April 9 2013,9
Cincinnati Reds,1,St. Louis Cardinals,6,1,April 9 2013,5
Tampa Bay Rays,1,Texas Rangers,7,1,April 9 2013,6
Chicago White Sox,1,Washington Nationals,15,7,April 9 2013,8
Oakland Athletics,0,LA Angels of Anaheim,16,11,April 10 2013,5
Pittsburgh Pirates,1,Arizona D'Backs,12,2,April 10 2013,10
Baltimore Orioles,0,Boston Red Sox,13,8,April 10 2013,5
Toronto Blue Jays,0,Detroit Tigers,14,8,April 10 2013,6
Minnesota Twins,1,Kansas City Royals,3,0,April 10 2013,3
Atlanta Braves,0,Miami Marlins,8,8,April 10 2013,0
New York Mets,1,Philadelphia Phillies,10,3,April 10 2013,7
Los Angeles Dodgers,0,San Diego Padres,7,4,April 10 2013,3
Houston Astros,0,Seattle Mariners,11,8,April 10 2013,3
Colorado Rockies,1,San Francisco Giants,10,0,April 10 2013,10
Cincinnati Reds,1,St. Louis Cardinals,10,0,April 10 2013,10
Tampa Bay Rays,0,Texas Rangers,2,2,April 10 2013,0
Chicago White Sox,1,Washington Nationals,7,2,April 10 2013,5
Oakland Athletics,0,LA Angels of Anaheim,9,8,April 11 2013,1
Baltimore Orioles,0,Boston Red Sox,5,3,April 11 2013,2
San Francisco Giants,0,Chicago Cubs,13,7,April 11 2013,6
Toronto Blue Jays,1,Detroit Tigers,12,1,April 11 2013,11
Los Angeles Dodgers,0,San Diego Padres,5,3,April 11 2013,2
Texas Rangers,0,Seattle Mariners,7,4,April 11 2013,3
Chicago White Sox,1,Washington Nationals,11,4,April 11 2013,7
Houston Astros,0,LA Angels of Anaheim,5,5,April 12 2013,0
Los Angeles Dodgers,1,Arizona D'Backs,3,0,April 12 2013,3
San Francisco Giants,1,Chicago Cubs,7,3,April 12 2013,4
Chicago White Sox,1,Cleveland Indians,1,0,April 12 2013,1
Toronto Blue Jays,0,Kansas City Royals,12,8,April 12 2013,4
Philadelphia Phillies,0,Miami Marlins,4,3,April 12 2013,1
New York Mets,0,Minnesota Twins,21,16,April 12 2013,5
Baltimore Orioles,1,New York Yankees,7,2,April 12 2013,5
Detroit Tigers,1,Oakland Athletics,7,3,April 12 2013,4
Cincinnati Reds,1,Pittsburgh Pirates,11,5,April 12 2013,6
Colorado Rockies,0,San Diego Padres,12,7,April 12 2013,5
Texas Rangers,1,Seattle Mariners,4,1,April 12 2013,3
Milwaukee Brewers,1,St. Louis Cardinals,2,0,April 12 2013,2
Atlanta Braves,0,Washington Nationals,10,6,April 12 2013,4
Houston Astros,1,LA Angels of Anaheim,9,4,April 13 2013,5
Los Angeles Dodgers,0,Arizona D'Backs,12,7,April 13 2013,5
Tampa Bay Rays,1,Boston Red Sox,3,1,April 13 2013,2
San Francisco Giants,0,Chicago Cubs,5,3,April 13 2013,2
Chicago White Sox,1,Cleveland Indians,13,4,April 13 2013,9
Toronto Blue Jays,0,Kansas City Royals,5,3,April 13 2013,2
Philadelphia Phillies,1,Miami Marlins,3,1,April 13 2013,2
New York Mets,0,Minnesota Twins,6,4,April 13 2013,2
Baltimore Orioles,0,New York Yankees,8,5,April 13 2013,3
Detroit Tigers,0,Oakland Athletics,10,7,April 13 2013,3
Cincinnati Reds,1,Pittsburgh Pirates,4,1,April 13 2013,3
Colorado Rockies,0,San Diego Padres,14,9,April 13 2013,5
Texas Rangers,0,Seattle Mariners,4,3,April 13 2013,1
Milwaukee Brewers,1,St. Louis Cardinals,8,0,April 13 2013,8
Atlanta Braves,0,Washington Nationals,4,3,April 13 2013,1
Houston Astros,1,LA Angels of Anaheim,5,1,April 14 2013,4
Los Angeles Dodgers,1,Arizona D'Backs,1,0,April 14 2013,1
Tampa Bay Rays,1,Boston Red Sox,5,0,April 14 2013,5
San Francisco Giants,0,Chicago Cubs,17,10,April 14 2013,7
Chicago White Sox,0,Cleveland Indians,4,3,April 14 2013,1
Toronto Blue Jays,1,Kansas City Royals,5,2,April 14 2013,3
Philadelphia Phillies,0,Miami Marlins,3,2,April 14 2013,1
Baltimore Orioles,1,New York Yankees,3,0,April 14 2013,3
Detroit Tigers,0,Oakland Athletics,11,10,April 14 2013,1
Cincinnati Reds,1,Pittsburgh Pirates,17,7,April 14 2013,10
Colorado Rockies,0,San Diego Padres,3,2,April 14 2013,1
Texas Rangers,1,Seattle Mariners,7,3,April 14 2013,4
Milwaukee Brewers,0,St. Louis Cardinals,7,4,April 14 2013,3
Atlanta Braves,0,Washington Nationals,9,9,April 14 2013,0
Tampa Bay Rays,1,Boston Red Sox,5,2,April 15 2013,3
Philadelphia Phillies,1,Cincinnati Reds,6,2,April 15 2013,4
San Diego Padres,0,Los Angeles Dodgers,9,6,April 15 2013,3
Washington Nationals,0,Miami Marlins,13,10,April 15 2013,3
LA Angels of Anaheim,1,Minnesota Twins,10,2,April 15 2013,8
Houston Astros,1,Oakland Athletics,13,2,April 15 2013,11
St. Louis Cardinals,0,Pittsburgh Pirates,16,10,April 15 2013,6
Chicago White Sox,1,Toronto Blue Jays,7,3,April 15 2013,4
Kansas City Royals,1,Atlanta Braves,9,3,April 16 2013,6
Tampa Bay Rays,1,Baltimore Orioles,9,4,April 16 2013,5
Texas Rangers,0,Chicago Cubs,6,4,April 16 2013,2
Philadelphia Phillies,1,Cincinnati Reds,1,0,April 16 2013,1
Boston Red Sox,0,Cleveland Indians,9,7,April 16 2013,2
New York Mets,1,Colorado Rockies,12,4,April 16 2013,8
New York Mets,1,Colorado Rockies,17,8,April 16 2013,9
San Diego Padres,0,Los Angeles Dodgers,11,9,April 16 2013,2
Washington Nationals,1,Miami Marlins,10,2,April 16 2013,8
San Francisco Giants,1,Milwaukee Brewers,18,8,April 16 2013,10
LA Angels of Anaheim,1,Minnesota Twins,14,6,April 16 2013,8
Arizona D'Backs,1,New York Yankees,6,2,April 16 2013,4
Houston Astros,1,Oakland Athletics,7,3,April 16 2013,4
Detroit Tigers,0,Seattle Mariners,8,6,April 16 2013,2
Chicago White Sox,0,Toronto Blue Jays,7,4,April 16 2013,3
Kansas City Royals,0,Atlanta Braves,1,1,April 17 2013,0
Tampa Bay Rays,0,Baltimore Orioles,8,6,April 17 2013,2
Philadelphia Phillies,1,Cincinnati Reds,13,2,April 17 2013,11
Boston Red Sox,0,Cleveland Indians,9,6,April 17 2013,3
San Diego Padres,0,Los Angeles Dodgers,9,7,April 17 2013,2
Washington Nationals,0,Miami Marlins,7,6,April 17 2013,1
San Francisco Giants,1,Milwaukee Brewers,7,3,April 17 2013,4
Arizona D'Backs,1,New York Yankees,7,3,April 17 2013,4
Houston Astros,1,Oakland Athletics,12,5,April 17 2013,7
St. Louis Cardinals,1,Pittsburgh Pirates,5,0,April 17 2013,5
Detroit Tigers,0,Seattle Mariners,3,2,April 17 2013,1
Chicago White Sox,0,Toronto Blue Jays,7,7,April 17 2013,0
Tampa Bay Rays,1,Baltimore Orioles,16,6,April 18 2013,10
Texas Rangers,1,Chicago Cubs,8,2,April 18 2013,6
Miami Marlins,1,Cincinnati Reds,12,1,April 18 2013,11
Boston Red Sox,0,Cleveland Indians,9,6,April 18 2013,3
New York Mets,1,Colorado Rockies,14,3,April 18 2013,11
San Francisco Giants,1,Milwaukee Brewers,9,2,April 18 2013,7
Arizona D'Backs,0,New York Yankees,8,6,April 18 2013,2
St. Louis Cardinals,0,Philadelphia Phillies,7,4,April 18 2013,3
Atlanta Braves,0,Pittsburgh Pirates,10,6,April 18 2013,4
Detroit Tigers,1,Seattle Mariners,2,0,April 18 2013,2
Chicago White Sox,1,Toronto Blue Jays,4,1,April 18 2013,3
Detroit Tigers,1,LA Angels of Anaheim,9,1,April 19 2013,8
Miami Marlins,0,Cincinnati Reds,3,2,April 19 2013,1
Arizona D'Backs,1,Colorado Rockies,4,1,April 19 2013,3
Cleveland Indians,1,Houston Astros,5,2,April 19 2013,3
Chicago Cubs,1,Milwaukee Brewers,9,4,April 19 2013,5
Washington Nationals,1,New York Mets,8,1,April 19 2013,7
St. Louis Cardinals,1,Philadelphia Phillies,10,2,April 19 2013,8
Atlanta Braves,1,Pittsburgh Pirates,6,0,April 19 2013,6
San Diego Padres,1,San Francisco Giants,5,2,April 19 2013,3
Oakland Athletics,1,Tampa Bay Rays,11,3,April 19 2013,8
Seattle Mariners,1,Texas Rangers,7,0,April 19 2013,7
New York Yankees,0,Toronto Blue Jays,13,9,April 19 2013,4
Detroit Tigers,1,LA Angels of Anaheim,10,0,April 20 2013,10
Los Angeles Dodgers,1,Baltimore Orioles,12,5,April 20 2013,7
Los Angeles Dodgers,1,Baltimore Orioles,7,1,April 20 2013,6
Kansas City Royals,1,Boston Red Sox,7,3,April 20 2013,4
Minnesota Twins,0,Chicago White Sox,3,2,April 20 2013,1
Miami Marlins,1,Cincinnati Reds,5,2,April 20 2013,3
Arizona D'Backs,1,Colorado Rockies,7,3,April 20 2013,4
Cleveland Indians,0,Houston Astros,25,19,April 20 2013,6
Chicago Cubs,1,Milwaukee Brewers,6,1,April 20 2013,5
Washington Nationals,0,New York Mets,13,7,April 20 2013,6
St. Louis Cardinals,0,Philadelphia Phillies,5,5,April 20 2013,0
Atlanta Braves,1,Pittsburgh Pirates,4,1,April 20 2013,3
San Diego Padres,1,San Francisco Giants,2,0,April 20 2013,2
Oakland Athletics,1,Tampa Bay Rays,1,0,April 20 2013,1
Seattle Mariners,1,Texas Rangers,5,0,April 20 2013,5
New York Yankees,0,Toronto Blue Jays,8,5,April 20 2013,3
Detroit Tigers,1,LA Angels of Anaheim,7,3,April 21 2013,4
Los Angeles Dodgers,0,Baltimore Orioles,11,7,April 21 2013,4
Kansas City Royals,0,Boston Red Sox,6,4,April 21 2013,2
Kansas City Royals,0,Boston Red Sox,9,5,April 21 2013,4
Minnesota Twins,0,Chicago White Sox,8,5,April 21 2013,3
Miami Marlins,1,Cincinnati Reds,16,6,April 21 2013,10
Arizona D'Backs,0,Colorado Rockies,9,5,April 21 2013,4
Cleveland Indians,0,Houston Astros,9,5,April 21 2013,4
Chicago Cubs,1,Milwaukee Brewers,6,2,April 21 2013,4
Washington Nationals,1,New York Mets,2,0,April 21 2013,2
St. Louis Cardinals,1,Philadelphia Phillies,10,3,April 21 2013,7
Atlanta Braves,1,Pittsburgh Pirates,6,2,April 21 2013,4
San Diego Padres,1,San Francisco Giants,5,0,April 21 2013,5
Oakland Athletics,1,Tampa Bay Rays,9,1,April 21 2013,8
Seattle Mariners,1,Texas Rangers,14,3,April 21 2013,11
New York Yankees,1,Toronto Blue Jays,12,4,April 21 2013,8
Texas Rangers,0,LA Angels of Anaheim,13,7,April 22 2013,6
Toronto Blue Jays,1,Baltimore Orioles,3,1,April 22 2013,2
Oakland Athletics,1,Boston Red Sox,15,6,April 22 2013,9
Cleveland Indians,0,Chicago White Sox,5,3,April 22 2013,2
Chicago Cubs,1,Cincinnati Reds,9,4,April 22 2013,5
Seattle Mariners,0,Houston Astros,8,7,April 22 2013,1
Pittsburgh Pirates,1,Philadelphia Phillies,5,2,April 22 2013,3
Milwaukee Brewers,0,San Diego Padres,8,7,April 22 2013,1
Arizona D'Backs,1,San Francisco Giants,9,4,April 22 2013,5
New York Yankees,1,Tampa Bay Rays,6,1,April 22 2013,5
St. Louis Cardinals,0,Washington Nationals,5,3,April 22 2013,2
Texas Rangers,1,LA Angels of Anaheim,9,4,April 23 2013,5
Toronto Blue Jays,1,Baltimore Orioles,7,3,April 23 2013,4
Oakland Athletics,0,Boston Red Sox,13,13,April 23 2013,0
Chicago Cubs,0,Cincinnati Reds,6,4,April 23 2013,2
Atlanta Braves,0,Colorado Rockies,7,4,April 23 2013,3
Atlanta Braves,0,Colorado Rockies,12,10,April 23 2013,2
Seattle Mariners,1,Houston Astros,5,2,April 23 2013,3
Miami Marlins,1,Minnesota Twins,7,3,April 23 2013,4
Miami Marlins,0,Minnesota Twins,13,8,April 23 2013,5
Los Angeles Dodgers,0,New York Mets,9,7,April 23 2013,2
Pittsburgh Pirates,0,Philadelphia Phillies,2,2,April 23 2013,0
Milwaukee Brewers,0,San Diego Padres,9,6,April 23 2013,3
Arizona D'Backs,0,San Francisco Giants,10,6,April 23 2013,4
New York Yankees,0,Tampa Bay Rays,7,4,April 23 2013,3
St. Louis Cardinals,0,Washington Nationals,2,2,April 23 2013,0
Texas Rangers,0,LA Angels of Anaheim,14,11,April 24 2013,3
Toronto Blue Jays,0,Baltimore Orioles,11,6,April 24 2013,5
Oakland Athletics,1,Boston Red Sox,11,5,April 24 2013,6
Cleveland Indians,1,Chicago White Sox,5,2,April 24 2013,3
Chicago Cubs,1,Cincinnati Reds,1,0,April 24 2013,1
Atlanta Braves,1,Colorado Rockies,11,5,April 24 2013,6
Kansas City Royals,1,Detroit Tigers,12,5,April 24 2013,7
Seattle Mariners,1,Houston Astros,13,3,April 24 2013,10
Los Angeles Dodgers,1,New York Mets,10,3,April 24 2013,7
Pittsburgh Pirates,0,Philadelphia Phillies,8,5,April 24 2013,3
Milwaukee Brewers,1,San Diego Padres,3,1,April 24 2013,2
Arizona D'Backs,0,San Francisco Giants,5,3,April 24 2013,2
New York Yankees,1,Tampa Bay Rays,3,0,April 24 2013,3
St. Louis Cardinals,0,Washington Nationals,6,4,April 24 2013,2
Colorado Rockies,1,Arizona D'Backs,5,2,April 25 2013,3
Houston Astros,1,Boston Red Sox,9,2,April 25 2013,7
Tampa Bay Rays,1,Chicago White Sox,7,2,April 25 2013,5
Kansas City Royals,0,Detroit Tigers,11,8,April 25 2013,3
Chicago Cubs,0,Miami Marlins,7,4,April 25 2013,3
Texas Rangers,0,Minnesota Twins,3,2,April 25 2013,1
Toronto Blue Jays,1,New York Yankees,8,3,April 25 2013,5
Los Angeles Dodgers,0,New York Mets,5,3,April 25 2013,2
Baltimore Orioles,0,Oakland Athletics,12,10,April 25 2013,2
Pittsburgh Pirates,0,Philadelphia Phillies,10,6,April 25 2013,4
LA Angels of Anaheim,1,Seattle Mariners,6,0,April 25 2013,6
Cincinnati Reds,1,Washington Nationals,9,1,April 25 2013,8
Colorado Rockies,0,Arizona D'Backs,9,6,April 26 2013,3
Houston Astros,1,Boston Red Sox,10,3,April 26 2013,7
Tampa Bay Rays,1,Chicago White Sox,9,4,April 26 2013,5
Atlanta Braves,1,Detroit Tigers,10,0,April 26 2013,10
Milwaukee Brewers,1,Los Angeles Dodgers,12,5,April 26 2013,7
Chicago Cubs,0,Miami Marlins,6,4,April 26 2013,2
Texas Rangers,0,Minnesota Twins,7,4,April 26 2013,3
Toronto Blue Jays,1,New York Yankees,10,4,April 26 2013,6
Philadelphia Phillies,0,New York Mets,4,4,April 26 2013,0
Baltimore Orioles,0,Oakland Athletics,3,3,April 26 2013,0
San Francisco Giants,1,San Diego Padres,3,1,April 26 2013,2
LA Angels of Anaheim,0,Seattle Mariners,9,6,April 26 2013,3
Pittsburgh Pirates,1,St. Louis Cardinals,10,1,April 26 2013,9
Cincinnati Reds,1,Washington Nationals,1,0,April 26 2013,1
Colorado Rockies,1,Arizona D'Backs,5,2,April 27 2013,3
Houston Astros,1,Boston Red Sox,12,4,April 27 2013,8
Tampa Bay Rays,0,Chicago White Sox,14,10,April 27 2013,4
Atlanta Braves,1,Detroit Tigers,11,4,April 27 2013,7
Cleveland Indians,1,Kansas City Royals,5,2,April 27 2013,3
Milwaukee Brewers,0,Los Angeles Dodgers,10,6,April 27 2013,4
Chicago Cubs,0,Miami Marlins,5,3,April 27 2013,2
Texas Rangers,1,Minnesota Twins,9,2,April 27 2013,7
Toronto Blue Jays,1,New York Yankees,9,4,April 27 2013,5
Philadelphia Phillies,0,New York Mets,13,9,April 27 2013,4
Baltimore Orioles,0,Oakland Athletics,10,7,April 27 2013,3
San Francisco Giants,1,San Diego Padres,15,7,April 27 2013,8
LA Angels of Anaheim,1,Seattle Mariners,5,2,April 27 2013,3
Pittsburgh Pirates,0,St. Louis Cardinals,8,5,April 27 2013,3
Cincinnati Reds,1,Washington Nationals,9,3,April 27 2013,6
Colorado Rockies,1,Arizona D'Backs,6,2,April 28 2013,4
Houston Astros,1,Boston Red Sox,7,1,April 28 2013,6
Tampa Bay Rays,0,Chicago White Sox,11,8,April 28 2013,3
Atlanta Braves,1,Detroit Tigers,11,3,April 28 2013,8
Cleveland Indians,1,Kansas City Royals,9,0,April 28 2013,9
Cleveland Indians,0,Kansas City Royals,13,10,April 28 2013,3
Milwaukee Brewers,1,Los Angeles Dodgers,2,0,April 28 2013,2
Chicago Cubs,1,Miami Marlins,10,4,April 28 2013,6
Texas Rangers,1,Minnesota Twins,5,0,April 28 2013,5
Toronto Blue Jays,1,New York Yankees,5,2,April 28 2013,3
Philadelphia Phillies,0,New York Mets,6,5,April 28 2013,1
Baltimore Orioles,1,Oakland Athletics,17,8,April 28 2013,9
San Francisco Giants,1,San Diego Padres,10,4,April 28 2013,6
LA Angels of Anaheim,1,Seattle Mariners,3,1,April 28 2013,2
Pittsburgh Pirates,0,St. Louis Cardinals,9,9,April 28 2013,0
Cincinnati Reds,0,Washington Nationals,7,5,April 28 2013,2
San Francisco Giants,0,Arizona D'Backs,10,6,April 29 2013,4
Washington Nationals,1,Atlanta Braves,5,2,April 29 2013,3
San Diego Padres,1,Chicago Cubs,8,3,April 29 2013,5
Minnesota Twins,1,Detroit Tigers,7,3,April 29 2013,4
Cleveland Indians,0,Kansas City Royals,9,9,April 29 2013,0
Colorado Rockies,0,Los Angeles Dodgers,14,12,April 29 2013,2
New York Mets,1,Miami Marlins,7,3,April 29 2013,4
Pittsburgh Pirates,1,Milwaukee Brewers,14,4,April 29 2013,10
Houston Astros,0,New York Yankees,10,9,April 29 2013,1
LA Angels of Anaheim,1,Oakland Athletics,18,8,April 29 2013,10
Baltimore Orioles,1,Seattle Mariners,8,2,April 29 2013,6
Cincinnati Reds,0,St. Louis Cardinals,3,2,April 29 2013,1
San Francisco Giants,0,Arizona D'Backs,3,2,April 30 2013,1
Washington Nationals,1,Atlanta Braves,9,1,April 30 2013,8
San Diego Padres,0,Chicago Cubs,20,13,April 30 2013,7
Philadelphia Phillies,1,Cleveland Indians,16,2,April 30 2013,14
Minnesota Twins,1,Detroit Tigers,7,1,April 30 2013,6
Tampa Bay Rays,1,Kansas City Royals,10,2,April 30 2013,8
Colorado Rockies,1,Los Angeles Dodgers,8,2,April 30 2013,6
New York Mets,1,Miami Marlins,3,1,April 30 2013,2
Pittsburgh Pirates,1,Milwaukee Brewers,20,8,April 30 2013,12
Houston Astros,1,New York Yankees,11,4,April 30 2013,7
LA Angels of Anaheim,1,Oakland Athletics,16,6,April 30 2013,10
Baltimore Orioles,0,Seattle Mariners,9,7,April 30 2013,2
Cincinnati Reds,1,St. Louis Cardinals,3,1,April 30 2013,2
Chicago White Sox,1,Texas Rangers,16,6,April 30 2013,10
Boston Red Sox,1,Toronto Blue Jays,16,7,April 30 2013,9
San Francisco Giants,0,Arizona D'Backs,15,9,May 1 2013,6
Washington Nationals,0,Atlanta Braves,2,2,May 1 2013,0
San Diego Padres,1,Chicago Cubs,8,2,May 1 2013,6
Philadelphia Phillies,1,Cleveland Indians,6,0,May 1 2013,6
Minnesota Twins,0,Detroit Tigers,8,6,May 1 2013,2
Tampa Bay Rays,1,Kansas City Royals,17,8,May 1 2013,9
Colorado Rockies,0,Los Angeles Dodgers,10,7,May 1 2013,3
New York Mets,0,Miami Marlins,13,7,May 1 2013,6
Pittsburgh Pirates,0,Milwaukee Brewers,10,6,May 1 2013,4
Houston Astros,1,New York Yankees,9,4,May 1 2013,5
LA Angels of Anaheim,0,Oakland Athletics,9,5,May 1 2013,4
Baltimore Orioles,1,Seattle Mariners,11,3,May 1 2013,8
Cincinnati Reds,1,St. Louis Cardinals,6,2,May 1 2013,4
Chicago White Sox,0,Texas Rangers,7,5,May 1 2013,2
Boston Red Sox,0,Toronto Blue Jays,11,10,May 1 2013,1
Baltimore Orioles,0,LA Angels of Anaheim,6,5,May 2 2013,1
Washington Nationals,0,Atlanta Braves,4,3,May 2 2013,1
San Diego Padres,0,Chicago Cubs,6,4,May 2 2013,2
Detroit Tigers,0,Houston Astros,10,7,May 2 2013,3
St. Louis Cardinals,0,Milwaukee Brewers,11,6,May 2 2013,5
