Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Texas Rangers,1,Houston Astros,10,2,March 31 2013,8
St. Louis Cardinals,1,Arizona D'Backs,8,2,April 1 2013,6
Philadelphia Phillies,1,Atlanta Braves,12,5,April 1 2013,7
Kansas City Royals,1,Chicago White Sox,1,0,April 1 2013,1
LA Angels of Anaheim,0,Cincinnati Reds,4,3,April 1 2013,1
San Francisco Giants,1,Los Angeles Dodgers,4,0,April 1 2013,4
Colorado Rockies,1,Milwaukee Brewers,9,4,April 1 2013,5
Detroit Tigers,0,Minnesota Twins,6,4,April 1 2013,2
Boston Red Sox,0,New York Yankees,10,8,April 1 2013,2
San Diego Padres,1,New York Mets,13,2,April 1 2013,11
Seattle Mariners,0,Oakland Athletics,2,2,April 1 2013,0
Chicago Cubs,0,Pittsburgh Pirates,4,3,April 1 2013,1
Miami Marlins,1,Washington Nationals,2,0,April 1 2013,2
St. Louis Cardinals,0,Arizona D'Backs,7,6,April 2 2013,1
Texas Rangers,0,Houston Astros,7,7,April 2 2013,0
San Francisco Giants,0,Los Angeles Dodgers,3,3,April 2 2013,0
Colorado Rockies,0,Milwaukee Brewers,12,8,April 2 2013,4
Seattle Mariners,0,Oakland Athletics,8,7,April 2 2013,1
Baltimore Orioles,0,Tampa Bay Rays,11,7,April 2 2013,4
Cleveland Indians,0,Toronto Blue Jays,5,4,April 2 2013,1
St. Louis Cardinals,1,Arizona D'Backs,19,9,April 3 2013,10
Philadelphia Phillies,1,Atlanta Braves,11,2,April 3 2013,9
Kansas City Royals,1,Chicago White Sox,7,2,April 3 2013,5
LA Angels of Anaheim,1,Cincinnati Reds,9,4,April 3 2013,5
Texas Rangers,0,Houston Astros,4,4,April 3 2013,0
San Francisco Giants,0,Los Angeles Dodgers,8,5,April 3 2013,3
Colorado Rockies,0,Milwaukee Brewers,10,7,April 3 2013,3
Detroit Tigers,1,Minnesota Twins,5,2,April 3 2013,3
Boston Red Sox,0,New York Yankees,11,7,April 3 2013,4
San Diego Padres,1,New York Mets,12,4,April 3 2013,8
Seattle Mariners,1,Oakland Athletics,8,2,April 3 2013,6
Chicago Cubs,1,Pittsburgh Pirates,3,0,April 3 2013,3
Baltimore Orioles,1,Tampa Bay Rays,15,7,April 3 2013,8
Cleveland Indians,0,Toronto Blue Jays,5,3,April 3 2013,2
Miami Marlins,1,Washington Nationals,3,0,April 3 2013,3
