Away,HW,Home,Total_Runs,awayRuns,date,homeRuns
Baltimore Orioles,0,Toronto Blue Jays,3,2,April 13 2017,1
San Diego Padres,1,Atlanta Braves,7,2,April 14 2017,5
Tampa Bay Rays,0,Boston Red Sox,15,10,April 14 2017,5
Pittsburgh Pirates,0,Chicago Cubs,6,4,April 14 2017,2
Milwaukee Brewers,0,Cincinnati Reds,14,10,April 14 2017,4
Detroit Tigers,0,Cleveland Indians,13,7,April 14 2017,6
Los Angeles Angels,1,Kansas City Royals,8,1,April 14 2017,7
Arizona D'Backs,1,Los Angeles Dodgers,8,1,April 14 2017,7
New York Mets,1,Miami Marlins,5,2,April 14 2017,3
Chicago White Sox,0,Minnesota Twins,3,2,April 14 2017,1
St. Louis Cardinals,1,New York Yankees,7,3,April 14 2017,4
Houston Astros,0,Oakland Athletics,9,7,April 14 2017,2
Texas Rangers,1,Seattle Mariners,3,1,April 14 2017,2
Colorado Rockies,1,San Francisco Giants,10,2,April 14 2017,8
Baltimore Orioles,0,Toronto Blue Jays,10,6,April 14 2017,4
Philadelphia Phillies,1,Washington Nationals,5,2,April 14 2017,3
San Diego Padres,1,Atlanta Braves,6,2,April 15 2017,4
Tampa Bay Rays,1,Boston Red Sox,3,1,April 15 2017,2
Pittsburgh Pirates,0,Chicago Cubs,15,8,April 15 2017,7
Milwaukee Brewers,1,Cincinnati Reds,12,5,April 15 2017,7
Detroit Tigers,1,Cleveland Indians,19,6,April 15 2017,13
Los Angeles Angels,1,Kansas City Royals,5,2,April 15 2017,3
Arizona D'Backs,1,Los Angeles Dodgers,12,4,April 15 2017,8
New York Mets,1,Miami Marlins,9,4,April 15 2017,5
Chicago White Sox,1,Minnesota Twins,6,0,April 15 2017,6
St. Louis Cardinals,1,New York Yankees,5,2,April 15 2017,3
Houston Astros,0,Oakland Athletics,16,10,April 15 2017,6
Texas Rangers,1,Seattle Mariners,5,0,April 15 2017,5
Colorado Rockies,0,San Francisco Giants,5,5,April 15 2017,0
Baltimore Orioles,1,Toronto Blue Jays,3,1,April 15 2017,2
Philadelphia Phillies,0,Washington Nationals,6,4,April 15 2017,2
San Diego Padres,1,Atlanta Braves,11,2,April 16 2017,9
Tampa Bay Rays,1,Boston Red Sox,12,5,April 16 2017,7
Pittsburgh Pirates,0,Chicago Cubs,7,6,April 16 2017,1
Milwaukee Brewers,0,Cincinnati Reds,6,4,April 16 2017,2
Detroit Tigers,0,Cleveland Indians,5,4,April 16 2017,1
Los Angeles Angels,1,Kansas City Royals,1,0,April 16 2017,1
Arizona D'Backs,0,Los Angeles Dodgers,4,3,April 16 2017,1
New York Mets,1,Miami Marlins,6,2,April 16 2017,4
Chicago White Sox,0,Minnesota Twins,4,3,April 16 2017,1
St. Louis Cardinals,1,New York Yankees,12,3,April 16 2017,9
Texas Rangers,1,Seattle Mariners,15,7,April 16 2017,8
Colorado Rockies,0,San Francisco Giants,7,4,April 16 2017,3
Baltimore Orioles,0,Toronto Blue Jays,15,11,April 16 2017,4
Philadelphia Phillies,1,Washington Nationals,10,4,April 16 2017,6
San Diego Padres,1,Atlanta Braves,9,4,April 17 2017,5
Tampa Bay Rays,1,Boston Red Sox,7,3,April 17 2017,4
Milwaukee Brewers,0,Chicago Cubs,9,6,April 17 2017,3
Los Angeles Angels,1,Houston Astros,3,0,April 17 2017,3
Arizona D'Backs,0,Los Angeles Dodgers,6,4,April 17 2017,2
Cleveland Indians,0,Minnesota Twins,4,3,April 17 2017,1
Chicago White Sox,1,New York Yankees,11,4,April 17 2017,7
Texas Rangers,0,Oakland Athletics,7,7,April 17 2017,0
Miami Marlins,1,Seattle Mariners,7,1,April 17 2017,6
Pittsburgh Pirates,1,St. Louis Cardinals,3,1,April 17 2017,2
Washington Nationals,0,Atlanta Braves,4,3,April 18 2017,1
Milwaukee Brewers,1,Chicago Cubs,16,7,April 18 2017,9
Baltimore Orioles,1,Cincinnati Reds,12,3,April 18 2017,9
Los Angeles Angels,0,Houston Astros,7,5,April 18 2017,2
San Francisco Giants,0,Kansas City Royals,3,2,April 18 2017,1
Colorado Rockies,0,Los Angeles Dodgers,7,4,April 18 2017,3
Cleveland Indians,0,Minnesota Twins,15,11,April 18 2017,4
Chicago White Sox,0,New York Yankees,5,4,April 18 2017,1
Philadelphia Phillies,0,New York Mets,8,6,April 18 2017,2
Texas Rangers,1,Oakland Athletics,6,2,April 18 2017,4
Arizona D'Backs,0,San Diego Padres,13,11,April 18 2017,2
Miami Marlins,0,Seattle Mariners,5,5,April 18 2017,0
Pittsburgh Pirates,1,St. Louis Cardinals,3,1,April 18 2017,2
Detroit Tigers,1,Tampa Bay Rays,6,1,April 18 2017,5
Boston Red Sox,0,Toronto Blue Jays,15,8,April 18 2017,7
Washington Nationals,0,Atlanta Braves,18,14,April 19 2017,4
Milwaukee Brewers,1,Chicago Cubs,11,4,April 19 2017,7
Baltimore Orioles,0,Cincinnati Reds,2,2,April 19 2017,0
Los Angeles Angels,1,Houston Astros,6,1,April 19 2017,5
San Francisco Giants,1,Kansas City Royals,2,0,April 19 2017,2
Colorado Rockies,1,Los Angeles Dodgers,6,2,April 19 2017,4
Chicago White Sox,1,New York Yankees,10,1,April 19 2017,9
Philadelphia Phillies,1,New York Mets,9,4,April 19 2017,5
Texas Rangers,1,Oakland Athletics,10,1,April 19 2017,9
Arizona D'Backs,1,San Diego Padres,1,0,April 19 2017,1
Miami Marlins,1,Seattle Mariners,15,5,April 19 2017,10
Pittsburgh Pirates,1,St. Louis Cardinals,3,1,April 19 2017,2
Detroit Tigers,1,Tampa Bay Rays,15,7,April 19 2017,8
Boston Red Sox,1,Toronto Blue Jays,3,0,April 19 2017,3
Washington Nationals,0,Atlanta Braves,5,3,April 20 2017,2
Baltimore Orioles,0,Cincinnati Reds,3,2,April 20 2017,1
Los Angeles Angels,1,Houston Astros,3,1,April 20 2017,2
St. Louis Cardinals,1,Milwaukee Brewers,12,5,April 20 2017,7
Cleveland Indians,0,Minnesota Twins,8,6,April 20 2017,2
Philadelphia Phillies,0,New York Mets,10,6,April 20 2017,4
Seattle Mariners,1,Oakland Athletics,15,6,April 20 2017,9
Arizona D'Backs,1,San Diego Padres,5,1,April 20 2017,4
Detroit Tigers,1,Tampa Bay Rays,9,1,April 20 2017,8
Kansas City Royals,1,Texas Rangers,1,0,April 20 2017,1
Boston Red Sox,0,Toronto Blue Jays,5,4,April 20 2017,1
Toronto Blue Jays,0,Los Angeles Angels,15,8,April 21 2017,7
Los Angeles Dodgers,1,Arizona D'Backs,18,5,April 21 2017,13
Boston Red Sox,1,Baltimore Orioles,2,0,April 21 2017,2
Cleveland Indians,0,Chicago White Sox,3,3,April 21 2017,0
Chicago Cubs,0,Cincinnati Reds,11,6,April 21 2017,5
San Francisco Giants,1,Colorado Rockies,11,5,April 21 2017,6
St. Louis Cardinals,0,Milwaukee Brewers,9,6,April 21 2017,3
Detroit Tigers,1,Minnesota Twins,9,3,April 21 2017,6
Washington Nationals,0,New York Mets,7,4,April 21 2017,3
Seattle Mariners,1,Oakland Athletics,4,1,April 21 2017,3
Atlanta Braves,1,Philadelphia Phillies,7,3,April 21 2017,4
New York Yankees,1,Pittsburgh Pirates,9,3,April 21 2017,6
Miami Marlins,1,San Diego Padres,8,3,April 21 2017,5
Houston Astros,0,Tampa Bay Rays,9,6,April 21 2017,3
Kansas City Royals,1,Texas Rangers,8,2,April 21 2017,6
Toronto Blue Jays,1,Los Angeles Angels,9,4,April 22 2017,5
Los Angeles Dodgers,1,Arizona D'Backs,16,5,April 22 2017,11
Boston Red Sox,1,Baltimore Orioles,6,2,April 22 2017,4
Cleveland Indians,0,Chicago White Sox,7,7,April 22 2017,0
Chicago Cubs,0,Cincinnati Reds,20,12,April 22 2017,8
San Francisco Giants,1,Colorado Rockies,15,3,April 22 2017,12
St. Louis Cardinals,0,Milwaukee Brewers,5,4,April 22 2017,1
Detroit Tigers,0,Minnesota Twins,9,5,April 22 2017,4
Washington Nationals,0,New York Mets,4,3,April 22 2017,1
Seattle Mariners,1,Oakland Athletics,7,3,April 22 2017,4
Atlanta Braves,1,Philadelphia Phillies,7,3,April 22 2017,4
New York Yankees,0,Pittsburgh Pirates,16,11,April 22 2017,5
Miami Marlins,0,San Diego Padres,9,6,April 22 2017,3
Houston Astros,1,Tampa Bay Rays,9,3,April 22 2017,6
Kansas City Royals,1,Texas Rangers,3,1,April 22 2017,2
Toronto Blue Jays,0,Los Angeles Angels,8,6,April 23 2017,2
Los Angeles Dodgers,0,Arizona D'Backs,8,6,April 23 2017,2
Boston Red Sox,0,Baltimore Orioles,8,6,April 23 2017,2
Cleveland Indians,1,Chicago White Sox,8,2,April 23 2017,6
Chicago Cubs,1,Cincinnati Reds,12,5,April 23 2017,7
San Francisco Giants,1,Colorado Rockies,8,0,April 23 2017,8
St. Louis Cardinals,0,Milwaukee Brewers,10,6,April 23 2017,4
Detroit Tigers,0,Minnesota Twins,17,13,April 23 2017,4
Washington Nationals,0,New York Mets,9,6,April 23 2017,3
Seattle Mariners,0,Oakland Athletics,12,11,April 23 2017,1
Atlanta Braves,1,Philadelphia Phillies,7,2,April 23 2017,5
New York Yankees,1,Pittsburgh Pirates,3,1,April 23 2017,2
Miami Marlins,0,San Diego Padres,10,7,April 23 2017,3
Houston Astros,0,Tampa Bay Rays,10,6,April 23 2017,4
Kansas City Royals,1,Texas Rangers,7,2,April 23 2017,5
Toronto Blue Jays,1,Los Angeles Angels,3,1,April 24 2017,2
San Diego Padres,1,Arizona D'Backs,13,6,April 24 2017,7
Tampa Bay Rays,1,Baltimore Orioles,9,3,April 24 2017,6
Kansas City Royals,1,Chicago White Sox,13,1,April 24 2017,12
Washington Nationals,1,Colorado Rockies,12,4,April 24 2017,8
Cincinnati Reds,1,Milwaukee Brewers,18,7,April 24 2017,11
Chicago Cubs,0,Pittsburgh Pirates,17,14,April 24 2017,3
Los Angeles Dodgers,1,San Francisco Giants,3,1,April 24 2017,2
Minnesota Twins,0,Texas Rangers,5,3,April 24 2017,2
Oakland Athletics,1,Los Angeles Angels,3,1,April 25 2017,2
San Diego Padres,1,Arizona D'Backs,12,3,April 25 2017,9
Tampa Bay Rays,0,Baltimore Orioles,2,2,April 25 2017,0
Kansas City Royals,1,Chicago White Sox,15,5,April 25 2017,10
Houston Astros,0,Cleveland Indians,6,4,April 25 2017,2
Washington Nationals,0,Colorado Rockies,27,15,April 25 2017,12
Seattle Mariners,1,Detroit Tigers,28,9,April 25 2017,19
Cincinnati Reds,1,Milwaukee Brewers,10,1,April 25 2017,9
Chicago Cubs,0,Pittsburgh Pirates,1,1,April 25 2017,0
Los Angeles Dodgers,0,San Francisco Giants,3,2,April 25 2017,1
Toronto Blue Jays,0,St. Louis Cardinals,11,6,April 25 2017,5
Minnesota Twins,0,Texas Rangers,9,8,April 25 2017,1
Oakland Athletics,1,Los Angeles Angels,13,5,April 26 2017,8
San Diego Padres,0,Arizona D'Backs,13,8,April 26 2017,5
Tampa Bay Rays,1,Baltimore Orioles,9,4,April 26 2017,5
New York Yankees,0,Boston Red Sox,4,3,April 26 2017,1
Kansas City Royals,1,Chicago White Sox,7,2,April 26 2017,5
Houston Astros,1,Cleveland Indians,13,6,April 26 2017,7
Washington Nationals,0,Colorado Rockies,15,11,April 26 2017,4
Seattle Mariners,0,Detroit Tigers,8,8,April 26 2017,0
Cincinnati Reds,1,Milwaukee Brewers,13,4,April 26 2017,9
Atlanta Braves,0,New York Mets,10,8,April 26 2017,2
Miami Marlins,1,Philadelphia Phillies,11,4,April 26 2017,7
Chicago Cubs,1,Pittsburgh Pirates,11,5,April 26 2017,6
Los Angeles Dodgers,1,San Francisco Giants,7,3,April 26 2017,4
Minnesota Twins,1,Texas Rangers,17,3,April 26 2017,14
Oakland Athletics,1,Los Angeles Angels,3,1,April 27 2017,2
San Diego Padres,1,Arizona D'Backs,8,2,April 27 2017,6
New York Yankees,0,Boston Red Sox,3,3,April 27 2017,0
Houston Astros,1,Cleveland Indians,7,3,April 27 2017,4
Washington Nationals,0,Colorado Rockies,21,16,April 27 2017,5
Seattle Mariners,0,Detroit Tigers,3,2,April 27 2017,1
Atlanta Braves,0,New York Mets,12,7,April 27 2017,5
Miami Marlins,1,Philadelphia Phillies,5,2,April 27 2017,3
Los Angeles Dodgers,0,San Francisco Giants,6,5,April 27 2017,1
Toronto Blue Jays,1,St. Louis Cardinals,12,4,April 27 2017,8
Toronto Blue Jays,1,St. Louis Cardinals,10,4,April 27 2017,6
Colorado Rockies,0,Arizona D'Backs,4,3,April 28 2017,1
Chicago Cubs,1,Boston Red Sox,9,4,April 28 2017,5
Seattle Mariners,0,Cleveland Indians,4,3,April 28 2017,1
Chicago White Sox,0,Detroit Tigers,10,7,April 28 2017,3
Oakland Athletics,1,Houston Astros,13,4,April 28 2017,9
Minnesota Twins,0,Kansas City Royals,10,6,April 28 2017,4
Philadelphia Phillies,1,Los Angeles Dodgers,8,3,April 28 2017,5
Pittsburgh Pirates,0,Miami Marlins,14,12,April 28 2017,2
Atlanta Braves,0,Milwaukee Brewers,18,10,April 28 2017,8
Baltimore Orioles,1,New York Yankees,25,11,April 28 2017,14
San Diego Padres,1,San Francisco Giants,7,3,April 28 2017,4
Cincinnati Reds,1,St. Louis Cardinals,12,5,April 28 2017,7
Los Angeles Angels,0,Texas Rangers,9,6,April 28 2017,3
Tampa Bay Rays,0,Toronto Blue Jays,11,7,April 28 2017,4
New York Mets,0,Washington Nationals,12,7,April 28 2017,5
Colorado Rockies,0,Arizona D'Backs,13,7,April 29 2017,6
Chicago Cubs,0,Boston Red Sox,11,7,April 29 2017,4
Seattle Mariners,1,Cleveland Indians,7,3,April 29 2017,4
Chicago White Sox,0,Detroit Tigers,10,6,April 29 2017,4
Oakland Athletics,0,Houston Astros,3,2,April 29 2017,1
Philadelphia Phillies,1,Los Angeles Dodgers,11,5,April 29 2017,6
Pittsburgh Pirates,0,Miami Marlins,4,4,April 29 2017,0
Atlanta Braves,0,Milwaukee Brewers,14,11,April 29 2017,3
Baltimore Orioles,1,New York Yankees,16,4,April 29 2017,12
San Diego Padres,0,San Francisco Giants,16,12,April 29 2017,4
Los Angeles Angels,1,Texas Rangers,9,3,April 29 2017,6
Tampa Bay Rays,1,Toronto Blue Jays,5,1,April 29 2017,4
New York Mets,0,Washington Nationals,8,5,April 29 2017,3
Colorado Rockies,1,Arizona D'Backs,2,0,April 30 2017,2
Chicago Cubs,1,Boston Red Sox,8,2,April 30 2017,6
Seattle Mariners,1,Cleveland Indians,16,4,April 30 2017,12
Chicago White Sox,1,Detroit Tigers,10,3,April 30 2017,7
Oakland Athletics,1,Houston Astros,9,2,April 30 2017,7
Minnesota Twins,0,Kansas City Royals,12,7,April 30 2017,5
Philadelphia Phillies,1,Los Angeles Dodgers,8,3,April 30 2017,5
Pittsburgh Pirates,1,Miami Marlins,13,3,April 30 2017,10
Atlanta Braves,1,Milwaukee Brewers,7,3,April 30 2017,4
Baltimore Orioles,0,New York Yankees,11,7,April 30 2017,4
San Diego Padres,0,San Francisco Giants,7,5,April 30 2017,2
Cincinnati Reds,0,St. Louis Cardinals,9,5,April 30 2017,4
Los Angeles Angels,0,Texas Rangers,7,5,April 30 2017,2
Tampa Bay Rays,1,Toronto Blue Jays,4,1,April 30 2017,3
New York Mets,1,Washington Nationals,28,5,April 30 2017,23
New York Mets,0,Atlanta Braves,12,7,May 1 2017,5
Baltimore Orioles,0,Boston Red Sox,7,5,May 1 2017,2
Philadelphia Phillies,0,Chicago Cubs,12,10,May 1 2017,2
Pittsburgh Pirates,1,Cincinnati Reds,7,3,May 1 2017,4
Cleveland Indians,1,Detroit Tigers,8,1,May 1 2017,7
Texas Rangers,1,Houston Astros,8,2,May 1 2017,6
Chicago White Sox,1,Kansas City Royals,7,1,May 1 2017,6
San Francisco Giants,0,Los Angeles Dodgers,7,4,May 1 2017,3
Tampa Bay Rays,0,Miami Marlins,6,4,May 1 2017,2
Toronto Blue Jays,0,New York Yankees,8,7,May 1 2017,1
Milwaukee Brewers,0,St. Louis Cardinals,12,7,May 1 2017,5
New York Mets,1,Atlanta Braves,16,7,May 2 2017,9
Baltimore Orioles,1,Boston Red Sox,7,2,May 2 2017,5
Philadelphia Phillies,1,Chicago Cubs,11,3,May 2 2017,8
Pittsburgh Pirates,0,Cincinnati Reds,15,12,May 2 2017,3
Cleveland Indians,1,Detroit Tigers,7,2,May 2 2017,5
Texas Rangers,1,Houston Astros,15,7,May 2 2017,8
Chicago White Sox,0,Kansas City Royals,6,6,May 2 2017,0
San Francisco Giants,1,Los Angeles Dodgers,18,5,May 2 2017,13
Tampa Bay Rays,0,Miami Marlins,4,3,May 2 2017,1
Oakland Athletics,1,Minnesota Twins,10,1,May 2 2017,9
Toronto Blue Jays,1,New York Yankees,16,5,May 2 2017,11
Colorado Rockies,1,San Diego Padres,8,2,May 2 2017,6
Los Angeles Angels,0,Seattle Mariners,10,6,May 2 2017,4
Milwaukee Brewers,1,St. Louis Cardinals,3,1,May 2 2017,2
Arizona D'Backs,0,Washington Nationals,9,6,May 2 2017,3
New York Mets,0,Atlanta Braves,21,16,May 3 2017,5
Baltimore Orioles,1,Boston Red Sox,6,2,May 3 2017,4
Philadelphia Phillies,1,Chicago Cubs,9,4,May 3 2017,5
Pittsburgh Pirates,1,Cincinnati Reds,9,2,May 3 2017,7
Cleveland Indians,0,Detroit Tigers,5,3,May 3 2017,2
Texas Rangers,1,Houston Astros,11,1,May 3 2017,10
Chicago White Sox,1,Kansas City Royals,7,1,May 3 2017,6
San Francisco Giants,0,Los Angeles Dodgers,5,4,May 3 2017,1
Oakland Athletics,1,Minnesota Twins,11,4,May 3 2017,7
Toronto Blue Jays,1,New York Yankees,14,6,May 3 2017,8
Colorado Rockies,0,San Diego Padres,14,11,May 3 2017,3
Los Angeles Angels,1,Seattle Mariners,15,7,May 3 2017,8
Miami Marlins,0,Tampa Bay Rays,16,10,May 3 2017,6
Arizona D'Backs,1,Washington Nationals,3,1,May 3 2017,2
Baltimore Orioles,0,Boston Red Sox,11,8,May 4 2017,3
Philadelphia Phillies,1,Chicago Cubs,9,4,May 4 2017,5
Pittsburgh Pirates,1,Cincinnati Reds,6,2,May 4 2017,4
Texas Rangers,0,Houston Astros,14,10,May 4 2017,4
Chicago White Sox,0,Kansas City Royals,11,8,May 4 2017,3
Oakland Athletics,0,Minnesota Twins,13,8,May 4 2017,5
Colorado Rockies,0,San Diego Padres,5,3,May 4 2017,2
Los Angeles Angels,1,Seattle Mariners,14,3,May 4 2017,11
Milwaukee Brewers,0,St. Louis Cardinals,9,5,May 4 2017,4
Miami Marlins,1,Tampa Bay Rays,6,1,May 4 2017,5
Arizona D'Backs,1,Washington Nationals,6,2,May 4 2017,4
Houston Astros,0,Los Angeles Angels,13,7,May 5 2017,6
St. Louis Cardinals,0,Atlanta Braves,10,10,May 5 2017,0
Chicago White Sox,1,Baltimore Orioles,6,2,May 5 2017,4
New York Yankees,0,Chicago Cubs,5,3,May 5 2017,2
San Francisco Giants,1,Cincinnati Reds,16,3,May 5 2017,13
Arizona D'Backs,0,Colorado Rockies,9,6,May 5 2017,3
Cleveland Indians,1,Kansas City Royals,4,1,May 5 2017,3
Boston Red Sox,1,Minnesota Twins,7,3,May 5 2017,4
Miami Marlins,1,New York Mets,15,7,May 5 2017,8
Detroit Tigers,0,Oakland Athletics,9,7,May 5 2017,2
Washington Nationals,0,Philadelphia Phillies,6,4,May 5 2017,2
Milwaukee Brewers,1,Pittsburgh Pirates,4,0,May 5 2017,4
Los Angeles Dodgers,0,San Diego Padres,10,8,May 5 2017,2
Texas Rangers,0,Seattle Mariners,4,3,May 5 2017,1
Toronto Blue Jays,0,Tampa Bay Rays,12,8,May 5 2017,4
Houston Astros,1,Los Angeles Angels,3,1,May 6 2017,2
St. Louis Cardinals,0,Atlanta Braves,8,5,May 6 2017,3
Chicago White Sox,1,Baltimore Orioles,11,5,May 6 2017,6
New York Yankees,0,Chicago Cubs,17,11,May 6 2017,6
San Francisco Giants,1,Cincinnati Reds,16,2,May 6 2017,14
Arizona D'Backs,1,Colorado Rockies,10,1,May 6 2017,9
Cleveland Indians,0,Kansas City Royals,4,3,May 6 2017,1
Boston Red Sox,0,Minnesota Twins,12,11,May 6 2017,1
Miami Marlins,1,New York Mets,14,3,May 6 2017,11
Detroit Tigers,1,Oakland Athletics,11,5,May 6 2017,6
Washington Nationals,0,Philadelphia Phillies,8,6,May 6 2017,2
Milwaukee Brewers,1,Pittsburgh Pirates,3,1,May 6 2017,2
Los Angeles Dodgers,0,San Diego Padres,12,10,May 6 2017,2
Texas Rangers,1,Seattle Mariners,10,2,May 6 2017,8
Toronto Blue Jays,1,Tampa Bay Rays,7,1,May 6 2017,6
Houston Astros,0,Los Angeles Angels,8,5,May 7 2017,3
St. Louis Cardinals,0,Atlanta Braves,10,6,May 7 2017,4
Chicago White Sox,1,Baltimore Orioles,4,0,May 7 2017,4
New York Yankees,0,Chicago Cubs,9,5,May 7 2017,4
San Francisco Giants,1,Cincinnati Reds,4,0,May 7 2017,4
Arizona D'Backs,1,Colorado Rockies,7,2,May 7 2017,5
Cleveland Indians,0,Kansas City Royals,1,1,May 7 2017,0
Boston Red Sox,0,Minnesota Twins,23,17,May 7 2017,6
Miami Marlins,0,New York Mets,7,7,May 7 2017,0
Detroit Tigers,1,Oakland Athletics,14,6,May 7 2017,8
Washington Nationals,1,Philadelphia Phillies,11,5,May 7 2017,6
Milwaukee Brewers,0,Pittsburgh Pirates,8,6,May 7 2017,2
Texas Rangers,1,Seattle Mariners,7,3,May 7 2017,4
Toronto Blue Jays,0,Tampa Bay Rays,3,2,May 7 2017,1
Washington Nationals,1,Baltimore Orioles,10,4,May 8 2017,6
New York Yankees,0,Cincinnati Reds,14,10,May 8 2017,4
Pittsburgh Pirates,1,Los Angeles Dodgers,13,1,May 8 2017,12
St. Louis Cardinals,0,Miami Marlins,13,9,May 8 2017,4
San Francisco Giants,1,New York Mets,7,3,May 8 2017,4
Los Angeles Angels,1,Oakland Athletics,5,2,May 8 2017,3
Texas Rangers,1,San Diego Padres,6,1,May 8 2017,5
Kansas City Royals,0,Tampa Bay Rays,10,7,May 8 2017,3
Cleveland Indians,1,Toronto Blue Jays,6,2,May 8 2017,4
Detroit Tigers,0,Arizona D'Backs,10,7,May 9 2017,3
Washington Nationals,1,Baltimore Orioles,9,4,May 9 2017,5
Minnesota Twins,0,Chicago White Sox,9,7,May 9 2017,2
New York Yankees,1,Cincinnati Reds,8,3,May 9 2017,5
Chicago Cubs,1,Colorado Rockies,14,4,May 9 2017,10
Chicago Cubs,0,Colorado Rockies,9,8,May 9 2017,1
Atlanta Braves,1,Houston Astros,11,3,May 9 2017,8
Pittsburgh Pirates,1,Los Angeles Dodgers,7,3,May 9 2017,4
St. Louis Cardinals,0,Miami Marlins,11,6,May 9 2017,5
Boston Red Sox,1,Milwaukee Brewers,18,7,May 9 2017,11
San Francisco Giants,1,New York Mets,7,1,May 9 2017,6
Los Angeles Angels,0,Oakland Athletics,10,7,May 9 2017,3
Seattle Mariners,0,Philadelphia Phillies,19,10,May 9 2017,9
Texas Rangers,0,San Diego Padres,11,11,May 9 2017,0
Kansas City Royals,0,Tampa Bay Rays,13,7,May 9 2017,6
Cleveland Indians,0,Toronto Blue Jays,6,6,May 9 2017,0
Detroit Tigers,1,Arizona D'Backs,8,1,May 10 2017,7
Chicago Cubs,1,Colorado Rockies,3,0,May 10 2017,3
Atlanta Braves,1,Houston Astros,6,2,May 10 2017,4
Pittsburgh Pirates,1,Los Angeles Dodgers,7,2,May 10 2017,5
St. Louis Cardinals,0,Miami Marlins,12,7,May 10 2017,5
Boston Red Sox,1,Milwaukee Brewers,11,4,May 10 2017,7
San Francisco Giants,0,New York Mets,11,6,May 10 2017,5
Los Angeles Angels,1,Oakland Athletics,4,1,May 10 2017,3
Seattle Mariners,0,Philadelphia Phillies,17,11,May 10 2017,6
Kansas City Royals,1,Tampa Bay Rays,13,1,May 10 2017,12
San Diego Padres,1,Texas Rangers,7,3,May 10 2017,4
Cleveland Indians,1,Toronto Blue Jays,15,7,May 10 2017,8
Baltimore Orioles,1,Washington Nationals,13,6,May 10 2017,7
Detroit Tigers,0,Los Angeles Angels,8,7,May 11 2017,1
Pittsburgh Pirates,1,Arizona D'Backs,3,1,May 11 2017,2
Minnesota Twins,0,Chicago White Sox,13,7,May 11 2017,6
Los Angeles Dodgers,1,Colorado Rockies,17,7,May 11 2017,10
Boston Red Sox,0,Milwaukee Brewers,5,4,May 11 2017,1
Houston Astros,0,New York Yankees,5,3,May 11 2017,2
Cincinnati Reds,0,San Francisco Giants,5,3,May 11 2017,2
Kansas City Royals,0,Tampa Bay Rays,6,6,May 11 2017,0
San Diego Padres,1,Texas Rangers,7,2,May 11 2017,5
Seattle Mariners,1,Toronto Blue Jays,9,2,May 11 2017,7
Detroit Tigers,1,Los Angeles Angels,7,0,May 12 2017,7
Pittsburgh Pirates,1,Arizona D'Backs,15,4,May 12 2017,11
Tampa Bay Rays,0,Boston Red Sox,9,5,May 12 2017,4
San Diego Padres,0,Chicago White Sox,9,6,May 12 2017,3
Minnesota Twins,0,Cleveland Indians,1,1,May 12 2017,0
Los Angeles Dodgers,0,Colorado Rockies,8,6,May 12 2017,2
Baltimore Orioles,1,Kansas City Royals,5,2,May 12 2017,3
Atlanta Braves,0,Miami Marlins,12,8,May 12 2017,4
New York Mets,1,Milwaukee Brewers,11,4,May 12 2017,7
Houston Astros,0,New York Yankees,6,5,May 12 2017,1
Cincinnati Reds,1,San Francisco Giants,5,2,May 12 2017,3
Chicago Cubs,0,St. Louis Cardinals,5,3,May 12 2017,2
Oakland Athletics,1,Texas Rangers,7,2,May 12 2017,5
Seattle Mariners,1,Toronto Blue Jays,4,0,May 12 2017,4
Detroit Tigers,0,Los Angeles Angels,7,4,May 13 2017,3
Pittsburgh Pirates,0,Arizona D'Backs,7,4,May 13 2017,3
Tampa Bay Rays,1,Boston Red Sox,9,3,May 13 2017,6
San Diego Padres,1,Chicago White Sox,9,4,May 13 2017,5
Minnesota Twins,0,Cleveland Indians,5,4,May 13 2017,1
Los Angeles Dodgers,0,Colorado Rockies,4,4,May 13 2017,0
Baltimore Orioles,1,Kansas City Royals,7,3,May 13 2017,4
Atlanta Braves,0,Miami Marlins,4,3,May 13 2017,1
New York Mets,1,Milwaukee Brewers,15,4,May 13 2017,11
Cincinnati Reds,1,San Francisco Giants,4,1,May 13 2017,3
Chicago Cubs,1,St. Louis Cardinals,8,3,May 13 2017,5
Oakland Athletics,1,Texas Rangers,11,5,May 13 2017,6
Seattle Mariners,1,Toronto Blue Jays,9,2,May 13 2017,7
Philadelphia Phillies,1,Washington Nationals,10,4,May 13 2017,6
Detroit Tigers,1,Los Angeles Angels,5,1,May 14 2017,4
Pittsburgh Pirates,0,Arizona D'Backs,10,6,May 14 2017,4
Tampa Bay Rays,0,Boston Red Sox,13,11,May 14 2017,2
San Diego Padres,1,Chicago White Sox,12,3,May 14 2017,9
Minnesota Twins,1,Cleveland Indians,11,3,May 14 2017,8
Los Angeles Dodgers,1,Colorado Rockies,15,6,May 14 2017,9
Baltimore Orioles,1,Kansas City Royals,17,8,May 14 2017,9
Atlanta Braves,1,Miami Marlins,4,1,May 14 2017,3
New York Mets,1,Milwaukee Brewers,20,9,May 14 2017,11
Houston Astros,1,New York Yankees,17,6,May 14 2017,11
Houston Astros,0,New York Yankees,17,10,May 14 2017,7
Cincinnati Reds,1,San Francisco Giants,11,3,May 14 2017,8
Chicago Cubs,1,St. Louis Cardinals,5,0,May 14 2017,5
Oakland Athletics,1,Texas Rangers,10,4,May 14 2017,6
Seattle Mariners,1,Toronto Blue Jays,5,2,May 14 2017,3
