2P,2PA,2PCT,3P,3PA,3PCT,AST,BLK,DRB,FG,FGA,FGPCT,FTA,FTM,FTPCT,ORB,PF,PTS,STL,TOV,TRB,gamesPlayed,team
122,267,.457,30,92,.326,74,13,135,152,359,.423,83,71,.855,42,89,405,37,63,177,4,Atlanta Hawks
152,295,.515,60,167,.359,114,23,166,212,462,.459,156,122,.782,63,118,606,51,85,229,5,Brooklyn Nets
