2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,gamesPlayed,team
166,376,.441,55,153,.289,.359,119,22,.223,14.8,.499,200,73.3,107.0,221,529,.418,108,94,.870,.204,5,-7.50,.178,12.8,.470,60,21.1,99.4,99.1,133,4,591,2,-5.68,-13.18,54,85,260,1,6,Atlanta Hawks
171,340,.503,71,196,.366,.362,132,24,.243,13.4,.522,196,72.9,112.1,242,536,.451,177,137,.774,.330,3,-2.00,.256,14.1,.518,67,24.4,110.2,104.6,138,3,692,3,0.26,-1.74,56,101,263,3,6,Brooklyn Nets
154,326,.472,60,171,.344,.351,125,27,.197,15.4,.481,215,81.7,97.3,214,497,.431,153,115,.752,.308,2,5.50,.231,13.5,.491,56,20.7,102.9,97.7,127,2,603,4,-1.19,4.31,56,88,271,4,6,Boston Celtics
119,254,.469,51,151,.373,.338,84,22,.124,11.7,.479,200,82.0,100.4,170,405,.420,149,105,.705,.368,3,-0.40,.259,13.7,.483,45,19.7,100.0,99.2,84,3,496,2,-2.14,-2.54,23,75,245,2,5,Charlotte Hornets
111,261,.425,52,162,.383,.321,104,19,.173,11.2,.509,179,77.2,107.8,163,423,.385,90,71,.789,.213,4,-12.20,.168,15.8,.447,56,23.8,94.9,94.6,89,4,449,1,0.13,-12.07,27,87,235,1,5,Chicago Bulls
170,314,.541,63,178,.362,.354,127,26,.158,11.5,.539,210,79.2,112.0,233,492,.474,140,109,.779,.285,3,-3.17,.222,14.9,.538,51,20.9,108.8,97.8,99,4,638,2,0.89,-2.28,33,97,261,3,6,Cleveland Cavaliers
154,345,.446,90,238,.408,.378,148,20,.194,14.5,.550,218,74.7,112.3,244,583,.419,161,119,.739,.276,6,-7.86,.204,12.9,.496,63,19.4,104.1,95.7,128,5,697,2,-0.70,-8.56,53,97,281,1,7,Dallas Mavericks
149,301,.495,43,131,.303,.328,115,12,.198,13.2,.502,174,78.4,105.4,192,432,.444,93,67,.720,.215,3,-2.00,.155,15.5,.494,62,28.3,103.3,95.6,94,3,494,2,-4.86,-6.86,30,87,236,2,5,Denver Nuggets
187,368,.508,58,171,.317,.339,126,17,.273,15.8,.495,192,78.7,102.4,245,539,.455,104,79,.760,.193,2,5.00,.147,12.4,.508,67,24.4,107.6,97.2,141,2,627,4,0.36,5.36,54,83,259,4,6,Detroit Pistons
177,300,.590,83,211,.413,.393,181,52,.194,12.6,.517,217,74.3,111.7,260,511,.509,136,117,.860,.266,2,5.83,.229,15.3,.590,59,24.4,117.4,102.2,134,2,720,4,1.96,7.79,44,103,276,4,6,Golden State Warriors
