Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Wed, Nov 2, 2016,Utah Jazz,97,9:00 pm,Dallas Mavericks,81
Wed, Nov 2, 2016,Washington Wizards,103,7:00 pm,Toronto Raptors,113
Thu, Nov 3, 2016,Cleveland Cavaliers,128,8:00 pm,Boston Celtics,122
Thu, Nov 3, 2016,Golden State Warriors,122,10:30 pm,Oklahoma City Thunder,96
Thu, Nov 3, 2016,Milwaukee Bucks,125,8:00 pm,Indiana Pacers,107
Thu, Nov 3, 2016,Minnesota Timberwolves,99,8:00 pm,Denver Nuggets,102
Thu, Nov 3, 2016,Orlando Magic,102,7:00 pm,Sacramento Kings,94
Fri, Nov 4, 2016,Brooklyn Nets,95,7:30 pm,Charlotte Hornets,99
Fri, Nov 4, 2016,Chicago Bulls,104,8:00 pm,New York Knicks,117
Fri, Nov 4, 2016,Dallas Mavericks,95,8:30 pm,Portland Trail Blazers,105
Fri, Nov 4, 2016,Los Angeles Lakers,117,10:30 pm,Golden State Warriors,97
Fri, Nov 4, 2016,Memphis Grizzlies,88,8:00 pm,Los Angeles Clippers,99
Fri, Nov 4, 2016,New Orleans Pelicans,111,8:00 pm,Phoenix Suns,112
Fri, Nov 4, 2016,Toronto Raptors,96,7:30 pm,Miami Heat,87
Fri, Nov 4, 2016,Utah Jazz,86,9:00 pm,San Antonio Spurs,100
Fri, Nov 4, 2016,Washington Wizards,95,7:00 pm,Atlanta Hawks,92
Sat, Nov 5, 2016,Atlanta Hawks,112,7:30 pm,Houston Rockets,97
Sat, Nov 5, 2016,Detroit Pistons,103,7:00 pm,Denver Nuggets,86
Sat, Nov 5, 2016,Indiana Pacers,111,7:00 pm,Chicago Bulls,94
Sat, Nov 5, 2016,Milwaukee Bucks,117,8:00 pm,Sacramento Kings,91
Sat, Nov 5, 2016,Oklahoma City Thunder,112,6:00 pm,Minnesota Timberwolves,92
Sat, Nov 5, 2016,Orlando Magic,88,7:00 pm,Washington Wizards,86
Sat, Nov 5, 2016,Philadelphia 76ers,101,7:00 pm,Cleveland Cavaliers,102
Sat, Nov 5, 2016,San Antonio Spurs,92,8:30 pm,Los Angeles Clippers,116
Sun, Nov 6, 2016,Boston Celtics,107,7:30 pm,Denver Nuggets,123
Sun, Nov 6, 2016,Dallas Mavericks,86,7:00 pm,Milwaukee Bucks,75
Sun, Nov 6, 2016,Los Angeles Lakers,119,9:30 pm,Phoenix Suns,108
Sun, Nov 6, 2016,Memphis Grizzlies,94,3:30 pm,Portland Trail Blazers,100
Sun, Nov 6, 2016,New York Knicks,109,12:00 pm,Utah Jazz,114
Sun, Nov 6, 2016,Toronto Raptors,91,6:00 pm,Sacramento Kings,96
Mon, Nov 7, 2016,Chicago Bulls,112,8:00 pm,Orlando Magic,80
Mon, Nov 7, 2016,Charlotte Hornets,122,7:00 pm,Indiana Pacers,100
Mon, Nov 7, 2016,Golden State Warriors,116,10:30 pm,New Orleans Pelicans,106
Mon, Nov 7, 2016,Los Angeles Clippers,114,10:30 pm,Detroit Pistons,82
Mon, Nov 7, 2016,Oklahoma City Thunder,97,8:00 pm,Miami Heat,85
Mon, Nov 7, 2016,Philadelphia 76ers,84,7:00 pm,Utah Jazz,109
Mon, Nov 7, 2016,Washington Wizards,106,7:00 pm,Houston Rockets,114
Tue, Nov 8, 2016,Brooklyn Nets,119,7:30 pm,Minnesota Timberwolves,110
Tue, Nov 8, 2016,Cleveland Cavaliers,106,7:00 pm,Atlanta Hawks,110
Tue, Nov 8, 2016,Los Angeles Lakers,97,10:30 pm,Dallas Mavericks,109
Tue, Nov 8, 2016,Memphis Grizzlies,108,8:00 pm,Denver Nuggets,107
Tue, Nov 8, 2016,Portland Trail Blazers,124,10:00 pm,Phoenix Suns,121
Tue, Nov 8, 2016,Sacramento Kings,102,10:30 pm,New Orleans Pelicans,94
Wed, Nov 9, 2016,Atlanta Hawks,115,7:30 pm,Chicago Bulls,107
Wed, Nov 9, 2016,Charlotte Hornets,104,7:00 pm,Utah Jazz,98
Wed, Nov 9, 2016,Golden State Warriors,116,10:30 pm,Dallas Mavericks,95
Wed, Nov 9, 2016,Indiana Pacers,122,7:00 pm,Philadelphia 76ers,115
Wed, Nov 9, 2016,Los Angeles Clippers,111,10:30 pm,Portland Trail Blazers,80
Wed, Nov 9, 2016,New York Knicks,110,7:00 pm,Brooklyn Nets,96
Wed, Nov 9, 2016,Oklahoma City Thunder,102,8:00 pm,Toronto Raptors,112
Wed, Nov 9, 2016,Orlando Magic,107,7:00 pm,Minnesota Timberwolves,123
Wed, Nov 9, 2016,Phoenix Suns,107,9:00 pm,Detroit Pistons,100
Wed, Nov 9, 2016,San Antonio Spurs,99,9:30 pm,Houston Rockets,101
Wed, Nov 9, 2016,Washington Wizards,118,7:00 pm,Boston Celtics,93
Thu, Nov 10, 2016,Denver Nuggets,101,9:00 pm,Golden State Warriors,125
Thu, Nov 10, 2016,Miami Heat,95,8:00 pm,Chicago Bulls,98
Thu, Nov 10, 2016,Milwaukee Bucks,106,8:00 pm,New Orleans Pelicans,112
Thu, Nov 10, 2016,Sacramento Kings,91,10:30 pm,Los Angeles Lakers,101
Fri, Nov 11, 2016,Boston Celtics,115,7:30 pm,New York Knicks,87
Fri, Nov 11, 2016,Charlotte Hornets,111,7:00 pm,Toronto Raptors,113
Fri, Nov 11, 2016,Oklahoma City Thunder,108,8:00 pm,Los Angeles Clippers,110
Fri, Nov 11, 2016,Orlando Magic,74,7:00 pm,Utah Jazz,87
Fri, Nov 11, 2016,Philadelphia 76ers,109,7:00 pm,Indiana Pacers,105
Fri, Nov 11, 2016,Portland Trail Blazers,122,10:00 pm,Sacramento Kings,120
Fri, Nov 11, 2016,San Antonio Spurs,96,8:30 pm,Detroit Pistons,86
Fri, Nov 11, 2016,Washington Wizards,94,7:00 pm,Cleveland Cavaliers,105
Sat, Nov 12, 2016,Atlanta Hawks,117,7:30 pm,Philadelphia 76ers,96
Sat, Nov 12, 2016,Chicago Bulls,106,8:00 pm,Washington Wizards,95
Sat, Nov 12, 2016,Denver Nuggets,95,9:00 pm,Detroit Pistons,106
Sat, Nov 12, 2016,Houston Rockets,100,8:00 pm,San Antonio Spurs,106
Sat, Nov 12, 2016,Indiana Pacers,99,7:00 pm,Boston Celtics,105
Sat, Nov 12, 2016,Miami Heat,91,8:00 pm,Utah Jazz,102
Sat, Nov 12, 2016,Milwaukee Bucks,106,8:30 pm,Memphis Grizzlies,96
Sat, Nov 12, 2016,Minnesota Timberwolves,105,8:00 pm,Los Angeles Clippers,119
Sat, Nov 12, 2016,New Orleans Pelicans,99,7:00 pm,Los Angeles Lakers,126
Sat, Nov 12, 2016,Phoenix Suns,104,9:00 pm,Brooklyn Nets,122
Sat, Nov 12, 2016,Toronto Raptors,118,7:30 pm,New York Knicks,107
Sun, Nov 13, 2016,Cleveland Cavaliers,100,3:30 pm,Charlotte Hornets,93
Sun, Nov 13, 2016,Golden State Warriors,133,8:00 pm,Phoenix Suns,120
Sun, Nov 13, 2016,Minnesota Timberwolves,125,7:00 pm,Los Angeles Lakers,99
Sun, Nov 13, 2016,Oklahoma City Thunder,117,7:00 pm,Orlando Magic,119
Sun, Nov 13, 2016,Portland Trail Blazers,112,9:00 pm,Denver Nuggets,105
Mon, Nov 14, 2016,Detroit Pistons,104,7:30 pm,Oklahoma City Thunder,88
Mon, Nov 14, 2016,Houston Rockets,115,8:00 pm,Philadelphia 76ers,88
Mon, Nov 14, 2016,Indiana Pacers,88,7:00 pm,Orlando Magic,69
Mon, Nov 14, 2016,Los Angeles Clippers,127,10:30 pm,Brooklyn Nets,95
Mon, Nov 14, 2016,New Orleans Pelicans,106,8:00 pm,Boston Celtics,105
Mon, Nov 14, 2016,New York Knicks,93,7:30 pm,Dallas Mavericks,77
Mon, Nov 14, 2016,San Antonio Spurs,94,8:30 pm,Miami Heat,90
Mon, Nov 14, 2016,Utah Jazz,96,9:00 pm,Memphis Grizzlies,102
Tue, Nov 15, 2016,Cleveland Cavaliers,121,7:00 pm,Toronto Raptors,117
Tue, Nov 15, 2016,Los Angeles Lakers,125,10:30 pm,Brooklyn Nets,118
Tue, Nov 15, 2016,Miami Heat,90,7:30 pm,Atlanta Hawks,93
Tue, Nov 15, 2016,Minnesota Timberwolves,108,8:00 pm,Charlotte Hornets,115
Tue, Nov 15, 2016,Portland Trail Blazers,88,10:00 pm,Chicago Bulls,113
Wed, Nov 16, 2016,Atlanta Hawks,107,7:30 pm,Milwaukee Bucks,100
Wed, Nov 16, 2016,Boston Celtics,90,7:30 pm,Dallas Mavericks,83
Wed, Nov 16, 2016,Denver Nuggets,120,9:00 pm,Phoenix Suns,104
Wed, Nov 16, 2016,Indiana Pacers,103,7:00 pm,Cleveland Cavaliers,93
Wed, Nov 16, 2016,Los Angeles Clippers,107,10:30 pm,Memphis Grizzlies,111
Wed, Nov 16, 2016,New York Knicks,105,7:30 pm,Detroit Pistons,102
Wed, Nov 16, 2016,Oklahoma City Thunder,105,8:00 pm,Houston Rockets,103
Wed, Nov 16, 2016,Orlando Magic,89,7:00 pm,New Orleans Pelicans,82
Wed, Nov 16, 2016,Philadelphia 76ers,109,7:00 pm,Washington Wizards,102
Wed, Nov 16, 2016,Sacramento Kings,105,10:30 pm,San Antonio Spurs,110
Wed, Nov 16, 2016,Toronto Raptors,121,8:00 pm,Golden State Warriors,127
Thu, Nov 17, 2016,Houston Rockets,126,8:00 pm,Portland Trail Blazers,109
Thu, Nov 17, 2016,Miami Heat,96,7:30 pm,Milwaukee Bucks,73
Thu, Nov 17, 2016,Minnesota Timberwolves,110,8:00 pm,Philadelphia 76ers,86
Thu, Nov 17, 2016,Utah Jazz,77,10:30 pm,Chicago Bulls,85
Thu, Nov 17, 2016,Washington Wizards,119,7:00 pm,New York Knicks,112
Fri, Nov 18, 2016,Boston Celtics,88,8:00 pm,Golden State Warriors,104
Fri, Nov 18, 2016,Charlotte Hornets,100,7:00 pm,Atlanta Hawks,96
Fri, Nov 18, 2016,Cleveland Cavaliers,104,7:30 pm,Detroit Pistons,81
Fri, Nov 18, 2016,Dallas Mavericks,64,8:30 pm,Memphis Grizzlies,80
Fri, Nov 18, 2016,Denver Nuggets,111,9:00 pm,Toronto Raptors,113
Fri, Nov 18, 2016,Indiana Pacers,96,7:00 pm,Phoenix Suns,116
