Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
5,23,20,10.7,37,89,15,10,11,23.9,5,15.1,47,Feb 6 2018,New York Knicks,8,26,23,9.1,37,82,27,21,8,18.2,11,13.0,43,["Malcolm Brogdon"|"Matthew Dellavedova"|"Mirza Teletovic"|"D.J. Wilson"|"Ron Baker"|"Isaiah Hicks"|"Luke Kornet"|"Joakim Noah"],["Karl Lane"|"Gediminas Petraitis"|"Tom Washington"],Milwaukee Bucks,89,103
6,22,27,17.0,46,88,27,18,12,30.8,7,10.7,50,Feb 6 2018,Orlando Magic,12,37,19,6.1,36,84,20,14,9,19.1,4,13.1,36,["John Holland"|"Kevin Love"|"London Perrantes"|"Ante Zizic"|"Jamel Artis"|"Jonathan Isaac"|"Terrence Ross"|"Nikola Vucevic"],["Pat Fraher"|"Jason Goldenberg"|"Dedric Taylor"],Cleveland Cavaliers,116,98
14,28,27,6.1,45,82,14,11,12,34.3,9,16.2,45,Feb 6 2018,Philadelphia 76ers,7,27,23,3.7,41,93,18,13,16,32.7,14,9.8,39,["Sheldon Mac"|"Devin Robinson"|"John Wall"|"Markelle Fultz"|"Demetrius Jackson"|"Furkan Korkmaz"|"James Young"],["Mark Ayotte"|"J.T. Orr"|"Derrick Stafford"],Washington Wizards,115,102
17,36,29,6.7,40,80,17,14,5,14.7,10,14.6,40,Feb 6 2018,Toronto Raptors,10,23,21,6.8,33,83,20,15,9,20.5,3,15.6,38,["Jabari Bird"|"Gordon Hayward"|"Shane Larkin"|"Marcus Smart"|"Lorenzo Brown"|"Bruno Caboclo"|"Alfonzo McKinnie"|"Malcolm Miller"],["James Capers"|"Tyler Ford"|"Aaron Smith"],Boston Celtics,111,91
21,41,33,1.7,52,88,23,15,7,18.4,5,13.3,41,Feb 7 2018,Cleveland Cavaliers,19,33,33,8.5,54,93,12,11,4,10.5,7,10.1,35,["Anthony Brown"|"Marcus Georges-Hunt"|"Amile Jefferson"|"Justin Patton"|"Kevin Love"|"London Perrantes"|"Iman Shumpert"|"Dwyane Wade"],["Nick Buchert"|"Mike Callahan"|"Gediminas Petraitis"],Minnesota Timberwolves,140,138
9,24,20,7.7,44,92,25,18,8,16.0,10,6.4,46,Feb 7 2018,Detroit Pistons,17,51,33,8.8,39,90,12,11,8,17.4,4,16.6,50,["Quincy Acy"|"Rondae Hollis-Jefferson"|"Caris LeVert"|"Jeremy Lin"|"Kay Felder"|"Reggie Hearn"|"Reggie Jackson"|"Brice Johnson"|"Jon Leuer"],["Courtney Kirkland"|"Mark Lindsay"|"Aaron Smith"],Brooklyn Nets,115,106
8,23,18,10.6,34,81,16,12,9,20.9,12,14.6,36,Feb 7 2018,Memphis Grizzlies,6,22,14,6.9,29,69,33,28,9,25.0,6,18.5,43,["Tony Bradley"|"Dante Exum"|"Georges Niang"|"Thabo Sefolosha"|"Ekpe Udoh"|"Mike Conley"|"Tyreke Evans"|"Myke Henry"|"Kobi Simmons"],["Marc Davis"|"Scott Twardoski"|"Gary Zielinski"],Utah Jazz,88,92
13,32,23,7.0,39,88,12,10,15,32.6,3,12.2,41,Feb 7 2018,Miami Heat,12,31,16,10.7,38,74,26,21,4,13.3,8,9.5,35,["R.J. Hunter"|"Chinanu Onuaku"|"Zhou Qi"|"Troy Williams"|"A.J. Hammons"|"Rodney McGruder"|"Dion Waiters"|"Derrick Walton"|"Okaro White"],["Jason Goldenberg"|"Eric Lewis"|"Scott Wall"],Houston Rockets,101,109
3,32,15,6.6,33,97,18,12,11,18.6,8,9.5,44,Feb 7 2018,Phoenix Suns,16,32,26,9.2,46,93,27,21,14,29.8,6,10.3,62,["Matt Costello"|"Rudy Gay"|"Darrun Hilliard"|"Kawhi Leonard"|"Devin Booker"|"Isaiah Canaan"|"Tyson Chandler"|"Brandon Knight"|"Alan Williams"],["Curtis Blair"|"Jason Phillips"|"Michael Smith"],San Antonio Spurs,81,129
14,29,37,12.7,45,88,20,17,18,41.9,6,14.2,51,Feb 8 2018,Golden State Warriors,9,37,19,11.9,40,92,17,14,9,21.4,15,9.1,34,["Harrison Barnes"|"Seth Curry"|"Dorian Finney-Smith"|"Doug McDermott"|"Nerlens Noel"|"Jordan Bell"|"Chris Boucher"|"Quinn Cook"|"Damian Jones"],["Brent Barnaky"|"Tre Maddox"|"Sean Wright"],Dallas Mavericks,121,103
10,31,28,12.5,42,96,13,12,13,28.3,5,7.3,51,Feb 8 2018,Los Angeles Lakers,8,34,16,6.2,32,90,19,9,17,30.9,6,11.7,50,["Carmelo Anthony"|"Andre Roberson"|"Russell Westbrook"|"Lonzo Ball"|"Luol Deng"|"Channing Frye"|"Isaiah Thomas"],["Derrick Collins"|"Kevin Cutler"|"John Goble"],Oklahoma City Thunder,106,81
9,29,20,10.5,36,84,22,19,8,17.8,10,12.2,36,Feb 8 2018,Orlando Magic,12,30,25,12.7,37,87,18,12,9,24.3,4,15.2,46,["Tyler Cavanaugh"|"Josh Magette"|"Andrew White"|"Jamel Artis"|"Jonathan Isaac"|"Terrence Ross"|"Nikola Vucevic"],["Matt Boland"|"Jonathan Sterling"|"Tom Washington"],Atlanta Hawks,100,98
9,31,18,10.8,41,90,22,18,9,19.6,7,14.6,57,Feb 8 2018,Portland Trail Blazers,13,33,17,5.1,38,98,17,14,7,12.7,10,9.4,44,["Willy Hernangomez"|"Mangok Mathiang"|"Marcus Paige"|"Wade Baldwin"|"C.J. Wilcox"],["Lauren Holtkamp"|"Marat Kogut"|"Ken Mauer"],Charlotte Hornets,109,103
16,43,31,8.9,43,95,14,11,9,19.1,11,7.3,52,Feb 8 2018,Toronto Raptors,7,27,19,15.4,33,83,18,15,5,10.4,4,14.2,43,["Ron Baker"|"Doug McDermott"|"Joakim Noah"|"Kristaps Porzingis"|"Lorenzo Brown"|"Bruno Caboclo"|"Alfonzo McKinnie"|"Malcolm Miller"],["Mark Ayotte"|"David Guthrie"|"J.T. Orr"],New York Knicks,113,88
12,26,28,6.9,38,95,20,16,17,30.9,11,16.2,52,Feb 8 2018,Washington Wizards,9,26,16,8.7,39,84,34,23,7,16.7,9,15.4,45,["Jabari Bird"|"Gordon Hayward"|"Shane Larkin"|"Marcus Smart"|"Devin Robinson"|"John Wall"],["Bill Kennedy"|"Leroy Richardson"|"Kevin Scott"],Boston Celtics,104,110
16,44,20,7.8,37,83,19,17,6,14.0,4,11.6,42,Feb 9 2018,Atlanta Hawks,15,35,31,10.3,46,86,24,16,6,14.3,8,8.5,43,["Jordan Clarkson"|"George Hill"|"Rodney Hood"|"Larry Nance"|"Tyler Cavanaugh"|"Josh Magette"|"Andrew White"],["Ray Acosta"|"Bill Kennedy"|"Gary Zielinski"],Cleveland Cavaliers,107,123
7,27,16,12.7,34,89,20,16,12,23.1,5,9.3,38,Feb 9 2018,Boston Celtics,5,20,18,8.1,37,83,22,18,13,33.3,6,12.3,53,["Ike Anigbogu"|"Darren Collison"|"Glenn Robinson"|"Edmond Sumner"|"Jabari Bird"|"Gordon Hayward"|"Shane Larkin"|"Marcus Smart"],["Mitchell Ervin"|"Courtney Kirkland"|"Derrick Stafford"],Indiana Pacers,91,97
9,26,22,6.2,41,83,30,23,5,12.5,5,10.3,39,Feb 9 2018,Chicago Bulls,8,22,19,7.0,41,87,28,23,11,24.4,8,11.6,46,["Anthony Brown"|"Amile Jefferson"|"Justin Patton"|"Antonio Blakeney"|"Kris Dunn"|"Cameron Payne"|"Noah Vonleh"],["James Capers"|"Derek Richardson"|"Josh Tiven"],Minnesota Timberwolves,114,113
10,31,22,8.2,36,88,17,13,7,14.0,5,8.6,40,Feb 9 2018,Detroit Pistons,10,30,23,5.3,42,91,15,14,14,29.8,6,8.4,57,["Patrick Beverley"|"Jawun Evans"|"C.J. Williams"|"James Ennis"|"Kay Felder"|"Reggie Jackson"|"Jon Leuer"],["Mike Callahan"|"David Guthrie"|"Brett Nansel"],Los Angeles Clippers,95,108
19,41,26,11.7,43,86,34,25,11,25.6,5,9.8,48,Feb 9 2018,Houston Rockets,3,28,25,4.4,42,88,21,17,7,15.9,7,9.3,39,["Devin Harris"|"Tyler Lydon"|"Paul Millsap"|"Mason Plumlee"|"R.J. Hunter"|"Chinanu Onuaku"|"Zhou Qi"|"Troy Williams"],["Jacyn Goble"|"Rodney Mott"|"James Williams"],Denver Nuggets,130,104
