Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
9,27,27,8.9,42,89,19,10,10,21.7,6,8.5,31,Mar 12 2018,Memphis Grizzlies,12,25,33,8.1,47,81,22,15,11,34.4,6,16.6,47,["Malcolm Brogdon"|"Matthew Dellavedova"|"Xavier Munford"|"Marshall Plumlee"|"Mario Chalmers"|"Mike Conley"|"Tyreke Evans"|"Andrew Harrison"|"Myke Henry"],["Ken Mauer"|"Gediminas Petraitis"|"Leon Wood"],Milwaukee Bucks,103,121
16,36,21,10.0,38,84,18,14,5,12.2,5,9.8,43,Mar 12 2018,Oklahoma City Thunder,12,33,21,12.5,38,93,16,13,13,25.5,8,9.9,49,["Jack Cooley"|"Harry Giles"|"Skal Labissiere"|"JaKarr Sampson"|"PJ Dozier"|"Daniel Hamilton"|"Andre Roberson"|"Kyle Singler"],["Ed Malloy"|"J.T. Orr"|"Michael Smith"],Sacramento Kings,106,101
14,36,23,10.0,38,83,30,25,9,20.0,5,11.1,50,Mar 12 2018,Portland Trail Blazers,10,31,24,8.5,39,91,16,11,10,19.6,6,10.1,46,["Derrick Jones"|"Dwyane Wade"|"Dion Waiters"|"Derrick Walton"|"Wade Baldwin"|"Georgios Papagiannis"|"C.J. Wilcox"],["Mark Ayotte"|"Marc Davis"|"Leroy Richardson"],Miami Heat,115,99
13,31,26,9.3,37,87,24,20,13,31.0,5,13.3,47,Mar 13 2018,Atlanta Hawks,16,35,27,19.6,42,89,25,19,9,20.9,9,6.5,38,["Steven Adams"|"PJ Dozier"|"Andre Roberson"|"Kyle Singler"|"Kent Bazemore"|"Antonius Cleveland"|"Malcolm Delaney"|"Jaylen Morris"],["Nick Buchert"|"Kane Fitzgerald"|"Tre Maddox"],Oklahoma City Thunder,107,119
15,36,21,10.0,35,86,19,17,9,18.4,9,10.4,38,Mar 13 2018,Brooklyn Nets,11,31,27,12.0,44,91,21,17,13,31.0,7,9.9,53,["OG Anunoby"|"Lorenzo Brown"|"Alfonzo McKinnie"|"Malachi Richardson"|"Jarrett Allen"|"Milton Doyle"|"Jeremy Lin"|"James Webb"],["Curtis Blair"|"Mark Lindsay"|"Jason Phillips"],Toronto Raptors,102,116
7,29,26,4.3,43,101,15,13,11,23.4,11,7.7,45,Mar 13 2018,Chicago Bulls,8,29,27,6.9,37,76,41,30,6,15.0,4,13.0,42,["Patrick Beverley"|"Avery Bradley"|"Danilo Gallinari"|"Tyrone Wallace"|"C.J. Williams"|"Ryan Arcidiacono"|"Lauri Markkanen"|"Paul Zipser"],["Kevin Cutler"|"Eric Lewis"|"C.J. Washington"],Los Angeles Clippers,106,112
15,40,20,6.5,40,90,25,17,12,23.5,6,12.9,52,Mar 13 2018,Los Angeles Lakers,13,40,26,8.0,38,86,19,14,5,11.1,12,16.8,44,["Torrey Craig"|"Juan Hernangomez"|"Tyler Lydon"|"Monte Morris"|"Luol Deng"|"Channing Frye"|"Josh Hart"|"Brandon Ingram"|"Gary Payton"],["Sean Corbin"|"Tom Washington"|"Haywoode Workman"],Denver Nuggets,112,103
9,22,33,10.4,52,104,8,6,14,27.5,10,10.0,50,Mar 13 2018,New Orleans Pelicans,7,26,22,11.0,45,93,22,18,8,18.2,8,11.2,45,["Michael Carter-Williams"|"Mangok Mathiang"|"Marcus Paige"|"Cody Zeller"|"Alexis Ajinca"|"DeMarcus Cousins"|"Solomon Hill"|"Frank Jackson"],["Rodney Mott"|"J.T. Orr"|"Josh Tiven"],Charlotte Hornets,119,115
8,25,19,1.9,40,82,12,9,10,26.3,9,17.9,44,Mar 13 2018,New York Knicks,14,35,22,1.8,40,89,18,16,12,26.1,11,11.0,40,["Seth Curry"|"Jalen Jones"|"Wesley Matthews"|"Salah Mejri"|"Ron Baker"|"Isaiah Hicks"|"Joakim Noah"|"Kristaps Porzingis"],["Brent Barnaky"|"Bill Kennedy"|"Jonathan Sterling"],Dallas Mavericks,97,110
10,30,24,9.9,35,75,22,18,7,18.4,3,19.9,48,Mar 13 2018,Philadelphia 76ers,5,24,20,4.4,38,95,25,20,14,25.5,13,7.8,45,["Ike Anigbogu"|"Ben Moore"|"Alex Poythress"|"Edmond Sumner"|"Jerryd Bayless"|"Markelle Fultz"|"Demetrius Jackson"|"Furkan Korkmaz"|"James Young"],["Bennie Adams"|"John Goble"|"Derek Richardson"],Indiana Pacers,98,101
6,32,17,3.8,38,98,30,25,11,22.0,10,13.9,47,Mar 13 2018,Phoenix Suns,17,35,25,13.6,43,87,30,26,5,12.2,12,15.9,44,["Rodney Hood"|"Kevin Love"|"Cedi Osman"|"Tristan Thompson"|"Danuel House"|"Brandon Knight"|"Alec Peters"|"Alan Williams"],["Marat Kogut"|"Aaron Smith"|"Zach Zarba"],Cleveland Cavaliers,107,129
9,19,24,11.9,40,84,23,19,11,25.6,10,11.3,48,Mar 13 2018,San Antonio Spurs,7,23,16,4.6,28,82,9,9,9,19.6,5,18.9,41,["Jamel Artis"|"Evan Fournier"|"Terrence Ross"|"Matt Costello"|"Darrun Hilliard"|"Kawhi Leonard"|"Derrick White"],["Kevin Scott"|"Bill Spooner"|"Justin Van Duyne"],Orlando Magic,108,72
13,34,29,9.1,42,76,23,13,11,31.4,10,20.3,52,Mar 13 2018,Utah Jazz,5,25,14,9.5,30,80,19,14,8,16.3,14,16.1,32,["Kay Felder"|"Reggie Hearn"|"Reggie Jackson"|"Jon Leuer"|"Tony Bradley"|"Dante Exum"|"Raul Neto"|"Thabo Sefolosha"],["Tony Brown"|"James Capers"|"Scott Twardoski"],Detroit Pistons,110,79
8,20,26,6.1,42,82,25,19,14,35.0,6,10.6,39,Mar 13 2018,Washington Wizards,7,21,23,11.3,46,87,19,17,11,30.6,10,9.5,37,["Anthony Brown"|"Jimmy Butler"|"Amile Jefferson"|"Justin Patton"|"Chris McCullough"|"Devin Robinson"|"John Wall"],["David Guthrie"|"Lauren Holtkamp"|"Sean Wright"],Minnesota Timberwolves,111,116
12,26,30,7.7,48,99,23,16,10,20.4,9,13.5,44,Mar 14 2018,Boston Celtics,12,32,29,8.2,46,97,28,21,13,27.7,10,14.8,52,["Chris McCullough"|"Devin Robinson"|"John Wall"|"Jabari Bird"|"Jaylen Brown"|"Gordon Hayward"|"Marcus Smart"|"Daniel Theis"],["Courtney Kirkland"|"Karl Lane"|"Ken Mauer"],Washington Wizards,124,125
6,20,25,13.0,44,81,28,23,11,28.2,8,18.4,50,Mar 14 2018,Golden State Warriors,12,38,24,13.1,38,84,28,18,7,15.2,11,12.7,35,["Thomas Bryant"|"Channing Frye"|"Josh Hart"|"Brandon Ingram"|"Gary Payton"|"Stephen Curry"|"Draymond Green"|"Patrick McCaw"|"Klay Thompson"|"David West"],["Matt Boland"|"Marc Davis"|"Brian Forte"],Los Angeles Lakers,117,106
