Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
13,31,31,10.8,44,81,27,21,9,25.0,7,12.3,49,Dec 26 2017,Los Angeles Clippers,7,22,25,14.0,40,96,12,8,10,20.0,11,8.2,37,["Jack Cooley"|"De'Aaron Fox"|"Harry Giles"|"JaKarr Sampson"|"Patrick Beverley"|"Danilo Gallinari"|"Brice Johnson"],["Kevin Cutler"|"Ron Garretson"|"Bill Kennedy"],Sacramento Kings,122,95
11,33,22,8.2,41,91,17,14,16,33.3,11,13.2,53,Dec 26 2017,Miami Heat,5,20,14,8.6,33,81,22,18,10,21.3,8,15.8,42,["Jamel Artis"|"Aaron Gordon"|"Terrence Ross"|"Nikola Vucevic"|"A.J. Hammons"|"Rodney McGruder"|"Dion Waiters"|"Okaro White"],["Brent Barnaky"|"Lauren Holtkamp"|"Eric Lewis"],Orlando Magic,107,89
10,31,23,10.7,39,83,24,18,4,11.1,2,15.4,41,Dec 26 2017,Milwaukee Bucks,10,28,26,5.8,45,103,25,15,15,28.8,11,5.0,47,["Ryan Arcidiacono"|"Antonio Blakeney"|"Zach LaVine"|"Cameron Payne"|"Joel Bolomboy"|"Jabari Parker"|"Mirza Teletovic"|"Rashad Vaughn"],["Tyler Ford"|"Ed Malloy"|"Vladimir Voyard-Tadal"],Chicago Bulls,106,115
8,22,24,7.5,32,72,35,27,6,17.6,5,17.9,41,Dec 26 2017,Phoenix Suns,3,20,12,22.0,35,87,29,24,10,22.2,10,9.1,38,["Mike Conley"|"JaMychal Green"|"Chandler Parsons"|"Wayne Selden"|"Danuel House"|"Brandon Knight"|"Alec Peters"|"Davon Reed"|"Alan Williams"],["Mark Ayotte"|"Justin Van Duyne"|"James Williams"],Memphis Grizzlies,99,97
7,16,18,8.2,41,80,24,20,5,13.2,7,11.7,43,Dec 26 2017,San Antonio Spurs,12,32,23,0.0,39,93,9,7,12,24.0,5,11.8,45,["Jeremy Lin"|"D'Angelo Russell"|"Isaiah Whitehead"|"Jacob Wiley"|"Matt Costello"|"Darrun Hilliard"|"Brandon Paul"|"Derrick White"],["Derrick Collins"|"David Guthrie"|"Dedric Taylor"],Brooklyn Nets,109,97
11,37,28,12.3,41,94,29,20,16,34.0,7,9.3,53,Dec 27 2017,Atlanta Hawks,9,24,24,8.8,35,81,26,20,9,19.6,6,12.3,40,["Sheldon Mac"|"Devin Robinson"|"Michael Young"|"Dewayne Dedmon"|"Josh Magette"|"Mike Muscala"],["J.B. DeRosa"|"Tyler Ford"|"Sean Wright"],Washington Wizards,113,99
10,28,23,4.4,35,86,16,12,4,8.3,9,13.9,50,Dec 27 2017,Chicago Bulls,4,23,21,8.6,37,91,13,9,7,13.2,6,11.0,51,["Tim Hardaway"|"Isaiah Hicks"|"Luke Kornet"|"Joakim Noah"|"Ryan Arcidiacono"|"Antonio Blakeney"|"Zach LaVine"|"Cameron Payne"],["Matt Boland"|"Tony Brown"|"Aaron Smith"],New York Knicks,92,87
7,23,15,6.8,32,87,29,20,19,33.9,7,9.9,52,Dec 27 2017,Charlotte Hornets,15,34,20,10.9,37,78,13,13,6,15.4,4,15.2,43,["Jaylen Brown"|"Gordon Hayward"|"Marcus Morris"|"Semi Ojeleye"|"Mangok Mathiang"|"Marcus Paige"|"Julyan Stone"|"Cody Zeller"],["Kane Fitzgerald"|"Marat Kogut"|"J.T. Orr"],Boston Celtics,91,102
11,23,37,10.1,51,86,17,13,4,10.8,8,14.6,50,Dec 27 2017,Golden State Warriors,6,23,21,3.2,37,92,27,21,10,17.9,10,11.1,43,["Tony Bradley"|"Dante Exum"|"Erik McCree"|"Raul Neto"|"Chris Boucher"|"Quinn Cook"|"Stephen Curry"|"Damian Jones"],["Sean Corbin"|"Karl Lane"|"Brett Nansel"],Utah Jazz,126,101
10,25,27,8.2,38,79,10,8,7,18.4,8,15.2,39,Dec 27 2017,Indiana Pacers,8,29,26,5.6,40,78,15,10,4,11.1,7,9.6,35,["Seth Curry"|"Dorian Finney-Smith"|"Josh McRoberts"|"Johnathan Motley"|"Nerlens Noel"|"Victor Oladipo"|"Glenn Robinson"|"Edmond Sumner"],["Ed Malloy"|"Phenizee Ransom"|"Scott Wall"],Dallas Mavericks,94,98
