Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Jan 27 2019,Chicago Bulls,,3:30p,Cleveland Cavaliers,
Jan 27 2019,Dallas Mavericks,,7:00p,Toronto Raptors,
Jan 27 2019,Houston Rockets,,7:00p,Orlando Magic,
Jan 27 2019,Los Angeles Clippers,,3:30p,Sacramento Kings,
Jan 27 2019,Los Angeles Lakers,,9:30p,Phoenix Suns,
Jan 27 2019,Minnesota Timberwolves,,7:00p,Utah Jazz,
Jan 27 2019,New York Knicks,,7:30p,Miami Heat,
Jan 27 2019,Oklahoma City Thunder,,6:00p,Milwaukee Bucks,
Jan 27 2019,San Antonio Spurs,,7:00p,Washington Wizards,
