Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Feb 11 2019,0,Houston Rockets,0,,8:00p,0,Dallas Mavericks,
Feb 11 2019,0,Indiana Pacers,0,,7:00p,0,Charlotte Hornets,
Feb 11 2019,0,Minnesota Timberwolves,0,,8:00p,0,Los Angeles Clippers,
Feb 11 2019,0,Oklahoma City Thunder,0,,8:00p,0,Portland Trail Blazers,
Feb 11 2019,0,Toronto Raptors,0,,7:30p,0,Brooklyn Nets,
Feb 12 2019,0,Atlanta Hawks,0,,7:30p,0,Los Angeles Lakers,
Feb 12 2019,0,Golden State Warriors,0,,10:30p,0,Utah Jazz,
Feb 12 2019,0,Memphis Grizzlies,0,,8:00p,0,San Antonio Spurs,
Feb 12 2019,0,New Orleans Pelicans,0,,8:00p,0,Orlando Magic,
Feb 12 2019,0,Philadelphia 76ers,0,,8:00p,0,Boston Celtics,
Feb 13 2019,0,Boston Celtics,0,,7:30p,0,Detroit Pistons,
Feb 13 2019,0,Chicago Bulls,0,,8:00p,0,Memphis Grizzlies,
Feb 13 2019,0,Cleveland Cavaliers,0,,7:00p,0,Brooklyn Nets,
Feb 13 2019,0,Dallas Mavericks,0,,8:30p,0,Miami Heat,
Feb 13 2019,0,Denver Nuggets,0,,9:00p,0,Sacramento Kings,
Feb 13 2019,0,Indiana Pacers,0,,7:00p,0,Milwaukee Bucks,
Feb 13 2019,0,Los Angeles Clippers,0,,10:30p,0,Phoenix Suns,
Feb 13 2019,0,Minnesota Timberwolves,0,,8:00p,0,Houston Rockets,
Feb 13 2019,0,New York Knicks,0,,7:30p,0,Philadelphia 76ers,
Feb 13 2019,0,Portland Trail Blazers,0,,10:30p,0,Golden State Warriors,
Feb 13 2019,0,Toronto Raptors,0,,7:30p,0,Washington Wizards,
Feb 14 2019,0,Atlanta Hawks,0,,7:30p,0,New York Knicks,
Feb 14 2019,0,New Orleans Pelicans,0,,8:00p,0,Oklahoma City Thunder,
Feb 14 2019,0,Orlando Magic,0,,7:00p,0,Charlotte Hornets,
Feb 21 2019,0,Brooklyn Nets,0,,7:30p,0,Portland Trail Blazers,
Feb 21 2019,0,Cleveland Cavaliers,0,,7:00p,0,Phoenix Suns,
Feb 21 2019,0,Golden State Warriors,0,,10:30p,0,Sacramento Kings,
Feb 21 2019,0,Los Angeles Lakers,0,,10:30p,0,Houston Rockets,
Feb 21 2019,0,Milwaukee Bucks,0,,8:00p,0,Boston Celtics,
Feb 21 2019,0,Philadelphia 76ers,0,,7:00p,0,Miami Heat,
Feb 22 2019,0,Atlanta Hawks,0,,7:30p,0,Detroit Pistons,
Feb 22 2019,0,Charlotte Hornets,0,,7:00p,0,Washington Wizards,
Feb 22 2019,0,Dallas Mavericks,0,,8:30p,0,Denver Nuggets,
Feb 22 2019,0,Indiana Pacers,0,,7:00p,0,New Orleans Pelicans,
Feb 22 2019,0,Memphis Grizzlies,0,,8:00p,0,Los Angeles Clippers,
Feb 22 2019,0,New York Knicks,0,,7:30p,0,Minnesota Timberwolves,
Feb 22 2019,0,Oklahoma City Thunder,0,,9:30p,0,Utah Jazz,
Feb 22 2019,0,Orlando Magic,0,,7:00p,0,Chicago Bulls,
Feb 22 2019,0,Toronto Raptors,0,,7:00p,0,San Antonio Spurs,
Feb 23 2019,0,Atlanta Hawks,0,,7:00p,0,Phoenix Suns,
Feb 23 2019,0,Chicago Bulls,0,,8:00p,0,Boston Celtics,
Feb 23 2019,0,Charlotte Hornets,0,,7:00p,0,Brooklyn Nets,
Feb 23 2019,0,Cleveland Cavaliers,0,,7:00p,0,Memphis Grizzlies,
Feb 23 2019,0,Golden State Warriors,0,,8:30p,0,Houston Rockets,
Feb 23 2019,0,Miami Heat,0,,7:30p,0,Detroit Pistons,
Feb 23 2019,0,Milwaukee Bucks,0,,8:30p,0,Minnesota Timberwolves,
Feb 23 2019,0,New Orleans Pelicans,0,,7:00p,0,Los Angeles Lakers,
Feb 23 2019,0,Oklahoma City Thunder,0,,8:00p,0,Sacramento Kings,
Feb 23 2019,0,Philadelphia 76ers,0,,1:00p,0,Portland Trail Blazers,
Feb 23 2019,0,Utah Jazz,0,,10:00p,0,Dallas Mavericks,
Feb 23 2019,0,Washington Wizards,0,,7:00p,0,Indiana Pacers,
Feb 24 2019,0,Denver Nuggets,0,,5:00p,0,Los Angeles Clippers,
Feb 24 2019,0,New York Knicks,0,,7:30p,0,San Antonio Spurs,
Feb 24 2019,0,Toronto Raptors,0,,3:30p,0,Orlando Magic,
Feb 25 2019,0,Brooklyn Nets,0,,7:30p,0,San Antonio Spurs,
Feb 25 2019,0,Chicago Bulls,0,,8:00p,0,Milwaukee Bucks,
Feb 25 2019,0,Charlotte Hornets,0,,7:00p,0,Golden State Warriors,
Feb 25 2019,0,Cleveland Cavaliers,0,,7:00p,0,Portland Trail Blazers,
Feb 25 2019,0,Detroit Pistons,0,,7:00p,0,Indiana Pacers,
Feb 25 2019,0,Houston Rockets,0,,8:00p,0,Atlanta Hawks,
Feb 25 2019,0,Los Angeles Clippers,0,,10:30p,0,Dallas Mavericks,
Feb 25 2019,0,Memphis Grizzlies,0,,8:00p,0,Los Angeles Lakers,
Feb 25 2019,0,Miami Heat,0,,7:30p,0,Phoenix Suns,
Feb 25 2019,0,Minnesota Timberwolves,0,,8:00p,0,Sacramento Kings,
Feb 25 2019,0,New Orleans Pelicans,0,,8:00p,0,Philadelphia 76ers,
Feb 26 2019,0,Denver Nuggets,0,,10:30p,0,Oklahoma City Thunder,
Feb 26 2019,0,New York Knicks,0,,7:30p,0,Orlando Magic,
Feb 26 2019,0,Toronto Raptors,0,,8:00p,0,Boston Celtics,
Feb 27 2019,0,Atlanta Hawks,0,,7:30p,0,Minnesota Timberwolves,
Feb 27 2019,0,Boston Celtics,0,,7:30p,0,Portland Trail Blazers,
Feb 27 2019,0,Brooklyn Nets,0,,7:30p,0,Washington Wizards,
Feb 27 2019,0,Charlotte Hornets,0,,7:00p,0,Houston Rockets,
Feb 27 2019,0,Dallas Mavericks,0,,8:30p,0,Indiana Pacers,
Feb 27 2019,0,Los Angeles Lakers,0,,10:30p,0,New Orleans Pelicans,
Feb 27 2019,0,Memphis Grizzlies,0,,8:00p,0,Chicago Bulls,
Feb 27 2019,0,Miami Heat,0,,7:30p,0,Golden State Warriors,
Feb 27 2019,0,Sacramento Kings,0,,10:00p,0,Milwaukee Bucks,
Feb 27 2019,0,San Antonio Spurs,0,,8:00p,0,Detroit Pistons,
Feb 27 2019,0,Utah Jazz,0,,9:00p,0,Los Angeles Clippers,
Feb 28 2019,0,Denver Nuggets,0,,9:00p,0,Utah Jazz,
Feb 28 2019,0,Houston Rockets,0,,8:00p,0,Miami Heat,
Feb 28 2019,0,Indiana Pacers,0,,7:00p,0,Minnesota Timberwolves,
Feb 28 2019,0,New York Knicks,0,,7:30p,0,Cleveland Cavaliers,
Feb 28 2019,0,Oklahoma City Thunder,0,,9:30p,0,Philadelphia 76ers,
Feb 28 2019,0,Orlando Magic,0,,7:00p,0,Golden State Warriors,
