Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Mar 6 2019,Atlanta Hawks,,7:30p,San Antonio Spurs,
Mar 6 2019,Brooklyn Nets,,7:30p,Cleveland Cavaliers,
Mar 6 2019,Chicago Bulls,,8:00p,Philadelphia 76ers,
Mar 6 2019,Charlotte Hornets,,7:00p,Miami Heat,
Mar 6 2019,Detroit Pistons,,7:00p,Minnesota Timberwolves,
Mar 6 2019,Los Angeles Lakers,,10:30p,Denver Nuggets,
Mar 6 2019,New Orleans Pelicans,,8:00p,Utah Jazz,
Mar 6 2019,Phoenix Suns,,9:00p,New York Knicks,
Mar 6 2019,Sacramento Kings,,10:00p,Boston Celtics,
Mar 6 2019,Washington Wizards,,7:00p,Dallas Mavericks,
