Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
10,29,25,7.9,45,101,21,17,16,30.2,10,11.3,48,Dec 27 2018,Sacramento Kings,10,25,25,6.9,45,88,23,16,9,22.0,7,14.8,46,["Michael Beasley"|"Isaac Bonga"|"LeBron James"|"Rajon Rondo"|"Marvin Bagley"|"Wenyen Gabriel"|"Zach Randolph"|"Troy Williams"],["Tyler Ford"|"Tom Washington"|"Leon Wood"],Los Angeles Lakers,117,116
11,35,19,2.0,33,86,27,20,12,24.0,11,14.0,44,Dec 27 2018,Utah Jazz,13,35,31,13.7,43,86,18,15,9,22.0,7,12.2,47,["Markelle Fultz"|"Shake Milton"|"Justin Patton"|"Zhaire Smith"|"Grayson Allen"|"Tony Bradley"|"Tyler Cavanaugh"|"Naz Mitrou-Long"],["Marc Davis"|"Tre Maddox"|"Kevin Scott"],Philadelphia 76ers,97,114
11,33,19,14.3,41,100,10,7,12,23.5,4,7.1,49,Dec 28 2018,Charlotte Hornets,4,27,15,14.9,33,83,20,17,9,19.6,4,13.2,48,["Allen Crabbe"|"Caris LeVert"|"Dzanan Musa"|"Theo Pinson"|"Alan Williams"|"Bismack Biyombo"|"Joe Chealey"|"J.P. Macura"],["Jason Goldenberg"|"Karl Lane"|"Zach Zarba"],Brooklyn Nets,100,87
10,29,29,6.5,39,85,17,14,16,38.1,5,17.8,52,Dec 28 2018,Denver Nuggets,8,27,23,5.4,40,89,20,11,12,25.0,14,9.3,38,["Chimezie Metu"|"Ben Moore"|"Dejounte Murray"|"Lonnie Walker"|"Will Barton"|"Gary Harris"|"Paul Millsap"|"Michael Porter"|"Isaiah Thomas"|"Jarred Vanderbilt"],["Eric Dalen"|"Eric Lewis"|"Gediminas Petraitis"],San Antonio Spurs,102,99
5,19,33,9.1,53,87,20,14,7,20.0,11,11.9,43,Dec 28 2018,Indiana Pacers,9,36,25,8.8,34,91,12,11,16,30.8,7,18.6,44,["Henry Ellenson"|"Keenan Evans"|"Zach Lofton"|"Glenn Robinson"|"Ish Smith"|"Ike Anigbogu"|"Alize Johnson"|"Edmond Sumner"],["Tony Brothers"|"J.T. Orr"|"Leroy Richardson"],Detroit Pistons,125,88
11,30,23,2.8,36,87,35,24,8,14.8,5,14.2,50,Dec 28 2018,Los Angeles Lakers,6,19,21,7.0,40,91,34,32,7,14.3,10,10.2,53,["Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"|"Michael Beasley"|"LeBron James"|"JaVale McGee"|"Rajon Rondo"],["Ray Acosta"|"Ed Malloy"|"Scott Twardoski"],Los Angeles Clippers,107,118
10,31,29,11.4,48,91,16,12,10,23.3,8,6.7,45,Dec 28 2018,Miami Heat,13,37,21,3.3,31,81,22,19,9,20.5,6,13.4,42,["John Henson"|"Kevin Love"|"David Nwaba"|"J.R. Smith"|"Tristan Thompson"|"Goran Dragic"|"Yante Maten"|"Duncan Robinson"|"Dion Waiters"],["Courtney Kirkland"|"Ben Taylor"|"C.J. Washington"],Cleveland Cavaliers,118,94
11,32,28,13.8,44,98,38,21,16,28.1,14,10.9,47,Dec 28 2018,Minnesota Timberwolves,16,35,32,9.1,47,100,20,13,17,35.4,10,17.5,58,["Jaylen Adams"|"Alex Len"|"Miles Plumlee"|"Taurean Waller-Prince"|"Keita Bates-Diop"|"Jeff Teague"|"Jared Terrell"|"C.J. Williams"],["Mark Ayotte"|"Marat Kogut"|"Aaron Smith"],Atlanta Hawks,120,123
4,23,22,8.7,44,96,27,22,20,41.7,7,9.3,49,Dec 28 2018,New Orleans Pelicans,15,32,19,8.2,37,78,33,23,11,27.5,7,14.7,39,["Kostas Antetokounmpo"|"Daryl Macon"|"Wesley Matthews"|"Ray Spalding"|"Trevon Bluiett"|"Andrew Harrison"|"Nikola Mirotic"|"Elfrid Payton"],["J.B. DeRosa"|"David Guthrie"|"Dedric Taylor"],Dallas Mavericks,114,112
9,26,29,13.1,44,93,22,19,11,28.9,3,12.7,60,Dec 28 2018,Orlando Magic,12,34,18,14.9,28,95,24,19,14,22.2,4,9.4,41,["Kyle Lowry"|"Jordan Loyd"|"Norman Powell"|"Jonas Valanciunas"|"Troy Caupain"|"Melvin Frazier"|"Amile Jefferson"|"Timofey Mozgov"],["Matt Boland"|"Kane Fitzgerald"|"Matt Myers"],Toronto Raptors,116,87
