Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Feb 27 2019,Atlanta Hawks,,7:30p,Minnesota Timberwolves,
Feb 27 2019,Boston Celtics,,8:00p,Portland Trail Blazers,
Feb 27 2019,Brooklyn Nets,,7:30p,Washington Wizards,
Feb 27 2019,Charlotte Hornets,,7:00p,Houston Rockets,
Feb 27 2019,Dallas Mavericks,,8:30p,Indiana Pacers,
Feb 27 2019,Los Angeles Lakers,,10:30p,New Orleans Pelicans,
Feb 27 2019,Memphis Grizzlies,,8:00p,Chicago Bulls,
Feb 27 2019,Miami Heat,,7:30p,Golden State Warriors,
Feb 27 2019,Sacramento Kings,,10:00p,Milwaukee Bucks,
Feb 27 2019,San Antonio Spurs,,8:30p,Detroit Pistons,
Feb 27 2019,Utah Jazz,,9:00p,Los Angeles Clippers,
