Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
7,18,24,4.2,37,89,16,11,15,31.3,10,8.6,37,Mar 16 2014,Milwaukee Bucks,9,20,26,11.3,39,68,18,14,6,21.4,5,18.3,39,["Brendan Haywood"|"Jeffery Taylor"|"Carlos Delfino"|"Larry Sanders"],["Steve Anderson"|"Josh Tiven"|"Tom Washington"],Charlotte Bobcats,92,101
6,17,23,7.6,34,78,38,30,7,15.9,9,8.7,35,Mar 16 2014,Minnesota Timberwolves,6,19,17,6.6,41,85,19,14,11,28.2,5,14.6,48,["Carl Landry"|"Jason Terry"|"Royce White"|"A.J. Price"|"Ronny Turiaf"],["Kane Fitzgerald"|"Ed Malloy"|"Olandis Poole"],Sacramento Kings,104,102
3,15,25,12.7,47,94,28,24,12,25.0,8,10.1,44,Mar 16 2014,New Orleans Pelicans,12,26,33,10.1,45,97,23,18,13,28.9,7,13.0,49,["Keith Bogans"|"Vitor Faverani"|"Gerald Wallace"|"Ryan Anderson"|"Jrue Holiday"],["Mark Ayotte"|"John Goble"|"Haywoode Workman"],Boston Celtics,121,120
9,29,17,7.8,29,79,27,19,10,22.7,5,13.3,33,Mar 16 2014,Oklahoma City Thunder,13,24,26,8.0,40,75,20,16,8,25.8,9,17.7,42,["Ricky Ledo"|"Gal Mekel"|"Kendrick Perkins"|"Thabo Sefolosha"],["Nick Buchert"|"Derrick Collins"|"Ken Mauer"],Dallas Mavericks,86,109
12,28,25,6.9,37,88,30,26,12,27.9,6,10.6,48,Mar 16 2014,Portland Trail Blazers,11,30,17,11.7,42,88,22,18,10,21.7,7,10.9,41,["Festus Ezeli"|"Ognjen Kuzmic"|"Nemanja Nedovic"|"LaMarcus Aldridge"|"Joel Freeland"],["Tony Brothers"|"Eric Lewis"|"Kevin Scott"],Golden State Warriors,112,113
10,16,31,6.3,49,78,19,14,4,13.3,4,12.2,40,Mar 16 2014,San Antonio Spurs,5,11,19,4.8,42,91,21,15,13,26.5,8,7.4,39,["Andris Biedrins"|"Malcolm Thomas"|"Austin Daye"],["James Capers"|"Kevin Cutler"|"Sean Wright"],Utah Jazz,122,104
7,23,27,5.8,42,85,25,22,4,10.8,12,10.3,26,Mar 16 2014,Toronto Raptors,11,23,17,6.5,38,75,38,34,12,35.3,5,18.6,45,["Leandro Barbosa"|"Emeka Okafor"|"Patrick Patterson"|"Julyan Stone"],["Brent Barnaky"|"Tony Brown"|"Monty McCutchen"],Phoenix Suns,113,121
9,21,23,5.2,41,70,27,17,6,17.6,12,16.3,36,Mar 17 2014,Brooklyn Nets,6,22,18,4.1,37,80,28,15,12,28.6,9,14.8,40,["Leandro Barbosa"|"Emeka Okafor"|"Kevin Garnett"|"Brook Lopez"],["Bennie Adams"|"Marc Davis"|"Courtney Kirkland"],Phoenix Suns,108,95
9,25,22,13.7,30,85,16,14,10,19.6,4,6.1,42,Mar 17 2014,Charlotte Bobcats,13,34,27,15.0,39,85,7,6,10,23.8,3,12.9,51,["Gustavo Ayon"|"Al Horford"|"John Jenkins"|"Brendan Haywood"|"Jeffery Taylor"],["Ron Garretson"|"John Goble"|"Karl Lane"],Atlanta Hawks,83,97
5,22,21,8.0,29,84,31,22,13,24.5,7,4.9,46,Mar 17 2014,Chicago Bulls,13,25,20,9.7,31,75,28,22,6,15.4,3,11.2,46,["Kendrick Perkins"|"Thabo Sefolosha"|"Derrick Rose"|"Tornike Shengelia"],["Dan Crawford"|"Pat Fraher"|"Josh Tiven"],Oklahoma City Thunder,85,97
9,27,20,5.6,33,78,21,19,6,14.3,7,13.0,36,Mar 17 2014,Dallas Mavericks,9,22,20,2.0,34,93,14,12,21,41.2,8,13.9,57,["Keith Bogans"|"Vitor Faverani"|"Gerald Wallace"|"Ricky Ledo"|"Gal Mekel"],["Mike Callahan"|"Sean Corbin"|"Scott Twardoski"],Boston Celtics,94,89
6,25,22,5.6,38,93,33,28,19,41.3,11,13.0,55,Mar 17 2014,Denver Nuggets,5,21,22,7.4,36,92,25,23,16,30.8,13,12.7,43,["J.J. Redick"|"Danilo Gallinari"|"JaVale McGee"],["Joe Crawford"|"David Guthrie"|"Kevin Scott"],Los Angeles Clippers,110,100
13,25,31,18.5,46,79,26,19,8,24.2,7,17.4,46,Mar 17 2014,Houston Rockets,4,18,21,7.4,34,83,18,14,9,19.1,9,17.3,34,["Andris Biedrins"|"Malcolm Thomas"|"Robert Covington"|"Troy Daniels"],["Dick Bavetta"|"Bill Spooner"|"Gary Zielinski"],Utah Jazz,124,86
6,18,13,6.9,31,81,38,31,16,32.0,9,13.3,52,Mar 17 2014,Indiana Pacers,9,23,21,9.5,35,81,20,11,11,23.4,3,16.7,45,["Arnett Moultrie"|"Nerlens Noel"|"Jason Richardson"|"Andrew Bynum"|"C.J. Watson"],["Rodney Mott"|"Eli Roe"|"Michael Smith"],Philadelphia 76ers,99,90
11,34,24,0.0,40,94,31,27,10,19.2,9,6.1,40,Mar 18 2014,Atlanta Hawks,7,24,21,5.0,40,81,29,26,8,21.1,2,13.8,50,["Dwight Buycks"|"Patrick Patterson"|"Gustavo Ayon"|"Al Horford"|"John Jenkins"],["Derrick Collins"|"Jason Phillips"|"Leon Wood"],Toronto Raptors,118,113
7,22,27,11.1,37,72,22,15,4,12.1,6,18.9,41,Mar 18 2014,Cleveland Cavaliers,12,30,22,14.0,34,75,31,20,7,15.9,10,13.6,36,["Justin Hamilton"|"Dwyane Wade"|"Carrick Felix"|"Kyrie Irving"],["Eric Dalen"|"Tom Washington"|"Zach Zarba"],Miami Heat,96,100
10,27,21,3.1,37,82,21,19,9,20.5,7,10.8,44,Mar 18 2014,Golden State Warriors,4,13,22,3.6,35,77,20,15,5,12.5,2,15.7,40,["Andrew Bogut"|"Festus Ezeli"|"Andre Iguodala"],["Nick Buchert"|"Ken Mauer"|"Scott Wall"],Orlando Magic,103,89
12,39,25,6.2,42,97,27,24,11,21.2,6,12.8,47,Mar 18 2014,Portland Trail Blazers,8,17,28,5.2,45,98,26,17,12,25.0,10,14.8,53,["Carlos Delfino"|"Larry Sanders"|"LaMarcus Aldridge"|"Joel Freeland"],["Bill Kennedy"|"Tre Maddox"|"J.T. Orr"],Milwaukee Bucks,120,115
6,18,18,3.2,40,87,40,31,16,34.8,8,16.1,57,Mar 18 2014,Sacramento Kings,11,28,28,2.9,40,91,30,20,11,21.2,11,12.6,41,["Nene Hilario"|"Glen Rice"|"Carl Landry"|"Jason Terry"|"Royce White"],["Marat Kogut"|"Eric Lewis"|"Bennett Salvatore"],Washington Wizards,117,111
13,28,29,3.1,39,77,12,10,9,25.7,1,13.6,36,Mar 19 2014,Boston Celtics,4,17,29,10.2,40,81,15,12,11,28.9,9,12.0,37,["LeBron James"|"Greg Oden"|"Keith Bogans"|"Vitor Faverani"|"Gerald Wallace"],["Bennie Adams"|"Tony Brothers"|"Leroy Richardson"],Miami Heat,101,96
9,20,19,3.4,37,75,35,21,8,18.2,7,7.2,39,Mar 19 2014,Brooklyn Nets,9,27,27,9.1,40,85,12,10,15,32.6,2,14.2,51,["Brendan Haywood"|"Jeffery Taylor"|"Kevin Garnett"|"Brook Lopez"],["James Capers"|"David Jones"|"James Williams"],Charlotte Bobcats,104,99
9,27,26,6.3,47,95,25,19,10,20.8,9,13.1,51,Mar 19 2014,Dallas Mavericks,10,29,25,5.9,44,92,31,25,8,16.3,8,11.0,46,["A.J. Price"|"Ronny Turiaf"|"Ricky Ledo"|"Gal Mekel"],["Matt Boland"|"Monty McCutchen"|"Gary Zielinski"],Minnesota Timberwolves,122,123
11,27,27,7.2,44,86,27,19,10,24.4,7,10.9,46,Mar 19 2014,Denver Nuggets,10,26,22,6.8,43,95,19,13,12,25.0,8,10.4,43,["Chauncey Billups"|"Josh Harrellson"|"Danilo Gallinari"|"JaVale McGee"],["Nick Buchert"|"Eric Lewis"|"Bill Spooner"],Detroit Pistons,118,109
9,26,19,8.8,39,91,29,22,12,21.8,10,10.4,46,Mar 19 2014,Los Angeles Lakers,12,27,34,9.2,50,95,16,13,9,20.9,9,10.5,52,["Austin Daye"|"Kobe Bryant"|"Steve Nash"],["Joe Crawford"|"David Guthrie"|"Kevin Scott"],San Antonio Spurs,109,125
