Date,Home,Home_Diff,Home_Pts,Start_Time,Visitor,Visitor_Pts
Jan 6 2019,Atlanta Hawks,24,106,6:00p,Miami Heat,82
Jan 6 2019,Chicago Bulls,-17,100,3:30p,Brooklyn Nets,117
Jan 6 2019,Los Angeles Clippers,10,106,3:30p,Orlando Magic,96
Jan 6 2019,Minnesota Timberwolves,22,108,3:30p,Los Angeles Lakers,86
Jan 6 2019,Oklahoma City Thunder,-18,98,7:00p,Washington Wizards,116
Jan 6 2019,Phoenix Suns,-6,113,8:00p,Charlotte Hornets,119
Jan 6 2019,Toronto Raptors,16,121,7:30p,Indiana Pacers,105
