Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Feb 25 2019,Brooklyn Nets,,7:30p,San Antonio Spurs,
Feb 25 2019,Chicago Bulls,,8:00p,Milwaukee Bucks,
Feb 25 2019,Charlotte Hornets,,7:00p,Golden State Warriors,
Feb 25 2019,Cleveland Cavaliers,,7:00p,Portland Trail Blazers,
Feb 25 2019,Detroit Pistons,,7:00p,Indiana Pacers,
Feb 25 2019,Houston Rockets,,8:00p,Atlanta Hawks,
Feb 25 2019,Los Angeles Clippers,,10:30p,Dallas Mavericks,
Feb 25 2019,Memphis Grizzlies,,8:00p,Los Angeles Lakers,
Feb 25 2019,Miami Heat,,7:30p,Phoenix Suns,
Feb 25 2019,Minnesota Timberwolves,,8:00p,Sacramento Kings,
Feb 25 2019,New Orleans Pelicans,,8:00p,Philadelphia 76ers,
