Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
7,21,19,17.0,37,94,17,12,12,23.1,8,13.6,47,Jan 24 2018,Atlanta Hawks,14,36,25,16.4,39,89,25,16,12,25.5,10,14.5,52,["Lorenzo Brown"|"Bruno Caboclo"|"Malcolm Miller"|"DeAndre' Bembry"|"Tyler Cavanaugh"|"Josh Magette"|"Andrew White"],["Bennie Adams"|"Derrick Collins"|"Ben Taylor"],Toronto Raptors,93,108
6,21,16,9.8,36,85,31,18,10,22.7,5,12.4,49,Jan 24 2018,Charlotte Hornets,9,26,26,15.6,39,87,18,14,8,17.0,6,13.6,42,["Alexis Ajinca"|"Tony Allen"|"Charles Cooke"|"Solomon Hill"|"Frank Jackson"|"Mangok Mathiang"|"Marcus Paige"|"Cody Zeller"],["J.B. DeRosa"|"David Guthrie"|"Josh Tiven"],New Orleans Pelicans,96,101
15,35,24,6.5,35,82,18,12,9,20.0,5,12.6,49,Jan 24 2018,Dallas Mavericks,21,51,20,6.4,36,82,23,11,7,14.9,8,8.9,43,["Markel Brown"|"R.J. Hunter"|"Chinanu Onuaku"|"Zhou Qi"|"Troy Williams"|"Seth Curry"|"Dorian Finney-Smith"|"Jalen Jones"|"Nerlens Noel"],["Bill Kennedy"|"Aaron Smith"|"Michael Smith"],Houston Rockets,97,104
7,31,23,10.8,38,97,18,12,15,30.0,10,15.3,57,Jan 24 2018,Detroit Pistons,10,31,24,13.6,38,96,16,12,9,17.6,11,12.0,44,["Tony Bradley"|"Dante Exum"|"Erik McCree"|"Georges Niang"|"Thabo Sefolosha"|"Kay Felder"|"Reggie Hearn"|"Reggie Jackson"|"Jon Leuer"],["Ray Acosta"|"Pat Fraher"|"Ken Mauer"],Utah Jazz,95,98
9,24,32,6.1,45,80,25,17,3,8.6,11,11.7,39,Jan 24 2018,Indiana Pacers,9,35,22,3.6,35,84,29,22,10,21.7,3,14.2,42,["Marquese Chriss"|"Danuel House"|"Brandon Knight"|"Davon Reed"|"Alan Williams"|"Darren Collison"|"Glenn Robinson"|"Edmond Sumner"|"Myles Turner"],["Tony Brown"|"Jason Goldenberg"|"Derrick Stafford"],Phoenix Suns,116,101
5,21,26,9.4,35,79,39,27,10,21.3,6,16.5,40,Jan 24 2018,Los Angeles Clippers,14,40,25,5.2,39,93,22,21,10,25.0,10,11.2,47,["Kadeem Allen"|"Jabari Bird"|"Gordon Hayward"|"Guerschon Yabusele"|"Patrick Beverley"|"Danilo Gallinari"|"Brice Johnson"|"Austin Rivers"|"C.J. Williams"],["Rodney Mott"|"Scott Wall"|"Sean Wright"],Boston Celtics,102,113
2,18,19,6.9,36,83,14,11,9,20.9,7,16.0,41,Jan 24 2018,Memphis Grizzlies,10,24,29,9.2,38,82,25,22,11,25.6,9,12.3,45,["Matt Costello"|"Rudy Gay"|"Kawhi Leonard"|"Derrick White"|"Mike Conley"|"Tyreke Evans"|"JaMychal Green"|"Chandler Parsons"],["Kane Fitzgerald"|"Courtney Kirkland"|"Leon Wood"],San Antonio Spurs,85,108
16,32,31,12.3,42,81,20,15,6,15.4,6,13.5,48,Jan 24 2018,Philadelphia 76ers,11,37,20,4.1,36,94,22,18,10,19.2,8,9.6,43,["Antonio Blakeney"|"Kris Dunn"|"Cameron Payne"|"Jerryd Bayless"|"Markelle Fultz"|"Demetrius Jackson"|"Furkan Korkmaz"|"T.J. McConnell"|"J.J. Redick"],["Mike Callahan"|"Tre Maddox"|"Gary Zielinski"],Chicago Bulls,115,101
17,31,24,1.5,45,82,21,16,6,17.6,4,9.9,37,Jan 24 2018,Portland Trail Blazers,6,16,20,3.9,45,84,22,18,5,13.9,7,6.0,33,["Anthony Brown"|"Amile Jefferson"|"Justin Patton"|"Wade Baldwin"|"Caleb Swanigan"|"C.J. Wilcox"],["Brent Barnaky"|"Gediminas Petraitis"|"Bill Spooner"],Minnesota Timberwolves,123,114
14,28,36,3.3,48,80,24,20,2,6.3,3,12.6,32,Jan 25 2018,Denver Nuggets,8,21,32,9.6,45,82,24,20,3,9.1,9,9.8,33,["Tim Hardaway"|"Isaiah Hicks"|"Luke Kornet"|"Joakim Noah"|"Juan Hernangomez"|"Tyler Lydon"|"Paul Millsap"|"Monte Morris"],["Nick Buchert"|"Scott Foster"|"Dedric Taylor"],New York Knicks,130,118
21,37,37,9.9,48,89,15,9,11,26.8,9,13.6,47,Jan 25 2018,Golden State Warriors,6,20,25,5.8,46,101,18,15,13,26.5,9,8.4,43,["Anthony Brown"|"Amile Jefferson"|"Justin Patton"|"Jordan Bell"|"Chris Boucher"|"Quinn Cook"|"Damian Jones"|"Patrick McCaw"],["Matt Boland"|"Marc Davis"|"Scott Twardoski"],Minnesota Timberwolves,126,113
12,34,19,5.8,31,82,18,14,7,17.5,8,12.6,46,Jan 25 2018,Miami Heat,5,12,17,12.5,38,81,14,8,5,11.4,3,13.0,38,["Jack Cooley"|"Harry Giles"|"Frank Mason"|"JaKarr Sampson"|"A.J. Hammons"|"Tyler Johnson"|"Rodney McGruder"|"Dion Waiters"|"Okaro White"],["David Guthrie"|"Tom Washington"|"Haywoode Workman"],Sacramento Kings,88,89
9,27,18,11.8,45,87,29,22,13,32.5,16,12.3,40,Jan 25 2018,Oklahoma City Thunder,16,35,25,3.3,42,86,16,12,12,30.8,10,19.8,39,["Sheldon Mac"|"Devin Robinson"|"PJ Dozier"|"Dakari Johnson"|"Kyle Singler"],["Kevin Cutler"|"Ron Garretson"|"Zach Zarba"],Washington Wizards,121,112
17,36,21,10.4,35,93,24,16,16,29.6,3,11.2,53,Jan 26 2018,Chicago Bulls,5,24,23,5.3,41,91,28,21,10,21.3,6,8.0,48,["Lonzo Ball"|"Thomas Bryant"|"Luol Deng"|"Gary Payton"|"Ivica Zubac"|"Antonio Blakeney"|"Kris Dunn"|"Cameron Payne"],["Brett Nansel"|"Michael Smith"|"Bill Spooner"],Los Angeles Lakers,103,108
13,34,25,16.3,40,88,32,28,11,25.0,13,9.7,43,Jan 26 2018,Charlotte Hornets,15,30,23,9.3,37,79,25,21,6,15.8,6,18.2,39,["DeAndre' Bembry"|"Tyler Cavanaugh"|"Josh Magette"|"Isaiah Taylor"|"Andrew White"|"Mangok Mathiang"|"Marcus Paige"|"Cody Zeller"],["Ray Acosta"|"Karl Lane"|"Jason Phillips"],Atlanta Hawks,121,110
13,37,27,6.7,46,82,13,10,8,21.6,13,18.6,44,Jan 26 2018,Cleveland Cavaliers,13,31,27,2.2,43,91,11,9,8,18.2,13,14.3,37,["T.J. Leaf"|"Glenn Robinson"|"Edmond Sumner"|"Myles Turner"|"John Holland"|"London Perrantes"|"Dwyane Wade"|"Ante Zizic"],["Ken Mauer"|"Leon Wood"|"Gary Zielinski"],Indiana Pacers,115,108
10,30,17,6.1,35,89,17,13,8,15.4,9,4.9,37,Jan 26 2018,Dallas Mavericks,10,30,20,10.2,39,79,23,19,10,25.6,4,13.6,54,["Wade Baldwin"|"Caleb Swanigan"|"Evan Turner"|"C.J. Wilcox"|"Seth Curry"|"Dorian Finney-Smith"|"Devin Harris"|"Jalen Jones"|"Johnathan Motley"|"Nerlens Noel"],["Bennie Adams"|"Rodney Mott"|"J.T. Orr"],Portland Trail Blazers,93,107
8,27,31,17.0,39,81,18,14,8,19.5,1,17.6,43,Jan 26 2018,Memphis Grizzlies,10,27,23,11.1,39,80,29,21,3,7.9,15,9.7,36,["Patrick Beverley"|"Jawun Evans"|"Brice Johnson"|"Austin Rivers"|"C.J. Williams"|"Mike Conley"|"JaMychal Green"|"Chandler Parsons"|"Kobi Simmons"],["Tony Brown"|"Bill Kennedy"|"Tre Maddox"],Los Angeles Clippers,100,109
12,23,28,10.9,43,83,20,18,3,8.1,9,8.9,44,Jan 26 2018,Milwaukee Bucks,8,34,18,3.3,33,89,20,17,11,21.2,5,12.5,45,["Milton Doyle"|"Jeremy Lin"|"James Webb"|"Isaiah Whitehead"|"Malcolm Brogdon"|"Xavier Munford"|"Jabari Parker"|"Mirza Teletovic"],["Kane Fitzgerald"|"Eric Lewis"|"Aaron Smith"],Brooklyn Nets,116,91
11,27,36,11.9,44,82,21,16,6,15.4,8,14.1,42,Jan 26 2018,New Orleans Pelicans,12,36,22,3.6,36,78,35,29,2,5.3,10,11.4,35,["Markel Brown"|"R.J. Hunter"|"Chinanu Onuaku"|"Zhou Qi"|"Troy Williams"|"Alexis Ajinca"|"Tony Allen"|"Charles Cooke"|"Solomon Hill"|"Frank Jackson"],["Pat Fraher"|"John Goble"|"Kevin Scott"],Houston Rockets,115,113
11,33,15,5.0,33,94,13,8,12,23.5,6,12.3,42,Jan 26 2018,Phoenix Suns,9,25,25,16.4,41,85,22,16,10,25.0,7,14.5,49,["Damyean Dotson"|"Isaiah Hicks"|"Luke Kornet"|"Joakim Noah"|"Brandon Knight"|"Alex Len"|"Davon Reed"|"Alan Williams"],["Matt Boland"|"Gediminas Petraitis"|"Sean Wright"],New York Knicks,85,107
3,24,20,8.6,30,75,18,15,5,11.6,6,9.8,36,Jan 26 2018,San Antonio Spurs,9,21,23,7.8,38,79,18,12,12,27.9,5,9.4,50,["Markelle Fultz"|"Demetrius Jackson"|"Furkan Korkmaz"|"J.J. Redick"|"Matt Costello"|"Rudy Gay"|"Kawhi Leonard"|"Derrick White"],["Brent Barnaky"|"James Capers"|"Justin Van Duyne"],Philadelphia 76ers,78,97
7,27,23,19.7,37,95,17,12,16,30.2,10,9.7,52,Jan 26 2018,Toronto Raptors,10,21,20,7.4,36,87,21,15,10,21.7,7,11.9,47,["Tony Bradley"|"Dante Exum"|"Erik McCree"|"Georges Niang"|"Thabo Sefolosha"|"Lorenzo Brown"|"Bruno Caboclo"|"Malcolm Miller"],["Mike Callahan"|"Brian Forte"|"Jacyn Goble"],Utah Jazz,93,97
12,43,24,7.5,38,88,21,16,11,26.2,2,11.0,32,Jan 27 2018,Atlanta Hawks,18,32,40,13.3,49,85,14,13,7,25.0,7,11.6,38,["Sheldon Mac"|"Devin Robinson"|"John Wall"|"Tyler Cavanaugh"|"Josh Magette"|"Isaiah Taylor"|"Andrew White"],["Pat Fraher"|"Jonathan Sterling"|"Scott Wall"],Washington Wizards,104,129
12,33,23,14.8,34,81,15,11,9,20.5,6,13.8,53,Jan 27 2018,Denver Nuggets,11,31,17,10.4,34,85,19,10,8,15.4,8,7.9,43,["Seth Curry"|"Dorian Finney-Smith"|"Devin Harris"|"Jalen Jones"|"Johnathan Motley"|"Nerlens Noel"|"Juan Hernangomez"|"Tyler Lydon"|"Paul Millsap"|"Monte Morris"],["Ron Garretson"|"Derek Richardson"|"Sean Wright"],Dallas Mavericks,91,89
12,33,24,5.0,39,84,24,18,13,30.2,4,14.5,43,Jan 27 2018,Detroit Pistons,14,33,23,3.9,45,93,23,17,13,30.2,9,8.0,43,["PJ Dozier"|"Daniel Hamilton"|"Kyle Singler"|"Kay Felder"|"Reggie Hearn"|"Reggie Jackson"|"Jon Leuer"],["Mitchell Ervin"|"David Guthrie"|"Tom Washington"],Oklahoma City Thunder,108,121
10,27,19,15.8,38,84,26,23,10,22.7,9,10.3,43,Jan 27 2018,Golden State Warriors,14,28,17,3.5,37,85,24,17,11,25.0,6,12.8,45,["Kadeem Allen"|"Jabari Bird"|"Gordon Hayward"|"Marcus Smart"|"Guerschon Yabusele"|"Jordan Bell"|"Chris Boucher"|"Quinn Cook"|"Patrick McCaw"],["Nick Buchert"|"Derrick Stafford"|"Dedric Taylor"],Boston Celtics,109,105
5,18,25,1.9,47,87,19,15,9,25.0,9,8.6,38,Jan 27 2018,Indiana Pacers,8,25,21,10.1,42,77,32,20,13,31.0,6,13.3,40,["Jamel Artis"|"Jonathan Isaac"|"Terrence Ross"|"Nikola Vucevic"|"T.J. Leaf"|"Glenn Robinson"|"Edmond Sumner"],["Ben Taylor"|"C.J. Washington"|"Zach Zarba"],Orlando Magic,114,112
8,26,25,8.3,38,85,18,11,11,24.4,4,11.4,51,Jan 27 2018,Miami Heat,5,24,12,10.2,29,84,35,28,12,23.1,6,6.6,46,["Mangok Mathiang"|"Marcus Paige"|"Cody Zeller"|"A.J. Hammons"|"Rodney McGruder"|"Dion Waiters"|"Derrick Walton"|"Okaro White"],["Courtney Kirkland"|"Leroy Richardson"|"James Williams"],Charlotte Hornets,95,91
4,21,20,13.5,42,96,26,23,16,33.3,9,4.4,49,Jan 27 2018,Minnesota Timberwolves,9,30,22,9.3,38,82,15,12,11,25.0,3,14.5,43,["Milton Doyle"|"Rondae Hollis-Jefferson"|"Jeremy Lin"|"D'Angelo Russell"|"Anthony Brown"|"Amile Jefferson"|"Justin Patton"],["Tony Brothers"|"Kevin Cutler"|"J.B. DeRosa"],Brooklyn Nets,111,97
