Date,Home,Home_Diff,Home_Pts,Start_Time,Visitor,Visitor_Pts
Dec 25 2018,Boston Celtics,7,121,5:30p,Philadelphia 76ers,114
Dec 25 2018,Golden State Warriors,-26,101,8:00p,Los Angeles Lakers,127
Dec 25 2018,Houston Rockets,4,113,3:00p,Oklahoma City Thunder,109
Dec 25 2018,New York Knicks,-14,95,12:00p,Milwaukee Bucks,109
Dec 25 2018,Utah Jazz,21,117,10:30p,Portland Trail Blazers,96
