Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Jan 25 2019,Brooklyn Nets,,7:30p,New York Knicks,
Jan 25 2019,Chicago Bulls,,8:00p,Los Angeles Clippers,
Jan 25 2019,Cleveland Cavaliers,,7:30p,Miami Heat,
Jan 25 2019,Dallas Mavericks,,8:30p,Detroit Pistons,
Jan 25 2019,Denver Nuggets,,9:00p,Phoenix Suns,
Jan 25 2019,Houston Rockets,,8:00p,Toronto Raptors,
Jan 25 2019,Memphis Grizzlies,,8:00p,Sacramento Kings,
Jan 25 2019,Milwaukee Bucks,,8:30p,Charlotte Hornets,
Jan 25 2019,Orlando Magic,,7:00p,Washington Wizards,
Jan 25 2019,Utah Jazz,,9:00p,Minnesota Timberwolves,
