Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Feb 23 2019,Atlanta Hawks,,7:00p,Phoenix Suns,
Feb 23 2019,Chicago Bulls,,8:00p,Boston Celtics,
Feb 23 2019,Charlotte Hornets,,7:00p,Brooklyn Nets,
Feb 23 2019,Cleveland Cavaliers,,7:00p,Memphis Grizzlies,
Feb 23 2019,Golden State Warriors,,8:30p,Houston Rockets,
Feb 23 2019,Miami Heat,,7:30p,Detroit Pistons,
Feb 23 2019,Milwaukee Bucks,,8:30p,Minnesota Timberwolves,
Feb 23 2019,New Orleans Pelicans,,7:00p,Los Angeles Lakers,
Feb 23 2019,Oklahoma City Thunder,,8:00p,Sacramento Kings,
Feb 23 2019,Philadelphia 76ers,,1:00p,Portland Trail Blazers,
Feb 23 2019,Utah Jazz,,10:00p,Dallas Mavericks,
Feb 23 2019,Washington Wizards,,7:00p,Indiana Pacers,
