Date,HW,Home,Home_Diff,Home_Pts,Start_Time,Total_Pts,Visitor,Visitor_Pts
Oct 26 2018,1,Toronto Raptors,9,116,7:30p,223,Dallas Mavericks,107
Oct 27 2018,0,Atlanta Hawks,-12,85,7:30p,182,Chicago Bulls,97
Oct 27 2018,0,Cleveland Cavaliers,-12,107,7:30p,226,Indiana Pacers,119
Oct 27 2018,0,Detroit Pistons,-20,89,7:00p,198,Boston Celtics,109
Oct 27 2018,1,Memphis Grizzlies,21,117,8:00p,213,Phoenix Suns,96
Oct 27 2018,1,Miami Heat,9,120,8:00p,231,Portland Trail Blazers,111
Oct 27 2018,1,Milwaukee Bucks,22,113,8:30p,204,Orlando Magic,91
Oct 27 2018,0,New Orleans Pelicans,-21,111,7:00p,243,Utah Jazz,132
Oct 27 2018,1,Philadelphia 76ers,2,105,7:30p,208,Charlotte Hornets,103
Oct 27 2018,1,San Antonio Spurs,4,110,8:30p,216,Los Angeles Lakers,106
Oct 28 2018,0,Brooklyn Nets,-6,114,5:00p,234,Golden State Warriors,120
Oct 28 2018,0,Dallas Mavericks,-9,104,7:00p,217,Utah Jazz,113
Oct 28 2018,1,Los Angeles Clippers,32,136,9:30p,240,Washington Wizards,104
Oct 28 2018,1,Oklahoma City Thunder,7,117,7:00p,227,Phoenix Suns,110
Oct 29 2018,0,Chicago Bulls,-25,124,8:00p,273,Golden State Warriors,149
Oct 29 2018,1,Denver Nuggets,5,116,9:00p,227,New Orleans Pelicans,111
Oct 29 2018,0,Indiana Pacers,-10,93,7:00p,196,Portland Trail Blazers,103
Oct 29 2018,0,Miami Heat,-10,113,7:30p,236,Sacramento Kings,123
Oct 29 2018,1,Milwaukee Bucks,15,124,8:00p,233,Toronto Raptors,109
Oct 29 2018,1,Minnesota Timberwolves,4,124,8:00p,244,Los Angeles Lakers,120
Oct 29 2018,1,New York Knicks,19,115,7:30p,211,Brooklyn Nets,96
Oct 29 2018,1,Philadelphia 76ers,21,113,7:00p,205,Atlanta Hawks,92
Oct 29 2018,1,San Antonio Spurs,5,113,8:30p,221,Dallas Mavericks,108
Oct 30 2018,1,Boston Celtics,3,108,7:30p,213,Detroit Pistons,105
Oct 30 2018,1,Charlotte Hornets,12,125,7:00p,238,Miami Heat,113
Oct 30 2018,1,Cleveland Cavaliers,22,136,7:00p,250,Atlanta Hawks,114
Oct 30 2018,0,Houston Rockets,-19,85,8:00p,189,Portland Trail Blazers,104
Oct 30 2018,1,Memphis Grizzlies,12,107,8:00p,202,Washington Wizards,95
Oct 30 2018,1,Oklahoma City Thunder,18,128,8:00p,238,Los Angeles Clippers,110
Oct 30 2018,0,Orlando Magic,-8,99,7:00p,206,Sacramento Kings,107
Oct 30 2018,1,Toronto Raptors,17,129,7:30p,241,Philadelphia 76ers,112
Oct 31 2018,1,Brooklyn Nets,1,120,7:30p,239,Detroit Pistons,119
Oct 31 2018,0,Chicago Bulls,-1,107,8:00p,215,Denver Nuggets,108
Oct 31 2018,1,Golden State Warriors,10,131,10:30p,252,New Orleans Pelicans,121
Oct 31 2018,1,Los Angeles Lakers,1,114,10:30p,227,Dallas Mavericks,113
Oct 31 2018,1,Minnesota Timberwolves,3,128,8:00p,253,Utah Jazz,125
Oct 31 2018,0,New York Knicks,-6,101,8:00p,208,Indiana Pacers,107
Oct 31 2018,0,Phoenix Suns,-30,90,10:30p,210,San Antonio Spurs,120
Nov 1 2018,0,Atlanta Hawks,-31,115,7:30p,261,Sacramento Kings,146
Nov 1 2018,1,Boston Celtics,4,117,8:00p,230,Milwaukee Bucks,113
Nov 1 2018,0,Charlotte Hornets,-4,107,7:00p,218,Oklahoma City Thunder,111
Nov 1 2018,0,Cleveland Cavaliers,-19,91,7:00p,201,Denver Nuggets,110
Nov 1 2018,1,Philadelphia 76ers,9,122,7:00p,235,Los Angeles Clippers,113
Nov 1 2018,1,Portland Trail Blazers,13,132,10:30p,251,New Orleans Pelicans,119
Nov 2 2018,0,Brooklyn Nets,-8,111,7:30p,230,Houston Rockets,119
Nov 2 2018,0,Chicago Bulls,-2,105,8:00p,212,Indiana Pacers,107
Nov 2 2018,0,Dallas Mavericks,-12,106,8:30p,224,New York Knicks,118
Nov 2 2018,1,Golden State Warriors,17,116,10:30p,215,Minnesota Timberwolves,99
Nov 2 2018,0,Orlando Magic,-25,95,7:00p,215,Los Angeles Clippers,120
Nov 2 2018,0,Phoenix Suns,-9,98,10:00p,205,Toronto Raptors,107
Nov 2 2018,0,Utah Jazz,-10,100,9:00p,210,Memphis Grizzlies,110
Nov 2 2018,0,Washington Wizards,-23,111,8:00p,245,Oklahoma City Thunder,134
Nov 3 2018,1,Atlanta Hawks,5,123,7:30p,241,Miami Heat,118
Nov 3 2018,0,Chicago Bulls,-8,88,8:00p,184,Houston Rockets,96
Nov 3 2018,1,Charlotte Hornets,32,126,7:00p,220,Cleveland Cavaliers,94
Nov 3 2018,1,Denver Nuggets,15,103,9:00p,191,Utah Jazz,88
Nov 3 2018,1,Indiana Pacers,1,102,7:00p,203,Boston Celtics,101
Nov 3 2018,1,Philadelphia 76ers,10,109,1:00p,208,Detroit Pistons,99
Nov 3 2018,0,Portland Trail Blazers,-4,110,10:00p,224,Los Angeles Lakers,114
Nov 3 2018,1,San Antonio Spurs,14,109,8:30p,204,New Orleans Pelicans,95
Nov 4 2018,1,Brooklyn Nets,25,122,6:00p,219,Philadelphia 76ers,97
Nov 4 2018,0,Los Angeles Lakers,-14,107,9:30p,228,Toronto Raptors,121
Nov 4 2018,1,Milwaukee Bucks,35,144,3:30p,253,Sacramento Kings,109
Nov 4 2018,1,Phoenix Suns,2,102,8:00p,202,Memphis Grizzlies,100
Nov 4 2018,1,Portland Trail Blazers,30,111,9:00p,192,Minnesota Timberwolves,81
Nov 4 2018,0,San Antonio Spurs,-7,110,7:00p,227,Orlando Magic,117
Nov 4 2018,1,Washington Wizards,13,108,6:00p,203,New York Knicks,95
Nov 5 2018,1,Denver Nuggets,8,115,9:00p,222,Boston Celtics,107
Nov 5 2018,0,Detroit Pistons,-5,115,7:00p,235,Miami Heat,120
Nov 5 2018,1,Golden State Warriors,16,117,10:30p,218,Memphis Grizzlies,101
Nov 5 2018,0,Indiana Pacers,-4,94,7:00p,192,Houston Rockets,98
Nov 5 2018,1,Los Angeles Clippers,11,120,10:30p,229,Minnesota Timberwolves,109
Nov 5 2018,0,New York Knicks,-1,115,7:30p,231,Chicago Bulls,116
Nov 5 2018,1,Oklahoma City Thunder,6,122,8:00p,238,New Orleans Pelicans,116
Nov 5 2018,1,Orlando Magic,2,102,7:00p,202,Cleveland Cavaliers,100
Nov 5 2018,0,Utah Jazz,-13,111,9:00p,235,Toronto Raptors,124
Nov 6 2018,1,Charlotte Hornets,11,113,7:00p,215,Atlanta Hawks,102
Nov 6 2018,1,Dallas Mavericks,19,119,8:30p,219,Washington Wizards,100
Nov 6 2018,0,Phoenix Suns,-22,82,9:00p,186,Brooklyn Nets,104
Nov 6 2018,1,Portland Trail Blazers,15,118,10:00p,221,Milwaukee Bucks,103
Nov 7 2018,0,Atlanta Hawks,-5,107,7:30p,219,New York Knicks,112
Nov 7 2018,0,Cleveland Cavaliers,-9,86,7:00p,181,Oklahoma City Thunder,95
Nov 7 2018,0,Indiana Pacers,-6,94,8:00p,194,Philadelphia 76ers,100
Nov 7 2018,1,Los Angeles Lakers,4,114,10:30p,224,Minnesota Timberwolves,110
Nov 7 2018,1,Memphis Grizzlies,2,89,8:00p,176,Denver Nuggets,87
Nov 7 2018,1,Miami Heat,7,95,7:30p,183,San Antonio Spurs,88
Nov 7 2018,1,New Orleans Pelicans,9,107,8:00p,205,Chicago Bulls,98
Nov 7 2018,0,Orlando Magic,-7,96,7:00p,199,Detroit Pistons,103
Nov 7 2018,0,Sacramento Kings,-9,105,10:00p,219,Toronto Raptors,114
Nov 7 2018,1,Utah Jazz,15,117,9:00p,219,Dallas Mavericks,102
Nov 8 2018,0,Golden State Warriors,-23,111,10:30p,245,Milwaukee Bucks,134
Nov 8 2018,1,Oklahoma City Thunder,18,98,8:00p,178,Houston Rockets,80
Nov 8 2018,0,Phoenix Suns,-7,109,9:00p,225,Boston Celtics,116
Nov 8 2018,1,Portland Trail Blazers,11,116,10:00p,221,Los Angeles Clippers,105
Nov 9 2018,0,Atlanta Hawks,-15,109,7:30p,233,Detroit Pistons,124
Nov 9 2018,0,Denver Nuggets,-2,110,9:00p,222,Brooklyn Nets,112
Nov 9 2018,0,Miami Heat,-8,102,8:00p,212,Indiana Pacers,110
Nov 9 2018,1,Orlando Magic,9,117,7:00p,225,Washington Wizards,108
Nov 9 2018,1,Philadelphia 76ers,1,133,7:00p,265,Charlotte Hornets,132
Nov 9 2018,1,Sacramento Kings,11,121,10:00p,231,Minnesota Timberwolves,110
Nov 9 2018,1,Utah Jazz,8,123,9:30p,238,Boston Celtics,115
