Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Mar 11 2019,Brooklyn Nets,,7:30p,Detroit Pistons,
Mar 11 2019,Cleveland Cavaliers,,7:00p,Toronto Raptors,
Mar 11 2019,Houston Rockets,,8:00p,Charlotte Hornets,
Mar 11 2019,Los Angeles Clippers,,10:30p,Boston Celtics,
Mar 11 2019,Utah Jazz,,9:00p,Oklahoma City Thunder,
Mar 11 2019,Washington Wizards,,7:00p,Sacramento Kings,
