Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
9,25,31,12.5,47,94,20,16,10,23.8,14,12.7,40,Dec 10 2018,Phoenix Suns,7,21,27,5.8,45,85,33,26,10,25.0,8,15.3,42,["Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"|"Devin Booker"|"Jamal Crawford"],["Mike Callahan"|"Mitchell Ervin"|"Courtney Kirkland"],Los Angeles Clippers,119,123
9,29,22,8.1,42,85,27,18,12,27.9,9,6.7,42,Dec 11 2018,Houston Rockets,10,25,20,7.1,38,87,21,18,13,30.2,1,12.7,44,["Anfernee Simons"|"Gary Trent"|"Carmelo Anthony"|"Marquese Chriss"|"Vince Edwards"|"Brandon Knight"|"Zhou Qi"],["Tony Brown"|"Tyler Ford"|"J.T. Orr"],Portland Trail Blazers,111,104
7,25,25,7.5,38,86,19,16,12,26.7,2,13.7,44,Dec 11 2018,Los Angeles Clippers,14,29,34,9.8,50,96,12,9,10,23.8,8,6.5,43,["Chris Boucher"|"Kawhi Leonard"|"Jordan Loyd"|"Norman Powell"|"Angel Delgado"|"Luc Mbah a Moute"|"Johnathan Motley"|"Jerome Robinson"],["Tony Brothers"|"Jason Goldenberg"|"Mark Lindsay"],Toronto Raptors,99,123
13,21,28,3.7,41,83,19,16,8,20.0,7,14.1,46,Dec 11 2018,San Antonio Spurs,8,28,19,8.1,33,82,14,12,8,17.4,7,16.2,40,["Devin Booker"|"Eric Moreland"|"Elie Okobo"|"Drew Eubanks"|"Pau Gasol"|"Ben Moore"|"Dejounte Murray"|"Lonnie Walker"],["James Capers"|"Brian Forte"|"Justin Van Duyne"],Phoenix Suns,111,86
9,28,21,9.6,35,85,37,29,6,13.3,7,6.5,42,Dec 12 2018,Charlotte Hornets,13,34,23,17.5,40,86,21,14,10,21.7,4,12.8,49,["Reggie Bullock"|"Henry Ellenson"|"Glenn Robinson"|"Ish Smith"|"Joe Chealey"|"Devonte' Graham"|"J.P. Macura"],["Scott Foster"|"Ron Garretson"|"Phenizee Ransom"],Detroit Pistons,108,107
10,34,19,6.0,43,91,21,17,12,26.1,7,10.7,51,Dec 12 2018,Cleveland Cavaliers,11,27,21,12.3,41,94,14,13,9,18.8,7,10.7,43,["Trey Burke"|"Isaiah Hicks"|"Courtney Lee"|"Kristaps Porzingis"|"Lance Thomas"|"Allonzo Trier"|"John Henson"|"Kevin Love"|"J.R. Smith"|"Tristan Thompson"],["Ed Malloy"|"Derek Richardson"|"Scott Twardoski"],New York Knicks,113,106
12,34,22,8.3,35,75,43,32,4,12.5,13,13.0,36,Dec 12 2018,Dallas Mavericks,11,33,21,4.9,43,93,14,10,16,33.3,7,17.5,44,["Jeremy Lin"|"Miles Plumlee"|"Alex Poythress"|"Taurean Waller-Prince"|"Omari Spellman"|"Kostas Antetokounmpo"|"Daryl Macon"|"Dirk Nowitzki"|"Dennis Smith"|"Ray Spalding"],["Derrick Collins"|"Justin Van Duyne"|"Sean Wright"],Atlanta Hawks,114,107
6,26,28,17.5,39,82,13,9,5,11.6,5,17.8,40,Dec 12 2018,Golden State Warriors,9,28,27,5.4,44,91,19,16,10,22.2,12,10.0,48,["Chris Boucher"|"Kawhi Leonard"|"Jordan Loyd"|"Norman Powell"|"DeMarcus Cousins"|"Marcus Derrickson"|"Andre Iguodala"|"Damian Jones"],["Eric Dalen"|"Kane Fitzgerald"|"Courtney Kirkland"],Toronto Raptors,93,113
12,30,31,8.3,43,91,20,15,14,29.2,7,13.8,54,Dec 12 2018,Indiana Pacers,11,43,22,9.8,38,91,15,10,9,18.4,6,10.9,43,["Trevon Duval"|"Jaylen Morris"|"D.J. Wilson"|"Christian Wood"|"Ike Anigbogu"|"Davon Reed"|"Edmond Sumner"],["Mark Ayotte"|"Ashley Moyer-Gleich"|"Josh Tiven"],Milwaukee Bucks,113,97
8,24,19,15.4,34,82,24,16,9,18.4,9,11.5,51,Dec 12 2018,Memphis Grizzlies,6,22,15,15.5,32,87,16,13,4,8.7,11,13.0,44,["Maurice Harkless"|"Anfernee Simons"|"Dillon Brooks"|"Jevon Carter"|"D.J. Stephens"|"Yuta Watanabe"],["Pat Fraher"|"Gediminas Petraitis"|"Evan Scott"],Portland Trail Blazers,92,83
4,18,29,6.8,45,97,30,24,17,36.2,14,13.4,56,Dec 12 2018,New Orleans Pelicans,13,43,23,7.6,42,87,27,17,9,18.8,10,15.4,39,["Deonte Burton"|"Tyler Davis"|"Andre Roberson"|"Trevon Bluiett"|"Nikola Mirotic"|"E'Twaun Moore"|"Elfrid Payton"],["David Guthrie"|"Tre Maddox"|"Dedric Taylor"],Oklahoma City Thunder,118,114
