Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Feb 1 2019,Charlotte Hornets,,7:00p,Memphis Grizzlies,
Feb 1 2019,Denver Nuggets,,10:00p,Houston Rockets,
Feb 1 2019,Miami Heat,,8:00p,Oklahoma City Thunder,
Feb 1 2019,New York Knicks,,7:30p,Boston Celtics,
Feb 1 2019,Utah Jazz,,9:00p,Atlanta Hawks,
