Away_3P,Away_3PA,Away_AST,Away_BLK_PCT,Away_FG,Away_FGA,Away_FTA,Away_FTM,Away_ORB,Away_ORB_PCT,Away_STL,Away_TOV_PCT,Away_TRB,Date,Home,Home_3P,Home_3PA,Home_AST,Home_BLK_PCT,Home_FG,Home_FGA,Home_FTA,Home_FTM,Home_ORB,Home_ORB_PCT,Home_STL,Home_TOV_PCT,Home_TRB,Injuries,Referees,Visitor,awayPts,homePts
9,31,15,5.4,42,102,30,21,7,11.1,9,5.7,44,Oct 31 2017,Brooklyn Nets,10,22,18,7.0,45,96,24,22,10,21.3,5,14.5,66,["Eric Bledsoe"|"Brandon Knight"|"Alec Peters"|"Davon Reed"|"Alan Williams"|"Quincy Acy"|"Jeremy Lin"|"Yakuba Ouattara"|"Isaiah Whitehead"],["Tony Brothers"|"Kevin Scott"|"Haywoode Workman"],Phoenix Suns,114,122
12,29,25,9.5,36,85,22,17,14,28.0,8,12.9,53,Oct 31 2017,Indiana Pacers,2,14,15,8.9,37,88,14,7,9,18.8,8,12.9,45,["Jack Cooley"|"Harry Giles"|"JaKarr Sampson"|"Garrett Temple"|"Glenn Robinson"|"Edmond Sumner"|"Myles Turner"],["Bennie Adams"|"Pat Fraher"|"Brett Nansel"],Sacramento Kings,101,83
12,26,30,8.2,45,91,14,11,11,24.4,9,12.6,53,Oct 31 2017,Los Angeles Lakers,10,33,21,4.6,41,94,3,1,10,19.2,7,11.2,44,["Dwight Buycks"|"Luke Kennard"|"Luis Montero"|"Vander Blue"|"Thomas Bryant"|"Alex Caruso"|"Luol Deng"],["Ron Garretson"|"Aaron Smith"|"Leon Wood"],Detroit Pistons,113,93
9,31,24,7.5,32,77,22,18,4,9.8,8,13.9,31,Oct 31 2017,Milwaukee Bucks,12,28,24,6.5,40,81,21,18,9,25.0,6,14.3,46,["PJ Dozier"|"Daniel Hamilton"|"Kyle Singler"|"Joel Bolomboy"|"Greg Monroe"|"Jabari Parker"|"Gary Payton"],["Marc Davis"|"Lauren Holtkamp"|"Karl Lane"],Oklahoma City Thunder,91,110
17,41,30,4.9,40,82,19,16,16,45.7,10,15.0,52,Nov 1 2017,Boston Celtics,6,20,24,12.2,35,81,12,10,7,16.3,10,14.8,26,["Jack Cooley"|"Harry Giles"|"Georgios Papagiannis"|"JaKarr Sampson"|"Kadeem Allen"|"Jabari Bird"|"Gordon Hayward"|"Marcus Morris"],["Tony Brown"|"Ed Malloy"|"Vladimir Voyard-Tadal"],Sacramento Kings,113,86
14,25,21,5.5,45,84,29,22,7,18.4,5,10.2,41,Nov 1 2017,Charlotte Hornets,19,36,29,5.1,45,91,15,12,9,20.9,3,12.5,40,["Joel Bolomboy"|"Greg Monroe"|"Jabari Parker"|"Gary Payton"|"Nicolas Batum"|"Michael Carter-Williams"|"Mangok Mathiang"|"Julyan Stone"],["Nick Buchert"|"Sean Corbin"|"Derek Richardson"],Milwaukee Bucks,126,121
7,31,25,4.7,43,86,20,14,8,18.6,6,14.4,41,Nov 1 2017,Cleveland Cavaliers,16,26,35,1.8,49,90,13,10,8,19.5,9,10.3,43,["Glenn Robinson"|"Edmond Sumner"|"Myles Turner"|"John Holland"|"London Perrantes"|"Iman Shumpert"|"Isaiah Thomas"],["Mitchell Ervin"|"Kane Fitzgerald"|"Tre Maddox"],Indiana Pacers,107,124
16,32,35,7.4,47,88,29,19,9,23.7,9,10.6,43,Nov 1 2017,Denver Nuggets,11,31,20,7.1,42,85,25,16,9,20.9,7,11.9,38,["Lorenzo Brown"|"Bruno Caboclo"|"Malcolm Miller"|"Torrey Craig"|"Juan Hernangomez"|"Tyler Lydon"|"Monte Morris"],["Leroy Richardson"|"Dedric Taylor"|"Tom Washington"],Toronto Raptors,129,111
13,28,27,9.4,41,78,29,24,7,19.4,9,15.0,49,Nov 1 2017,Los Angeles Clippers,12,36,20,10.0,35,89,20,16,9,17.6,8,12.5,38,["Gian Clavell"|"Seth Curry"|"Dorian Finney-Smith"|"Josh McRoberts"|"Johnathan Motley"|"Milos Teodosic"|"C.J. Williams"|"Jamil Wilson"],["David Guthrie"|"Monty McCutchen"|"J.T. Orr"],Dallas Mavericks,119,98
10,30,21,6.5,39,82,16,11,5,13.5,12,12.7,31,Nov 1 2017,Memphis Grizzlies,13,29,25,15.4,38,75,14,12,6,18.8,6,22.8,38,["Jamel Artis"|"Khem Birch"|"Adreian Payne"|"Elfrid Payton"|"JaMychal Green"|"Vince Hunter"|"Ben McLemore"|"Wayne Selden"],["Mike Callahan"|"Jason Goldenberg"|"Michael Smith"],Orlando Magic,99,101
12,31,21,0.0,34,83,19,17,3,6.0,8,10.7,48,Nov 1 2017,Miami Heat,7,28,20,11.5,36,89,19,12,7,13.5,7,11.0,54,["Ryan Arcidiacono"|"Antonio Blakeney"|"Zach LaVine"|"Nikola Mirotic"|"Cameron Payne"|"Bobby Portis"|"A.J. Hammons"|"Rodney McGruder"|"Derrick Walton"|"Matt Williams"],["Brandon Adair"|"Scott Wall"|"Sean Wright"],Chicago Bulls,97,91
8,31,27,6.6,36,84,21,18,9,20.0,13,16.9,38,Nov 1 2017,New Orleans Pelicans,6,22,20,5.7,41,83,24,16,11,27.5,13,18.3,47,["Anthony Brown"|"Justin Patton"|"Alexis Ajinca"|"Omer Asik"|"Charles Cooke"|"Solomon Hill"|"Frank Jackson"|"Jalen Jones"|"Rajon Rondo"],["Matt Boland"|"Jonathan Sterling"|"Zach Zarba"],Minnesota Timberwolves,98,104
