Date,Home,Home_Diff,Home_Pts,Start_Time,Visitor,Visitor_Pts
Jan 8 2019,Cleveland Cavaliers,-8,115,7:00p,Indiana Pacers,123
Jan 8 2019,Golden State Warriors,27,122,10:30p,New York Knicks,95
Jan 8 2019,Los Angeles Clippers,19,128,10:30p,Charlotte Hornets,109
Jan 8 2019,Miami Heat,-4,99,7:30p,Denver Nuggets,103
Jan 8 2019,Oklahoma City Thunder,-2,117,8:00p,Minnesota Timberwolves,119
Jan 8 2019,Philadelphia 76ers,17,132,7:00p,Washington Wizards,115
Jan 8 2019,Phoenix Suns,4,115,9:00p,Sacramento Kings,111
Jan 8 2019,Toronto Raptors,3,104,7:30p,Atlanta Hawks,101
