Date,Home,Home_Pts,Start_Time,Visitor,Visitor_Pts
Mar 26 2019,Charlotte Hornets,,7:00p,San Antonio Spurs,
Mar 26 2019,Cleveland Cavaliers,,7:00p,Boston Celtics,
Mar 26 2019,Dallas Mavericks,,8:30p,Sacramento Kings,
Mar 26 2019,Denver Nuggets,,9:00p,Detroit Pistons,
Mar 26 2019,Los Angeles Lakers,,10:30p,Washington Wizards,
Mar 26 2019,Miami Heat,,7:30p,Orlando Magic,
Mar 26 2019,Milwaukee Bucks,,8:00p,Houston Rockets,
Mar 26 2019,Minnesota Timberwolves,,8:00p,Los Angeles Clippers,
Mar 26 2019,New Orleans Pelicans,,8:00p,Atlanta Hawks,
Mar 26 2019,Toronto Raptors,,7:30p,Chicago Bulls,
