2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
28.6,54.5,.525,12.0,36.1,.398,.333,24.0,5.1,.233,12.7,.543,33.4,74.9,114.8,40.6,90.6,.449,23.4,18.5,.790,.258,47,-7.97,.204,13.8,.515,9.9,21.6,107.2,103.0,23.1,49,111.8,18,0.40,-7.57,7.8,16.2,43.3,20,31.4,58.0,.542,11.9,32.7,.363,25.0,6.4,35.9,43.3,90.7,.478,27.4,21.2,.772,11.2,21.0,119.7,9.0,15.0,47.0,Atlanta Hawks
27.1,52.2,.519,12.9,37.9,.420,.340,24.0,4.6,.181,10.9,.507,37.6,77.8,108.7,40.0,90.0,.444,24.1,18.0,.744,.268,34,-0.64,.199,13.4,.515,10.8,23.5,108.1,101.2,20.7,33,110.8,31,-0.54,-1.18,6.5,15.5,48.5,30,29.1,58.6,.496,12.1,34.6,.350,22.4,5.3,35.2,41.2,93.3,.442,22.1,16.9,.763,10.8,20.9,111.4,7.8,12.6,46.0,Brooklyn Nets
28.8,55.4,.519,12.4,34.2,.382,.363,22.8,5.6,.212,13.6,.510,35.3,77.5,106.8,41.2,89.6,.459,22.8,18.3,.801,.255,21,6.17,.204,12.0,.529,10.7,23.9,112.9,99.3,21.4,20,113.0,44,-0.48,5.69,8.3,13.6,46.0,43,26.5,52.3,.507,11.8,34.5,.342,22.2,5.6,34.0,38.3,86.8,.442,24.2,18.4,.761,10.2,20.6,106.8,7.0,15.3,44.3,Boston Celtics
25.2,51.6,.489,12.1,34.3,.399,.352,23.8,4.1,.159,13.1,.546,31.8,74.4,113.3,37.3,85.9,.434,21.6,16.2,.748,.252,42,-6.75,.188,13.3,.504,11.0,23.9,106.3,95.8,18.8,46,102.9,19,-0.12,-6.88,6.6,14.6,42.8,23,29.3,52.5,.558,12.4,35.1,.352,26.6,5.0,35.0,41.7,87.5,.476,18.4,14.0,.758,10.9,20.6,109.6,8.0,14.4,46.0,Charlotte Hornets
27.4,53.5,.511,12.2,35.1,.396,.348,23.2,4.1,.239,16.3,.546,31.4,75.6,109.8,39.6,88.6,.447,20.5,15.5,.755,.231,43,-3.08,.175,13.7,.515,10.5,22.8,106.7,99.7,21.8,39,106.8,26,-0.73,-3.81,10.0,15.5,41.9,22,28.3,50.9,.557,11.2,31.6,.353,25.4,5.9,35.4,39.5,82.5,.479,26.0,19.7,.759,10.2,19.2,109.9,8.2,18.3,45.5,Chicago Bulls
29.1,56.1,.519,11.2,31.8,.362,.351,23.1,3.2,.164,11.7,.560,33.4,77.4,115.4,40.3,87.9,.458,19.9,15.1,.758,.227,46,-7.89,.172,14.6,.522,10.8,24.6,107.5,98.7,18.3,47,106.9,18,0.33,-7.57,6.9,16.5,44.2,19,31.5,56.4,.558,12.4,33.0,.375,26.1,6.3,33.1,43.9,89.4,.491,19.2,14.7,.767,9.7,19.6,114.8,9.4,13.0,42.9,Cleveland Cavaliers
26.3,48.5,.542,15.3,41.5,.461,.369,24.5,5.0,.172,10.9,.519,36.4,77.4,110.6,41.6,90.0,.462,23.1,17.9,.773,.257,27,6.04,.198,11.3,.548,10.6,23.5,116.7,99.1,19.0,22,116.4,45,-0.20,5.84,6.3,12.8,47.0,40,29.6,56.9,.520,11.8,34.3,.345,23.8,4.0,34.7,41.4,91.2,.454,20.7,15.6,.757,10.6,20.8,110.3,7.1,12.2,45.3,Dallas Mavericks
31.0,58.5,.529,10.9,30.4,.342,.358,26.5,4.6,.194,13.0,.526,33.5,77.0,109.5,41.8,88.9,.471,20.5,15.9,.775,.230,22,2.95,.178,12.3,.532,10.8,24.7,112.5,97.2,20.0,26,110.4,39,0.06,3.02,8.1,13.7,44.3,43,27.9,52.7,.531,11.6,33.6,.346,25.0,4.5,32.8,39.6,86.2,.459,22.1,16.7,.756,10.0,20.0,107.4,7.1,14.3,42.8,Denver Nuggets
27.3,53.0,.515,12.0,32.7,.381,.367,24.1,4.5,.186,12.7,.541,32.0,75.9,112.7,39.3,85.7,.459,22.4,16.6,.743,.261,46,-3.56,.194,13.8,.529,9.8,22.6,109.0,97.6,19.7,40,107.2,26,-0.66,-4.22,7.4,15.3,41.7,20,31.3,57.8,.541,10.7,29.6,.361,24.6,5.6,33.4,41.9,87.3,.480,20.9,16.2,.777,10.1,19.8,110.8,8.2,14.0,43.5,Detroit Pistons
28.2,56.9,.495,10.4,31.3,.355,.334,25.6,4.6,.193,13.7,.553,32.9,76.4,113.8,38.6,88.2,.438,23.2,18.7,.803,.264,50,-8.71,.212,13.2,.497,10.0,21.5,105.2,100.3,20.1,49,106.3,16,0.79,-7.92,8.2,14.9,42.8,15,28.7,53.8,.533,13.5,34.8,.389,26.1,4.9,36.3,42.2,88.6,.476,21.9,17.1,.783,10.2,20.1,115.0,8.2,15.6,46.5,Golden State Warriors
