age,guaranteed,name,signedUsing,team,y1,y2,y2option,y3,y3option,y4,y4option,y5,y5option,y6,y6option
24,$4538020,Marcus Smart,1st Round Pick,Boston Celtics,$4538020,,None,,None,,None,,None,,None
31,$4328000,Aron Baynes,Room Exception,Boston Celtics,$4328000,,None,,None,,None,,None,,None
22,$4915080,Guerschon Yabusele,1st Round Pick,Boston Celtics,$2247480,$2667600,None,$3117240,Team,$4781846,Team,,None,,None
23,$5038910,Terry Rozier,1st round pick,Boston Celtics,$1988520,$3050390,None,,None,,None,,None,,None
25,$1524305,Shane Larkin,Minimum Salary,Boston Celtics,$1524305,,None,,None,,None,,None,,None
23,$2193857,Semi Ojeleye,,Boston Celtics,$1291892,$1378242,None,$1618520,None,$1752950,Team,,None,,None
24,$1617333,Abdel Nader,,Boston Celtics,$1167333,$1378242,None,$1618520,None,$1752950,Team,,None,,None
25,$815615,Daniel Theis,Minimum Salary,Boston Celtics,$815615,$1378242,None,,None,,None,,None,,None
23,$50000,Jabari Bird,Two-Way Contract,Boston Celtics,TBD,,None,,None,,None,,None,,None
25,$50000,Kadeem Allen,Two-Way Contract,Boston Celtics,TBD,,None,,None,,None,,None,,None
23,$650000,Demetrius Jackson,,Boston Celtics,$92858,$92857,None,$92857,None,$92857,None,$92857,None,$92857,None
26,$83129,Jarell Eddie,,Boston Celtics,$83129,,None,,None,,None,,None,,None
32,$47319725,Dwight Howard,Cap Space,Charlotte Hornets,$23500000,$23819725,None,,None,,None,,None,,None
29,$72000000,Nicolas Batum,Cap Space,Charlotte Hornets,$22434783,$24000000,None,$25565217,None,$27130434,Player,,None,,None
31,$27256250,Marvin Williams,Cap Space,Charlotte Hornets,$13168750,$14087500,None,$15006250,Player,,None,,None,,None
24,$26000000,Michael Kidd-Gilchrist,1st Round Pick,Charlotte Hornets,$13000000,$13000000,None,$13000000,Player,,None,,None,,None
25,$56000000,Cody Zeller,1st Round Pick,Charlotte Hornets,$12584270,$13528090,None,$14471910,None,$15415730,None,,None,,None
27,$24000000,Kemba Walker,1st Round Pick,Charlotte Hornets,$12000000,$12000000,None,,None,,None,,None,,None
25,$14488372,Jeremy Lamb,Rookie scale extension,Charlotte Hornets,$7000000,$7488372,None,,None,,None,,None,,None
20,$6351960,Malik Monk,1st Round Pick,Charlotte Hornets,$2904480,$3447480,None,$4028400,Team,$5345687,Team,,None,,None
24,$6475442,Frank Kaminsky,1st round pick,Charlotte Hornets,$2847600,$3627842,None,,None,,None,,None,,None
26,$2700000,Michael Carter-Williams,Bi-annual Exception,Charlotte Hornets,$2700000,,None,,None,,None,,None,,None
29,$1524305,Julyan Stone,Minimum Salary,Charlotte Hornets,$1524305,$1656092,None,,None,,None,,None,,None
23,$2980701,Willy Hernangomez,Cap Space,Charlotte Hornets,$1435750,$1544951,None,$1701735,None,,None,,None,,None
24,$1312611,Treveon Graham,Minimum Salary,Charlotte Hornets,$1312611,,None,,None,,None,,None,,None
22,$2193857,Dwayne Bacon,MLE,Charlotte Hornets,$815615,$1378242,None,$1618520,None,,None,,None,,None
25,$50000,Mangok Mathiang,Two-Way Contract,Charlotte Hornets,TBD,,None,,None,,None,,None,,None
24,$50000,Marcus Paige,Two-Way Contract,Charlotte Hornets,TBD,,None,,None,,None,,None,,None
29,$28146250,Robin Lopez,Cap Space,Chicago Bulls,$13788500,$14357750,None,,None,,None,,None,,None
31,$24882021,Omer Asik,Bird Rights,Chicago Bulls,$10595505,$11286516,None,$11977527,Early Termination,,None,,None,,None
25,$32000000,Cristiano Felicio,Cap space,Chicago Bulls,$7843500,$8470980,None,$8156500,None,$7529020,None,,None,,None
28,$9000001,Justin Holiday,MLE,Chicago Bulls,$4615385,$4384616,None,,None,,None,,None,,None
23,$8267760,Kris Dunn,1st Round pick,Chicago Bulls,$4046760,$4221000,None,$5348007,Team,,None,,None,,None
20,$8357760,Lauri Markkanen,1st Round Pick,Chicago Bulls,$3821640,$4536120,None,$5300400,Team,$6731508,Team,,None,,None
22,$3505233,Noah Vonleh,1st Round Pick,Chicago Bulls,$3505233,,None,,None,,None,,None,,None
23,$3202217,Zach LaVine,1st Round Pick,Chicago Bulls,$3202217,,None,,None,,None,,None,,None
23,$5466735,Cameron Payne,1st round pick,Chicago Bulls,$2203440,$3263295,None,,None,,None,,None,,None
24,$4467000,Denzel Valentine,1st Round pick,Chicago Bulls,$2186400,$2280600,None,$3377569,Team,,None,,None,,None
25,$4353154,Jerian Grant,1st Round pick,Chicago Bulls,$1713840,$2639314,None,,None,,None,,None,,None
23,$4010666,Bobby Portis,1st Round pick,Chicago Bulls,$1516320,$2494346,None,,None,,None,,None,,None
24,$1312611,Paul Zipser,Cap Space,Chicago Bulls,$1312611,$1544951,None,$1676735,Team,,None,,None,,None
25,$1312611,David Nwaba,Minimum Salary,Chicago Bulls,$1312611,,None,,None,,None,,None,,None
23,$50000,Ryan Arcidiacono,Two-Way Contract,Chicago Bulls,TBD,,None,,None,,None,,None,,None
21,$50000,Antonio Blakeney,Two-Way Contract,Chicago Bulls,TBD,,None,,None,,None,,None,,None
36,$15550000,Dwyane Wade,,Chicago Bulls,$15550000,,None,,None,,None,,None,,None
30,$3853931,Quincy Pondexter,,Chicago Bulls,$3853931,,None,,None,,None,,None,,None
32,$3000000,Rajon Rondo,,Chicago Bulls,$3000000,,None,,None,,None,,None,,None
36,$2116955,Tony Allen,,Chicago Bulls,$2116955,,None,,None,,None,,None,,None
27,$1577230,Willie Reed,,Chicago Bulls,$1577230,,None,,None,,None,,None,,None
22,$456529,Kay Felder,,Chicago Bulls,$1312611,$1544951,None,,None,,None,,None,,None
26,$200000,Isaiah Canaan,,Chicago Bulls,$200000,,None,,None,,None,,None,,None
26,,Jarell Eddie,,Chicago Bulls,$83129,,None,,None,,None,,None,,None
21,$50000,Diamond Stone,,Chicago Bulls,$50000,,None,,None,,None,,None,,None
