2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
7.7,14.2,.544,0.0,0.1,.500,3.2,26,1.1,7.6,7.8,14.3,.543,1.8,2.8,.644,74,74,37.2,Al Horford,2.6,2.2,17.4,1.1,2.0,10.2,.545
6.4,12.9,.498,0.8,2.6,.303,4.2,27,1.8,6.7,7.2,15.6,.465,2.2,4.2,.517,76,76,35.3,Josh Smith,1.8,2.3,17.5,1.2,3.0,8.4,.491
4.4,9.1,.482,1.1,3.1,.359,7.2,24,0.4,1.9,5.5,12.2,.451,2.5,2.8,.881,80,78,32.9,Jeff Teague,0.3,2.3,14.6,1.5,2.9,2.3,.496
1.2,2.5,.471,2.6,5.6,.457,2.0,31,0.5,3.6,3.7,8.1,.461,0.9,1.1,.859,74,60,30.5,Kyle Korver,0.3,2.3,10.9,0.9,0.9,4.0,.618
2.9,6.3,.466,1.8,5.0,.367,3.6,26,0.3,1.8,4.8,11.4,.422,2.7,3.1,.868,39,9,28.7,Lou Williams,0.2,1.4,14.1,1.1,1.9,2.1,.503
2.0,3.7,.549,1.3,4.0,.335,3.4,29,0.2,1.9,3.3,7.6,.438,1.9,2.7,.727,58,34,24.5,Devin Harris,0.1,1.8,9.9,1.1,1.5,2.0,.525
2.2,4.6,.479,0.0,0.1,.000,1.5,28,0.2,3.9,2.2,4.6,.473,1.5,2.0,.757,52,15,21.8,Zaza Pachulia,2.5,2.5,5.9,0.7,1.3,6.5,.473
0.4,0.9,.415,1.4,3.7,.364,0.9,31,0.1,1.9,1.8,4.7,.374,0.2,0.4,.522,56,31,20.7,DeShawn Stevenson,0.3,1.2,5.1,0.5,0.4,2.2,.519
0.9,2.6,.333,1.0,2.9,.350,2.7,33,0.0,0.9,1.9,5.4,.342,0.3,0.3,1.000,7,0,16.1,Jannero Pargo,0.1,1.1,5.0,0.4,0.7,1.0,.434
0.6,1.3,.446,0.7,2.1,.338,0.5,27,0.2,2.0,1.3,3.5,.380,0.7,0.8,.863,62,11,15.5,Anthony Tolliver,0.5,1.1,4.1,0.2,0.6,2.5,.484
2.7,5.0,.536,0.0,0.2,.077,0.7,28,0.2,2.8,2.7,5.2,.520,1.2,1.9,.618,69,5,15.0,Ivan Johnson,1.1,1.9,6.6,0.8,1.0,3.9,.521
1.3,2.6,.500,0.9,2.3,.384,0.9,21,0.2,1.3,2.1,4.8,.446,1.0,1.1,.843,61,2,14.8,John Jenkins,0.3,0.6,6.1,0.2,0.7,1.5,.536
1.0,2.5,.414,0.1,0.4,.250,0.7,32,0.0,0.7,1.1,2.9,.390,0.8,1.1,.677,28,4,13.6,Dahntay Jones,0.4,1.6,3.1,0.4,0.6,1.1,.409
1.4,2.5,.551,0.7,1.8,.400,2.2,22,0.0,1.2,2.1,4.2,.488,0.4,0.7,.571,20,1,13.4,Shelvin Mack,0.0,1.4,5.2,0.5,1.2,1.2,.571
1.3,3.0,.438,0.6,1.6,.395,0.4,27,0.0,0.7,2.0,4.6,.423,0.7,0.8,.889,24,1,12.5,Anthony Morrow,0.4,1.4,5.2,0.5,0.2,1.1,.491
1.5,3.4,.443,0.0,0.1,.250,0.5,27,0.3,2.5,1.5,3.5,.436,0.4,0.4,.917,31,8,11.4,Johan Petro,1.1,1.5,3.5,0.3,0.8,3.6,.441
1.8,3.7,.479,0.0,0.0,.000,0.3,24,0.1,1.8,1.8,3.7,.476,1.1,1.4,.768,40,1,9.4,Mike Scott,1.0,0.8,4.6,0.1,0.5,2.8,.476
0.0,0.0,,0.0,0.0,,0.0,21,0.0,3.0,0.0,0.0,,0.0,0.0,,1,0,5.0,Jeremy Tyler,0.0,0.0,0.0,0.0,0.0,3.0,
4.1,9.1,.452,2.1,5.5,.375,3.5,31,0.2,2.3,6.2,14.6,.423,1.8,2.2,.820,72,72,36.7,Joe Johnson,0.7,1.4,16.3,0.7,1.7,3.0,.493
4.2,8.7,.482,2.2,5.7,.378,7.7,28,0.4,2.6,6.3,14.4,.440,4.1,4.7,.859,78,78,36.4,Deron Williams,0.4,2.5,18.9,1.0,2.8,3.0,.516
7.7,14.8,.522,0.0,0.0,.000,0.9,24,2.1,4.1,7.7,14.8,.521,4.0,5.3,.758,74,74,30.4,Brook Lopez,2.8,2.1,19.4,0.4,1.8,6.9,.521
2.0,4.3,.461,0.7,2.4,.282,2.6,30,0.7,3.6,2.6,6.6,.397,1.8,2.8,.637,69,68,30.1,Gerald Wallace,1.0,1.7,7.7,1.4,1.6,4.6,.448
1.6,3.3,.479,0.0,0.0,,0.5,32,0.2,7.9,1.6,3.3,.479,1.4,2.8,.509,80,56,24.6,Reggie Evans,3.3,2.5,4.5,0.9,1.4,11.1,.479
1.3,3.1,.424,1.1,2.7,.411,2.0,28,0.2,1.3,2.4,5.7,.418,0.9,1.1,.780,80,8,19.0,C.J. Watson,0.5,1.5,6.8,0.8,0.9,1.8,.514
4.2,8.0,.524,0.0,0.3,.136,1.0,26,0.7,3.1,4.2,8.2,.512,1.8,2.6,.685,82,8,19.0,Andray Blatche,2.0,2.0,10.3,1.0,1.5,5.1,.514
0.3,0.5,.615,1.1,3.3,.343,1.0,32,0.1,1.4,1.5,3.8,.380,0.1,0.2,.647,74,23,19.0,Keith Bogans,0.2,1.5,4.2,0.4,0.7,1.6,.528
2.1,4.7,.451,0.0,0.0,.000,0.5,27,0.5,3.7,2.1,4.8,.448,1.5,1.9,.789,65,21,18.3,Kris Humphries,1.9,2.0,5.8,0.2,0.9,5.6,.448
1.0,2.2,.434,0.8,2.4,.337,0.9,38,0.1,0.8,1.8,4.6,.384,0.5,0.6,.870,37,0,14.7,Jerry Stackhouse,0.1,0.8,4.9,0.2,0.6,0.9,.471
1.9,3.8,.500,0.2,0.8,.273,1.0,24,0.2,1.0,2.1,4.6,.463,0.9,1.3,.734,73,2,12.5,MarShon Brooks,0.4,1.3,5.4,0.5,0.9,1.4,.485
0.6,1.5,.442,0.7,2.0,.343,0.4,27,0.2,1.2,1.3,3.5,.384,0.2,0.2,.818,53,0,9.4,Mirza Teletovic,0.6,1.0,3.5,0.2,0.4,1.8,.484
0.0,0.5,.000,0.0,0.3,.000,0.0,24,0.0,0.5,0.0,0.8,.000,0.5,1.0,.500,4,0,7.5,Kris Joseph,0.0,0.3,0.5,0.8,0.0,0.5,.000
0.4,1.3,.278,0.1,0.2,.333,0.4,29,0.1,0.6,0.4,1.5,.286,0.1,0.1,.500,14,0,7.1,Josh Childress,0.4,0.2,1.0,0.1,0.0,1.1,.310
0.7,1.9,.351,0.2,0.3,.462,0.6,22,0.0,0.4,0.8,2.3,.368,0.4,0.7,.556,38,0,5.8,Tyshawn Taylor,0.1,0.7,2.2,0.3,0.7,0.5,.402
0.5,1.1,.429,0.1,0.1,.500,0.2,21,0.1,0.7,0.5,1.2,.435,0.5,0.8,.563,19,0,4.9,Tornike Shengelia,0.5,0.6,1.6,0.2,0.6,1.2,.457
0.0,0.0,,0.0,0.0,,0.0,25,0.0,0.5,0.0,0.0,,0.0,0.0,,2,0,0.0,Damion James,0.0,0.0,0.0,0.0,0.0,0.5,
5.6,10.9,.513,0.3,1.3,.240,11.1,26,0.2,4.4,5.9,12.2,.484,1.6,2.4,.645,38,38,37.4,Rajon Rondo,1.1,2.5,13.7,1.8,3.9,5.6,.497
4.3,9.2,.466,1.9,5.0,.380,4.8,35,0.4,5.7,6.2,14.2,.436,4.3,5.5,.787,77,77,33.4,Paul Pierce,0.6,2.7,18.6,1.1,2.8,6.3,.502
6.2,12.3,.504,0.0,0.2,.125,2.3,36,0.9,6.7,6.2,12.5,.496,2.3,3.0,.786,68,68,29.7,Kevin Garnett,1.1,2.3,14.8,1.1,1.6,7.8,.498
3.0,7.0,.432,0.8,2.5,.317,2.1,22,0.4,1.6,3.8,9.6,.402,0.7,1.0,.755,50,50,28.7,Avery Bradley,0.6,2.6,9.2,1.3,1.4,2.2,.444
3.8,7.7,.490,0.9,2.2,.385,1.6,26,0.8,3.2,4.6,10.0,.467,2.6,3.3,.808,81,17,27.8,Jeff Green,0.7,2.2,12.8,0.7,1.6,3.9,.510
3.5,7.2,.487,0.0,0.0,.000,1.0,27,0.8,3.7,3.5,7.3,.486,1.6,1.9,.860,81,69,27.6,Brandon Bass,1.6,2.3,8.7,0.5,1.0,5.2,.486
2.0,4.0,.498,1.6,4.2,.372,2.5,35,0.1,1.8,3.6,8.2,.434,1.4,1.7,.870,79,24,26.9,Jason Terry,0.2,1.4,10.1,0.8,1.3,2.0,.529
2.4,4.8,.503,0.7,2.0,.372,1.8,27,0.3,2.0,3.2,6.8,.464,0.8,0.9,.861,78,39,24.9,Courtney Lee,0.4,1.8,7.8,1.1,1.1,2.4,.519
2.4,5.3,.465,0.9,2.8,.320,2.5,24,0.1,2.3,3.3,8.0,.415,1.6,2.0,.792,27,2,21.6,Jordan Crawford,0.5,1.7,9.1,0.4,1.6,2.7,.470
2.4,4.9,.500,0.0,0.1,.200,0.8,20,0.5,3.8,2.5,5.0,.493,1.0,1.4,.746,45,5,19.8,Jared Sullinger,2.0,3.4,6.0,0.5,0.6,5.9,.496
1.8,2.5,.724,0.0,0.0,.000,0.4,30,0.5,2.0,1.8,2.5,.719,0.6,1.0,.672,61,7,13.6,Chris Wilcox,0.9,2.0,4.2,0.5,0.6,3.0,.719
1.8,3.4,.524,0.2,0.6,.333,1.6,25,0.1,1.7,2.0,4.0,.495,0.4,0.9,.429,24,0,13.3,Terrence Williams,0.2,0.5,4.6,0.5,0.9,1.8,.521
1.6,3.6,.445,0.4,1.1,.383,1.4,30,0.1,0.9,2.0,4.7,.430,0.8,1.0,.756,41,2,12.5,Leandro Barbosa,0.2,1.2,5.2,0.4,0.5,1.1,.477
1.8,3.0,.583,0.0,0.0,,0.3,29,0.4,2.6,1.8,3.0,.583,0.7,1.7,.407,16,0,12.4,Shavlik Randolph,1.8,2.4,4.2,0.5,0.6,4.4,.583
