College,Experience,Height,Name,Position,Weight,team
University of Virginia,3,6-6,Justin Anderson,SG,228,Atlanta Hawks
Old Dominion University,6,6-5,Kent Bazemore,SG,201,Atlanta Hawks
Harvard University,8,6-3,Jeremy Lin,PG,200,Atlanta Hawks
Baylor University,2,6-8,Taurean Prince,SF,220,Atlanta Hawks
Saint Joseph's University,2,6-6,DeAndre' Bembry,SG,210,Atlanta Hawks
Duke University,6,6-11,Miles Plumlee,C,249,Atlanta Hawks
Wake Forest University,1,6-10,John Collins,PF,235,Atlanta Hawks
University of Oregon,1,6-5,Tyler Dorsey,SG,183,Atlanta Hawks
University of Southern California,5,7-0,Dewayne Dedmon,C,245,Atlanta Hawks
University of Oklahoma,R,6-2,Trae Young,PG,180,Atlanta Hawks
University of Maryland,R,6-7,Kevin Huerter,SG,190,Atlanta Hawks
Villanova University,R,6-9,Omari Spellman,PF,245,Atlanta Hawks
St. Bonaventure University,R,6-2,Jaylen Adams  (TW),PG,190,Atlanta Hawks
University of Maryland,5,7-1,Alex Len,C,260,Atlanta Hawks
University of Connecticut,1,6-7,Daniel Hamilton,SG,195,Atlanta Hawks
University of Kentucky,2,6-7,Alex Poythress  (TW),PF,238,Atlanta Hawks
University of North Carolina,20,6-6,Vince Carter,SF,220,Atlanta Hawks
Morehead State University,7,6-8,Kenneth Faried,PF,228,Brooklyn Nets
Ohio State University,3,6-5,D'Angelo Russell,PG,195,Brooklyn Nets
University of Arizona,3,6-7,Rondae Hollis-Jefferson,SF,220,Brooklyn Nets
Vanderbilt University University of Missouri,9,6-8,DeMarre Carroll,SF,215,Brooklyn Nets
University of California,5,6-6,Allen Crabbe,SG,210,Brooklyn Nets
University of Michigan,2,6-7,Caris LeVert,SF,203,Brooklyn Nets
Boston College,11,6-7,Jared Dudley,PF,225,Brooklyn Nets
University of Colorado,4,6-6,Spencer Dinwiddie,PG,200,Brooklyn Nets
University of Texas at Austin,1,6-10,Jarrett Allen,C,234,Brooklyn Nets
,R,6-10,Dzanan Musa,SG,195,Brooklyn Nets
,R,6-9,Rodions Kurucs,SF,220,Brooklyn Nets
University of Connecticut,4,6-1,Shabazz Napier,PG,175,Brooklyn Nets
University of North Carolina,8,6-10,Ed Davis,C,240,Brooklyn Nets
University of Virginia,4,6-6,Joe Harris,SG,219,Brooklyn Nets
Virginia Commonwealth University,2,6-6,Treveon Graham,SG,220,Brooklyn Nets
University of North Carolina,R,6-6,Theo Pinson  (TW),SG,220,Brooklyn Nets
University of California Santa Barbara,3,6-8,Alan Williams  (TW),F-C,260,Brooklyn Nets
Duke University,7,6-3,Kyrie Irving,PG,193,Boston Celtics
University of Kansas,7,6-9,Marcus Morris,PF,235,Boston Celtics
University of Louisville,3,6-2,Terry Rozier,PG,190,Boston Celtics
University of Florida,11,6-10,Al Horford,C,245,Boston Celtics
University of California,2,6-7,Jaylen Brown,SG,225,Boston Celtics
Duke University,1,6-8,Jayson Tatum,SF,205,Boston Celtics
Butler University,8,6-8,Gordon Hayward,SF,226,Boston Celtics
Southern Methodist University,1,6-7,Semi Ojeleye,PF,241,Boston Celtics
,1,6-7,Guerschon Yabusele,PF,260,Boston Celtics
,1,6-9,Daniel Theis,C,215,Boston Celtics
