College,Experience,Height,Name,Position,Weight,team
Stanford,10,7-0,Jason Collins,C,255,Atlanta Hawks
Mississippi State,15,6-11,Erick Dampier,C,265,Atlanta Hawks
Detroit Mercy,8,6-4,Willie Green,SG,200,Atlanta Hawks
Kansas,8,6-4,Kirk Hinrich,SG,190,Atlanta Hawks
Florida,4,6-9,Al Horford,C,245,Atlanta Hawks
Oregon Cal State San Bernardino,R,6-8,Ivan Johnson,PF,230,Atlanta Hawks
Arkansas,10,6-7,Joe Johnson,SG,240,Atlanta Hawks
,14,6-8,Tracy McGrady,SF,210,Atlanta Hawks
,8,6-11,Zaza Pachulia,C,270,Atlanta Hawks
Arkansas,7,6-1,Jannero Pargo,PG,175,Atlanta Hawks
,10,6-10,Vladimir Radmanović,SF,227,Atlanta Hawks
Texas A&M,R,6-3,Donald Sloan,PG,205,Atlanta Hawks
,7,6-9,Josh Smith,PF,225,Atlanta Hawks
UNC,16,6-6,Jerry Stackhouse,SF,218,Atlanta Hawks
Wake Forest,2,6-3,Jeff Teague,PG,195,Atlanta Hawks
UNC,6,6-8,Marvin Williams,SF,237,Atlanta Hawks
Kentucky,8,6-5,Keith Bogans,SF,215,New Jersey Nets
Providence,R,6-5,MarShon Brooks,SG,200,New Jersey Nets
Texas Tech,1,6-5,Andre Emmett,SF,230,New Jersey Nets
UCLA,5,6-2,Jordan Farmar,PG,180,New Jersey Nets
Georgia,2,6-1,Sundiata Gaines,SG,185,New Jersey Nets
,4,6-6,Gerald Green,SF,205,New Jersey Nets
NC State,R,6-9,Dennis Horner,PF,230,New Jersey Nets
Minnesota,7,6-9,Kris Humphries,PF,235,New Jersey Nets
Texas,1,6-7,Damion James,SF,225,New Jersey Nets
Nevada,1,6-3,Armon Johnson,PG,195,New Jersey Nets
Stanford,3,7-0,Brook Lopez,C,270,New Jersey Nets
Georgia Tech,3,6-5,Anthony Morrow,SG,210,New Jersey Nets
,9,6-11,Mehmet Okur,C,249,New Jersey Nets
Oral Roberts,1,6-7,Larry Owens,SF,210,New Jersey Nets
,6,7-0,Johan Petro,C,247,New Jersey Nets
Louisville,R,6-2,Jerry Smith,PG,190,New Jersey Nets
,11,6-5,DeShawn Stevenson,SF,210,New Jersey Nets
Alabama,10,6-7,Gerald Wallace,SF,215,New Jersey Nets
Illinois,6,6-3,Deron Williams,PG,200,New Jersey Nets
Maryland,R,6-10,Jordan Williams,C,260,New Jersey Nets
Memphis,4,6-9,Shawne Williams,SF,225,New Jersey Nets
Duke,5,6-9,Shelden Williams,C,250,New Jersey Nets
UConn,15,6-5,Ray Allen,SG,205,Boston Celtics
LSU,6,6-8,Brandon Bass,PF,250,Boston Celtics
Texas,1,6-3,Avery Bradley,PG,180,Boston Celtics
Auburn,8,6-6,Marquis Daniels,SG,200,Boston Celtics
Missouri,11,6-3,Keyon Dooling,SG,196,Boston Celtics
,16,6-11,Kevin Garnett,C,240,Boston Celtics
UCLA,5,7-0,Ryan Hollins,C,240,Boston Celtics
Purdue,R,6-10,JaJuan Johnson,PF,221,Boston Celtics
Purdue,R,6-3,E'Twaun Moore,PG,191,Boston Celtics
,15,6-11,Jermaine O'Neal,C,226,Boston Celtics
,8,6-8,Sasha Pavlović,SF,220,Boston Celtics
Kansas,13,6-7,Paul Pierce,SF,235,Boston Celtics
,8,6-6,Mickaël Piétrus,SG,215,Boston Celtics
Kentucky,5,6-1,Rajon Rondo,PG,186,Boston Celtics
Wisconsin,R,6-11,Greg Stiemsma,C,260,Boston Celtics
Maryland,9,6-10,Chris Wilcox,C,221,Boston Celtics
Boston College,3,6-10,Sean Williams,C,235,Boston Celtics
Texas,3,5-11,D.J. Augustin,PG,183,Charlotte Bobcats
,R,6-8,Bismack Biyombo,C,255,Charlotte Bobcats
