3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.216,35.1,0.5,-1.1,-2.0,7.9,1.9,.362,Jeff Teague,0.9,1.6,3.3,17.1,1.8,16.1,4.7,.541,25.7,0.6,5.2,.098
.202,16.2,2.5,3.1,2.4,21.9,4.0,.373,Paul Millsap,0.7,7.2,2.7,19.8,2.6,13.2,14.6,.545,25.7,3.2,6.7,.129
.644,13.3,0.8,2.2,0.2,12.4,2.0,.154,Kyle Korver,2.0,1.1,3.9,13.5,1.5,13.6,6.8,.653,14.2,2.5,5.9,.118
.417,8.9,0.7,2.1,1.1,14.5,2.6,.220,DeMarre Carroll,1.0,5.3,3.2,13.9,2.3,10.1,10.0,.575,15.2,2.4,5.8,.119
.367,28.8,0.1,-2.4,-1.7,10.7,1.2,.148,Shelvin Mack,-0.7,1.6,1.2,13.2,1.7,14.3,6.2,.510,19.0,-0.1,2.3,.074
.318,8.9,0.4,-3.0,-2.3,17.2,1.2,.210,Mike Scott,-0.7,4.9,1.3,15.3,1.0,10.3,11.1,.559,23.5,-0.4,2.6,.084
.469,22.9,0.2,-1.8,-2.1,9.1,1.0,.363,Lou Williams,0.3,0.8,1.6,14.2,1.6,13.9,5.0,.547,20.9,0.1,2.6,.087
.006,8.1,4.9,0.5,3.1,21.5,2.1,.283,Elton Brand,-2.7,8.0,1.4,14.0,1.4,13.8,14.8,.561,13.9,0.9,3.6,.121
.026,15.2,3.6,2.8,2.0,21.4,1.3,.202,Al Horford,0.8,8.0,1.5,22.0,1.4,12.3,14.8,.588,24.7,1.1,2.8,.141
.582,9.8,1.0,-1.4,-0.9,18.9,0.9,.224,Pero Antic,-0.5,7.2,0.5,11.7,1.0,14.5,13.1,.545,18.6,0.1,1.4,.075
.570,5.9,0.7,-2.9,-1.5,13.0,0.7,.238,Cartier Martin,-1.3,1.7,0.4,10.9,1.6,10.4,7.4,.555,17.5,-0.2,1.1,.064
.223,22.0,0.0,-8.3,-2.1,9.9,0.4,.229,Dennis Schroder,-6.2,0.9,-1.1,5.8,1.3,22.8,5.4,.442,19.0,-1.0,-0.7,-0.054
.000,10.0,1.8,-0.2,3.0,22.3,0.7,.196,Gustavo Ayon,-3.2,11.4,0.0,12.9,3.0,20.7,16.9,.505,14.8,0.2,0.7,.078
.041,5.2,3.7,-6.0,-0.4,18.7,0.2,.192,Mike Muscala,-5.6,9.2,-0.1,10.8,0.7,13.2,14.0,.480,19.3,-0.2,0.2,.040
.429,10.4,0.5,-7.5,-1.8,13.8,0.1,.095,John Jenkins,-5.7,2.2,-0.2,4.7,0.3,20.1,8.1,.457,15.8,-0.2,-0.1,-0.043
.556,5.6,1.5,-8.1,-2.2,14.9,0.0,.222,James Nunnally,-5.9,2.2,-0.1,6.2,0.9,16.8,8.6,.455,20.0,-0.1,-0.1,-0.055
.500,18.8,0.0,-12.4,-3.5,5.2,0.0,1.000,Jared Cunningham,-8.8,0.0,-0.1,-1.8,0.0,41.0,2.6,.347,10.1,-0.1,-0.1,-0.110
.000,0.0,0.0,-22.7,-17.3,0.0,0.0,2.000,Dexter Pittman,-5.4,100.0,0.0,13.1,0.0,0.0,57.9,.000,28.5,0.0,0.0,-0.180
.397,15.0,0.3,-0.2,-2.2,10.3,1.0,.192,Joe Johnson,2.0,2.2,3.9,15.5,1.0,9.8,6.3,.564,22.3,1.2,4.9,.091
.421,14.5,1.2,1.5,0.2,18.3,2.3,.435,Paul Pierce,1.3,1.5,2.9,16.8,2.2,15.3,9.9,.595,22.4,1.8,5.2,.119
.374,32.8,0.5,1.2,-1.5,8.9,1.5,.302,Deron Williams,2.7,0.9,3.8,17.6,2.4,15.0,4.9,.564,21.8,1.6,5.4,.125
.012,20.1,1.3,0.6,1.1,10.8,1.8,.392,Shaun Livingston,-0.5,4.1,2.6,14.5,2.5,15.5,7.5,.551,16.1,1.3,4.4,.108
.511,7.3,0.5,-2.2,-1.4,9.1,0.9,.243,Alan Anderson,-0.8,2.7,0.8,9.5,1.4,10.4,5.9,.525,15.9,-0.1,1.7,.047
.080,12.8,2.0,0.1,0.7,19.9,2.1,.328,Andray Blatche,-0.6,8.9,1.6,18.8,2.4,12.5,14.4,.532,25.6,0.8,3.7,.109
.660,7.1,1.4,-0.5,-2.0,17.6,1.1,.117,Mirza Teletovic,1.5,5.2,1.6,14.3,1.1,8.8,11.4,.559,20.5,0.5,2.7,.094
.010,8.1,3.6,2.4,1.9,19.6,1.7,.646,Mason Plumlee,0.5,9.3,3.0,19.0,2.0,16.6,14.5,.670,17.1,1.4,4.7,.176
.008,12.4,3.0,-1.9,2.8,32.1,1.9,.132,Kevin Garnett,-4.7,6.5,-0.7,13.3,2.0,15.5,19.3,.467,18.9,0.0,1.2,.054
.031,13.1,1.9,0.1,1.9,12.7,0.9,.744,Andrei Kirilenko,-1.9,7.7,0.4,12.4,2.5,20.3,10.2,.532,14.6,0.4,1.3,.070
.515,8.6,0.4,-0.7,-2.4,10.8,0.5,.226,Marcus Thornton,1.6,3.5,0.6,16.1,2.3,9.0,7.1,.547,24.4,0.2,1.1,.087
.678,15.3,0.0,-4.2,-2.8,6.9,0.2,.099,Jason Terry,-1.4,0.8,0.0,7.4,1.2,14.5,3.9,.501,15.3,-0.3,0.2,.016
.004,6.1,4.8,1.1,-0.7,14.1,0.5,.502,Brook Lopez,1.8,8.8,1.9,25.4,0.9,9.1,11.5,.629,27.1,0.4,2.3,.211
.000,1.8,0.4,-6.9,-1.3,28.7,0.5,1.102,Reggie Evans,-5.6,15.9,-0.1,9.0,1.7,24.2,22.4,.462,13.6,-0.5,0.4,.046
.132,21.4,0.3,-9.7,-2.7,5.3,0.2,.330,Tyshawn Taylor,-7.0,1.3,-0.7,5.4,2.3,22.9,3.3,.427,23.5,-0.5,-0.6,-0.098
.222,19.4,0.3,-3.4,-0.8,9.3,0.2,.222,Jorge Gutierrez,-2.6,1.5,0.1,8.7,2.2,19.1,5.4,.523,14.1,-0.1,0.2,.048
.151,23.8,0.4,-6.6,-1.3,12.5,0.2,.358,Marquis Teague,-5.3,0.0,-0.2,8.4,2.1,26.4,6.3,.505,19.5,-0.2,-0.1,-0.017
.125,3.5,0.5,-3.6,0.5,8.3,0.1,.167,Jason Collins,-4.1,4.9,-0.1,4.1,2.4,21.4,6.6,.485,8.9,-0.1,0.1,.017
.250,13.3,0.6,-7.1,-1.4,8.7,0.0,.333,Tornike Shengelia,-5.7,3.5,-0.2,3.3,0.8,28.6,6.1,.454,13.2,-0.2,-0.2,-0.054
.338,8.4,1.3,-2.1,-1.3,13.6,2.0,.304,Jeff Green,-0.7,2.1,1.3,13.1,1.0,11.1,7.7,.520,23.6,0.0,3.3,.057
.008,6.4,2.4,-1.2,0.2,15.9,1.9,.330,Brandon Bass,-1.3,7.8,3.2,15.0,0.8,10.9,11.8,.549,18.2,0.5,5.1,.107
.231,10.1,1.8,-0.3,-0.6,20.6,2.0,.226,Jared Sullinger,0.3,13.0,1.9,16.4,0.9,10.7,16.7,.497,24.1,0.9,3.9,.091
.242,8.1,0.5,-2.5,-1.4,11.2,1.4,.136,Avery Bradley,-1.1,2.9,0.4,12.7,1.7,9.9,6.9,.510,23.2,-0.2,1.8,.046
.278,14.9,0.8,-0.3,2.2,14.5,1.6,.439,Gerald Wallace,-2.5,2.8,-0.3,10.0,2.7,26.1,8.5,.543,11.6,0.6,1.3,.043
.227,13.1,1.5,0.5,0.2,18.8,1.4,.243,Kelly Olynyk,0.3,11.0,1.5,15.2,1.3,16.0,14.8,.546,21.0,0.9,2.9,.101
.004,8.2,3.4,0.0,1.2,24.0,1.8,.312,Kris Humphries,-1.2,10.2,2.3,18.2,1.2,10.9,16.9,.552,19.0,0.7,4.1,.143
.345,31.0,0.2,-0.3,-1.9,10.0,0.7,.277,Jordan Crawford,1.6,1.7,1.7,15.7,1.5,14.1,5.7,.525,22.0,0.5,2.4,.096
.419,30.8,0.3,-4.4,-0.6,8.8,1.1,.178,Phil Pressey,-3.7,1.9,-1.0,8.8,3.1,24.2,5.3,.390,14.1,-0.7,0.1,.005
.341,20.4,0.3,-1.7,-1.5,8.1,0.7,.161,Jerryd Bayless,-0.2,1.5,0.7,12.5,2.0,12.9,4.7,.514,19.9,0.1,1.4,.064
.257,47.7,0.2,0.0,-0.2,16.6,1.0,.191,Rajon Rondo,0.2,2.4,0.2,15.3,2.1,20.7,9.3,.461,21.3,0.5,1.1,.054
.593,6.0,0.4,-0.8,-0.9,9.8,0.5,.201,Chris Johnson,0.1,4.3,0.9,10.8,1.8,8.6,7.0,.537,14.3,0.2,1.4,.085
.284,10.9,1.4,-1.2,-0.9,9.5,0.4,.120,Courtney Lee,-0.4,1.8,0.6,14.6,2.0,11.5,5.5,.573,19.2,0.1,1.0,.094
.272,5.2,4.3,-3.1,1.1,20.6,0.7,.252,Vitor Faverani,-4.2,9.5,-0.3,11.0,1.5,20.1,14.9,.502,18.6,-0.1,0.3,.031
.000,1.9,4.1,-4.2,1.1,14.1,0.1,.231,Joel Anthony,-5.3,9.6,0.0,8.1,1.0,6.5,11.8,.384,9.1,-0.1,0.1,.043
.900,3.3,0.0,-4.4,-0.7,11.5,0.1,.000,Chris Babb,-3.7,3.3,-0.1,3.7,2.3,9.1,7.3,.367,11.1,-0.1,0.0,-0.008
.167,8.6,1.1,-8.3,-1.6,28.8,0.1,.583,MarShon Brooks,-6.7,1.5,-0.1,10.7,0.7,18.8,14.8,.514,22.6,-0.1,0.0,.017
1.000,7.7,0.0,-2.1,-2.2,6.4,0.0,.500,Keith Bogans,0.1,0.0,0.1,9.9,0.9,12.0,3.1,.820,6.7,0.0,0.1,.121
.250,10.7,0.0,-13.9,-3.1,23.4,0.0,1.250,Vander Blue,-10.9,0.0,-0.1,0.5,0.0,24.4,11.4,.403,24.3,0.0,-0.1,-0.214
.286,29.7,1.0,1.7,0.2,11.6,3.3,.295,Kemba Walker,1.6,1.7,1.8,16.8,1.7,11.6,6.6,.499,25.8,2.4,5.1,.093
.011,12.8,2.4,1.8,1.5,28.3,4.7,.201,Al Jefferson,0.3,6.9,3.1,22.7,1.4,7.6,17.5,.532,29.3,2.5,7.8,.146
.124,13.9,1.0,-1.7,0.0,12.9,2.8,.332,Gerald Henderson,-1.7,1.4,0.8,13.1,1.1,9.6,7.1,.507,22.1,0.2,3.6,.071
.514,21.9,1.5,2.9,1.6,13.8,3.0,.150,Josh McRoberts,1.3,4.0,3.5,13.8,1.3,12.1,8.9,.548,13.4,2.9,6.5,.132
.025,5.4,2.1,-0.9,1.7,16.2,2.2,.521,Michael Kidd-Gilchrist,-2.7,8.2,0.9,12.0,1.5,12.1,12.2,.516,15.2,0.4,3.1,.098
.002,10.4,2.3,-1.3,1.8,18.8,2.2,.495,Cody Zeller,-3.2,9.4,0.4,13.1,1.5,15.0,14.1,.498,18.9,0.2,2.6,.090
.146,26.2,0.4,-2.6,-1.4,8.3,1.3,.503,Ramon Sessions,-1.1,1.9,0.8,14.6,1.3,14.1,5.1,.509,23.4,-0.2,2.0,.075
.805,5.0,0.9,0.3,-0.5,11.8,1.3,.134,Anthony Tolliver,0.8,2.9,1.9,11.0,0.8,6.6,7.3,.605,12.4,0.8,3.2,.117
.000,1.1,6.3,-2.5,2.2,27.6,2.1,.618,Bismack Biyombo,-4.7,11.0,1.1,13.3,0.3,17.9,19.3,.606,9.6,-0.1,3.2,.144
.524,7.9,1.2,0.1,0.4,11.5,1.2,.325,Chris Douglas-Roberts,-0.3,1.8,1.1,12.2,1.5,11.1,6.6,.588,14.7,0.5,2.4,.113
.307,5.7,0.6,-5.4,-1.2,8.1,0.6,.216,Jeffery Taylor,-4.2,2.7,-0.8,5.9,1.1,9.5,5.4,.436,19.4,-0.5,-0.2,-0.019
.356,12.6,0.0,-2.0,-2.2,8.5,0.5,.263,Gary Neal,0.2,0.4,0.6,14.0,1.1,10.4,4.5,.571,22.0,0.0,1.1,.105
.370,22.4,1.3,-3.8,-0.8,8.1,0.4,.065,Luke Ridnour,-3.0,2.4,-0.2,8.6,1.2,15.3,5.2,.450,16.0,-0.2,0.2,.030
.269,12.2,0.6,-6.8,-1.0,9.8,0.3,.194,Ben Gordon,-5.9,1.2,-0.7,6.4,1.9,15.2,5.5,.422,22.9,-0.3,-0.3,-0.058
.000,4.1,4.6,0.4,2.9,24.4,0.5,.625,Jeff Adrien,-2.5,14.5,0.4,14.9,1.4,13.6,19.4,.559,10.6,0.2,0.9,.170
.508,40.3,0.3,0.9,-2.2,8.9,0.4,.093,Jannero Pargo,3.1,0.5,0.2,18.9,3.0,17.5,4.7,.554,28.4,0.2,0.5,.105
.000,0.0,0.0,-6.9,3.4,22.7,0.0,.000,D.J. White,-10.3,0.0,0.0,2.4,5.2,0.0,11.3,.000,4.6,0.0,0.0,.004
,0.0,0.0,-0.1,12.9,0.0,0.0,,Justin Hamilton,-13.0,0.0,0.0,0.0,13.0,100.0,0.0,,11.5,0.0,0.0,-0.190
.333,0.0,0.0,-46.4,-13.3,0.0,0.0,.000,James Southerland,-33.1,0.0,-0.1,-40.6,0.0,0.0,0.0,.000,46.2,0.0,-0.1,-1.119
.003,26.4,3.3,6.6,5.5,24.5,6.6,.419,Joakim Noah,1.1,11.6,4.5,20.0,1.9,17.0,18.2,.531,18.7,6.1,11.2,.190
.346,11.1,1.1,2.4,2.4,10.5,4.6,.488,Jimmy Butler,0.0,3.9,2.4,13.5,2.6,10.8,7.2,.522,16.8,2.9,7.1,.131
.419,12.3,1.4,0.7,1.1,13.0,4.1,.212,Mike Dunleavy,-0.3,2.1,2.4,12.6,1.3,11.3,7.6,.549,17.0,1.8,6.5,.121
.008,7.3,3.7,-1.1,1.4,17.1,4.4,.314,Taj Gibson,-2.6,9.8,1.4,16.0,0.9,12.8,13.5,.524,23.0,0.5,5.7,.117
.002,10.9,0.8,-3.4,0.6,25.9,4.3,.197,Carlos Boozer,-4.0,7.4,-0.9,14.4,1.3,12.6,16.8,.489,26.3,-0.7,3.4,.076
.391,22.6,1.0,-0.8,0.5,8.5,3.3,.202,Kirk Hinrich,-1.3,1.7,0.4,10.8,2.0,15.1,5.2,.494,17.3,0.6,3.8,.085
.463,29.3,0.1,1.0,-2.1,6.7,2.4,.318,D.J. Augustin,3.1,0.9,4.0,16.8,1.5,12.8,3.9,.574,22.5,1.4,6.4,.166
.530,9.1,0.9,-3.0,-0.2,9.6,1.7,.122,Tony Snell,-2.9,1.8,-0.1,8.0,1.3,11.1,5.7,.489,14.9,-0.3,1.6,.063
.175,18.7,0.4,1.4,0.7,15.4,1.4,.350,Luol Deng,0.7,5.4,1.0,17.0,1.5,12.6,10.5,.536,25.1,0.7,2.4,.132
.000,5.8,4.1,-3.3,2.6,21.7,1.2,.238,Nazr Mohammed,-6.0,13.6,-0.4,10.1,1.3,21.0,17.7,.445,14.5,-0.2,0.8,.070
.287,26.2,0.2,-5.1,-2.3,8.3,0.4,.195,Derrick Rose,-2.8,3.3,-0.6,9.7,0.9,16.0,5.9,.446,31.5,-0.2,-0.2,-0.036
.152,17.9,1.3,-10.6,-1.1,8.3,0.3,.242,Marquis Teague,-9.5,0.5,-0.8,0.0,0.4,18.9,4.5,.308,17.2,-0.5,-0.5,-0.094
.238,34.1,0.0,-10.6,-2.1,10.2,0.1,.095,Mike James,-8.6,0.0,-0.2,1.5,1.4,18.6,5.2,.251,16.1,-0.2,-0.1,-0.073
.231,4.9,5.0,-8.1,1.8,10.8,0.1,.000,Erik Murphy,-9.8,3.7,-0.2,0.2,0.0,13.3,7.3,.231,11.2,-0.1,-0.1,-0.055
.379,11.1,0.0,-6.5,-4.4,12.0,0.1,.069,Jimmer Fredette,-2.0,2.1,0.0,11.6,0.0,11.8,7.1,.535,27.9,-0.1,0.0,.043
.625,6.8,0.0,-0.4,-1.1,9.3,0.1,.500,Cartier Martin,0.7,2.4,0.1,13.3,1.1,9.3,5.9,.768,10.3,0.0,0.2,.174
.000,19.8,0.0,-4.4,1.1,13.2,0.0,.000,Tornike Shengelia,-5.5,0.0,0.0,9.0,3.1,20.0,6.7,.500,13.6,0.0,0.0,.073
,0.0,0.0,-6.3,1.0,0.0,0.0,,Jarvis Varnado,-7.3,0.0,0.0,-9.1,0.0,,0.0,,0.0,0.0,0.0,.038
,0.0,0.0,-6.3,1.0,0.0,0.0,,Ronnie Brewer,-7.3,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029
,0.0,0.0,-6.3,1.0,0.0,0.0,,Lou Amundson,-7.3,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029
.001,4.5,1.1,-2.0,-0.5,21.5,2.3,.445,Tristan Thompson,-1.5,11.4,3.4,14.9,0.8,10.6,16.3,.528,17.5,0.0,5.7,.106
.278,31.6,0.8,3.2,-0.9,9.5,2.1,.273,Kyrie Irving,4.1,2.3,4.6,20.1,2.2,12.1,5.8,.533,28.2,3.3,6.7,.128
.265,22.7,0.8,-2.3,-0.9,10.3,1.4,.213,Jarrett Jack,-1.4,1.1,0.9,11.5,1.3,14.8,5.6,.498,17.8,-0.2,2.3,.049
.252,18.2,0.7,-2.1,-1.8,9.0,1.3,.237,Dion Waiters,-0.2,1.7,0.3,14.0,1.6,12.3,5.3,.508,26.9,0.0,1.6,.037
.015,12.2,1.8,2.7,3.0,28.2,2.7,.294,Anderson Varejao,-0.4,11.4,2.7,17.0,2.0,12.2,19.6,.527,14.6,2.1,5.4,.144
.251,12.0,0.3,-0.6,-0.8,12.2,0.9,.285,Luol Deng,0.1,4.8,1.3,14.0,1.4,8.8,8.4,.503,20.6,0.5,2.2,.077
.524,22.1,0.3,-2.1,-1.7,8.5,0.7,.162,Matthew Dellavedova,-0.5,2.5,1.4,10.7,1.3,15.9,5.4,.534,13.2,0.0,2.1,.078
.003,5.6,3.0,-1.7,0.2,19.6,1.1,.417,Tyler Zeller,-1.9,10.8,1.5,15.4,0.9,14.9,15.1,.581,17.1,0.1,2.6,.120
.246,6.9,1.2,-2.6,0.7,12.8,1.0,.258,Alonzo Gee,-3.3,3.8,-0.1,8.6,2.0,14.3,8.2,.491,13.4,-0.2,0.9,.041
.516,9.1,1.3,0.7,-1.2,9.9,0.9,.183,C.J. Miles,2.0,2.0,1.5,16.0,2.4,9.1,5.9,.569,22.0,0.7,2.5,.122
.354,13.5,2.8,1.6,1.0,23.6,0.9,.172,Spencer Hawes,0.6,5.9,1.0,16.6,0.8,14.5,14.5,.571,20.7,0.7,1.9,.114
.483,3.6,2.3,-4.9,-1.0,17.6,0.7,.100,Earl Clark,-3.8,3.1,-0.5,8.6,1.2,10.7,10.2,.467,17.9,-0.5,0.2,.014
.236,4.0,1.0,-7.3,-1.5,18.4,0.7,.307,Anthony Bennett,-5.8,8.1,-1.1,6.9,1.6,15.5,13.1,.425,20.3,-0.9,-0.4,-0.028
.000,9.6,4.9,-3.1,0.8,18.9,0.5,.207,Andrew Bynum,-4.0,10.7,-0.2,14.8,0.6,11.9,14.7,.456,23.4,-0.1,0.4,.036
.000,4.5,3.5,-4.1,0.8,23.2,0.2,.311,Henry Sims,-4.8,14.4,0.0,10.7,1.5,13.5,18.7,.430,15.7,-0.1,0.2,.059
.543,5.6,0.5,-7.5,-1.6,11.8,0.1,.286,Sergey Karasev,-5.9,0.0,-0.2,2.3,1.0,21.8,5.8,.470,14.4,-0.2,-0.1,-0.041
.357,18.2,0.0,-4.7,-3.5,15.1,0.0,.286,Carrick Felix,-1.1,2.9,0.0,13.3,0.0,20.2,8.9,.603,23.2,0.0,0.0,.057
.000,0.0,0.0,-15.2,-4.7,9.6,0.0,.000,Shane Edwards,-10.5,9.1,0.0,-1.0,0.0,25.0,9.3,.333,14.9,0.0,0.0,-0.141
.333,0.0,0.0,3.9,4.8,12.8,0.0,.000,Seth Curry,-0.9,0.0,0.0,19.9,11.5,0.0,6.2,.500,14.9,0.0,0.0,.187
.500,18.8,0.0,-17.2,-4.3,0.0,0.0,.500,Scotty Hopson,-12.9,0.0,-0.1,-6.5,7.4,0.0,0.0,.102,31.1,0.0,-0.1,-0.412
.000,0.0,0.0,-18.2,-3.4,23.0,0.0,.000,Arinze Onuaku,-14.8,0.0,0.0,-5.3,0.0,0.0,11.2,.000,8.9,0.0,0.0,-0.179
.164,24.8,0.6,0.0,-0.6,9.8,2.1,.336,Monta Ellis,0.6,1.5,2.8,16.8,2.4,15.2,5.6,.532,26.0,1.5,4.9,.078
.258,14.2,1.4,3.3,-0.8,20.0,2.3,.295,Dirk Nowitzki,4.1,1.8,8.6,23.6,1.4,7.5,10.9,.603,26.9,3.5,10.9,.199
.568,22.4,0.4,1.3,-2.0,7.6,0.8,.084,Jose Calderon,3.3,1.4,5.4,15.2,1.4,11.7,4.5,.596,16.2,2.1,6.3,.122
.229,7.6,1.3,1.1,1.1,17.4,2.1,.092,Shawn Marion,0.0,6.4,2.2,13.7,1.9,11.4,11.9,.537,15.7,1.9,4.3,.086
.457,16.5,1.5,1.1,-1.0,12.6,1.3,.242,Vince Carter,2.2,4.0,3.0,15.9,1.6,10.7,8.3,.539,23.1,1.6,4.3,.105
.003,3.4,4.8,0.6,1.5,24.2,2.1,.363,Samuel Dalembert,-0.9,14.4,2.9,16.8,1.3,17.1,19.4,.605,14.8,1.1,4.9,.147
.510,6.7,1.4,0.6,0.6,13.5,1.1,.206,Jae Crowder,0.0,4.3,1.2,11.9,2.4,11.3,8.9,.551,13.2,0.8,2.3,.089
.005,8.9,1.4,0.6,0.8,21.6,1.5,.308,DeJuan Blair,-0.2,13.3,1.8,17.3,2.5,14.7,17.5,.557,19.6,0.8,3.4,.133
.000,4.7,4.2,3.6,0.6,15.1,1.0,.320,Brandan Wright,3.1,11.0,4.1,23.5,1.5,8.5,13.1,.695,17.4,1.5,5.1,.227
.398,31.0,0.2,-1.6,-2.1,10.8,0.4,.453,Devin Harris,0.5,1.1,1.2,14.6,1.8,16.2,6.0,.517,20.2,0.1,1.6,.094
.277,20.4,0.2,-4.7,-1.2,7.3,0.3,.182,Shane Larkin,-3.5,2.6,-0.4,8.3,2.7,20.9,5.0,.446,17.4,-0.3,-0.1,-0.010
.468,7.1,0.4,-1.7,-1.7,10.2,0.2,.087,Wayne Ellington,0.0,2.4,0.4,12.2,2.1,7.8,6.3,.554,16.4,0.0,0.7,.084
.233,30.1,0.3,-9.2,-3.4,8.6,0.1,.140,Gal Mekel,-5.7,2.0,-0.5,5.4,0.7,25.4,5.3,.400,19.0,-0.5,-0.4,-0.073
.043,2.8,4.5,-3.7,1.1,21.2,0.2,.478,Bernard James,-4.8,12.0,0.0,8.5,1.1,26.4,16.6,.503,11.8,-0.1,0.1,.040
.471,9.5,0.0,-7.2,-5.6,7.0,0.0,.235,Ricky Ledo,-1.6,0.0,0.0,12.7,1.6,9.6,3.5,.506,28.6,0.0,0.0,.024
.569,17.7,1.2,0.9,-1.0,8.5,1.3,.211,Randy Foye,1.9,1.6,3.3,13.3,1.3,13.2,5.0,.558,18.8,1.8,4.6,.089
.251,38.2,0.3,1.7,-1.2,8.5,1.5,.504,Ty Lawson,2.9,1.9,4.8,19.0,2.2,16.9,5.2,.554,22.7,2.1,6.3,.136
.004,7.5,2.3,1.2,0.9,22.2,2.5,.379,Kenneth Faried,0.3,11.8,4.0,19.8,1.6,12.4,16.9,.573,21.3,1.8,6.5,.144
.476,9.3,1.2,0.2,-0.6,13.3,1.2,.206,Wilson Chandler,0.7,3.2,1.8,12.4,1.2,8.9,8.2,.526,19.5,1.1,3.1,.076
.012,8.4,2.0,-0.8,0.8,24.8,2.1,.443,J.J. Hickson,-1.7,11.9,1.3,16.2,1.2,14.1,18.3,.521,20.8,0.6,3.3,.086
.044,5.5,4.2,-0.5,1.0,21.9,1.9,.477,Timofey Mozgov,-1.5,10.4,2.6,16.7,0.7,15.6,16.1,.584,18.8,0.7,4.5,.123
.436,11.6,0.3,-2.5,-1.6,12.1,0.8,.226,Evan Fournier,-0.9,2.4,0.6,10.3,1.1,14.3,7.3,.533,19.7,-0.2,1.4,.043
.156,8.0,3.0,-2.8,1.0,14.7,1.2,.151,Darrell Arthur,-3.8,4.8,-0.5,9.4,1.6,11.7,9.8,.459,18.1,-0.2,0.7,.029
.402,21.3,0.3,-0.2,-2.1,7.5,0.5,.222,Nate Robinson,1.9,2.6,1.3,15.6,2.0,12.1,5.0,.544,23.5,0.4,1.8,.101
.365,27.7,0.6,-1.2,-1.6,7.5,0.4,.160,Aaron Brooks,0.4,2.6,0.6,12.9,1.6,16.2,5.0,.508,20.5,0.2,1.0,.058
