2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
5.0,10.2,.489,2.1,5.4,.388,3.9,30,0.2,2.8,7.1,15.5,.454,2.6,3.1,.849,60,60,35.5,Joe Johnson,0.9,1.3,18.8,0.8,1.9,3.7,.521
7.2,15.0,.480,0.4,1.7,.257,3.9,26,1.7,7.5,7.6,16.7,.458,3.1,4.9,.630,66,66,35.3,Josh Smith,2.1,2.6,18.8,1.4,2.5,9.6,.470
4.1,7.9,.514,0.8,2.3,.342,4.9,23,0.6,2.1,4.8,10.2,.476,2.1,2.8,.757,66,66,33.1,Jeff Teague,0.3,2.2,12.6,1.6,2.0,2.4,.514
5.2,9.3,.559,0.0,0.1,.000,2.2,25,1.3,4.6,5.2,9.4,.553,2.0,2.7,.733,11,11,31.6,Al Horford,2.4,1.9,12.4,0.9,1.5,7.0,.553
2.9,5.8,.499,0.0,0.0,,1.4,27,0.5,5.2,2.9,5.8,.499,2.0,2.7,.741,58,44,28.3,Zaza Pachulia,2.7,3.0,7.8,0.9,1.4,7.9,.499
2.5,5.6,.452,1.0,2.6,.389,1.2,25,0.3,3.8,3.6,8.2,.432,2.0,2.6,.788,57,37,26.3,Marvin Williams,1.3,1.5,10.2,0.8,0.7,5.2,.494
1.6,3.3,.472,1.0,2.8,.346,2.8,31,0.2,1.9,2.5,6.1,.414,0.5,0.7,.781,48,31,25.8,Kirk Hinrich,0.2,2.1,6.6,0.8,1.2,2.1,.493
1.9,4.0,.486,0.9,2.1,.442,0.8,30,0.1,1.2,2.9,6.1,.471,0.9,1.1,.857,53,2,17.4,Willie Green,0.3,1.4,7.6,0.4,0.6,1.5,.548
2.5,4.8,.517,0.0,0.1,.333,0.6,27,0.3,2.9,2.5,4.9,.513,1.3,1.8,.720,56,0,16.7,Ivan Johnson,1.2,2.1,6.4,0.8,1.2,4.0,.516
1.7,3.8,.434,0.3,0.6,.455,2.1,32,0.3,2.5,1.9,4.4,.437,1.1,1.6,.675,52,0,16.1,Tracy McGrady,0.4,0.7,5.3,0.3,1.0,3.0,.470
0.5,1.3,.387,1.0,2.8,.370,1.1,31,0.3,2.2,1.5,4.0,.376,0.4,0.6,.759,49,3,15.4,Vladimir Radmanovic,0.7,1.3,4.5,0.4,0.7,2.9,.503
1.0,2.3,.452,1.1,2.8,.384,1.9,32,0.0,1.3,2.1,5.1,.415,0.4,0.4,.950,50,0,13.4,Jannero Pargo,0.2,1.3,5.6,0.4,1.0,1.5,.520
0.5,1.3,.400,0.0,0.0,,0.3,33,0.1,1.2,0.5,1.3,.400,0.2,0.5,.467,30,10,10.3,Jason Collins,0.4,1.1,1.3,0.1,0.3,1.6,.400
0.8,2.1,.387,0.4,1.3,.342,0.5,37,0.1,0.6,1.2,3.3,.370,0.7,0.8,.913,30,0,9.1,Jerry Stackhouse,0.2,0.4,3.6,0.3,0.4,0.8,.435
0.1,0.5,.125,0.0,0.0,,0.3,36,0.3,1.0,0.1,0.5,.125,0.0,0.0,,15,0,5.5,Erick Dampier,0.7,0.6,0.1,0.1,0.2,1.7,.125
0.6,1.4,.429,0.0,0.2,.000,1.0,24,0.0,0.8,0.6,1.6,.375,0.0,0.0,,5,0,4.0,Donald Sloan,0.2,0.6,1.2,0.2,0.4,1.0,.375
5.0,11.3,.446,2.1,6.2,.336,8.7,27,0.4,2.9,7.1,17.5,.407,4.7,5.5,.843,55,55,36.3,Deron Williams,0.4,2.2,21.0,1.2,4.0,3.3,.467
4.0,9.4,.427,1.3,3.3,.385,3.1,29,0.7,5.3,5.3,12.6,.416,3.4,4.0,.859,16,16,35.8,Gerald Wallace,1.5,2.4,15.2,1.4,1.7,6.8,.465
5.2,10.8,.481,0.0,0.0,,1.5,26,1.2,7.2,5.2,10.8,.481,3.4,4.5,.752,62,62,34.9,Kris Humphries,3.8,2.8,13.8,0.8,1.9,11.0,.481
4.1,8.8,.463,0.8,2.7,.313,2.3,23,0.3,2.3,4.9,11.4,.428,2.0,2.6,.764,56,47,29.4,MarShon Brooks,1.3,2.1,12.6,0.9,2.1,3.6,.465
7.6,15.4,.494,0.0,0.0,,1.2,23,0.8,2.0,7.6,15.4,.494,4.0,6.4,.625,5,5,27.2,Brook Lopez,1.6,1.6,19.2,0.2,1.2,3.6,.494
1.7,3.9,.433,1.4,4.2,.319,1.8,32,0.3,3.5,3.1,8.2,.374,0.2,0.3,.600,17,14,26.7,Mehmet Okur,1.3,2.6,7.6,0.5,1.5,4.8,.457
2.7,6.0,.446,1.7,4.6,.371,1.0,26,0.1,1.5,4.4,10.6,.413,1.6,1.7,.933,62,18,26.4,Anthony Morrow,0.5,1.4,12.0,0.7,1.1,2.0,.494
3.6,6.8,.529,1.4,3.5,.391,1.1,26,0.5,3.0,5.0,10.3,.481,1.6,2.1,.754,31,2,25.2,Gerald Green,0.5,2.6,12.9,0.9,1.8,3.5,.548
1.9,4.9,.382,0.0,0.1,.000,0.4,24,1.0,3.7,1.9,5.0,.371,1.1,1.7,.667,7,7,24.3,Damion James,1.0,2.4,4.9,1.0,1.7,4.7,.371
1.7,3.5,.478,0.0,0.0,,0.6,28,0.7,3.6,1.7,3.5,.478,1.3,1.8,.731,58,35,22.0,Shelden Williams,2.4,2.6,4.6,0.8,1.1,6.0,.478
2.4,4.9,.484,1.4,3.2,.440,3.3,25,0.1,1.4,3.8,8.1,.467,1.5,1.6,.905,39,5,21.3,Jordan Farmar,0.2,1.3,10.4,0.6,1.7,1.6,.554
0.8,2.4,.350,0.8,3.5,.241,0.6,25,0.4,1.9,1.7,5.9,.286,0.3,0.4,.727,25,6,20.6,Shawne Williams,0.8,1.8,4.5,0.4,0.5,2.7,.357
