3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.455,45.6,0.3,4.0,-2.3,11.5,0.5,.448,Trae Young,6.3,1.6,5.4,23.9,1.4,16.2,6.5,.595,34.9,3.2,5.9,.134
.445,8.0,0.7,-4.7,-1.8,13.1,0.5,.211,De'Andre Hunter,-2.8,2.3,-0.4,8.6,1.0,12.1,7.6,.521,17.5,-1.4,0.1,.001
.548,17.5,1.3,-1.6,-0.9,12.0,0.6,.105,Kevin Huerter,-0.6,2.1,1.0,11.5,1.4,12.0,7.0,.536,17.1,0.2,1.6,.042
.451,8.0,1.5,-4.2,-1.0,12.7,0.8,.227,Cam Reddish,-3.2,2.4,-1.2,9.0,1.9,13.6,7.5,.500,18.9,-0.9,-0.4,-0.011
.243,7.6,4.1,3.1,-0.7,24.0,1.1,.248,John Collins,3.7,9.0,3.8,23.5,1.1,10.1,16.4,.659,22.7,1.7,4.9,.174
.285,12.3,1.7,-2.4,1.0,14.1,0.7,.211,DeAndre' Bembry,-3.5,4.0,-0.5,9.6,2.8,19.4,8.9,.500,14.0,-0.1,0.2,.011
.051,5.6,3.8,-1.4,0.1,16.2,0.6,.472,Damian Jones,-1.6,8.9,2.2,15.5,1.4,11.5,12.5,.712,11.4,0.1,2.8,.152
.664,7.7,2.4,-4.3,-1.2,13.2,0.4,.095,Vince Carter,-3.1,2.2,-0.6,7.6,1.2,9.4,7.6,.470,16.6,-0.5,-0.2,-0.011
.293,11.6,1.5,0.1,-0.3,17.9,0.7,.183,Jabari Parker,0.4,6.9,0.5,17.2,2.3,12.4,12.3,.565,24.0,0.4,1.2,.069
.215,8.7,3.7,-0.4,-0.3,23.6,0.6,.312,Alex Len,-0.2,9.8,1.1,17.5,1.3,11.7,16.6,.590,18.6,0.3,1.8,.113
.186,9.9,2.0,-4.1,-1.0,20.0,0.4,.256,Bruno Fernando,-3.2,10.0,0.4,11.9,1.2,15.9,15.0,.542,15.3,-0.4,0.8,.055
.650,7.3,0.6,-4.1,-1.1,11.5,0.1,.084,Allen Crabbe,-3.0,2.0,0.0,7.2,1.3,7.5,6.7,.482,12.7,-0.3,0.1,.008
.182,27.3,1.0,-3.1,-1.5,8.8,0.2,.321,Jeff Teague,-1.6,2.5,0.2,12.2,1.7,17.5,5.6,.512,18.3,-0.2,0.4,.035
.458,18.0,0.8,-2.9,-1.3,15.5,0.2,.158,Brandon Goodwin,-1.5,2.7,-0.1,11.7,1.3,12.5,9.0,.507,22.4,-0.1,0.1,.013
.552,7.6,1.3,-4.9,-1.7,11.5,0.1,.284,Treveon Graham,-3.2,8.8,0.0,8.0,1.2,11.7,10.1,.478,13.3,-0.2,0.1,.022
.075,20.6,2.7,-5.6,-0.7,13.0,0.1,.209,Evan Turner,-4.9,3.4,-0.5,6.8,1.7,26.2,8.2,.424,16.4,-0.2,-0.3,-0.064
.429,4.3,5.4,-4.4,0.1,31.8,0.3,.095,Dewayne Dedmon,-4.5,6.4,-0.2,11.4,2.0,10.3,18.9,.463,17.4,-0.1,0.2,.032
.341,10.9,0.5,-8.7,-1.0,13.0,0.1,.386,Tyrone Wallace,-7.7,2.0,-0.3,3.9,2.0,16.3,7.4,.389,16.0,-0.3,-0.3,-0.075
.778,7.5,1.6,-6.0,-1.3,12.1,0.0,.000,Chandler Parsons,-4.7,2.0,-0.1,5.6,3.5,14.3,7.0,.389,16.1,-0.1,-0.1,-0.066
.474,7.3,4.2,-2.5,-1.4,5.5,0.0,.263,Charlie Brown,-1.1,5.3,0.0,11.1,2.3,12.4,5.4,.472,25.1,0.0,0.0,-0.028
.429,21.1,0.0,-13.9,-1.6,12.8,0.0,.000,Paul Watson,-12.3,0.0,-0.1,-7.1,2.7,0.0,6.3,.000,17.1,-0.1,-0.1,-0.320
.392,35.6,0.9,1.7,-0.8,9.5,1.7,.437,Spencer Dinwiddie,2.6,1.7,3.4,17.9,1.0,12.5,5.7,.541,29.2,1.9,5.1,.123
.523,10.3,0.7,-0.5,-0.5,10.9,1.7,.118,Joe Harris,0.0,3.3,2.1,12.7,0.9,11.1,7.2,.592,17.9,0.8,3.8,.094
.583,9.3,1.1,-3.0,-0.1,17.9,2.4,.120,Taurean Waller-Prince,-2.9,2.8,-1.7,9.2,1.5,14.0,10.6,.497,20.4,-0.5,0.7,.019
.012,7.8,4.3,2.1,1.1,25.0,2.8,.574,Jarrett Allen,1.0,12.5,4.3,20.3,1.1,12.2,18.9,.658,15.0,1.7,7.1,.207
.660,13.1,1.4,-1.1,0.4,10.5,1.6,.139,Garrett Temple,-1.5,1.9,0.5,10.3,1.3,9.3,6.3,.507,16.6,0.4,2.1,.065
.000,12.8,3.5,2.8,1.8,34.2,2.3,.425,DeAndre Jordan,1.1,12.1,3.0,20.0,0.7,17.8,23.4,.682,14.1,1.5,5.3,.204
.310,23.5,0.5,-0.6,-0.7,10.6,1.2,.264,Caris LeVert,0.1,3.7,-0.1,15.1,1.8,12.6,7.2,.509,28.8,0.4,1.2,.050
.661,7.4,1.4,-2.9,1.0,18.3,0.9,.126,Wilson Chandler,-3.9,1.6,-0.1,7.4,1.0,15.0,10.2,.531,13.0,-0.2,0.8,.050
.568,5.3,0.7,-3.2,-0.2,10.0,0.6,.323,Timothé Luwawu-Cabarrot,-3.0,3.8,0.4,8.9,1.1,12.7,7.0,.563,15.7,-0.2,1.0,.069
.341,37.4,1.3,7.6,1.0,12.4,0.8,.245,Kyrie Irving,6.6,3.5,2.1,26.3,1.9,10.1,8.1,.595,32.6,1.6,3.0,.216
.485,9.4,0.5,-2.9,0.9,15.8,0.6,.209,Rodions Kurucs,-3.9,3.8,-0.1,8.4,1.6,19.3,10.0,.554,15.1,-0.1,0.5,.048
.468,11.0,0.2,-4.8,-0.7,12.9,0.4,.317,Džanan Musa,-4.1,5.0,-0.4,8.4,1.5,15.5,9.0,.467,19.4,-0.3,0.0,.006
.516,22.0,0.9,-7.1,-0.2,12.1,0.5,.103,Theo Pinson,-6.9,2.9,-1.0,5.2,2.2,16.9,7.6,.370,22.4,-0.5,-0.6,-0.074
.394,4.4,3.7,1.0,2.0,13.9,0.4,.380,David Nwaba,-1.1,3.2,0.4,14.0,1.9,8.8,8.6,.627,14.2,0.2,0.8,.142
.516,6.8,0.7,-5.6,0.8,10.4,0.3,.109,Iman Shumpert,-6.4,3.9,-0.3,5.3,2.4,13.0,7.3,.403,13.4,-0.2,0.0,-0.001
.146,12.6,3.5,-0.7,0.0,13.4,0.2,.438,Nicolas Claxton,-0.7,10.7,0.3,14.9,0.3,13.6,12.1,.577,14.8,0.1,0.5,.124
.556,24.5,0.0,3.0,1.1,11.2,0.1,.044,Chris Chiozza,1.8,5.0,0.3,16.5,1.9,14.8,8.2,.621,17.9,0.2,0.4,.154
.500,0.0,4.9,-15.1,-2.3,11.8,0.0,.333,Justin Anderson,-12.8,0.0,-0.1,-3.8,0.0,0.0,6.1,.218,16.9,-0.1,-0.1,-0.167
.200,16.5,5.2,-3.0,3.6,12.6,0.0,.000,Jeremiah Martin,-6.6,0.0,0.0,5.9,3.0,0.0,6.4,.200,13.1,0.0,0.0,-0.040
.571,8.8,0.0,-11.0,-3.1,26.8,0.0,.000,Henry Ellenson,-7.9,14.1,-0.1,-1.2,0.0,0.0,20.6,.143,19.5,0.0,-0.1,-0.180
.377,14.0,2.4,3.9,0.6,18.8,3.4,.251,Jayson Tatum,3.3,3.0,2.9,20.3,2.0,9.7,11.0,.562,28.6,3.0,6.2,.147
.582,21.0,1.5,1.6,1.3,10.1,2.4,.201,Marcus Smart,0.2,2.5,1.7,14.0,2.4,11.5,6.4,.519,19.3,1.5,4.1,.115
.364,10.2,0.9,0.9,-0.1,16.5,2.3,.280,Jaylen Brown,1.0,3.4,2.1,17.1,1.6,11.8,10.0,.589,24.7,1.2,4.5,.126
.526,24.6,1.5,4.7,-0.2,11.4,1.9,.270,Kemba Walker,5.0,2.2,3.5,20.2,1.4,10.3,6.9,.569,27.8,2.7,5.4,.163
.311,19.0,1.2,2.9,0.3,17.6,1.9,.183,Gordon Hayward,2.6,3.2,3.1,18.2,1.1,10.8,10.5,.593,20.9,1.8,5.0,.160
.212,9.9,5.0,2.3,1.8,19.2,2.3,.277,Daniel Theis,0.4,10.2,3.6,18.2,1.2,10.1,14.7,.629,14.7,1.5,5.9,.205
.283,17.6,0.9,-1.3,1.2,9.2,1.5,.365,Brad Wanamaker,-2.5,1.7,1.2,11.8,2.1,15.9,5.5,.560,15.4,0.2,2.7,.108
.443,8.3,3.1,-2.6,1.4,11.7,1.3,.266,Grant Williams,-4.0,6.5,0.2,8.0,1.4,17.7,9.1,.508,11.5,-0.1,1.5,.075
.023,8.4,3.9,1.5,-0.1,30.2,1.7,.286,Enes Kanter,1.6,17.1,2.1,22.0,1.1,12.9,23.7,.594,19.3,0.8,3.8,.207
.616,4.5,0.5,-1.6,0.5,11.9,0.9,.176,Semi Ojeleye,-2.1,2.9,0.8,7.6,1.0,6.5,7.5,.557,8.8,0.1,1.7,.091
.235,7.6,1.6,-0.6,1.8,15.9,0.7,.367,Javonte Green,-2.4,4.7,0.3,12.3,2.7,13.7,10.4,.558,13.6,0.1,1.0,.112
.000,9.5,8.0,3.8,4.4,24.3,0.8,.403,Robert Williams,-0.6,11.4,0.6,19.6,3.0,21.5,17.9,.671,12.3,0.5,1.4,.205
.602,9.5,0.9,-4.9,-0.3,12.4,0.4,.115,Carsen Edwards,-4.6,2.1,-0.3,6.5,1.5,11.2,7.3,.446,18.1,-0.2,0.1,.012
.359,2.6,1.9,-4.6,-0.1,6.4,0.3,.359,Romeo Langford,-4.5,5.1,-0.1,6.0,1.3,10.8,5.8,.465,11.9,-0.2,0.2,.039
.061,8.6,4.9,-3.8,0.7,22.4,0.2,.212,Vincent Poirier,-4.5,9.5,0.1,12.8,0.8,14.3,16.0,.540,15.8,-0.1,0.3,.124
.486,18.8,2.1,-6.5,0.1,10.7,0.1,.171,Tremont Waters,-6.6,0.0,-0.2,6.5,2.7,21.0,5.4,.438,22.9,-0.1,-0.1,-0.045
.000,0.0,7.7,1.0,3.1,48.7,0.1,.250,Tacko Fall,-2.0,0.0,0.0,23.9,0.0,18.4,24.6,.713,29.0,0.0,0.1,.102
.607,35.3,0.6,0.5,-2.1,8.7,0.9,.242,Devonte' Graham,2.6,2.0,2.5,15.8,1.4,14.5,5.2,.537,24.8,1.4,3.4,.073
.450,20.4,0.4,-0.4,-1.3,11.8,1.1,.202,Terry Rozier,0.8,2.4,1.9,14.9,1.4,12.1,7.0,.553,23.7,0.8,3.0,.067
.398,9.4,2.2,-2.5,-1.0,15.6,1.3,.174,Miles Bridges,-1.5,4.6,0.3,12.1,1.0,10.5,9.9,.520,20.0,-0.3,1.6,.038
