College,Experience,Height,Name,Position,Weight,team
Nevada,7,6-9,Luke Babbitt,SF,225,Atlanta Hawks
Old Dominion,5,6-4,Kent Bazemore,SG,195,Atlanta Hawks
,10,6-5,Marco Belinelli,SG,210,Atlanta Hawks
Saint Joseph's,1,6-5,DeAndre' Bembry,SF,210,Atlanta Hawks
,1,6-7,Nicolás Brussino,SF,195,Atlanta Hawks
George Washington,R,6-9,Tyler Cavanaugh,PF,238,Atlanta Hawks
SE Missouri State,R,6-5,Antonius Cleveland,SG,195,Atlanta Hawks
Wake Forest,R,6-9,John Collins,PF,235,Atlanta Hawks
USC,4,7-0,Dewayne Dedmon,C,245,Atlanta Hawks
Virginia Tech,1,6-3,Malcolm Delaney,PG,190,Atlanta Hawks
Oregon,R,6-5,Tyler Dorsey,SG,183,Atlanta Hawks
Western Kentucky,6,6-9,Jeremy Evans,SF,200,Atlanta Hawks
,9,6-9,Ersan İlyasova,PF,235,Atlanta Hawks
Drexel Louisville,R,6-5,Damion Lee,SG,210,Atlanta Hawks
Alabama-Huntsville,R,6-1,Josh Magette,PG,160,Atlanta Hawks
Molloy,R,6-5,Jaylen Morris,SG,185,Atlanta Hawks
Bucknell,4,6-10,Mike Muscala,C,240,Atlanta Hawks
Duke,5,6-11,Miles Plumlee,C,249,Atlanta Hawks
,4,6-1,Dennis Schröder,PG,172,Atlanta Hawks
Texas,1,6-3,Isaiah Taylor,PG,170,Atlanta Hawks
Baylor,1,6-7,Taurean Waller-Prince,SF,218,Atlanta Hawks
Nebraska Syracuse,R,6-7,Andrew White,SF,210,Atlanta Hawks
Baylor,5,6-7,Quincy Acy,PF,240,Brooklyn Nets
Texas,R,6-11,Jarrett Allen,C,237,Brooklyn Nets
Clemson,7,6-8,Trevor Booker,PF,228,Brooklyn Nets
Vanderbilt Missouri,8,6-6,DeMarre Carroll,PF,215,Brooklyn Nets
California,4,6-5,Allen Crabbe,SG,212,Brooklyn Nets
Villanova,8,6-8,Dante Cunningham,SF,230,Brooklyn Nets
Colorado,3,6-5,Spencer Dinwiddie,PG,215,Brooklyn Nets
Loyola Chicago,R,6-4,Milton Doyle,SG,185,Brooklyn Nets
Virginia,3,6-6,Joe Harris,SG,220,Brooklyn Nets
Arizona,2,6-6,Rondae Hollis-Jefferson,SF,217,Brooklyn Nets
Cincinnati,3,6-4,Sean Kilpatrick,SG,210,Brooklyn Nets
Michigan,1,6-6,Caris LeVert,SF,205,Brooklyn Nets
Harvard University,7,6-3,Jeremy Lin,PG,200,Brooklyn Nets
,7,7-1,Timofey Mozgov,C,275,Brooklyn Nets
Duke,2,6-10,Jahlil Okafor,C,275,Brooklyn Nets
Ohio State,2,6-4,D'Angelo Russell,PG,198,Brooklyn Nets
Michigan,3,6-6,Nik Stauskas,SG,205,Brooklyn Nets
UNLV,2,6-6,Rashad Vaughn,SG,202,Brooklyn Nets
Boise State,R,6-9,James Webb,SF,202,Brooklyn Nets
Seton Hall,1,6-4,Isaiah Whitehead,PG,213,Brooklyn Nets
Eastern Washington,R,6-7,Jacob Wiley,PF,215,Brooklyn Nets
UNC,5,7-0,Tyler Zeller,C,253,Brooklyn Nets
Arizona,R,6-1,Kadeem Allen,PG,200,Boston Celtics
Washington State,5,6-10,Aron Baynes,C,260,Boston Celtics
California,R,6-6,Jabari Bird,SG,198,Boston Celtics
California,1,6-6,Jaylen Brown,SG,223,Boston Celtics
Virginia Tech,2,6-7,Jarell Eddie,SF,218,Boston Celtics
New Mexico State,1,6-2,Jonathan Gibson,PG,185,Boston Celtics
Butler,7,6-7,Gordon Hayward,SF,207,Boston Celtics
Florida,10,6-9,Al Horford,C,245,Boston Celtics
Duke,6,6-2,Kyrie Irving,PG,195,Boston Celtics
Miami (FL),3,5-11,Shane Larkin,PG,175,Boston Celtics
Georgetown,7,6-11,Greg Monroe,C,265,Boston Celtics
Kansas,6,6-8,Marcus Morris,PF,235,Boston Celtics
Northern Illinois Iowa State,R,6-5,Abdel Nader,SF,225,Boston Celtics
Duke SMU,R,6-6,Semi Ojeleye,PF,235,Boston Celtics
Louisville,2,6-1,Terry Rozier,PG,190,Boston Celtics
Colorado Northern Illinois,1,6-5,Xavier Silas,SG,205,Boston Celtics
Oklahoma State,3,6-3,Marcus Smart,SG,227,Boston Celtics
Duke,R,6-8,Jayson Tatum,SF,204,Boston Celtics
,R,6-8,Daniel Theis,C,215,Boston Celtics
,R,6-8,Guerschon Yabusele,PF,260,Boston Celtics
Florida State,R,6-6,Dwayne Bacon,SG,221,Charlotte Hornets
,9,6-9,Nicolas Batum,SG,200,Charlotte Hornets
Syracuse,4,6-5,Michael Carter-Williams,PG,190,Charlotte Hornets
Virginia Commonwealth,1,6-5,Treveon Graham,SG,223,Charlotte Hornets
,1,6-11,Willy Hernangómez,C,240,Charlotte Hornets
,13,6-10,Dwight Howard,C,265,Charlotte Hornets
Wisconsin,2,7-0,Frank Kaminsky,PF,240,Charlotte Hornets
Kentucky,5,6-6,Michael Kidd-Gilchrist,SF,232,Charlotte Hornets
UConn,5,6-5,Jeremy Lamb,SG,185,Charlotte Hornets
Louisville,R,6-10,Mangok Mathiang,C,230,Charlotte Hornets
Kentucky,R,6-3,Malik Monk,SG,200,Charlotte Hornets
LSU,3,6-9,Johnny O'Bryant,PF,257,Charlotte Hornets
UNC,R,6-1,Marcus Paige,PG,175,Charlotte Hornets
Texas-El Paso,3,6-6,Julyan Stone,SG,200,Charlotte Hornets
UConn,6,6-0,Kemba Walker,PG,172,Charlotte Hornets
UNC,12,6-8,Marvin Williams,PF,237,Charlotte Hornets
Indiana,4,7-0,Cody Zeller,C,240,Charlotte Hornets
Villanova,R,6-3,Ryan Arcidiacono,PG,195,Chicago Bulls
,7,7-0,Ömer Aşık,C,255,Chicago Bulls
LSU,R,6-4,Antonio Blakeney,SG,192,Chicago Bulls
Providence,1,6-3,Kris Dunn,PG,205,Chicago Bulls
Virginia Tech,2,6-7,Jarell Eddie,SF,218,Chicago Bulls
Oakland,1,5-9,Kay Felder,PG,176,Chicago Bulls
,2,6-10,Cristiano Felício,C,270,Chicago Bulls
Notre Dame,2,6-4,Jerian Grant,PG,205,Chicago Bulls
Washington,4,6-6,Justin Holiday,SG,181,Chicago Bulls
Cincinnati,3,6-4,Sean Kilpatrick,SG,210,Chicago Bulls
UCLA,3,6-6,Zach LaVine,SG,181,Chicago Bulls
Stanford,9,7-0,Robin Lopez,C,275,Chicago Bulls
Arizona,R,7-0,Lauri Markkanen,PF,240,Chicago Bulls
,3,6-10,Nikola Mirotić,PF,250,Chicago Bulls
Cal Poly,1,6-5,David Nwaba,SG,219,Chicago Bulls
Murray State,2,6-3,Cameron Payne,PG,190,Chicago Bulls
Washington,5,6-7,Quincy Pondexter,SF,230,Chicago Bulls
Arkansas,2,6-10,Bobby Portis,PF,246,Chicago Bulls
Michigan State,1,6-4,Denzel Valentine,SG,210,Chicago Bulls
Indiana,3,6-10,Noah Vonleh,PF,257,Chicago Bulls
,1,6-8,Paul Zipser,SF,215,Chicago Bulls
,12,6-3,José Calderón,PG,200,Cleveland Cavaliers
Tulsa Missouri,3,6-4,Jordan Clarkson,SG,194,Cleveland Cavaliers
Marquette,5,6-6,Jae Crowder,SF,235,Cleveland Cavaliers
