3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.099,20.6,3.8,4.1,3.7,24.8,4.9,.292,Josh Smith,0.3,6.9,1.9,21.1,2.1,11.7,15.9,.499,28.4,3.5,6.8,.139
.222,24.3,1.3,1.2,0.4,7.4,3.0,.275,Jeff Teague,0.7,1.1,3.0,15.8,2.6,15.1,4.3,.551,19.1,1.7,6.0,.131
.346,19.7,0.5,2.1,-1.4,9.2,2.1,.200,Joe Johnson,3.4,2.9,4.4,18.4,1.2,10.3,6.1,.557,24.9,2.2,6.4,.145
.000,7.4,1.4,1.4,2.3,21.5,2.8,.466,Zaza Pachulia,-1.0,11.1,2.3,14.0,1.8,16.5,16.4,.557,14.0,1.4,5.0,.147
.317,7.7,0.9,1.0,0.2,16.9,2.1,.311,Marvin Williams,0.8,6.0,2.7,15.8,1.7,6.8,11.5,.542,18.0,1.1,4.9,.156
.461,16.3,0.7,-1.4,-0.1,8.5,1.4,.108,Kirk Hinrich,-1.4,1.1,0.4,9.2,1.6,15.8,4.8,.511,13.9,0.2,1.8,.069
.022,5.7,1.5,-1.9,1.0,20.1,1.7,.364,Ivan Johnson,-2.9,8.2,0.5,14.3,2.4,17.8,14.2,.558,19.5,0.0,2.2,.113
.348,7.4,0.5,-1.7,-2.0,8.2,0.9,.172,Willie Green,0.3,1.9,1.4,13.9,1.3,8.6,5.1,.578,19.5,0.1,2.4,.122
.143,20.8,1.4,-1.7,0.6,18.2,1.1,.359,Tracy McGrady,-2.4,3.3,0.5,13.6,1.0,16.5,10.8,.510,18.0,0.1,1.6,.094
.685,10.9,1.5,0.3,0.6,16.8,1.1,.147,Vladimir Radmanovic,-0.3,5.3,0.5,11.7,1.5,14.3,11.1,.524,15.2,0.4,1.6,.103
.545,24.1,0.2,-1.1,-1.9,11.1,0.8,.079,Jannero Pargo,0.8,1.6,0.6,13.6,1.6,15.8,6.4,.539,21.8,0.1,1.3,.095
.010,11.7,3.1,2.8,2.3,17.1,0.6,.291,Al Horford,0.5,8.8,0.8,19.0,1.5,12.1,13.0,.585,17.9,0.4,1.3,.180
.000,4.6,0.7,-5.1,0.5,13.6,0.3,.375,Jason Collins,-5.6,4.6,-0.2,3.7,0.7,17.7,9.1,.418,8.6,-0.2,0.2,.025
.380,8.3,0.8,-4.2,-2.0,7.2,0.3,.230,Jerry Stackhouse,-2.3,2.6,0.0,11.5,1.9,10.6,4.9,.490,21.2,-0.2,0.3,.060
