College,Experience,Height,Name,Position,Weight,team
,1,6-10,Esteban Batista,PF,270,Atlanta Hawks
University of California Los Angeles,R,6-6,Cedric Bozeman,SG,207,Atlanta Hawks
Stanford University,2,6-8,Josh Childress,SG,210,Atlanta Hawks
Hofstra University,5,5-11,Speedy Claxton,PG,166,Atlanta Hawks
Vanderbilt University,1,6-10,Matt Freije,PF,240,Atlanta Hawks
University of Texas at Austin,2,6-3,Royal Ivey,PG,200,Atlanta Hawks
College of Charleston,9,6-3,Anthony Johnson,PG,190,Atlanta Hawks
University of Arkansas,5,6-7,Joe Johnson,SG,240,Atlanta Hawks
University of South Florida,R,6-10,Solomon Jones,PF,230,Atlanta Hawks
University of Nebraska,8,6-0,Tyronn Lue,PG,175,Atlanta Hawks
,6,6-10,Stanislav Medvedenko,C,250,Atlanta Hawks
,3,6-11,Zaza Pachulia,C,270,Atlanta Hawks
Delta State University,R,6-6,Jeremy Richardson,SG,185,Atlanta Hawks
,2,6-9,Josh Smith,SF,225,Atlanta Hawks
University of Arizona,1,6-1,Salim Stoudamire,SG,179,Atlanta Hawks
University of California Los Angeles,1,6-7,Dijon Thompson,SF,195,Atlanta Hawks
University of North Carolina,1,6-9,Marvin Williams,PF,237,Atlanta Hawks
Duke University,R,6-9,Shelden Williams,PF,250,Atlanta Hawks
University of Memphis,10,6-11,Lorenzen Wright,C,225,Atlanta Hawks
University of Arizona,R,6-4,Hassan Adams,SG,220,New Jersey Nets
University of Connecticut,R,6-10,Josh Boone,PF,237,New Jersey Nets
University of North Carolina,8,6-6,Vince Carter,SG,220,New Jersey Nets
Stanford University,5,7-0,Jason Collins,PF,255,New Jersey Nets
Arizona State University,6,6-1,Eddie House,SG,180,New Jersey Nets
,R,7-1,Mile Ilic,C,230,New Jersey Nets
University of Arizona,5,6-7,Richard Jefferson,SF,233,New Jersey Nets
University of California,12,6-4,Jason Kidd,PG,205,New Jersey Nets
,2,7-0,Nenad Krstic,C,240,New Jersey Nets
University of Nebraska,8,6-11,Mikki Moore,C,225,New Jersey Nets
,4,6-9,Bostjan Nachbar,SF,221,New Jersey Nets
University of Michigan,2,6-6,Bernard Robinson,SF,210,New Jersey Nets
University of Connecticut,17,6-10,Clifford Robinson,C,225,New Jersey Nets
University of Connecticut,R,6-3,Marcus Williams,PG,205,New Jersey Nets
Texas A&M University,1,6-7,Antoine Wright,SG,210,New Jersey Nets
Butler County Community College Oklahoma State University,2,6-4,Tony Allen,SG,213,Boston Celtics
Providence College,1,6-7,Ryan Gomes,PF,250,Boston Celtics
,1,6-7,Gerald Green,SF,205,Boston Celtics
,2,6-10,Al Jefferson,C,289,Boston Celtics
University of the Pacific,8,7-0,Michael Olowokandi,C,269,Boston Celtics
,3,6-10,Kendrick Perkins,C,270,Boston Celtics
University of Kansas,8,6-7,Paul Pierce,SG,235,Boston Celtics
University of Nevada Reno,R,6-10,Kevinn Pinkney,PF,245,Boston Celtics
University of California,R,6-8,Leon Powe,C,240,Boston Celtics
University of Wyoming,11,6-10,Theo Ratliff,C,225,Boston Celtics
Villanova University,R,6-2,Allan Ray,SG,190,Boston Celtics
University of Kentucky,R,6-1,Rajon Rondo,PG,186,Boston Celtics
University of Southern California,5,6-9,Brian Scalabrine,PF,241,Boston Celtics
Miami University,7,6-7,Wally Szczerbiak,SF,244,Boston Celtics
,2,6-0,Sebastian Telfair,PG,165,Boston Celtics
Saint Joseph's University,2,6-4,Delonte West,SG,180,Boston Celtics
Michigan State University,1,6-6,Alan Anderson,SG,220,Charlotte Bobcats
Ohio State University University of Kentucky,9,6-5,Derek Anderson,SF,194,Charlotte Bobcats
,5,7-2,Primoz Brezec,C,252,Charlotte Bobcats
University of Notre Dame,3,6-6,Matt Carroll,SG,212,Charlotte Bobcats
California State University Fresno,4,6-10,Melvin Ely,PF,260,Charlotte Bobcats
University of North Carolina,1,6-1,Raymond Felton,PG,205,Charlotte Bobcats
Georgetown University,10,6-9,Othella Harrington,PF,235,Charlotte Bobcats
,R,6-9,Walter Herrmann,PF,225,Charlotte Bobcats
University of California Los Angeles,R,7-0,Ryan Hollins,C,240,Charlotte Bobcats
Stanford University,9,5-10,Brevin Knight,PG,173,Charlotte Bobcats
University of North Carolina,1,6-9,Sean May,PF,266,Charlotte Bobcats
University of North Carolina,9,6-4,Jeff McInnis,PG,190,Charlotte Bobcats
Gonzaga University,R,6-8,Adam Morrison,PF,205,Charlotte Bobcats
University of Connecticut,2,6-10,Emeka Okafor,C,252,Charlotte Bobcats
University of Michigan,2,6-6,Bernard Robinson,SG,210,Charlotte Bobcats
University of Connecticut,6,6-11,Jake Voskuhl,C,245,Charlotte Bobcats
University of Alabama,5,6-7,Gerald Wallace,SF,215,Charlotte Bobcats
Providence College,11,6-8,Eric Williams,SF,220,Charlotte Bobcats
Villanova University,5,6-10,Malik Allen,PF,255,Chicago Bulls
Seton Hall University,2,5-10,Andre Barrett,PG,172,Chicago Bulls
Louisiana Tech University,13,6-11,P.J. Brown,PF,225,Chicago Bulls
Duke University,2,6-9,Luol Deng,SF,220,Chicago Bulls
Duke University,2,6-1,Chris Duhon,PG,185,Chicago Bulls
University of Connecticut,2,6-3,Ben Gordon,SG,200,Chicago Bulls
Seton Hall University,7,6-5,Adrian Griffin,SF,217,Chicago Bulls
University of Kansas,3,6-4,Kirk Hinrich,PG,190,Chicago Bulls
,2,6-9,Viktor Khryapa,PF,210,Chicago Bulls
,2,6-7,Andres Nocioni,PF,225,Chicago Bulls
,R,6-7,Thabo Sefolosha,SG,220,Chicago Bulls
Georgetown University,3,6-8,Mike Sweetney,C,275,Chicago Bulls
Louisiana State University,R,6-9,Tyrus Thomas,PF,215,Chicago Bulls
Virginia Union University,10,6-9,Ben Wallace,C,240,Chicago Bulls
Michigan State University,R,6-4,Shannon Brown,SG,205,Cleveland Cavaliers
University of Texas at Austin,R,6-2,Daniel Gibson,PG,190,Cleveland Cavaliers
University of Kansas,4,6-10,Drew Gooden,PF,250,Cleveland Cavaliers
Saint Louis University,8,6-5,Larry Hughes,SG,184,Cleveland Cavaliers
,8,7-3,Zydrunas Ilgauskas,C,238,Cleveland Cavaliers
,3,6-8,LeBron James,SF,250,Cleveland Cavaliers
University of Houston,8,6-3,Damon Jones,PG,185,Cleveland Cavaliers
Saint Joseph's University,1,6-11,Dwayne Jones,PF,250,Cleveland Cavaliers
University of Connecticut,12,6-9,Donyell Marshall,PF,218,Cleveland Cavaliers
Miami University,6,6-7,Ira Newble,SF,220,Cleveland Cavaliers
,3,6-8,Sasha Pavlovic,SG,220,Cleveland Cavaliers
University of Kansas,9,6-11,Scot Pollard,C,265,Cleveland Cavaliers
Michigan State University,11,6-3,Eric Snow,PG,190,Cleveland Cavaliers
,2,6-10,Anderson Varejao,C,273,Cleveland Cavaliers
Baylor University,13,6-0,David Wesley,SG,190,Cleveland Cavaliers
Michigan State University,R,6-5,Maurice Ager,SG,202,Dallas Mavericks
Northeastern University,R,6-0,J.J. Barea,PG,185,Dallas Mavericks
Clemson University,7,6-4,Greg Buckner,SG,210,Dallas Mavericks
Providence College,9,6-9,Austin Croshere,PF,235,Dallas Mavericks
Mississippi State University,10,6-11,Erick Dampier,C,265,Dallas Mavericks
,5,7-0,DeSagana Diop,C,300,Dallas Mavericks
Augsburg College,7,6-8,Devean George,SF,220,Dallas Mavericks
University of Wisconsin,2,6-3,Devin Harris,PG,192,Dallas Mavericks
Wake Forest University,3,6-7,Josh Howard,SF,210,Dallas Mavericks
,2,7-0,Didier Ilunga-Mbenga,C,245,Dallas Mavericks
College of Charleston,9,6-3,Anthony Johnson,PG,190,Dallas Mavericks
George Washington University,R,6-9,Pops Mensah-Bonsu,PF,240,Dallas Mavericks
,8,7-0,Dirk Nowitzki,PF,245,Dallas Mavericks
University of North Carolina,11,6-6,Jerry Stackhouse,SF,218,Dallas Mavericks
University of Arizona,7,6-2,Jason Terry,SG,185,Dallas Mavericks
Michigan State University,20,7-0,Kevin Willis,PF,220,Dallas Mavericks
Syracuse University,3,6-8,Carmelo Anthony,SF,240,Denver Nuggets
University of Maryland,3,6-3,Steve Blake,PG,172,Denver Nuggets
Eastern Michigan University,8,5-5,Earl Boykins,PG,135,Denver Nuggets
University of Massachusetts Amherst,10,6-11,Marcus Camby,C,220,Denver Nuggets
University of Hawaii,7,6-1,Anthony Carter,PG,190,Denver Nuggets
Pepperdine University,R,6-7,Yakhouba Diawara,SG,225,Denver Nuggets
University of Iowa,4,6-8,Reggie Evans,PF,245,Denver Nuggets
,4,6-11,Nene Hilario,C,250,Denver Nuggets
North Carolina State University,1,6-7,Julius Hodge,SG,210,Denver Nuggets
Georgetown University,10,6-0,Allen Iverson,SG,165,Denver Nuggets
University of Cincinnati,5,6-9,DerMarr Johnson,SF,201,Denver Nuggets
University of Missouri,1,6-8,Linas Kleiza,PF,245,Denver Nuggets
University of Cincinnati,6,6-9,Kenyon Martin,PF,234,Denver Nuggets
University of Utah,7,6-3,Andre Miller,PG,200,Denver Nuggets
University of Oklahoma,6,6-8,Eduardo Najera,PF,240,Denver Nuggets
University of California,4,6-11,Jamal Sampson,C,235,Denver Nuggets
,2,6-6,J.R. Smith,SG,225,Denver Nuggets
University of Maryland,11,6-10,Joe Smith,PF,225,Denver Nuggets
University of Colorado,9,6-3,Chauncey Billups,PG,202,Detroit Pistons
Iowa State University,R,6-0,Will Blalock,PG,205,Detroit Pistons
Clemson University,15,6-11,Dale Davis,C,230,Detroit Pistons
,2,6-6,Carlos Delfino,SG,230,Detroit Pistons
Louisiana State University,3,6-7,Ronald Dupree,SF,209,Detroit Pistons
University of Connecticut,7,6-6,Richard Hamilton,SG,185,Detroit Pistons
Alcorn State University Jackson State University,13,6-2,Lindsey Hunter,PG,170,Detroit Pistons
,1,6-9,Amir Johnson,PF,240,Detroit Pistons
University of Cincinnati,1,6-7,Jason Maxiell,C,260,Detroit Pistons
University of Alabama,10,6-9,Antonio McDyess,PF,220,Detroit Pistons
University of Kentucky,8,6-10,Nazr Mohammed,C,221,Detroit Pistons
Meridian Community College Shaw University,4,6-4,Ronald Murray,SG,190,Detroit Pistons
University of Kentucky,4,6-9,Tayshaun Prince,SF,212,Detroit Pistons
University of North Carolina,11,6-10,Rasheed Wallace,C,225,Detroit Pistons
University of Michigan,13,6-9,Chris Webber,PF,245,Detroit Pistons
University of Kentucky,R,6-5,Kelenna Azubuike,SG,220,Golden State Warriors
University of California Los Angeles,3,6-7,Matt Barnes,PF,226,Golden State Warriors
,2,6-11,Andris Biedrins,C,240,Golden State Warriors
University of California Los Angeles,7,6-3,Baron Davis,PG,209,Golden State Warriors
Arizona State University,1,6-8,Ike Diogu,PF,250,Golden State Warriors
Duke University,4,6-9,Mike Dunleavy,PF,230,Golden State Warriors
,1,6-3,Monta Ellis,SG,185,Golden State Warriors
Colgate University,9,6-10,Adonal Foyle,C,250,Golden State Warriors
,8,6-9,Al Harrington,PF,230,Golden State Warriors
Butler County Community College,6,6-8,Stephen Jackson,SF,218,Golden State Warriors
University of Maryland,1,6-4,Sarunas Jasikevicius,PG,195,Golden State Warriors
South Plains College California State University Fresno,R,6-7,Renaldo Major,PF,200,Golden State Warriors
Bowling Green State University,3,6-2,Keith McLeod,PG,188,Golden State Warriors
University of Notre Dame,5,6-11,Troy Murphy,PF,245,Golden State Warriors
Bradley University,R,7-0,Patrick O'Bryant,C,260,Golden State Warriors
,3,6-6,Mickael Pietrus,SF,215,Golden State Warriors
North Carolina State University,1,6-9,Josh Powell,PF,225,Golden State Warriors
Michigan State University,5,6-6,Jason Richardson,SG,220,Golden State Warriors
University of Florida,1,6-2,Anthony Roberson,PG,180,Golden State Warriors
University of Memphis,3,6-2,Dajuan Wagner,SG,200,Golden State Warriors
California State University Fresno,7,6-2,Rafer Alston,PG,171,Houston Rockets
Duke University,5,6-8,Shane Battier,SF,220,Houston Rockets
University of Kentucky,1,6-6,Chuck Hayes,PF,240,Houston Rockets
University of Illinois at Urbana-Champaign,1,6-3,Luther Head,SG,185,Houston Rockets
University of Michigan,12,6-9,Juwan Howard,PF,240,Houston Rockets
Baylor University Oklahoma State University,1,5-11,John Lucas III,PG,166,Houston Rockets
,9,6-8,Tracy McGrady,SG,210,Houston Rockets
,4,7-6,Yao Ming,C,310,Houston Rockets
Georgetown University,15,7-2,Dikembe Mutombo,C,245,Houston Rockets
Marquette University,R,6-10,Steve Novak,SF,225,Houston Rockets
University of Kentucky,7,6-9,Scott Padgett,PF,240,Houston Rockets
University of Nevada Reno,2,6-6,Kirk Snyder,SF,225,Houston Rockets
,R,6-4,Vassilis Spanoulis,SG,195,Houston Rockets
,6,7-2,Jake Tsakalidis,C,285,Houston Rockets
Ball State University,8,6-5,Bonzi Wells,SF,210,Houston Rockets
Fayetteville State University,12,6-0,Darrell Armstrong,PG,170,Indiana Pacers
University of Michigan,1,6-9,Maceo Baston,PF,215,Indiana Pacers
Auburn University,3,6-6,Marquis Daniels,SG,200,Indiana Pacers
Arizona State University,1,6-8,Ike Diogu,PF,250,Indiana Pacers
Duke University,4,6-9,Mike Dunleavy,SG,230,Indiana Pacers
Texas State University,7,6-11,Jeff Foster,C,236,Indiana Pacers
Bradley University University of New Mexico,1,6-9,Danny Granger,SF,222,Indiana Pacers
University of Florida University of Louisiana at Lafayette,1,6-4,Orien Greene,SG,208,Indiana Pacers
,8,6-9,Al Harrington,PF,230,Indiana Pacers
University of Colorado,2,7-0,David Harrison,C,280,Indiana Pacers
Butler County Community College,6,6-8,Stephen Jackson,SG,218,Indiana Pacers
University of Maryland,1,6-4,Sarunas Jasikevicius,SG,195,Indiana Pacers
Ball State University Oakland University,1,6-9,Rawle Marshall,SG,190,Indiana Pacers
Bowling Green State University,3,6-2,Keith McLeod,PG,188,Indiana Pacers
University of Notre Dame,5,6-11,Troy Murphy,PF,245,Indiana Pacers
,10,6-11,Jermaine O'Neal,C,226,Indiana Pacers
