College,Experience,Height,Name,Position,Weight,team
Wisconsin,8,6-3,Devin Harris,SG,185,Atlanta Hawks
Florida,5,6-9,Al Horford,C,245,Atlanta Hawks
Vanderbilt,R,6-4,John Jenkins,SG,215,Atlanta Hawks
Oregon Cal State San Bernardino,1,6-8,Ivan Johnson,PF,230,Atlanta Hawks
Rutgers University Duke,9,6-6,Dahntay Jones,SF,225,Atlanta Hawks
Creighton,9,6-7,Kyle Korver,SF,212,Atlanta Hawks
Butler,1,6-3,Shelvin Mack,PG,203,Atlanta Hawks
Georgia Tech,4,6-5,Anthony Morrow,SG,210,Atlanta Hawks
,9,6-11,Zaza Pachulia,C,270,Atlanta Hawks
Arkansas,8,6-1,Jannero Pargo,PG,175,Atlanta Hawks
,7,7-0,Johan Petro,C,247,Atlanta Hawks
Virginia,R,6-7,Mike Scott,PF,237,Atlanta Hawks
,8,6-9,Josh Smith,PF,225,Atlanta Hawks
,12,6-5,DeShawn Stevenson,SG,210,Atlanta Hawks
Wake Forest,3,6-3,Jeff Teague,PG,195,Atlanta Hawks
Creighton,4,6-8,Anthony Tolliver,SF,240,Atlanta Hawks
,1,6-10,Jeremy Tyler,C,260,Atlanta Hawks
,7,6-1,Lou Williams,SG,175,Atlanta Hawks
,7,6-11,Andray Blatche,C,235,Brooklyn Nets
Kentucky,9,6-5,Keith Bogans,SG,215,Brooklyn Nets
Providence,1,6-5,MarShon Brooks,SG,200,Brooklyn Nets
Stanford,6,6-8,Josh Childress,SF,210,Brooklyn Nets
Iowa,10,6-8,Reggie Evans,PF,245,Brooklyn Nets
Minnesota,8,6-9,Kris Humphries,PF,235,Brooklyn Nets
Texas,2,6-7,Damion James,SF,225,Brooklyn Nets
Arkansas,11,6-7,Joe Johnson,SG,240,Brooklyn Nets
Syracuse,R,6-7,Kris Joseph,SF,210,Brooklyn Nets
Stanford,4,7-0,Brook Lopez,C,270,Brooklyn Nets
,R,6-9,Tornike Shengelia,SF,217,Brooklyn Nets
UNC,17,6-6,Jerry Stackhouse,SF,218,Brooklyn Nets
Kansas,R,6-3,Tyshawn Taylor,PG,185,Brooklyn Nets
,R,6-9,Mirza Teletović,PF,242,Brooklyn Nets
Alabama,11,6-7,Gerald Wallace,SF,215,Brooklyn Nets
Tennessee,5,6-2,C.J. Watson,PG,175,Brooklyn Nets
Illinois,7,6-3,Deron Williams,PG,200,Brooklyn Nets
,9,6-3,Leandro Barbosa,PG,194,Boston Celtics
LSU,7,6-8,Brandon Bass,PF,250,Boston Celtics
Texas,2,6-3,Avery Bradley,PG,180,Boston Celtics
Stanford,11,7-0,Jason Collins,C,255,Boston Celtics
Indiana Xavier,2,6-4,Jordan Crawford,SG,195,Boston Celtics
,17,6-11,Kevin Garnett,C,240,Boston Celtics
Georgetown,4,6-8,Jeff Green,PF,235,Boston Celtics
Syracuse,R,6-7,Kris Joseph,SF,210,Boston Celtics
Western Kentucky,4,6-5,Courtney Lee,SG,215,Boston Celtics
Syracuse,R,7-0,Fab Melo,C,255,Boston Celtics
,9,7-0,Darko Miličić,C,250,Boston Celtics
Kansas,14,6-7,Paul Pierce,SF,235,Boston Celtics
Duke,5,6-10,Shavlik Randolph,PF,240,Boston Celtics
Kentucky,6,6-1,Rajon Rondo,PG,186,Boston Celtics
Ohio State,R,6-9,Jared Sullinger,PF,260,Boston Celtics
Arizona,13,6-2,Jason Terry,SG,185,Boston Celtics
Mississippi State,R,6-9,Jarvis Varnado,PF,230,Boston Celtics
Indiana,4,6-9,D.J. White,PF,251,Boston Celtics
Maryland,10,6-10,Chris Wilcox,C,221,Boston Celtics
Louisville,3,6-6,Terrence Williams,SF,220,Boston Celtics
UConn,2,6-7,Jeff Adrien,PF,245,Charlotte Bobcats
,1,6-8,Bismack Biyombo,C,255,Charlotte Bobcats
Notre Dame,9,6-6,Matt Carroll,SG,212,Charlotte Bobcats
,11,7-0,DeSagana Diop,C,300,Charlotte Bobcats
UConn,8,6-3,Ben Gordon,SG,200,Charlotte Bobcats
UNC,11,7-0,Brendan Haywood,C,268,Charlotte Bobcats
Duke,3,6-5,Gerald Henderson,SG,215,Charlotte Bobcats
Colorado,1,6-5,Cory Higgins,SG,180,Charlotte Bobcats
Kentucky,R,6-6,Michael Kidd-Gilchrist,SF,232,Charlotte Bobcats
Duke,5,6-10,Josh McRoberts,PF,240,Charlotte Bobcats
Ohio State,3,7-0,Byron Mullens,PF,275,Charlotte Bobcats
Arkansas,8,6-1,Jannero Pargo,PG,175,Charlotte Bobcats
Nevada,5,6-3,Ramon Sessions,SG,190,Charlotte Bobcats
Vanderbilt,R,6-7,Jeffery Taylor,SF,225,Charlotte Bobcats
LSU,6,6-9,Tyrus Thomas,PF,215,Charlotte Bobcats
UConn,1,6-0,Kemba Walker,PG,172,Charlotte Bobcats
Syracuse,7,6-9,Hakim Warrick,PF,219,Charlotte Bobcats
Virginia Military Institute,3,6-6,Reggie Williams,SF,205,Charlotte Bobcats
UNLV,6,6-9,Lou Amundson,PF,220,Chicago Bulls
,5,6-5,Marco Belinelli,SG,210,Chicago Bulls
Duke,10,6-9,Carlos Boozer,PF,258,Chicago Bulls
Marquette,1,6-7,Jimmy Butler,SF,230,Chicago Bulls
Ohio State,5,6-5,Daequan Cook,SG,205,Chicago Bulls
Duke,8,6-9,Luol Deng,SF,237,Chicago Bulls
USC,3,6-9,Taj Gibson,PF,225,Chicago Bulls
UConn,13,6-6,Richard Hamilton,SG,185,Chicago Bulls
Kansas,9,6-4,Kirk Hinrich,PG,190,Chicago Bulls
Kentucky,14,6-10,Nazr Mohammed,C,221,Chicago Bulls
Florida,5,6-11,Joakim Noah,C,230,Chicago Bulls
,11,6-10,Vladimir Radmanović,PF,227,Chicago Bulls
Washington,7,5-9,Nate Robinson,PG,180,Chicago Bulls
Kentucky,R,6-2,Marquis Teague,PG,189,Chicago Bulls
Pepperdine San Diego State,1,6-9,Malcolm Thomas,PF,225,Chicago Bulls
,3,6-9,Omri Casspi,SF,225,Cleveland Cavaliers
UNC,3,6-4,Wayne Ellington,SG,200,Cleveland Cavaliers
Alabama,3,6-6,Alonzo Gee,SF,225,Cleveland Cavaliers
Texas,6,6-2,Daniel Gibson,PG,190,Cleveland Cavaliers
Duke,1,6-2,Kyrie Irving,PG,195,Cleveland Cavaliers
West Virginia,R,6-8,Kevin Jones,PF,251,Cleveland Cavaliers
Wisconsin,1,6-10,Jon Leuer,C,228,Cleveland Cavaliers
,7,6-7,Shaun Livingston,PG,192,Cleveland Cavaliers
,7,6-6,C.J. Miles,SF,220,Cleveland Cavaliers
Gonzaga,1,6-2,Jeremy Pargo,PG,219,Cleveland Cavaliers
Notre Dame,5,6-2,Chris Quinn,SG,185,Cleveland Cavaliers
Louisville,2,6-9,Samardo Samuels,C,260,Cleveland Cavaliers
Texas A&M,1,6-3,Donald Sloan,SG,205,Cleveland Cavaliers
Florida,4,6-10,Marreese Speights,C,255,Cleveland Cavaliers
Texas,1,6-9,Tristan Thompson,PF,238,Cleveland Cavaliers
,8,6-10,Anderson Varejão,C,273,Cleveland Cavaliers
Syracuse,R,6-3,Dion Waiters,SG,215,Cleveland Cavaliers
Arizona,9,6-8,Luke Walton,PF,235,Cleveland Cavaliers
UNC,R,7-0,Tyler Zeller,C,253,Cleveland Cavaliers
Washington State Cal State Fullerton,R,5-11,Josh Akognon,PG,185,Dallas Mavericks
,3,6-0,Rodrigue Beaubois,PG,170,Dallas Mavericks
Duke,13,6-8,Elton Brand,C,275,Dallas Mavericks
UNC,14,6-6,Vince Carter,SF,220,Dallas Mavericks
UCLA,3,6-0,Darren Collison,PG,175,Dallas Mavericks
Marquette,R,6-6,Jae Crowder,SF,235,Dallas Mavericks
Oregon State,R,6-4,Jared Cunningham,SG,195,Dallas Mavericks
,10,7-0,Eddy Curry,C,295,Dallas Mavericks
Washington,1,5-11,Justin Dentmon,PG,185,Dallas Mavericks
Memphis,3,6-7,Chris Douglas-Roberts,SG,200,Dallas Mavericks
Little Rock,16,6-1,Derek Fisher,PG,200,Dallas Mavericks
Florida State,R,6-10,Bernard James,C,240,Dallas Mavericks
Duquesne,10,6-2,Mike James,PG,188,Dallas Mavericks
Rutgers University Duke,9,6-6,Dahntay Jones,SF,225,Dallas Mavericks
South Florida,2,6-4,Dominique Jones,PG,215,Dallas Mavericks
Central Michigan University,9,7-0,Chris Kaman,C,265,Dallas Mavericks
UNLV,13,6-7,Shawn Marion,PF,220,Dallas Mavericks
USC,4,6-5,O.J. Mayo,SG,210,Dallas Mavericks
Georgia Tech,4,6-5,Anthony Morrow,SG,210,Dallas Mavericks
Notre Dame,11,6-11,Troy Murphy,PF,245,Dallas Mavericks
,14,7-0,Dirk Nowitzki,PF,245,Dallas Mavericks
UNC,4,6-10,Brandan Wright,C,210,Dallas Mavericks
