3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.153,16.3,6.1,3.0,3.6,21.0,4.0,.390,Josh Smith,-0.6,7.4,0.4,18.3,2.0,16.3,14.1,.506,24.1,3.4,4.4,.079
.274,21.8,0.4,1.6,-2.5,9.6,1.0,.276,Joe Johnson,4.0,2.7,4.1,19.5,1.4,12.1,6.1,.558,28.3,2.1,5.1,.105
.064,9.7,1.1,-2.7,-0.7,14.2,1.4,.375,Marvin Williams,-2.0,4.6,0.9,12.2,1.3,13.4,9.3,.510,20.0,-0.4,2.3,.051
.002,9.2,1.4,-0.1,0.1,18.1,2.1,.607,Zaza Pachulia,-0.2,11.7,2.7,16.8,2.0,17.2,14.9,.562,21.3,1.0,4.8,.114
.149,10.8,1.4,2.0,0.4,13.1,1.4,.405,Josh Childress,1.6,7.2,4.1,16.2,1.5,11.6,10.1,.586,15.7,2.0,5.5,.130
.011,4.8,2.0,-3.6,0.1,24.5,1.9,.395,Shelden Williams,-3.7,10.3,0.3,12.3,1.8,18.3,17.3,.518,15.9,-0.6,2.2,.070
.307,23.9,0.0,-3.2,-4.0,7.0,0.3,.311,Tyronn Lue,0.8,1.5,2.2,14.1,0.9,12.5,4.2,.534,21.0,-0.4,2.5,.081
.101,28.1,0.3,-5.1,-0.5,8.0,1.0,.216,Speedy Claxton,-4.6,1.4,-1.8,7.3,3.6,19.8,4.6,.363,16.6,-0.8,-0.7,-0.034
.000,6.1,2.1,-3.0,0.7,15.4,0.9,.175,Lorenzen Wright,-3.7,9.8,-0.2,6.6,1.4,16.5,12.6,.439,10.5,-0.2,0.7,.033
.365,10.9,0.2,-5.4,-4.2,8.0,0.3,.160,Salim Stoudamire,-1.2,0.7,0.5,11.4,1.1,10.8,4.3,.518,22.7,-0.9,0.8,.036
.223,27.7,0.2,-5.1,-3.1,7.3,0.2,.162,Anthony Johnson,-2.0,1.4,0.2,10.3,1.2,17.6,4.3,.481,15.9,-0.6,0.4,.026
.008,2.7,4.9,-2.5,0.2,15.9,0.7,.586,Solomon Jones,-2.7,8.7,1.0,12.3,0.9,13.4,12.3,.587,12.8,-0.1,1.6,.117
.112,14.1,0.6,-4.4,-1.3,8.1,0.4,.245,Royal Ivey,-3.1,3.3,0.0,9.6,2.4,16.4,5.7,.496,16.2,-0.3,0.3,.030
.333,6.9,0.8,-8.2,-1.0,12.3,0.1,.154,Cedric Bozeman,-7.2,1.8,-0.4,-0.1,1.3,17.8,7.0,.312,11.7,-0.3,-0.3,-0.077
.407,7.9,0.5,-7.5,-3.3,13.3,0.1,.111,Matt Freije,-4.2,6.5,-0.2,6.1,1.1,5.0,9.8,.353,18.7,-0.2,-0.1,-0.034
.069,4.4,1.9,-8.1,-4.8,15.1,0.0,.690,Stanislav Medvedenko,-3.3,5.9,0.1,13.7,0.0,11.7,10.4,.556,24.3,-0.1,0.2,.107
.000,8.1,0.0,-4.0,-0.1,34.6,0.1,.438,Esteban Batista,-3.8,10.3,0.0,12.5,2.0,17.3,22.3,.524,13.1,0.0,0.2,.101
.133,6.8,0.0,-7.0,-4.3,12.2,0.0,.400,Dijon Thompson,-2.7,7.1,0.1,11.6,0.0,5.4,9.6,.482,17.1,-0.1,0.1,.064
.500,0.0,0.0,-4.2,-4.6,6.4,0.0,.000,Jeremy Richardson,0.3,6.3,0.0,14.5,2.8,14.3,6.3,.667,16.9,0.0,0.0,.105
.273,25.1,0.8,4.1,-0.6,14.2,3.1,.360,Vince Carter,4.7,4.3,7.4,21.8,1.4,10.5,9.3,.559,30.8,4.8,10.5,.161
.398,41.4,0.6,5.0,2.0,20.8,4.1,.253,Jason Kidd,3.0,5.5,5.1,19.4,2.3,17.4,13.2,.516,19.4,5.2,9.3,.152
.002,6.1,2.3,0.1,0.8,14.5,2.3,.464,Mikki Moore,-0.7,8.3,3.5,14.8,1.2,15.6,11.4,.637,16.2,1.1,5.7,.131
.218,13.1,0.3,-1.8,-1.3,11.5,1.4,.490,Richard Jefferson,-0.5,2.9,2.0,13.8,0.9,12.9,7.2,.555,22.1,0.1,3.4,.082
.013,3.5,1.6,-3.5,2.1,14.4,1.9,.841,Jason Collins,-5.5,5.8,-1.3,3.0,1.1,26.1,10.1,.408,7.1,-0.7,0.6,.015
.535,6.8,1.3,-1.0,-1.5,17.3,1.6,.331,Bostjan Nachbar,0.5,2.1,2.5,14.5,1.0,10.8,9.7,.614,19.3,0.4,4.1,.128
.310,34.4,0.1,-4.8,-2.3,11.9,1.0,.162,Marcus Williams,-2.5,2.6,-1.1,11.5,1.2,20.1,7.3,.474,25.0,-0.9,-0.1,-0.004
.235,7.6,0.7,-3.4,0.1,14.1,1.1,.291,Antoine Wright,-3.5,4.0,0.0,8.1,1.4,13.2,9.1,.500,13.4,-0.4,1.2,.049
.303,8.2,1.9,-4.2,0.1,11.2,0.8,.165,Clifford Robinson,-4.3,3.9,-0.5,5.9,0.7,11.4,7.5,.434,12.9,-0.5,0.3,.013
.416,13.1,0.3,-2.1,-2.8,9.7,0.8,.086,Eddie House,0.7,1.8,1.1,15.0,1.5,5.8,5.7,.536,22.8,0.0,1.9,.094
.003,10.2,2.2,-1.5,-0.3,17.3,0.9,.375,Nenad Krstic,-1.2,7.1,1.1,16.9,0.6,12.1,12.2,.566,23.5,0.1,1.9,.109
.000,2.6,2.5,-4.4,-1.4,19.6,0.8,.602,Josh Boone,-3.0,11.4,0.9,14.6,0.9,13.2,15.5,.587,17.4,-0.4,1.7,.122
.007,4.5,0.6,-3.6,-1.2,9.9,0.5,.267,Hassan Adams,-2.4,8.4,0.5,13.0,1.8,12.7,9.2,.577,16.3,-0.2,1.0,.095
.000,8.3,2.1,1.7,4.1,15.8,0.1,.625,Bernard Robinson,-2.4,3.2,0.1,16.2,5.7,0.0,9.6,.490,12.8,0.0,0.1,.181
.000,0.0,0.0,-53.6,-7.2,19.5,0.0,.000,Mile Ilic,-46.4,0.0,-0.2,-48.6,0.0,50.0,9.8,.000,46.6,-0.1,-0.2,-1.264
.001,7.2,3.5,0.6,1.0,27.4,3.3,.334,Al Jefferson,-0.5,12.0,3.3,19.8,1.1,11.8,19.5,.547,22.4,1.5,6.6,.137
.058,9.2,0.4,-1.2,-0.5,15.2,1.7,.322,Ryan Gomes,-0.7,6.4,2.5,13.7,1.1,11.3,10.7,.534,18.5,0.5,4.2,.089
.248,23.5,1.2,-0.3,-0.5,9.7,1.8,.275,Delonte West,0.2,1.7,1.9,14.0,1.7,14.8,5.6,.526,19.3,1.0,3.7,.081
.064,26.3,0.3,0.4,2.0,14.6,2.6,.409,Rajon Rondo,-1.5,4.7,-0.1,13.1,3.6,20.5,9.5,.472,16.5,1.1,2.4,.064
.349,8.5,1.0,-3.1,-2.3,9.6,1.2,.215,Gerald Green,-0.7,4.5,0.4,12.0,1.2,12.9,7.0,.521,23.7,-0.5,1.6,.042
.324,22.1,0.6,3.4,-1.1,16.8,1.6,.473,Paul Pierce,4.6,2.6,3.8,21.7,1.4,12.9,9.5,.571,30.7,2.4,5.4,.148
.270,22.7,0.5,-4.9,-2.2,7.1,1.0,.232,Sebastian Telfair,-2.7,1.3,-0.5,8.6,1.4,15.8,4.1,.458,17.8,-1.2,0.5,.015
.011,9.4,4.7,-0.6,3.2,20.1,1.9,.372,Kendrick Perkins,-3.8,8.4,-0.6,9.5,0.8,26.5,14.1,.518,12.2,0.5,1.4,.042
.576,8.9,1.4,-1.7,0.1,9.7,0.7,.120,Brian Scalabrine,-1.8,2.7,0.2,6.6,1.2,18.0,6.1,.537,10.8,0.1,0.9,.043
.273,11.3,0.3,-2.7,-2.8,11.2,0.5,.325,Wally Szczerbiak,0.1,2.1,1.0,14.8,1.0,10.9,6.5,.540,25.0,-0.1,1.6,.083
