College,Experience,Height,Name,Position,Weight,team
University of Connecticut,4,6-11,Hilton Armstrong,C,235,Atlanta Hawks
University of Arizona,12,6-1,Mike Bibby,PG,190,Atlanta Hawks
Stanford University,9,7-0,Jason Collins,C,255,Atlanta Hawks
University of Michigan,10,6-5,Jamal Crawford,SG,200,Atlanta Hawks
Indiana University Xavier University,R,6-4,Jordan Crawford,SG,195,Atlanta Hawks
Wichita State University University of Texas at Austin,7,6-5,Maurice Evans,SF,220,Atlanta Hawks
University of Kansas,7,6-4,Kirk Hinrich,PG,190,Atlanta Hawks
University of Florida,3,6-10,Al Horford,C,245,Atlanta Hawks
University of Arkansas,9,6-7,Joe Johnson,SG,240,Atlanta Hawks
,7,6-11,Zaza Pachulia,C,270,Atlanta Hawks
North Carolina State University,5,6-9,Josh Powell,PF,225,Atlanta Hawks
,6,6-9,Josh Smith,PF,225,Atlanta Hawks
,R,6-7,Pape Sy,SF,225,Atlanta Hawks
Wake Forest University,1,6-2,Jeff Teague,PG,186,Atlanta Hawks
Syracuse University,8,6-9,Etan Thomas,C,256,Atlanta Hawks
North Carolina State University University of Georgia,6,6-6,Damien Wilkins,SF,225,Atlanta Hawks
University of North Carolina,5,6-9,Marvin Williams,SF,237,Atlanta Hawks
University of California Los Angeles,4,6-2,Jordan Farmar,PG,180,New Jersey Nets
Georgia Institute of Technology,R,6-10,Derrick Favors,PF,265,New Jersey Nets
University of California Los Angeles,8,6-11,Dan Gadzuric,PF,240,New Jersey Nets
University of Georgia,1,6-1,Sundiata Gaines,PG,185,New Jersey Nets
University of Central Florida Oklahoma State University,5,6-6,Stephen Graham,SG,215,New Jersey Nets
University of Florida University of Louisiana at Lafayette,3,6-4,Orien Greene,SG,208,New Jersey Nets
University of Wisconsin,6,6-3,Devin Harris,PG,192,New Jersey Nets
University of Minnesota,6,6-9,Kris Humphries,PF,235,New Jersey Nets
University of Texas at Austin,R,6-7,Damion James,SF,225,New Jersey Nets
Stanford University,2,7-0,Brook Lopez,C,275,New Jersey Nets
Georgia Institute of Technology,2,6-5,Anthony Morrow,SG,210,New Jersey Nets
University of Notre Dame,9,6-11,Troy Murphy,PF,245,New Jersey Nets
,7,6-9,Travis Outlaw,SF,210,New Jersey Nets
,5,7-0,Johan Petro,C,247,New Jersey Nets
Southern Methodist University,6,6-6,Quinton Ross,SF,195,New Jersey Nets
University of Maryland,15,6-10,Joe Smith,PF,225,New Jersey Nets
University of Tulsa,R,6-3,Ben Uzoh,PG,205,New Jersey Nets
,6,6-7,Sasha Vujacic,SG,195,New Jersey Nets
Georgia Institute of Technology,3,6-5,Mario West,SG,210,New Jersey Nets
University of Illinois at Urbana-Champaign,5,6-3,Deron Williams,PG,200,New Jersey Nets
University of Louisville,1,6-6,Terrence Williams,SG,220,New Jersey Nets
University of North Carolina,2,6-10,Brandan Wright,PF,210,New Jersey Nets
