College,Experience,Height,Name,Position,Weight,team
Virginia,R,6-7,De'Andre Hunter,SF,225,Atlanta Hawks
Oklahoma,1,6-1,Trae Young,PG,180,Atlanta Hawks
UNC,21,6-6,Vince Carter,SF,220,Atlanta Hawks
Duke,R,6-8,Cam Reddish,SF,208,Atlanta Hawks
Maryland,1,6-7,Kevin Huerter,SG,190,Atlanta Hawks
Maryland,R,6-9,Bruno Fernando,C,233,Atlanta Hawks
Vanderbilt,3,6-11,Damian Jones,C,245,Atlanta Hawks
Saint Joseph's,3,6-5,DeAndre' Bembry,SG,210,Atlanta Hawks
Wake Forest,2,6-9,John Collins,PF,235,Atlanta Hawks
Central Florida Florida Gulf Coast,1,6-0,Brandon Goodwin,PG,180,Atlanta Hawks
Wake Forest,10,6-3,Jeff Teague,PG,195,Atlanta Hawks
Virginia Commonwealth,3,6-5,Treveon Graham,SG,223,Atlanta Hawks
USC,6,7-0,Dewayne Dedmon,C,245,Atlanta Hawks
Saint Joseph's,R,6-6,Charlie Brown  (TW),SG,199,Atlanta Hawks
,5,6-10,Clint Capela,C,240,Atlanta Hawks
Kentucky,3,6-10,Skal Labissière,F,216,Atlanta Hawks
Colorado,5,6-5,Spencer Dinwiddie,SG,215,Brooklyn Nets
Baylor,3,6-7,Taurean Prince,SF,218,Brooklyn Nets
Texas,2,6-11,Jarrett Allen,C,237,Brooklyn Nets
Virginia,5,6-6,Joe Harris,SF,220,Brooklyn Nets
Texas A&M,11,6-11,DeAndre Jordan,C,265,Brooklyn Nets
LSU,9,6-5,Garrett Temple,SG,195,Brooklyn Nets
Michigan,3,6-6,Caris LeVert,SG,205,Brooklyn Nets
,3,6-7,Timothé Luwawu-Cabarrot,SG,210,Brooklyn Nets
,1,6-9,Rodions Kurucs,PF,228,Brooklyn Nets
DePaul,11,6-8,Wilson Chandler,SF,235,Brooklyn Nets
,1,6-9,Džanan Musa,SF,217,Brooklyn Nets
UNC,1,6-5,Theo Pinson,SG,212,Brooklyn Nets
Duke,8,6-2,Kyrie Irving,PG,195,Brooklyn Nets
Georgia,R,6-11,Nicolas Claxton,PF,215,Brooklyn Nets
Florida,1,5-11,Chris Chiozza  (TW),PG,175,Brooklyn Nets
Memphis,R,6-3,Jeremiah Martin  (TW),PG,184,Brooklyn Nets
Texas,12,6-10,Kevin Durant,F-G,240,Brooklyn Nets
Pitt,1,6-3,Brad Wanamaker,PG,210,Boston Celtics
Tennessee,R,6-6,Grant Williams,PF,236,Boston Celtics
Duke SMU,2,6-6,Semi Ojeleye,PF,235,Boston Celtics
Duke,2,6-8,Jayson Tatum,PF,204,Boston Celtics
,2,6-8,Daniel Theis,C,215,Boston Celtics
Oklahoma State,5,6-3,Marcus Smart,SG,227,Boston Celtics
,8,6-10,Enes Kanter,C,262,Boston Celtics
UConn,8,6-0,Kemba Walker,PG,172,Boston Celtics
California,3,6-6,Jaylen Brown,SF,223,Boston Celtics
Butler,9,6-7,Gordon Hayward,SF,207,Boston Celtics
Radford,R,6-4,Javonte Green,SF,220,Boston Celtics
Purdue,R,5-11,Carsen Edwards,SG,200,Boston Celtics
Indiana,R,6-4,Romeo Langford,SG,216,Boston Celtics
Texas A&M,1,6-8,Robert Williams,C,237,Boston Celtics
,R,7-0,Vincent Poirier,C,235,Boston Celtics
LSU,R,5-10,Tremont Waters  (TW),PG,175,Boston Celtics
Central Florida,R,7-5,Tacko Fall  (TW),C,311,Boston Celtics
Michigan State,1,6-6,Miles Bridges,SF,225,Charlotte Hornets
Kansas,1,6-1,Devonte' Graham,PG,185,Charlotte Hornets
Louisville,4,6-1,Terry Rozier,PG,190,Charlotte Hornets
Kentucky,R,6-7,P.J. Washington,PF,236,Charlotte Hornets
Indiana,6,7-0,Cody Zeller,C,240,Charlotte Hornets
Kentucky,2,6-3,Malik Monk,SG,200,Charlotte Hornets
,8,6-8,Bismack Biyombo,C,255,Charlotte Hornets
NC State Nevada,R,6-5,Cody Martin,SF,205,Charlotte Hornets
Florida State,2,6-6,Dwayne Bacon,SG,221,Charlotte Hornets
,3,6-11,Willy Hernangómez,C,240,Charlotte Hornets
,11,6-9,Nicolas Batum,SF,200,Charlotte Hornets
NC State Nevada,R,6-5,Caleb Martin,SF,205,Charlotte Hornets
San Diego State,R,6-10,Jalen McDaniels,PF,192,Charlotte Hornets
College of Charleston,1,6-3,Joe Chealey,PG,190,Charlotte Hornets
Arizona,2,6-5,Kobi Simmons  (TW),G,166,Charlotte Hornets
Louisville,1,6-10,Ray Spalding  (TW),F,215,Charlotte Hornets
UNC,R,6-4,Coby White,SG,185,Chicago Bulls
,3,6-7,Tomáš Satoranský,PG,198,Chicago Bulls
Georgia Tech,12,6-8,Thaddeus Young,PF,220,Chicago Bulls
UCLA,5,6-6,Zach LaVine,SG,181,Chicago Bulls
Villanova,2,6-3,Ryan Arcidiacono,PG,195,Chicago Bulls
Providence,3,6-3,Kris Dunn,PG,205,Chicago Bulls
Arizona,2,7-0,Lauri Markkanen,PF,240,Chicago Bulls
Duke,1,6-9,Wendell Carter Jr.,C,259,Chicago Bulls
Arkansas,R,6-10,Daniel Gafford,C,234,Chicago Bulls
Tulsa,2,6-7,Shaquille Harrison,SF,190,Chicago Bulls
Michigan State,2,6-4,Denzel Valentine,SF,210,Chicago Bulls
Vanderbilt,2,7-2,Luke Kornet,C,240,Chicago Bulls
Boise State,1,6-7,Chandler Hutchison,SF,196,Chicago Bulls
,4,6-10,Cristiano Felício,PF,270,Chicago Bulls
Georgetown,6,6-8,Otto Porter,SF,198,Chicago Bulls
,R,6-5,Adam Mokoka  (TW),SG,190,Chicago Bulls
Lewis (IL) DePaul,R,6-6,Max Strus  (TW),SG,215,Chicago Bulls
Alabama,1,6-1,Collin Sexton,SG,190,Cleveland Cavaliers
,2,6-7,Cedi Osman,SF,215,Cleveland Cavaliers
Vanderbilt,R,6-1,Darius Garland,PG,175,Cleveland Cavaliers
Texas,8,6-9,Tristan Thompson,C,238,Cleveland Cavaliers
Saint Mary's,6,6-3,Matthew Dellavedova,PG,200,Cleveland Cavaliers
UCLA,11,6-8,Kevin Love,PF,251,Cleveland Cavaliers
Wyoming,4,6-7,Larry Nance Jr.,C,230,Cleveland Cavaliers
USC,R,6-4,Kevin Porter Jr.,SF,216,Cleveland Cavaliers
Green Bay,2,6-7,Alfonzo McKinnie,SF,215,Cleveland Cavaliers
,4,6-5,Dante Exum,SG,190,Cleveland Cavaliers
,2,6-10,Ante Žižić,C,254,Cleveland Cavaliers
Kansas State,R,6-9,Dean Wade  (TW),PF,228,Cleveland Cavaliers
UConn,7,6-10,Andre Drummond,C,279,Cleveland Cavaliers
United States Air Force Academy University of South Dakota Texas Tech,R,6-3,Matt Mooney  (TW),SG,200,Cleveland Cavaliers
St. John's,R,6-6,Sir'Dominic Pointer,G-F,192,Cleveland Cavaliers
Miami (FL),1,6-5,Sheldon Mac,G,200,Cleveland Cavaliers
Belmont,R,6-6,Dylan Windler,G-F,196,Cleveland Cavaliers
