3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.253,22.0,0.1,2.2,-1.3,11.4,2.4,.194,Joe Johnson,3.5,3.0,6.0,19.3,1.5,8.8,7.1,.538,26.3,3.0,8.4,.140
.007,19.0,4.5,5.5,4.3,19.8,5.1,.422,Josh Smith,1.2,9.0,4.2,21.0,2.4,14.3,14.3,.536,22.2,5.4,9.3,.155
.001,10.4,2.4,3.3,1.9,23.3,3.9,.319,Al Horford,1.5,9.6,6.9,19.4,1.1,11.2,16.4,.594,17.6,3.8,10.9,.183
.199,5.6,1.4,-0.2,0.4,14.8,2.6,.324,Marvin Williams,-0.5,5.0,3.1,13.0,1.4,8.7,9.8,.540,15.5,1.1,5.7,.112
.386,16.1,0.4,0.8,-2.7,8.0,1.7,.285,Jamal Crawford,3.5,1.6,5.6,18.4,1.3,9.9,4.8,.573,25.8,1.8,7.3,.143
.503,20.8,0.1,-0.2,-1.5,8.8,1.7,.123,Mike Bibby,1.2,1.1,3.0,12.7,1.6,11.7,4.9,.538,16.1,1.0,4.8,.104
.430,5.5,1.0,-0.7,-1.4,8.5,1.1,.155,Maurice Evans,0.7,5.2,2.1,12.2,1.4,4.5,6.8,.539,15.4,0.4,3.1,.114
.016,5.6,2.2,-0.9,0.8,19.0,1.5,.581,Zaza Pachulia,-1.7,12.4,1.2,13.1,1.8,15.8,15.7,.539,15.5,0.3,2.7,.121
.141,25.1,1.2,-4.2,-0.7,10.2,0.8,.216,Jeff Teague,-3.5,0.8,-0.2,11.0,2.5,16.7,5.4,.459,19.1,-0.4,0.6,.042
.036,5.3,2.4,-4.9,-1.4,18.1,0.6,.249,Joe Smith,-3.5,12.9,0.3,11.2,0.5,9.3,15.5,.453,18.4,-0.4,0.9,.077
.048,8.8,0.0,-0.8,1.3,15.8,0.2,.476,Mario West,-2.1,6.5,0.1,9.9,3.0,21.6,11.1,.591,10.5,0.0,0.3,.106
.000,2.6,1.8,-6.6,-2.1,26.6,0.2,.659,Randolph Morris,-4.5,9.3,0.1,14.6,2.1,18.5,17.9,.586,24.1,-0.1,0.3,.108
.043,4.8,1.3,-6.7,0.0,9.2,0.1,.087,Jason Collins,-6.7,5.0,-0.2,0.9,1.4,17.3,7.1,.335,11.6,-0.1,-0.1,-0.044
.000,0.0,2.3,-16.5,-7.2,21.4,0.0,.333,Othello Hunter,-9.2,21.0,-0.1,7.9,0.0,17.9,21.2,.400,23.4,-0.1,0.0,-0.031
.002,11.8,3.4,1.9,0.8,17.5,2.4,.451,Brook Lopez,1.1,9.9,5.5,20.1,1.0,13.1,13.5,.570,23.6,3.0,7.9,.125
.290,9.0,0.6,-0.8,-0.6,9.7,1.3,.197,Courtney Lee,-0.2,2.8,1.8,12.8,2.1,8.3,6.1,.525,17.7,0.7,3.1,.063
.245,34.6,0.6,-0.5,-2.0,9.7,1.2,.437,Devin Harris,1.5,1.2,1.5,16.2,1.9,14.7,5.3,.512,25.5,0.8,2.7,.057
.154,22.4,0.4,-3.8,-0.6,20.6,1.3,.221,Terrence Williams,-3.2,2.9,-1.5,11.5,1.3,14.8,11.4,.459,21.8,-0.8,-0.3,-0.007
.094,9.5,0.8,-4.0,-1.1,10.7,0.9,.274,Chris Douglas-Roberts,-2.9,2.9,-0.2,11.5,1.7,13.1,6.6,.512,19.6,-0.9,0.7,.020
.073,4.9,2.3,-4.0,-0.6,18.7,1.3,.343,Yi Jianlian,-3.4,7.7,0.0,12.3,1.2,10.6,13.0,.481,20.1,-0.8,1.3,.037
.023,7.2,0.6,-5.2,-0.7,10.5,0.3,.315,Trenton Hassell,-4.5,5.6,-0.4,6.5,0.8,15.9,7.9,.465,12.3,-0.9,-0.1,-0.003
.000,4.6,3.4,-1.9,1.1,22.0,1.1,.260,Josh Boone,-3.0,13.1,0.7,13.7,1.5,13.0,17.4,.509,12.5,0.0,1.8,.084
.546,6.7,0.6,-2.9,-1.8,11.5,0.5,.055,Jarvis Hayes,-1.1,1.0,0.3,9.7,1.5,7.7,6.0,.521,16.2,-0.2,0.8,.038
.485,24.0,0.0,-4.2,-3.8,5.7,0.3,.188,Keyon Dooling,-0.4,0.9,0.4,11.6,1.8,14.4,3.2,.519,19.4,-0.5,0.7,.035
.003,4.8,3.0,-4.6,-0.2,26.7,1.1,.498,Kris Humphries,-4.4,10.0,0.1,15.1,1.7,12.9,18.0,.498,20.8,-0.6,1.3,.066
.314,23.1,0.5,-5.0,-1.7,10.4,0.4,.195,Rafer Alston,-3.3,1.3,-1.2,8.7,1.9,16.9,5.6,.436,21.7,-0.6,-0.8,-0.051
.538,6.3,0.6,-4.2,-1.3,15.9,0.3,.171,Bobby Simmons,-3.0,3.1,-0.2,8.0,2.0,13.1,9.2,.485,16.8,-0.2,0.1,.014
.020,0.7,6.2,-6.6,1.2,13.3,0.3,.388,Sean Williams,-7.8,10.2,-0.4,7.0,1.9,25.9,11.7,.453,15.6,-0.3,-0.2,-0.036
.571,20.9,0.3,-5.2,-2.6,8.1,0.1,.107,Chris Quinn,-2.6,0.5,0.0,9.3,2.1,14.6,4.1,.477,14.1,-0.2,0.1,.025
.321,12.0,0.7,-4.0,0.1,15.4,0.2,.226,Eduardo Najera,-4.0,6.5,-0.2,7.0,2.3,17.1,10.7,.420,15.8,-0.1,-0.1,-0.017
.100,3.7,1.1,-8.4,-1.8,17.1,0.1,.250,Tony Battie,-6.7,3.3,-0.1,6.1,1.6,6.3,9.9,.405,16.2,-0.2,0.0,-0.014
.088,43.7,0.3,3.5,1.3,10.5,4.7,.312,Rajon Rondo,2.2,4.3,4.9,19.1,3.3,19.3,7.5,.540,20.2,4.1,9.6,.156
.410,12.3,0.7,1.7,-0.7,8.8,2.9,.260,Ray Allen,2.3,2.0,5.1,15.2,1.2,10.6,5.5,.601,20.2,2.6,7.9,.135
.303,15.1,1.0,2.7,0.3,13.4,3.3,.499,Paul Pierce,2.3,2.0,5.0,18.2,1.8,13.6,7.9,.613,23.8,2.9,8.3,.165
.006,6.0,4.8,0.2,2.7,24.4,3.8,.536,Kendrick Perkins,-2.5,9.1,1.4,15.0,0.6,20.4,16.9,.613,17.6,1.2,5.2,.117
.006,15.7,2.2,2.6,2.6,24.8,3.8,.286,Kevin Garnett,0.0,4.8,3.6,19.4,1.7,10.4,15.1,.569,22.1,2.4,7.3,.171
.446,7.3,3.1,0.3,1.7,19.0,3.4,.192,Rasheed Wallace,-1.4,3.0,0.2,13.1,2.4,8.2,11.2,.504,20.2,1.0,3.6,.096
.112,11.1,0.5,-2.5,-0.1,8.7,1.0,.225,Marquis Daniels,-2.5,3.6,0.2,9.6,1.5,13.3,6.2,.526,15.8,-0.1,1.3,.064
.014,5.9,1.2,-3.0,-0.5,13.3,1.2,.495,Glen Davis,-2.5,13.7,0.5,11.5,1.2,13.5,13.5,.500,19.7,-0.2,1.6,.084
.020,13.0,1.7,0.8,2.6,12.5,1.6,.470,Tony Allen,-1.8,7.4,0.2,14.2,3.5,17.8,10.0,.540,19.6,0.6,1.9,.100
.519,9.2,0.7,-1.9,-1.6,8.7,1.0,.124,Eddie House,-0.3,1.0,0.4,11.9,1.7,7.4,5.0,.527,20.3,0.0,1.4,.081
.008,5.3,2.8,-1.1,1.0,19.8,0.9,.810,Shelden Williams,-2.0,9.9,1.1,14.1,1.1,15.5,15.0,.612,15.3,0.1,2.0,.162
.576,8.1,0.7,-4.0,-0.1,9.9,0.5,.071,Brian Scalabrine,-4.0,2.4,-0.3,3.6,1.0,16.2,6.2,.445,10.4,-0.2,0.2,.019
.554,22.1,0.0,0.6,-0.9,10.3,0.6,.083,Nate Robinson,1.5,1.7,0.2,13.9,3.0,10.9,6.1,.522,22.4,0.3,0.8,.103
.471,12.2,0.5,-1.3,-1.3,12.2,0.3,.069,Michael Finley,0.0,0.4,0.4,12.1,0.7,8.2,6.4,.608,14.6,0.1,0.8,.115
.095,8.9,0.8,-5.0,1.1,19.3,0.2,.571,J.R. Giddens,-6.1,5.1,-0.1,7.3,2.1,21.0,12.4,.457,15.8,-0.1,0.0,.015
.278,17.1,2.3,-4.1,0.7,8.5,0.1,.333,Lester Hudson,-4.7,5.4,-0.1,8.7,2.2,30.4,7.0,.533,19.9,0.0,0.0,.003
.000,15.6,0.0,-6.4,-0.9,20.6,0.0,.333,Henry Walker,-5.4,0.0,0.0,7.6,0.0,22.5,10.6,.581,14.4,0.0,0.0,.062
.333,14.4,0.0,-2.8,-1.6,16.3,0.0,.000,Oliver Lafayette,-1.2,5.7,0.0,12.8,0.0,14.3,11.1,.583,14.9,0.0,0.0,.098
1.000,0.0,0.0,-29.9,-10.2,0.0,0.0,.000,Marcus Landry,-19.7,0.0,0.0,-26.8,0.0,0.0,0.0,.000,31.3,0.0,0.0,-0.738
.148,9.0,2.2,3.5,2.9,23.2,6.2,.577,Gerald Wallace,0.6,5.9,5.3,18.3,2.0,13.1,14.7,.586,20.3,4.3,11.5,.177
.266,18.9,1.6,1.9,1.6,11.9,3.8,.190,Boris Diaw,0.3,5.5,2.4,12.8,1.1,17.5,8.8,.552,16.2,2.9,6.2,.103
.275,17.3,1.1,1.2,0.7,12.3,4.4,.309,Stephen Jackson,0.5,3.1,0.6,15.7,2.2,13.8,7.8,.520,27.8,2.3,5.0,.085
.184,29.5,0.7,1.6,1.1,10.5,4.0,.204,Raymond Felton,0.5,2.5,2.5,15.2,2.5,15.4,6.6,.525,19.2,2.4,6.5,.118
.409,21.7,0.3,-2.6,-1.6,6.9,1.7,.301,D.J. Augustin,-0.9,0.9,1.1,11.2,1.6,13.1,4.0,.516,17.9,-0.2,2.8,.092
