2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
7.3,14.5,.504,2.1,5.5,.381,4.4,25,0.2,3.3,9.4,20.0,.471,4.1,5.5,.748,57,57,41.4,Joe Johnson,0.9,2.0,25.0,1.1,3.1,4.2,.523
5.5,11.7,.473,0.5,2.1,.250,3.3,21,2.9,6.3,6.1,13.8,.439,3.7,5.4,.693,72,72,36.8,Josh Smith,2.3,3.3,16.4,1.4,3.2,8.6,.458
4.3,8.0,.533,0.5,1.4,.338,2.3,23,0.7,3.9,4.7,9.4,.504,3.0,3.8,.795,55,13,36.8,Josh Childress,2.2,2.1,13.0,1.1,1.5,6.2,.529
4.6,10.3,.446,0.2,0.7,.244,1.9,20,0.5,4.0,4.8,11.0,.433,3.4,4.1,.815,64,63,34.0,Marvin Williams,1.3,3.0,13.1,0.8,2.0,5.3,.441
4.0,8.5,.475,0.0,0.0,.000,1.5,22,0.5,4.2,4.0,8.5,.474,4.1,5.2,.786,72,47,28.1,Zaza Pachulia,2.8,3.7,12.2,1.1,2.3,6.9,.474
2.5,5.7,.444,0.5,1.6,.318,4.6,32,0.1,1.6,3.0,7.3,.416,0.9,1.2,.781,27,17,27.4,Anthony Johnson,0.3,1.9,7.5,0.6,1.7,2.0,.452
2.9,6.5,.446,1.0,2.9,.348,3.6,29,0.0,1.5,3.9,9.4,.416,2.6,2.9,.883,56,17,26.6,Tyronn Lue,0.3,1.8,11.4,0.4,1.5,1.9,.469
2.0,6.0,.340,0.1,0.7,.214,4.4,28,0.1,1.6,2.2,6.6,.327,0.8,1.4,.550,42,31,25.1,Speedy Claxton,0.3,3.1,5.3,1.7,1.8,1.9,.338
2.0,4.5,.454,0.0,0.0,.500,0.5,23,0.5,3.8,2.0,4.5,.455,1.4,1.8,.764,81,31,18.7,Shelden Williams,1.6,2.5,5.5,0.6,1.2,5.4,.458
2.0,4.4,.448,0.9,2.5,.361,1.0,24,0.0,1.1,2.9,7.0,.416,1.0,1.1,.897,61,0,17.0,Salim Stoudamire,0.1,1.4,7.7,0.3,0.9,1.2,.482
1.2,2.7,.448,0.0,0.0,,0.6,31,0.4,2.0,1.2,2.7,.448,0.1,0.5,.281,67,31,15.4,Lorenzen Wright,1.3,3.0,2.6,0.4,0.6,3.2,.448
1.1,2.2,.512,0.0,0.0,.000,0.2,22,0.7,1.5,1.1,2.2,.508,1.0,1.3,.787,58,8,11.5,Solomon Jones,0.8,2.1,3.3,0.2,0.4,2.3,.508
1.1,2.4,.465,0.1,0.3,.313,0.8,25,0.1,0.7,1.2,2.7,.448,0.5,0.7,.686,53,18,10.2,Royal Ivey,0.3,1.2,3.0,0.5,0.6,1.0,.465
0.4,1.1,.346,0.1,0.6,.154,0.4,23,0.1,0.9,0.5,1.7,.282,0.1,0.3,.333,23,5,8.7,Cedric Bozeman,0.1,1.4,1.1,0.2,0.4,1.0,.308
1.0,2.2,.462,0.0,0.3,.000,0.3,23,0.0,0.8,1.0,2.5,.400,0.8,1.0,.833,6,0,8.3,Dijon Thompson,0.5,0.3,2.8,0.0,0.2,1.3,.400
0.7,1.7,.406,0.2,1.2,.136,0.4,25,0.1,0.8,0.8,2.8,.296,0.3,0.3,.833,19,0,7.7,Matt Freije,0.4,0.7,2.1,0.2,0.2,1.3,.324
0.6,1.2,.500,0.0,0.0,,0.3,23,0.0,1.8,0.6,1.2,.500,0.3,0.5,.571,13,0,6.2,Esteban Batista,0.5,1.0,1.5,0.2,0.3,2.3,.500
0.8,1.9,.407,0.1,0.1,.500,0.1,27,0.1,0.7,0.9,2.1,.414,1.2,1.4,.850,14,0,5.8,Stanislav Medvedenko,0.3,1.1,3.0,0.0,0.4,1.0,.431
0.2,0.6,.333,0.4,0.6,.667,0.0,22,0.0,0.2,0.6,1.2,.500,0.0,0.0,,5,0,3.8,Jeremy Richardson,0.2,0.4,1.6,0.2,0.2,0.4,.667
7.0,14.2,.491,1.9,5.3,.357,4.8,30,0.4,4.6,8.9,19.5,.454,5.6,7.0,.802,82,82,38.1,Vince Carter,1.4,3.2,25.2,1.0,2.6,6.0,.503
3.1,6.8,.448,1.6,4.5,.343,9.2,33,0.3,6.5,4.6,11.4,.406,2.2,2.9,.778,80,80,36.7,Jason Kidd,1.7,1.8,13.0,1.6,2.7,8.2,.475
4.6,9.5,.483,0.9,2.6,.359,2.7,26,0.1,3.5,5.5,12.1,.456,4.3,5.9,.733,55,53,35.6,Richard Jefferson,0.9,2.2,16.3,0.6,2.2,4.4,.495
6.5,12.4,.528,0.0,0.0,.000,1.8,23,0.9,4.8,6.5,12.4,.526,3.3,4.7,.711,26,26,32.6,Nenad Krstic,2.0,3.4,16.4,0.4,2.0,6.8,.526
3.9,6.4,.610,0.0,0.0,.000,0.9,31,0.8,3.3,3.9,6.4,.609,2.0,3.0,.681,79,55,26.4,Mikki Moore,1.8,3.3,9.8,0.6,1.4,5.1,.609
0.7,1.9,.369,0.0,0.0,.000,0.6,28,0.5,2.8,0.7,1.9,.364,0.7,1.6,.465,80,78,23.1,Jason Collins,1.1,3.4,2.1,0.5,0.9,4.0,.364
1.5,3.0,.496,1.5,3.5,.423,0.8,26,0.3,3.0,3.0,6.5,.457,1.7,2.2,.805,76,1,20.2,Bostjan Nachbar,0.4,2.4,9.2,0.4,0.9,3.3,.570
1.1,3.0,.368,0.5,1.3,.379,1.0,40,0.5,1.8,1.6,4.4,.372,0.3,0.7,.444,50,1,19.1,Clifford Robinson,0.6,2.0,4.1,0.2,0.6,2.4,.429
1.4,3.0,.474,0.3,0.9,.322,0.9,22,0.2,2.2,1.7,4.0,.438,0.7,1.2,.603,63,23,18.0,Antoine Wright,0.6,1.9,4.5,0.5,0.7,2.8,.476
1.9,4.4,.427,1.3,3.1,.429,1.2,28,0.1,1.4,3.2,7.5,.428,0.6,0.6,.917,56,1,16.9,Eddie House,0.3,1.2,8.4,0.5,0.5,1.6,.517
2.1,4.6,.446,0.6,2.1,.282,3.3,21,0.0,1.7,2.6,6.7,.395,0.9,1.1,.847,79,2,16.6,Marcus Williams,0.4,1.2,6.8,0.4,1.8,2.1,.439
1.6,2.8,.579,0.0,0.0,,0.2,22,0.3,1.8,1.6,2.8,.579,0.9,1.7,.544,61,0,11.0,Josh Boone,1.0,1.5,4.2,0.2,0.5,2.9,.579
1.2,2.2,.560,0.0,0.0,.000,0.2,22,0.1,0.7,1.2,2.2,.556,0.4,0.6,.667,61,8,8.1,Hassan Adams,0.6,0.8,2.9,0.3,0.4,1.3,.556
0.3,0.8,.375,0.0,0.0,,0.2,26,0.1,0.5,0.3,0.8,.375,0.4,0.5,.800,10,0,3.7,Bernard Robinson,0.1,0.4,1.0,0.4,0.0,0.6,.375
0.0,0.6,.000,0.0,0.0,,0.0,22,0.0,0.2,0.0,0.6,.000,0.0,0.0,,5,0,1.2,Mile Ilic,0.0,0.2,0.0,0.0,0.6,0.2,.000
