College,Experience,Height,Name,Position,Weight,team
,R,6-10,Esteban Batista,PF,270,Atlanta Hawks
Stanford University,1,6-8,Josh Childress,SF,210,Atlanta Hawks
University of Kentucky,9,6-1,Tony Delk,SG,189,Atlanta Hawks
Kent State University,1,7-0,John Edwards,C,275,Atlanta Hawks
North Carolina State University,R,6-3,Anthony Grundy,SG,180,Atlanta Hawks
,7,6-9,Al Harrington,PF,230,Atlanta Hawks
University of Texas at Austin,1,6-3,Royal Ivey,PG,200,Atlanta Hawks
University of Arkansas,4,6-7,Joe Johnson,SG,240,Atlanta Hawks
University of Nebraska,7,6-0,Tyronn Lue,PG,175,Atlanta Hawks
,2,6-11,Zaza Pachulia,C,270,Atlanta Hawks
Southeastern Illinois College,1,6-7,Donta Smith,SG,215,Atlanta Hawks
,1,6-9,Josh Smith,SF,225,Atlanta Hawks
University of Arizona,R,6-1,Salim Stoudamire,SG,179,Atlanta Hawks
University of Minnesota,4,6-9,John Thomas,C,265,Atlanta Hawks
University of North Carolina,R,6-9,Marvin Williams,PF,237,Atlanta Hawks
University of North Carolina,7,6-6,Vince Carter,SG,220,New Jersey Nets
Stanford University,4,7-0,Jason Collins,C,255,New Jersey Nets
Virginia Commonwealth University Temple University,5,6-10,Marc Jackson,C,270,New Jersey Nets
University of Arizona,4,6-7,Richard Jefferson,SF,233,New Jersey Nets
Tulane University,2,6-8,Linton Johnson,SF,205,New Jersey Nets
University of California,11,6-4,Jason Kidd,PG,205,New Jersey Nets
,1,7-0,Nenad Krstic,PF,240,New Jersey Nets
University of North Carolina,8,6-4,Jeff McInnis,SG,190,New Jersey Nets
University of California,10,6-7,Lamond Murray,SF,236,New Jersey Nets
,3,6-9,Bostjan Nachbar,SF,221,New Jersey Nets
University of Kentucky,6,6-9,Scott Padgett,PF,240,New Jersey Nets
,2,6-7,Zoran Planinic,PG,195,New Jersey Nets
University of Connecticut,16,6-10,Clifford Robinson,PF,225,New Jersey Nets
University of Minnesota,4,6-9,John Thomas,C,265,New Jersey Nets
