2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
5.0,9.8,.513,1.1,3.0,.356,3.1,29,0.9,5.9,6.1,12.7,.476,3.5,4.6,.757,73,73,32.7,Paul Millsap,1.9,2.8,16.7,1.8,2.3,7.8,.518
0.9,2.0,.470,2.9,6.0,.492,2.6,33,0.6,3.9,3.9,8.0,.487,1.4,1.6,.898,75,75,32.2,Kyle Korver,0.2,1.9,12.1,0.7,1.4,4.1,.671
2.8,5.0,.567,1.7,4.3,.395,1.7,28,0.2,3.9,4.5,9.3,.487,1.8,2.6,.702,70,69,31.3,DeMarre Carroll,1.4,2.2,12.6,1.3,1.1,5.3,.579
4.6,9.3,.496,1.0,2.8,.343,7.0,26,0.4,2.1,5.6,12.2,.460,3.8,4.4,.862,73,72,30.5,Jeff Teague,0.4,1.9,15.9,1.7,2.8,2.5,.500
6.7,12.2,.547,0.1,0.5,.306,3.2,28,1.3,5.4,6.8,12.7,.538,1.4,1.9,.759,76,76,30.5,Al Horford,1.7,1.6,15.2,0.9,1.3,7.2,.544
3.0,6.7,.449,0.7,1.9,.351,4.1,21,0.1,1.8,3.7,8.6,.427,1.9,2.3,.827,77,10,19.7,Dennis Schroder,0.4,1.6,10.0,0.6,1.9,2.1,.466
1.5,3.3,.462,0.5,1.5,.321,1.4,30,0.4,3.3,2.0,4.8,.418,0.9,1.1,.776,52,7,18.8,Thabo Sefolosha,1.0,1.3,5.3,1.0,0.7,4.3,.468
1.2,2.7,.467,0.6,1.8,.364,1.0,25,0.4,2.7,1.9,4.4,.426,0.8,1.3,.600,75,10,17.7,Kent Bazemore,0.3,1.7,5.2,0.7,1.0,3.0,.498
2.0,3.8,.517,1.0,2.8,.344,1.1,26,0.0,2.3,3.0,6.7,.444,0.9,1.1,.792,68,0,16.5,Mike Scott,0.7,1.2,7.8,0.4,0.6,2.9,.517
0.9,2.0,.455,0.8,2.7,.301,0.8,32,0.2,2.1,1.7,4.7,.365,1.4,2.0,.715,63,3,16.5,Pero Antic,0.9,2.1,5.7,0.3,0.8,3.0,.453
1.4,3.0,.467,0.7,2.3,.315,2.8,24,0.0,1.3,2.1,5.3,.401,0.5,0.6,.806,55,0,15.1,Shelvin Mack,0.1,0.6,5.4,0.5,0.9,1.4,.469
1.2,2.6,.447,0.0,0.0,.000,0.6,35,0.7,2.0,1.2,2.6,.442,0.3,0.6,.522,36,4,13.5,Elton Brand,0.8,1.5,2.7,0.5,0.5,2.8,.442
