College,Experience,Height,Name,Position,Weight,team
,1,6-11,Pero Antić,C,260,Atlanta Hawks
Old Dominion,2,6-4,Kent Bazemore,SG,195,Atlanta Hawks
Duke,15,6-8,Elton Brand,C,275,Atlanta Hawks
Vanderbilt Missouri,5,6-6,DeMarre Carroll,SF,215,Atlanta Hawks
Gonzaga,5,6-11,Austin Daye,SF,220,Atlanta Hawks
Florida,7,6-9,Al Horford,C,245,Atlanta Hawks
Vanderbilt,2,6-4,John Jenkins,SG,215,Atlanta Hawks
Creighton,11,6-7,Kyle Korver,SG,212,Atlanta Hawks
Butler,3,6-3,Shelvin Mack,PG,203,Atlanta Hawks
Louisiana Tech,8,6-7,Paul Millsap,PF,250,Atlanta Hawks
Bucknell,1,6-10,Mike Muscala,PF,240,Atlanta Hawks
Michigan State,R,6-10,Adreian Payne,PF,237,Atlanta Hawks
,1,6-1,Dennis Schröder,PG,172,Atlanta Hawks
Virginia,2,6-7,Mike Scott,PF,237,Atlanta Hawks
,8,6-6,Thabo Sefolosha,SF,220,Atlanta Hawks
Wake Forest,5,6-3,Jeff Teague,PG,195,Atlanta Hawks
Michigan State,5,6-6,Alan Anderson,SG,220,Brooklyn Nets
,R,6-8,Bojan Bogdanović,SF,216,Brooklyn Nets
Oklahoma State,R,6-3,Markel Brown,SG,190,Brooklyn Nets
Louisville,5,6-10,Earl Clark,PF,225,Brooklyn Nets
BYU,1,6-10,Brandon Davies,PF,240,Brooklyn Nets
,19,6-11,Kevin Garnett,PF,240,Brooklyn Nets
California,1,6-3,Jorge Gutiérrez,PG,191,Brooklyn Nets
Georgia Tech,9,6-3,Jarrett Jack,PG,200,Brooklyn Nets
Baylor,R,6-9,Cory Jefferson,PF,218,Brooklyn Nets
Arkansas,13,6-7,Joe Johnson,SG,240,Brooklyn Nets
Tulsa,1,7-0,Jerome Jordan,C,253,Brooklyn Nets
,1,6-7,Sergey Karasev,SG,208,Brooklyn Nets
,12,6-9,Andrei Kirilenko,SF,220,Brooklyn Nets
Stanford,6,7-0,Brook Lopez,C,270,Brooklyn Nets
Michigan,3,6-4,Darius Morris,PG,190,Brooklyn Nets
Duke,1,6-11,Mason Plumlee,C,238,Brooklyn Nets
,2,6-9,Mirza Teletović,PF,242,Brooklyn Nets
Illinois,9,6-3,Deron Williams,PG,200,Brooklyn Nets
Georgia Tech,7,6-8,Thaddeus Young,PF,220,Brooklyn Nets
LSU,9,6-8,Brandon Bass,PF,250,Boston Celtics
Texas,4,6-3,Avery Bradley,SG,180,Boston Celtics
Marquette,2,6-6,Jae Crowder,SF,235,Boston Celtics
,1,6-8,Luigi Datome,SF,215,Boston Celtics
Georgetown,6,6-8,Jeff Green,SF,235,Boston Celtics
,4,6-10,Jonas Jerebko,PF,231,Boston Celtics
Saint Joseph's,10,6-0,Jameer Nelson,PG,190,Boston Celtics
Gonzaga,1,6-11,Kelly Olynyk,C,240,Boston Celtics
Stanford,R,6-10,Dwight Powell,PF,240,Boston Celtics
Missouri,1,5-11,Phil Pressey,PG,175,Boston Celtics
Kentucky,12,6-9,Tayshaun Prince,SF,212,Boston Celtics
Duke,7,6-10,Shavlik Randolph,PF,240,Boston Celtics
Kentucky,8,6-1,Rajon Rondo,PG,186,Boston Celtics
Oklahoma State,R,6-3,Marcus Smart,PG,227,Boston Celtics
Ohio State,2,6-9,Jared Sullinger,PF,260,Boston Celtics
Washington,3,5-9,Isaiah Thomas,PG,185,Boston Celtics
LSU,5,6-4,Marcus Thornton,SG,205,Boston Celtics
Ohio State,4,6-6,Evan Turner,SG,220,Boston Celtics
Alabama,13,6-7,Gerald Wallace,SF,215,Boston Celtics
UNC,6,6-10,Brandan Wright,PF,210,Boston Celtics
Kentucky,R,6-6,James Young,SG,215,Boston Celtics
UNC,2,7-0,Tyler Zeller,C,253,Boston Celtics
,3,6-8,Bismack Biyombo,C,255,Charlotte Hornets
Virginia Commonwealth,1,6-4,Troy Daniels,SG,205,Charlotte Hornets
UNC,R,6-6,P.J. Hairston,SG,230,Charlotte Hornets
Duke,5,6-5,Gerald Henderson,SG,215,Charlotte Hornets
,10,6-10,Al Jefferson,C,289,Charlotte Hornets
Kentucky,2,6-6,Michael Kidd-Gilchrist,SF,232,Charlotte Hornets
Cincinnati,9,6-7,Jason Maxiell,PF,260,Charlotte Hornets
La Salle Towson University,4,6-4,Gary Neal,SG,210,Charlotte Hornets
Arkansas,10,6-1,Jannero Pargo,PG,175,Charlotte Hornets
Dayton,2,6-1,Brian Roberts,PG,173,Charlotte Hornets
Cincinnati,4,6-6,Lance Stephenson,SG,230,Charlotte Hornets
Vanderbilt,2,6-7,Jeffery Taylor,SF,225,Charlotte Hornets
Indiana,R,6-10,Noah Vonleh,PF,257,Charlotte Hornets
UConn,3,6-0,Kemba Walker,PG,172,Charlotte Hornets
UNC,9,6-8,Marvin Williams,PF,237,Charlotte Hornets
Alabama,11,6-1,Mo Williams,PG,198,Charlotte Hornets
