2P,2PA,2PCT,3P,3PA,3PCT,AST,Age,BLK,DRB,FG,FGA,FGPCT,FT,FTA,FTPCT,GP,GS,MPG,Name,ORB,PF,PTS,STL,TOV,TRB,eFG
6.7,13.6,.488,1.7,4.6,.369,4.9,28,0.1,3.7,8.4,18.2,.458,2.9,3.5,.818,76,76,38.0,Joe Johnson,1.0,1.9,21.3,1.1,1.9,4.6,.505
6.2,12.2,.508,0.0,0.1,.000,4.2,24,2.1,6.0,6.2,12.3,.505,3.2,5.2,.618,81,81,35.4,Josh Smith,2.8,3.0,15.7,1.6,2.4,8.7,.505
5.8,10.4,.551,0.0,0.0,1.000,2.3,23,1.1,7.0,5.8,10.5,.551,2.6,3.3,.789,81,81,35.1,Al Horford,2.9,2.8,14.2,0.7,1.5,9.9,.552
4.2,8.6,.491,2.1,5.4,.382,3.0,29,0.2,2.1,6.3,14.0,.449,3.4,4.0,.857,79,0,31.1,Jamal Crawford,0.4,1.7,18.0,0.8,1.7,2.5,.523
3.2,6.6,.492,0.5,1.6,.303,1.1,23,0.6,3.8,3.7,8.2,.455,2.2,2.7,.819,81,81,30.5,Marvin Williams,1.3,2.0,10.1,0.8,0.9,5.1,.485
1.8,4.0,.444,1.6,4.1,.389,3.9,31,0.0,2.1,3.4,8.1,.416,0.9,1.0,.861,80,80,27.4,Mike Bibby,0.3,2.0,9.1,0.8,1.1,2.3,.514
1.5,2.8,.527,0.7,2.1,.337,0.6,31,0.2,1.2,2.2,5.0,.445,0.6,0.8,.754,79,5,16.7,Maurice Evans,0.7,1.6,5.7,0.4,0.3,1.9,.518
1.5,3.1,.496,0.0,0.1,.000,0.5,25,0.4,2.3,1.5,3.2,.488,1.2,1.8,.650,78,1,14.0,Zaza Pachulia,1.5,2.4,4.3,0.5,0.7,3.8,.488
1.2,2.7,.426,0.1,0.5,.219,1.7,21,0.2,0.9,1.3,3.2,.396,0.6,0.7,.837,71,3,10.1,Jeff Teague,0.1,1.2,3.2,0.5,0.7,0.9,.412
1.2,2.9,.409,0.0,0.1,.143,0.3,34,0.3,1.4,1.2,3.0,.399,0.6,0.8,.813,64,1,9.3,Joe Smith,1.0,1.5,3.0,0.1,0.3,2.5,.402
