College,Experience,Height,Name,Position,Weight,team
Old Dominion,3,6-4,Kent Bazemore,SF,195,Atlanta Hawks
Michigan,2,6-5,Tim Hardaway,SG,205,Atlanta Hawks
Kansas,12,6-4,Kirk Hinrich,PG,190,Atlanta Hawks
Washington,2,6-6,Justin Holiday,SG,181,Atlanta Hawks
Florida,8,6-9,Al Horford,C,245,Atlanta Hawks
Minnesota,11,6-9,Kris Humphries,PF,235,Atlanta Hawks
Creighton,12,6-7,Kyle Korver,SG,212,Atlanta Hawks
Butler,4,6-3,Shelvin Mack,PG,203,Atlanta Hawks
Louisiana Tech,9,6-7,Paul Millsap,PF,250,Atlanta Hawks
Bucknell,2,6-10,Mike Muscala,C,240,Atlanta Hawks
Pitt,R,6-5,Lamar Patterson,SG,225,Atlanta Hawks
,2,6-1,Dennis Schröder,PG,172,Atlanta Hawks
Virginia,3,6-7,Mike Scott,PF,237,Atlanta Hawks
,9,6-6,Thabo Sefolosha,SF,220,Atlanta Hawks
,5,6-11,Tiago Splitter,C,245,Atlanta Hawks
,R,7-3,Edy Tavares,C,260,Atlanta Hawks
Wake Forest,6,6-3,Jeff Teague,PG,195,Atlanta Hawks
,9,7-0,Andrea Bargnani,C,245,Brooklyn Nets
,1,6-8,Bojan Bogdanović,SF,216,Brooklyn Nets
Oklahoma State,1,6-3,Markel Brown,SG,190,Brooklyn Nets
UNC,6,6-4,Wayne Ellington,SG,200,Brooklyn Nets
Arizona,R,6-6,Rondae Hollis-Jefferson,SF,217,Brooklyn Nets
Georgia Tech,10,6-3,Jarrett Jack,PG,200,Brooklyn Nets
Arkansas,14,6-7,Joe Johnson,SF,240,Brooklyn Nets
,2,6-7,Sergey Karasev,SF,208,Brooklyn Nets
Cincinnati,1,6-4,Sean Kilpatrick,SG,210,Brooklyn Nets
Miami (FL),2,5-11,Shane Larkin,PG,175,Brooklyn Nets
Stanford,7,7-0,Brook Lopez,C,270,Brooklyn Nets
Syracuse,R,6-11,Chris McCullough,PF,200,Brooklyn Nets
Saint Louis,R,6-10,Willie Reed,C,220,Brooklyn Nets
Kansas,3,6-10,Thomas Robinson,PF,237,Brooklyn Nets
Georgetown,3,6-10,Henry Sims,C,248,Brooklyn Nets
Texas A&M,4,6-3,Donald Sloan,PG,205,Brooklyn Nets
Georgia Tech,8,6-8,Thaddeus Young,PF,220,Brooklyn Nets
Texas,5,6-3,Avery Bradley,SG,180,Boston Celtics
Arkansas,R,6-7,Coty Clarke,SF,232,Boston Celtics
Marquette,3,6-6,Jae Crowder,SF,235,Boston Celtics
Boston University,R,6-5,John Holland,SF,205,Boston Celtics
Georgia State University,R,6-5,R.J. Hunter,SG,185,Boston Celtics
,5,6-10,Jonas Jerebko,PF,231,Boston Celtics
,10,6-9,Amir Johnson,PF,240,Boston Celtics
Florida,10,6-9,David Lee,PF,245,Boston Celtics
LSU,R,6-8,Jordan Mickey,PF,235,Boston Celtics
Gonzaga,2,6-11,Kelly Olynyk,C,240,Boston Celtics
Louisville,R,6-1,Terry Rozier,PG,190,Boston Celtics
Oklahoma State,1,6-3,Marcus Smart,PG,227,Boston Celtics
Ohio State,3,6-9,Jared Sullinger,PF,260,Boston Celtics
Washington,4,5-9,Isaiah Thomas,PG,185,Boston Celtics
Ohio State,5,6-6,Evan Turner,SG,220,Boston Celtics
Kentucky,1,6-6,James Young,SG,215,Boston Celtics
UNC,3,7-0,Tyler Zeller,C,253,Boston Celtics
,7,6-9,Nicolas Batum,SF,200,Charlotte Hornets
Virginia Commonwealth,2,6-4,Troy Daniels,SG,205,Charlotte Hornets
California,2,6-3,Jorge Gutiérrez,PG,191,Charlotte Hornets
UNC,1,6-6,P.J. Hairston,SF,230,Charlotte Hornets
UNC,6,6-9,Tyler Hansbrough,PF,250,Charlotte Hornets
Kentucky,R,6-6,Aaron Harrison,SG,210,Charlotte Hornets
Washington,8,7-1,Spencer Hawes,PF,245,Charlotte Hornets
,11,6-10,Al Jefferson,C,289,Charlotte Hornets
Wisconsin,R,7-0,Frank Kaminsky,C,240,Charlotte Hornets
Kentucky,3,6-6,Michael Kidd-Gilchrist,SF,232,Charlotte Hornets
UConn,3,6-5,Jeremy Lamb,SG,185,Charlotte Hornets
Western Kentucky,7,6-5,Courtney Lee,SG,215,Charlotte Hornets
Harvard University,5,6-3,Jeremy Lin,SG,200,Charlotte Hornets
Dayton,3,6-1,Brian Roberts,PG,173,Charlotte Hornets
UConn,4,6-0,Kemba Walker,PG,172,Charlotte Hornets
UNC,10,6-8,Marvin Williams,PF,237,Charlotte Hornets
Indiana,2,7-0,Cody Zeller,C,240,Charlotte Hornets
New Mexico,1,6-9,Cameron Bairstow,C,250,Chicago Bulls
Oregon,7,6-0,Aaron Brooks,PG,161,Chicago Bulls
Marquette,4,6-7,Jimmy Butler,SG,230,Chicago Bulls
Duke,13,6-9,Mike Dunleavy,SF,230,Chicago Bulls
,R,6-10,Cristiano Felício,C,270,Chicago Bulls
,14,7-0,Pau Gasol,C,250,Chicago Bulls
