3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
.522,7.1,0.9,-3.0,-2.2,21.0,0.2,.391,Anthony Bennett,-0.8,10.2,0.3,14.7,0.9,10.0,15.6,.533,19.4,-0.1,0.5,.090
.213,20.8,1.6,-1.0,-1.4,11.9,0.1,.525,Archie Goodwin,0.3,4.1,0.4,18.6,1.0,15.7,8.1,.633,20.7,0.0,0.5,.131
.551,16.9,1.0,-7.3,-3.3,5.5,0.0,.327,Yogi Ferrell,-4.0,2.8,-0.2,6.5,0.6,20.0,4.2,.482,19.9,-0.2,-0.2,-0.050
.324,4.0,0.0,-7.8,-1.0,21.7,0.1,.059,Andrew Nicholson,-6.8,3.9,-0.2,5.0,2.1,14.7,12.9,.430,15.8,-0.2,-0.1,-0.030
.194,4.9,2.1,-3.8,-3.0,11.6,0.0,.097,Chris McCullough,-0.9,13.4,0.1,16.8,0.7,5.8,12.5,.541,20.4,0.0,0.1,.098
.375,17.5,1.9,-7.5,-1.8,5.4,0.0,.375,Greivis Vasquez,-5.7,0.0,0.0,4.1,1.2,9.7,2.7,.376,11.3,-0.1,0.0,-0.006
.439,32.5,0.4,5.4,-3.3,7.0,1.6,.441,Isaiah Thomas,8.7,1.9,10.9,26.5,1.4,10.7,4.4,.625,34.0,4.8,12.5,.234
.443,22.0,1.2,-0.3,0.9,10.4,2.7,.334,Marcus Smart,-1.1,3.7,0.5,12.0,2.6,15.6,7.1,.486,18.8,1.0,3.2,.064
.547,10.1,0.8,1.6,0.2,17.3,2.5,.301,Jae Crowder,1.4,2.3,4.1,14.9,1.6,8.9,9.9,.613,17.0,2.1,6.7,.137
.302,24.4,3.2,3.1,2.0,18.6,2.7,.169,Al Horford,1.0,4.9,3.6,17.7,1.2,11.8,11.8,.553,19.7,2.8,6.3,.138
.357,11.0,0.5,-0.5,-0.4,16.2,2.0,.120,Avery Bradley,-0.2,4.0,1.1,14.4,1.8,9.7,10.1,.548,21.9,0.7,3.1,.081
.178,13.0,3.2,2.2,2.4,17.0,2.1,.270,Amir Johnson,-0.2,8.3,2.9,15.0,1.6,15.7,12.7,.628,13.6,1.7,5.0,.149
.378,15.2,1.5,0.7,0.5,20.7,1.9,.242,Kelly Olynyk,0.1,5.3,2.2,15.3,1.4,14.6,13.1,.603,19.0,1.0,4.1,.127
.319,7.2,1.1,-4.0,-0.9,14.4,1.3,.293,Jaylen Brown,-3.1,3.8,0.2,10.3,1.3,12.5,9.1,.539,18.1,-0.7,1.5,.053
.436,15.2,0.7,-2.5,0.0,16.3,1.4,.161,Terry Rozier,-2.5,3.6,0.0,10.9,1.8,9.7,10.0,.466,17.1,-0.2,1.4,.054
.496,8.1,1.1,-2.1,0.3,19.1,1.3,.141,Jonas Jerebko,-2.4,5.4,0.8,9.3,1.0,12.3,12.3,.537,11.4,0.0,2.1,.080
.478,9.8,1.1,-4.7,-2.8,13.9,0.4,.177,Gerald Green,-2.0,3.3,0.1,11.9,0.8,9.1,8.7,.524,22.7,-0.4,0.6,.050
.006,12.2,3.3,-2.5,0.8,17.0,0.6,.247,Tyler Zeller,-3.3,9.2,0.5,13.0,0.7,10.2,13.2,.508,16.5,-0.1,1.0,.094
.603,2.6,0.7,-3.1,-1.1,10.0,0.2,.155,James Young,-2.0,3.1,0.1,10.0,2.3,6.1,6.6,.549,13.3,-0.1,0.3,.076
.029,7.1,3.5,-4.9,0.9,16.4,0.2,.412,Jordan Mickey,-5.7,10.4,-0.1,9.8,1.1,18.3,13.4,.473,15.5,-0.1,0.1,.036
.250,28.2,0.0,6.3,-2.8,13.0,0.0,1.500,Demetrius Jackson,9.2,13.2,0.1,30.8,0.0,0.0,13.1,.753,17.3,0.0,0.1,.386
.415,29.1,0.7,3.6,-1.7,10.6,2.2,.248,Kemba Walker,5.3,1.8,5.9,21.3,1.6,9.5,6.2,.569,29.2,3.9,8.1,.142
.415,27.7,1.0,1.2,0.6,18.4,2.8,.291,Nicolas Batum,0.7,1.9,1.7,15.8,1.6,15.0,10.1,.529,22.3,2.1,4.6,.084
.015,7.4,2.9,0.2,2.2,19.3,3.1,.314,Michael Kidd-Gilchrist,-2.0,7.3,2.7,14.3,1.7,7.4,13.2,.528,14.6,1.3,5.8,.119
.503,7.1,2.0,0.2,0.5,19.8,2.6,.213,Marvin Williams,-0.3,4.2,2.4,13.7,1.3,7.2,12.0,.551,16.3,1.3,5.0,.105
.441,13.5,1.5,-1.5,-0.8,15.8,1.9,.195,Frank Kaminsky,-0.8,3.2,0.4,13.0,1.2,8.0,9.5,.502,21.8,0.2,2.3,.056
.460,13.1,0.4,-1.9,-2.0,10.2,1.2,.273,Marco Belinelli,0.1,0.9,2.0,13.3,1.2,9.2,5.5,.566,19.2,0.1,3.2,.087
.002,9.1,3.0,2.1,2.3,17.3,2.2,.442,Cody Zeller,-0.2,8.6,3.4,16.7,1.8,10.9,12.9,.604,15.5,1.8,5.6,.157
.297,11.3,1.8,-1.7,-0.9,22.6,1.3,.263,Jeremy Lamb,-0.8,2.9,1.4,17.0,1.2,6.8,12.7,.550,23.2,0.1,2.7,.115
