College,Experience,Height,Name,Position,Weight,team
University of Arizona,9,6-1,Mike Bibby,PG,190,Atlanta Hawks
Stanford University,3,6-8,Josh Childress,SF,210,Atlanta Hawks
University of Florida,R,6-10,Al Horford,C,245,Atlanta Hawks
College of Charleston,10,6-3,Anthony Johnson,PG,190,Atlanta Hawks
University of Arkansas,6,6-7,Joe Johnson,SG,240,Atlanta Hawks
University of South Florida,1,6-10,Solomon Jones,PF,230,Atlanta Hawks
Texas A&M University,R,6-3,Acie Law,PG,195,Atlanta Hawks
University of Nebraska,9,6-0,Tyronn Lue,PG,175,Atlanta Hawks
,4,6-11,Zaza Pachulia,C,270,Atlanta Hawks
Delta State University,1,6-6,Jeremy Richardson,SF,185,Atlanta Hawks
,3,6-9,Josh Smith,PF,225,Atlanta Hawks
University of Arizona,2,6-1,Salim Stoudamire,PG,179,Atlanta Hawks
Georgia Institute of Technology,R,6-5,Mario West,SG,210,Atlanta Hawks
University of North Carolina,2,6-9,Marvin Williams,SF,237,Atlanta Hawks
Duke University,1,6-9,Shelden Williams,PF,250,Atlanta Hawks
University of Memphis,11,6-11,Lorenzen Wright,C,225,Atlanta Hawks
Michigan State University,1,6-5,Maurice Ager,SG,202,New Jersey Nets
Villanova University,6,6-10,Malik Allen,PF,255,New Jersey Nets
Fayetteville State University,13,6-0,Darrell Armstrong,PG,170,New Jersey Nets
University of Connecticut,1,6-10,Josh Boone,PF,237,New Jersey Nets
University of North Carolina,9,6-6,Vince Carter,SG,220,New Jersey Nets
Stanford University,6,7-0,Jason Collins,C,255,New Jersey Nets
,6,7-0,DeSagana Diop,C,300,New Jersey Nets
Weber State University,5,6-0,Eddie Gill,PG,190,New Jersey Nets
University of Wisconsin,3,6-3,Devin Harris,PG,192,New Jersey Nets
Austin Peay State University,6,6-5,Trenton Hassell,SG,200,New Jersey Nets
University of Arizona,6,6-7,Richard Jefferson,SF,233,New Jersey Nets
University of California,13,6-4,Jason Kidd,PG,205,New Jersey Nets
,3,7-0,Nenad Krstic,C,240,New Jersey Nets
University of Kentucky,7,6-11,Jamaal Magloire,C,259,New Jersey Nets
,5,6-9,Bostjan Nachbar,PF,221,New Jersey Nets
Louisiana State University,7,6-9,Stromile Swift,PF,225,New Jersey Nets
University of Kansas,2,6-4,Billy Thomas,SF,208,New Jersey Nets
University of Connecticut,1,6-3,Marcus Williams,PG,205,New Jersey Nets
Boston College,R,6-10,Sean Williams,C,235,New Jersey Nets
Texas A&M University,2,6-7,Antoine Wright,SG,210,New Jersey Nets
University of Connecticut,11,6-5,Ray Allen,SG,205,Boston Celtics
Butler County Community College Oklahoma State University,3,6-4,Tony Allen,SG,213,Boston Celtics
Louisiana Tech University,14,6-11,P.J. Brown,PF,225,Boston Celtics
Florida State University,14,6-3,Sam Cassell,PG,185,Boston Celtics
Louisiana State University,R,6-9,Glen Davis,C,289,Boston Celtics
,12,6-11,Kevin Garnett,PF,240,Boston Celtics
Arizona State University,7,6-1,Eddie House,PG,180,Boston Celtics
,4,6-10,Kendrick Perkins,C,270,Boston Celtics
University of Kansas,9,6-7,Paul Pierce,SF,235,Boston Celtics
University of Kansas,10,6-11,Scot Pollard,C,265,Boston Celtics
Xavier University,8,6-8,James Posey,PF,215,Boston Celtics
University of California,1,6-8,Leon Powe,C,240,Boston Celtics
University of Southern California,R,6-4,Gabe Pruitt,PG,170,Boston Celtics
University of Kentucky,1,6-1,Rajon Rondo,PG,186,Boston Celtics
University of Southern California,6,6-9,Brian Scalabrine,PF,241,Boston Celtics
Ohio State University University of Kentucky,10,6-5,Derek Anderson,SG,194,Charlotte Bobcats
Eastern Michigan University,9,5-5,Earl Boykins,PG,135,Charlotte Bobcats
,6,7-2,Primoz Brezec,C,252,Charlotte Bobcats
University of Notre Dame,4,6-6,Matt Carroll,SG,212,Charlotte Bobcats
University of Alabama,R,6-10,Jermareo Davidson,SF,230,Charlotte Bobcats
Boston College,R,6-7,Jared Dudley,PF,225,Charlotte Bobcats
University of North Carolina,2,6-1,Raymond Felton,PG,205,Charlotte Bobcats
Georgetown University,11,6-9,Othella Harrington,C,235,Charlotte Bobcats
,1,6-9,Walter Herrmann,PF,225,Charlotte Bobcats
University of California Los Angeles,1,7-0,Ryan Hollins,PF,240,Charlotte Bobcats
University of North Carolina,10,6-4,Jeff McInnis,PG,190,Charlotte Bobcats
