College,Experience,Height,Name,Position,Weight,team
University of Arizona,11,6-1,Mike Bibby,PG,190,Atlanta Hawks
Stanford University,8,7-0,Jason Collins,C,255,Atlanta Hawks
University of Michigan,9,6-5,Jamal Crawford,SG,200,Atlanta Hawks
Wichita State University University of Texas at Austin,6,6-5,Maurice Evans,SF,220,Atlanta Hawks
University of Florida,2,6-10,Al Horford,C,245,Atlanta Hawks
Ohio State University,1,6-8,Othello Hunter,SF,225,Atlanta Hawks
University of Arkansas,8,6-7,Joe Johnson,SG,240,Atlanta Hawks
University of Kentucky,3,6-10,Randolph Morris,PF,266,Atlanta Hawks
,6,6-11,Zaza Pachulia,C,270,Atlanta Hawks
University of Maryland,14,6-10,Joe Smith,PF,225,Atlanta Hawks
,5,6-9,Josh Smith,PF,225,Atlanta Hawks
Wake Forest University,R,6-2,Jeff Teague,PG,186,Atlanta Hawks
Georgia Institute of Technology,2,6-5,Mario West,SG,210,Atlanta Hawks
University of North Carolina,4,6-9,Marvin Williams,SF,237,Atlanta Hawks
California State University Fresno,10,6-2,Rafer Alston,PG,171,New Jersey Nets
Texas Tech University,11,6-11,Tony Battie,C,230,New Jersey Nets
University of Connecticut,3,6-10,Josh Boone,PF,237,New Jersey Nets
University of Missouri,9,6-3,Keyon Dooling,PG,196,New Jersey Nets
University of Memphis,1,6-7,Chris Douglas-Roberts,SF,200,New Jersey Nets
University of Wisconsin,5,6-3,Devin Harris,PG,192,New Jersey Nets
Austin Peay State University,8,6-5,Trenton Hassell,SF,200,New Jersey Nets
Western Carolina University University of Georgia,6,6-7,Jarvis Hayes,SF,220,New Jersey Nets
University of Minnesota,5,6-9,Kris Humphries,PF,235,New Jersey Nets
,2,7-0,Yi Jianlian,PF,240,New Jersey Nets
Western Kentucky University,1,6-5,Courtney Lee,SG,200,New Jersey Nets
Stanford University,1,7-0,Brook Lopez,C,275,New Jersey Nets
University of Oklahoma,9,6-8,Eduardo Najera,PF,240,New Jersey Nets
University of Notre Dame,3,6-2,Chris Quinn,PG,185,New Jersey Nets
DePaul University,7,6-7,Bobby Simmons,PF,210,New Jersey Nets
Boston College,2,6-10,Sean Williams,PF,235,New Jersey Nets
University of Louisville,R,6-6,Terrence Williams,SF,220,New Jersey Nets
University of Connecticut,13,6-5,Ray Allen,SG,205,Boston Celtics
Butler County Community College Oklahoma State University,5,6-4,Tony Allen,SG,213,Boston Celtics
Auburn University,6,6-6,Marquis Daniels,SF,200,Boston Celtics
Louisiana State University,2,6-9,Glen Davis,PF,289,Boston Celtics
University of Wisconsin,14,6-7,Michael Finley,SF,215,Boston Celtics
,14,6-11,Kevin Garnett,PF,240,Boston Celtics
University of Kansas University of New Mexico,1,6-5,J.R. Giddens,SF,215,Boston Celtics
Arizona State University,9,6-1,Eddie House,PG,180,Boston Celtics
University of Tennessee at Martin,R,6-3,Lester Hudson,PG,190,Boston Celtics
University of Houston,R,6-2,Oliver Lafayette,SG,190,Boston Celtics
University of Wisconsin,R,6-7,Marcus Landry,SF,230,Boston Celtics
,6,6-10,Kendrick Perkins,C,270,Boston Celtics
University of Kansas,11,6-7,Paul Pierce,SF,235,Boston Celtics
University of Washington,4,5-9,Nate Robinson,PG,180,Boston Celtics
University of Kentucky,3,6-1,Rajon Rondo,PG,186,Boston Celtics
University of Southern California,8,6-9,Brian Scalabrine,PF,241,Boston Celtics
Kansas State University,1,6-6,Henry Walker,SF,220,Boston Celtics
University of North Carolina,14,6-10,Rasheed Wallace,C,225,Boston Celtics
Duke University,3,6-9,Shelden Williams,PF,250,Boston Celtics
,1,7-2,Alexis Ajinca,C,248,Charlotte Bobcats
University of Texas at Austin,1,6-0,D.J. Augustin,PG,183,Charlotte Bobcats
Boston University Florida International University,9,6-5,Raja Bell,SG,204,Charlotte Bobcats
Xavier University,R,6-7,Derrick Brown,SF,225,Charlotte Bobcats
,8,7-1,Tyson Chandler,C,240,Charlotte Bobcats
,6,6-8,Boris Diaw,PF,250,Charlotte Bobcats
,8,7-0,DeSagana Diop,C,300,Charlotte Bobcats
University of North Carolina,4,6-1,Raymond Felton,PG,205,Charlotte Bobcats
University of Central Florida Oklahoma State University,4,6-6,Stephen Graham,SG,215,Charlotte Bobcats
Duke University,R,6-5,Gerald Henderson,SG,215,Charlotte Bobcats
Saint Louis University,11,6-5,Larry Hughes,SG,184,Charlotte Bobcats
Butler County Community College,9,6-8,Stephen Jackson,SG,218,Charlotte Bobcats
Texas A&M University,2,6-3,Acie Law,PG,195,Charlotte Bobcats
University of Kentucky,11,6-10,Nazr Mohammed,C,221,Charlotte Bobcats
Meridian Community College Shaw University,7,6-4,Ronald Murray,SG,190,Charlotte Bobcats
,8,6-10,Vladimir Radmanovic,PF,227,Charlotte Bobcats
University of Wyoming,14,6-10,Theo Ratliff,C,225,Charlotte Bobcats
Louisiana State University,3,6-9,Tyrus Thomas,C,215,Charlotte Bobcats
University of Alabama,8,6-7,Gerald Wallace,SF,215,Charlotte Bobcats
West Virginia University,1,6-8,Joe Alexander,SF,230,Chicago Bulls
University of Texas at San Antonio,7,6-5,Devin Brown,SG,220,Chicago Bulls
Duke University,5,6-9,Luol Deng,SF,220,Chicago Bulls
University of Southern California,R,6-9,Taj Gibson,PF,225,Chicago Bulls
University of Pittsburgh,2,7-0,Aaron Gray,C,270,Chicago Bulls
University of Kansas,6,6-4,Kirk Hinrich,SG,190,Chicago Bulls
Alcorn State University Jackson State University,16,6-2,Lindsey Hunter,PG,170,Chicago Bulls
Wake Forest University,R,6-9,James Johnson,PF,250,Chicago Bulls
Texas A&M University,2,6-3,Acie Law,PG,195,Chicago Bulls
Purdue University,11,6-11,Brad Miller,C,244,Chicago Bulls
Meridian Community College Shaw University,7,6-4,Ronald Murray,SG,190,Chicago Bulls
University of Florida,2,6-11,Joakim Noah,C,230,Chicago Bulls
University of Arkansas,6,6-1,Jannero Pargo,PG,175,Chicago Bulls
University of Florida,1,6-9,Chris Richard,PF,270,Chicago Bulls
University of Memphis,1,6-3,Derrick Rose,PG,190,Chicago Bulls
University of Miami,7,6-7,John Salmons,SG,210,Chicago Bulls
Louisiana State University,3,6-9,Tyrus Thomas,PF,215,Chicago Bulls
Syracuse University,4,6-9,Hakim Warrick,PF,219,Chicago Bulls
University of Texas at Austin,3,6-2,Daniel Gibson,PG,190,Cleveland Cavaliers
University of North Carolina,R,6-6,Danny Green,SG,215,Cleveland Cavaliers
North Carolina State University,1,6-9,J.J. Hickson,PF,242,Cleveland Cavaliers
,11,7-3,Zydrunas Ilgauskas,C,238,Cleveland Cavaliers
St. John's University Cleveland State University,R,6-3,Cedric Jackson,PG,191,Cleveland Cavaliers
University of Kansas,1,6-9,Darnell Jackson,PF,253,Cleveland Cavaliers
,6,6-8,LeBron James,SF,250,Cleveland Cavaliers
University of North Carolina,11,6-8,Antawn Jamison,PF,223,Cleveland Cavaliers
Boise State University,1,6-5,Coby Karl,SG,215,Cleveland Cavaliers
Meridian Community College,2,6-8,Jamario Moon,SF,205,Cleveland Cavaliers
Louisiana State University,17,7-1,Shaquille O'Neal,C,325,Cleveland Cavaliers
Bradley University,6,6-6,Anthony Parker,SG,215,Cleveland Cavaliers
University of California,3,6-8,Leon Powe,SF,240,Cleveland Cavaliers
,5,6-0,Sebastian Telfair,PG,165,Cleveland Cavaliers
,5,6-10,Anderson Varejao,PF,273,Cleveland Cavaliers
Saint Joseph's University,5,6-4,Delonte West,SG,180,Cleveland Cavaliers
University of North Carolina,1,6-9,Jawad Williams,PG,218,Cleveland Cavaliers
University of Alabama,6,6-1,Mo Williams,PG,198,Cleveland Cavaliers
Northeastern University,3,6-0,J.J. Barea,PG,185,Dallas Mavericks
,R,6-0,Rodrigue Beaubois,PG,170,Dallas Mavericks
University of Connecticut,7,6-7,Caron Butler,SG,228,Dallas Mavericks
University of Notre Dame,6,6-6,Matt Carroll,SG,212,Dallas Mavericks
Mississippi State University,13,6-11,Erick Dampier,C,265,Dallas Mavericks
University of Kansas,7,6-10,Drew Gooden,C,250,Dallas Mavericks
University of North Carolina,8,7-0,Brendan Haywood,C,268,Dallas Mavericks
Wake Forest University,6,6-7,Josh Howard,SF,210,Dallas Mavericks
University of Minnesota,5,6-9,Kris Humphries,PF,235,Dallas Mavericks
University of California,15,6-4,Jason Kidd,PG,205,Dallas Mavericks
University of Nevada Las Vegas,10,6-7,Shawn Marion,SF,220,Dallas Mavericks
University of Oklahoma,9,6-8,Eduardo Najera,PF,240,Dallas Mavericks
,11,7-0,Dirk Nowitzki,PF,245,Dallas Mavericks
Southern Methodist University,5,6-6,Quinton Ross,SF,195,Dallas Mavericks
Murray State University,3,6-8,James Singleton,SF,216,Dallas Mavericks
,9,6-5,DeShawn Stevenson,SG,210,Dallas Mavericks
University of Arizona,10,6-2,Jason Terry,SG,185,Dallas Mavericks
Villanova University,12,6-10,Tim Thomas,SF,230,Dallas Mavericks
University of California Los Angeles,2,6-5,Arron Afflalo,SG,210,Denver Nuggets
Villanova University,8,6-10,Malik Allen,PF,255,Denver Nuggets
Blinn College,7,6-10,Chris Andersen,PF,245,Denver Nuggets
Syracuse University,6,6-8,Carmelo Anthony,SF,240,Denver Nuggets
University of South Carolina,3,6-8,Renaldo Balkman,SF,208,Denver Nuggets
University of Colorado,12,6-3,Chauncey Billups,PG,202,Denver Nuggets
University of Hawaii,10,6-1,Anthony Carter,PG,190,Denver Nuggets
University of Central Florida Oklahoma State University,4,6-7,Joey Graham,SF,225,Denver Nuggets
,7,6-11,Nene Hilario,C,250,Denver Nuggets
University of North Carolina,R,5-11,Ty Lawson,PG,195,Denver Nuggets
University of Cincinnati,9,6-9,Kenyon Martin,PF,234,Denver Nuggets
,4,7-0,Johan Petro,C,247,Denver Nuggets
,5,6-6,J.R. Smith,SG,225,Denver Nuggets
University of South Florida,10,5-11,Chucky Atkins,PG,160,Detroit Pistons
,8,6-11,Kwame Brown,C,270,Detroit Pistons
University of Arizona Georgia Institute of Technology,2,6-0,Will Bynum,PG,185,Detroit Pistons
Gonzaga University,R,6-11,Austin Daye,SF,220,Detroit Pistons
University of Connecticut,5,6-3,Ben Gordon,SG,200,Detroit Pistons
University of Connecticut,10,6-6,Richard Hamilton,SG,185,Detroit Pistons
,R,6-10,Jonas Jerebko,PF,231,Detroit Pistons
University of Cincinnati,4,6-7,Jason Maxiell,C,260,Detroit Pistons
University of Kentucky,7,6-9,Tayshaun Prince,SF,212,Detroit Pistons
Eastern Washington University,2,6-5,Rodney Stuckey,PG,210,Detroit Pistons
Georgetown University,R,6-8,DaJuan Summers,SF,230,Detroit Pistons
University of Connecticut,4,6-11,Charlie Villanueva,PF,232,Detroit Pistons
Virginia Union University,13,6-9,Ben Wallace,C,240,Detroit Pistons
University of Maryland,7,6-10,Chris Wilcox,PF,221,Detroit Pistons
University of Kentucky,3,6-5,Kelenna Azubuike,SF,220,Golden State Warriors
Boston University Florida International University,9,6-5,Raja Bell,SG,204,Golden State Warriors
,5,6-11,Andris Biedrins,C,240,Golden State Warriors
Davidson College,R,6-3,Stephen Curry,PG,190,Golden State Warriors
,4,6-3,Monta Ellis,SG,185,Golden State Warriors
Augsburg College,10,6-8,Devean George,SF,220,Golden State Warriors
University of Michigan,R,6-11,Chris Hunter,C,240,Golden State Warriors
Butler County Community College,9,6-8,Stephen Jackson,PF,218,Golden State Warriors
Boise State University,1,6-5,Coby Karl,SF,215,Golden State Warriors
Texas A&M University,2,6-3,Acie Law,PG,195,Golden State Warriors
Duke University,10,6-6,Corey Maggette,PF,218,Golden State Warriors
Kansas State University,1,6-7,Cartier Martin,SF,220,Golden State Warriors
University of Nebraska,11,6-11,Mikki Moore,C,225,Golden State Warriors
Georgia Institute of Technology,1,6-5,Anthony Morrow,SG,210,Golden State Warriors
,8,6-10,Vladimir Radmanovic,PF,227,Golden State Warriors
Louisiana State University,1,6-10,Anthony Randolph,C,205,Golden State Warriors
Creighton University,1,6-8,Anthony Tolliver,PF,240,Golden State Warriors
Gonzaga University,4,6-10,Ronny Turiaf,C,249,Golden State Warriors
University of Tennessee,2,6-2,C.J. Watson,PG,175,Golden State Warriors
Virginia Military Institute,R,6-6,Reggie Williams,SF,205,Golden State Warriors
,R,6-11,David Andersen,C,245,Houston Rockets
University of California Los Angeles,5,6-8,Trevor Ariza,SF,215,Houston Rockets
University of Connecticut,3,6-11,Hilton Armstrong,C,235,Houston Rockets
Duke University,8,6-8,Shane Battier,SG,220,Houston Rockets
University of Oregon,2,6-0,Aaron Brooks,PG,161,Houston Rockets
University of Arizona,R,6-7,Chase Budinger,SF,209,Houston Rockets
University of Washington,1,6-2,Will Conroy,PG,195,Houston Rockets
University of Illinois at Urbana-Champaign,6,6-9,Brian Cook,PF,234,Houston Rockets
University of Memphis,1,6-8,Joey Dorsey,PF,268,Houston Rockets
Rice University,1,6-6,Mike Harris,PF,240,Houston Rockets
University of Kentucky,4,6-6,Chuck Hayes,C,240,Houston Rockets
University of Arizona,R,6-10,Jordan Hill,PF,235,Houston Rockets
Indiana University,7,6-11,Jared Jeffries,SF,230,Houston Rockets
Purdue University,2,6-9,Carl Landry,PF,248,Houston Rockets
Villanova University,3,6-0,Kyle Lowry,PG,205,Houston Rockets
Western Carolina University,5,6-7,Kevin Martin,SG,199,Houston Rockets
,12,6-8,Tracy McGrady,SG,210,Houston Rockets
George Washington University,2,6-9,Pops Mensah-Bonsu,PF,240,Houston Rockets
,2,6-9,Luis Scola,PF,240,Houston Rockets
University of Central Florida,R,6-4,Jermaine Taylor,SG,210,Houston Rockets
Louisiana State University,R,6-6,Garrett Temple,SG,195,Houston Rockets
Marquette University,4,6-1,Travis Diener,PG,175,Indiana Pacers
Duke University,7,6-9,Mike Dunleavy,SF,230,Indiana Pacers
University of Texas at Austin,5,6-0,T.J. Ford,PG,165,Indiana Pacers
Texas State University,10,6-11,Jeff Foster,C,236,Indiana Pacers
Bradley University University of New Mexico,4,6-9,Danny Granger,SF,222,Indiana Pacers
University of North Carolina,R,6-9,Tyler Hansbrough,PF,250,Indiana Pacers
University of Illinois at Urbana-Champaign,4,6-3,Luther Head,SG,185,Indiana Pacers
Georgetown University,1,7-2,Roy Hibbert,C,270,Indiana Pacers
Rutgers University Duke University,6,6-6,Dahntay Jones,SF,225,Indiana Pacers
University of South Florida,3,6-10,Solomon Jones,C,230,Indiana Pacers
Duke University,2,6-10,Josh McRoberts,C,240,Indiana Pacers
University of Notre Dame,8,6-11,Troy Murphy,PF,245,Indiana Pacers
University of Connecticut,R,6-2,A.J. Price,PG,181,Indiana Pacers
University of Kansas,1,6-6,Brandon Rush,SG,220,Indiana Pacers
University of California Los Angeles,8,6-1,Earl Watson,PG,195,Indiana Pacers
University of Maryland,6,6-3,Steve Blake,PG,172,Los Angeles Clippers
California State University Fullerton,1,6-2,Bobby Brown,PG,175,Los Angeles Clippers
La Salle University,7,6-7,Rasual Butler,SF,215,Los Angeles Clippers
University of Massachusetts Amherst,13,6-11,Marcus Camby,PF,220,Los Angeles Clippers
Temple University,3,6-6,Mardy Collins,SG,220,Los Angeles Clippers
Oklahoma State University,R,6-3,JamesOn Curry,PG,190,Los Angeles Clippers
University of California Los Angeles,10,6-3,Baron Davis,PG,209,Los Angeles Clippers
University of Iowa,11,6-6,Ricky Davis,SF,195,Los Angeles Clippers
University of Kansas,7,6-10,Drew Gooden,PF,250,Los Angeles Clippers
Indiana University,1,6-4,Eric Gordon,SG,215,Los Angeles Clippers
Texas A&M University,1,6-11,DeAndre Jordan,C,265,Los Angeles Clippers
Central Michigan University,6,7-0,Chris Kaman,C,265,Los Angeles Clippers
Marquette University,3,6-10,Steve Novak,SF,225,Los Angeles Clippers
,6,6-9,Travis Outlaw,SF,210,Los Angeles Clippers
University of Missouri,6,6-6,Kareem Rush,SG,215,Los Angeles Clippers
Baylor University,11,6-9,Brian Skinner,PF,255,Los Angeles Clippers
Boston College,3,6-7,Craig Smith,PF,250,Los Angeles Clippers
,5,6-0,Sebastian Telfair,PG,165,Los Angeles Clippers
Florida State University,2,6-8,Al Thornton,SF,220,Los Angeles Clippers
Michigan State University,3,6-4,Shannon Brown,SG,205,Los Angeles Lakers
,13,6-6,Kobe Bryant,SG,212,Los Angeles Lakers
,4,7-0,Andrew Bynum,C,285,Los Angeles Lakers
University of California Los Angeles,3,6-2,Jordan Farmar,PG,180,Los Angeles Lakers
University of Arkansas at Little Rock,13,6-1,Derek Fisher,PG,200,Los Angeles Lakers
,8,7-0,Pau Gasol,C,250,Los Angeles Lakers
,5,7-0,Didier Ilunga-Mbenga,C,245,Los Angeles Lakers
Gonzaga University,2,6-8,Adam Morrison,SF,205,Los Angeles Lakers
University of Rhode Island,10,6-10,Lamar Odom,PF,220,Los Angeles Lakers
North Carolina State University,4,6-9,Josh Powell,PF,225,Los Angeles Lakers
,5,6-7,Sasha Vujacic,SG,195,Los Angeles Lakers
University of Arizona,6,6-8,Luke Walton,SF,235,Los Angeles Lakers
St. John's University,10,6-6,Metta World Peace,SF,260,Los Angeles Lakers
University of Kansas,1,6-9,Darrell Arthur,PF,235,Memphis Grizzlies
University of Arkansas,3,6-7,Ronnie Brewer,SG,220,Memphis Grizzlies
Vanderbilt University University of Missouri,R,6-8,DeMarre Carroll,SF,215,Memphis Grizzlies
Ohio State University,2,6-1,Mike Conley,PG,175,Memphis Grizzlies
,1,7-1,Marc Gasol,C,255,Memphis Grizzlies
University of Connecticut,3,6-8,Rudy Gay,SF,230,Memphis Grizzlies
McNeese State University Northwestern State University,R,6-9,Trey Gilder,SF,185,Memphis Grizzlies
,1,7-2,Hamed Haddadi,C,254,Memphis Grizzlies
University of Tennessee at Martin,R,6-3,Lester Hudson,PG,190,Memphis Grizzlies
DePaul University,7,7-0,Steven Hunter,C,220,Memphis Grizzlies
Georgetown University,13,6-0,Allen Iverson,PG,165,Memphis Grizzlies
University of Southern California,1,6-5,O.J. Mayo,SG,210,Memphis Grizzlies
Michigan State University,8,6-9,Zach Randolph,PF,260,Memphis Grizzlies
University of Connecticut,R,7-3,Hasheem Thabeet,C,263,Memphis Grizzlies
Iowa State University,7,6-3,Jamaal Tinsley,PG,195,Memphis Grizzlies
University of Connecticut,3,6-3,Marcus Williams,PG,205,Memphis Grizzlies
University of Pittsburgh,R,6-6,Sam Young,SF,220,Memphis Grizzlies
California State University Fresno,10,6-2,Rafer Alston,PG,171,Miami Heat
University of Nevada Las Vegas,2,6-9,Joel Anthony,C,245,Miami Heat
Florida International University,7,6-2,Carlos Arroyo,PG,202,Miami Heat
Kansas State University,1,6-9,Michael Beasley,PF,235,Miami Heat
University of Kansas,1,6-2,Mario Chalmers,PG,190,Miami Heat
Ohio State University,2,6-5,Daequan Cook,SG,205,Miami Heat
Pepperdine University,3,6-7,Yakhouba Diawara,SG,225,Miami Heat
University of Florida,6,6-8,Udonis Haslem,PF,235,Miami Heat
University of Miami,6,6-8,James Jones,SF,218,Miami Heat
University of Kentucky,9,6-11,Jamaal Magloire,C,259,Miami Heat
,13,6-11,Jermaine O'Neal,C,226,Miami Heat
Duke University,4,6-10,Shavlik Randolph,PF,240,Miami Heat
DePaul University,9,6-6,Quentin Richardson,SF,223,Miami Heat
Marquette University,6,6-4,Dwyane Wade,SG,220,Miami Heat
,5,6-9,Dorell Wright,SF,205,Miami Heat
Michigan State University,5,6-3,Charlie Bell,SG,200,Milwaukee Bucks
University of Utah,4,7-0,Andrew Bogut,C,260,Milwaukee Bucks
,7,7-2,Primoz Brezec,C,252,Milwaukee Bucks
,4,6-6,Carlos Delfino,SF,230,Milwaukee Bucks
University of California,6,7-0,Francisco Elson,C,235,Milwaukee Bucks
University of California Los Angeles,7,6-11,Dan Gadzuric,C,240,Milwaukee Bucks
,1,6-10,Ersan Ilyasova,PF,235,Milwaukee Bucks
University of Texas at Austin,5,6-3,Royal Ivey,SG,200,Milwaukee Bucks
University of Kansas,1,6-9,Darnell Jackson,PF,253,Milwaukee Bucks
,R,6-1,Brandon Jennings,PG,170,Milwaukee Bucks
University of California Los Angeles,1,6-8,Luc Mbah a Moute,PF,230,Milwaukee Bucks
University of Kentucky,R,6-4,Jodie Meeks,SG,210,Milwaukee Bucks
Ohio State University,9,6-6,Michael Redd,SG,220,Milwaukee Bucks
University of Oregon,6,6-2,Luke Ridnour,PG,175,Milwaukee Bucks
University of Miami,7,6-7,John Salmons,SG,210,Milwaukee Bucks
University of North Carolina,14,6-6,Jerry Stackhouse,SG,218,Milwaukee Bucks
Texas Christian University,14,6-9,Kurt Thomas,C,230,Milwaukee Bucks
,1,6-5,Roko Ukic,PG,183,Milwaukee Bucks
Syracuse University,4,6-9,Hakim Warrick,PF,219,Milwaukee Bucks
University of Florida,2,6-9,Corey Brewer,SG,186,Minnesota Timberwolves
Purdue University,9,6-8,Brian Cardinal,PF,245,Minnesota Timberwolves
University of North Carolina,R,6-4,Wayne Ellington,SG,200,Minnesota Timberwolves
Syracuse University,R,6-0,Jonny Flynn,PG,185,Minnesota Timberwolves
Providence College,4,6-7,Ryan Gomes,SF,250,Minnesota Timberwolves
Syracuse University,8,6-3,Jason Hart,PG,185,Minnesota Timberwolves
University of California Los Angeles,3,7-0,Ryan Hollins,C,240,Minnesota Timberwolves
Midland College,1,6-10,Nathan Jawai,C,280,Minnesota Timberwolves
,5,6-10,Al Jefferson,C,289,Minnesota Timberwolves
University of California Los Angeles,1,6-10,Kevin Love,PF,251,Minnesota Timberwolves
,6,7-0,Darko Milicic,C,250,Minnesota Timberwolves
,6,6-8,Sasha Pavlovic,SF,220,Minnesota Timberwolves
,2,7-0,Oleksiy Pecherov,C,232,Minnesota Timberwolves
University of Nevada Reno,2,6-3,Ramon Sessions,PG,190,Minnesota Timberwolves
University of Wisconsin,2,6-6,Alando Tucker,SF,205,Minnesota Timberwolves
North Carolina State University University of Georgia,5,6-6,Damien Wilkins,SF,225,Minnesota Timberwolves
University of Connecticut,3,6-11,Hilton Armstrong,PF,235,New Orleans Hornets
California State University Fullerton,1,6-2,Bobby Brown,PG,175,New Orleans Hornets
University of Texas at San Antonio,7,6-5,Devin Brown,SG,220,New Orleans Hornets
University of California Los Angeles,R,6-0,Darren Collison,PG,175,New Orleans Hornets
University of Pittsburgh,2,7-0,Aaron Gray,C,270,New Orleans Hornets
Syracuse University,8,6-3,Jason Hart,PG,185,New Orleans Hornets
University of California,9,6-10,Sean Marks,C,250,New Orleans Hornets
University of Connecticut,5,6-10,Emeka Okafor,C,252,New Orleans Hornets
Wake Forest University,4,6-0,Chris Paul,PG,175,New Orleans Hornets
Michigan State University,9,6-7,Morris Peterson,SG,218,New Orleans Hornets
Xavier University,10,6-8,James Posey,SF,215,New Orleans Hornets
Wake Forest University,6,6-9,Darius Songaila,C,248,New Orleans Hornets
,11,6-9,Peja Stojakovic,SF,220,New Orleans Hornets
Louisiana State University,R,6-4,Marcus Thornton,SG,205,New Orleans Hornets
Xavier University,6,6-9,David West,PF,250,New Orleans Hornets
University of Kansas,2,6-8,Julian Wright,SF,225,New Orleans Hornets
University of Memphis,3,7-0,Earl Barron,C,250,New York Knicks
,7,6-11,Jonathan Bender,SF,202,New York Knicks
DePaul University,2,6-8,Wilson Chandler,SG,225,New York Knicks
,8,7-0,Eddy Curry,C,295,New York Knicks
Auburn University Florida State University,R,6-2,Toney Douglas,PG,195,New York Knicks
Duke University,5,6-1,Chris Duhon,PG,185,New York Knicks
,1,6-10,Danilo Gallinari,SF,225,New York Knicks
University of Kansas University of New Mexico,1,6-5,J.R. Giddens,SF,215,New York Knicks
,11,6-9,Al Harrington,PF,230,New York Knicks
University of Arizona,R,6-10,Jordan Hill,PF,235,New York Knicks
Arizona State University,9,6-1,Eddie House,SG,180,New York Knicks
Saint Louis University,11,6-5,Larry Hughes,SG,184,New York Knicks
Indiana University,7,6-11,Jared Jeffries,PF,230,New York Knicks
University of Wisconsin,R,6-7,Marcus Landry,SF,230,New York Knicks
University of Florida,4,6-9,David Lee,C,245,New York Knicks
,12,6-8,Tracy McGrady,SG,210,New York Knicks
,6,7-0,Darko Milicic,C,250,New York Knicks
University of Washington,4,5-9,Nate Robinson,PG,180,New York Knicks
,3,6-3,Sergio Rodriguez,PG,176,New York Knicks
Kansas State University,1,6-6,Henry Walker,SG,220,New York Knicks
University of Memphis,R,6-6,Antonio Anderson,SF,215,Oklahoma City Thunder
University of Iowa,9,6-7,Ryan Bowen,SF,215,Oklahoma City Thunder
University of Kansas,5,6-10,Nick Collison,C,255,Oklahoma City Thunder
University of Texas at Austin,2,6-9,Kevin Durant,SF,240,Oklahoma City Thunder
Georgetown University,2,6-9,Jeff Green,PF,235,Oklahoma City Thunder
Arizona State University,R,6-5,James Harden,SG,220,Oklahoma City Thunder
,R,6-10,Serge Ibaka,PF,235,Oklahoma City Thunder
,5,7-0,Nenad Krstic,C,240,Oklahoma City Thunder
,4,6-7,Shaun Livingston,PG,192,Oklahoma City Thunder
Virginia Commonwealth University,R,6-3,Eric Maynor,PG,175,Oklahoma City Thunder
Ohio State University,R,7-0,Byron Mullens,PF,275,Oklahoma City Thunder
University of Connecticut,12,6-4,Kevin Ollie,PG,195,Oklahoma City Thunder
,3,6-7,Thabo Sefolosha,SG,220,Oklahoma City Thunder
Syracuse University,7,6-9,Etan Thomas,C,256,Oklahoma City Thunder
Washington State University,1,6-6,Kyle Weaver,SG,201,Oklahoma City Thunder
University of California Los Angeles,1,6-3,Russell Westbrook,PG,200,Oklahoma City Thunder
Indiana University,1,6-9,D.J. White,PF,251,Oklahoma City Thunder
Rice University,6,5-10,Mike Wilks,PG,185,Oklahoma City Thunder
University of California,1,6-10,Ryan Anderson,PF,240,Orlando Magic
University of California Los Angeles,6,6-7,Matt Barnes,SF,226,Orlando Magic
Louisiana State University,4,6-8,Brandon Bass,PF,250,Orlando Magic
University of North Carolina,11,6-6,Vince Carter,SG,220,Orlando Magic
,2,6-11,Marcin Gortat,C,240,Orlando Magic
,5,6-11,Dwight Howard,C,265,Orlando Magic
College of Charleston,12,6-3,Anthony Johnson,PG,190,Orlando Magic
,11,6-10,Rashard Lewis,PF,215,Orlando Magic
Saint Joseph's University,5,6-0,Jameer Nelson,PG,190,Orlando Magic
,6,6-6,Mickael Pietrus,SF,215,Orlando Magic
Duke University,3,6-4,J.J. Redick,SG,190,Orlando Magic
Marshall University University of Florida,10,6-1,Jason Williams,PG,190,Orlando Magic
Duke University,10,6-8,Elton Brand,PF,275,Philadelphia 76ers
,7,7-2,Primoz Brezec,C,252,Philadelphia 76ers
University of Memphis,3,6-7,Rodney Carney,SG,205,Philadelphia 76ers
Seton Hall University,7,6-11,Samuel Dalembert,C,255,Philadelphia 76ers
University of California,6,7-0,Francisco Elson,C,235,Philadelphia 76ers
University of Detroit Mercy,6,6-4,Willie Green,SG,200,Philadelphia 76ers
University of California Los Angeles,R,6-4,Jrue Holiday,PG,205,Philadelphia 76ers
University of Arizona,5,6-6,Andre Iguodala,SF,215,Philadelphia 76ers
Georgetown University,13,6-0,Allen Iverson,SG,165,Philadelphia 76ers
University of Texas at Austin,5,6-3,Royal Ivey,SG,200,Philadelphia 76ers
