College,Experience,Height,Name,Position,Weight,team
Old Dominion,4,6-4,Kent Bazemore,SF,195,Atlanta Hawks
Saint Joseph's,R,6-5,DeAndre' Bembry,SF,210,Atlanta Hawks
,11,6-3,José Calderón,PG,200,Atlanta Hawks
Virginia Tech,R,6-3,Malcolm Delaney,PG,190,Atlanta Hawks
Duke,14,6-9,Mike Dunleavy,SF,230,Atlanta Hawks
Michigan,3,6-5,Tim Hardaway,SG,205,Atlanta Hawks
,12,6-10,Dwight Howard,C,265,Atlanta Hawks
Minnesota,12,6-9,Kris Humphries,PF,235,Atlanta Hawks
,8,6-9,Ersan İlyasova,PF,235,Atlanta Hawks
Duke,3,6-11,Ryan Kelly,PF,230,Atlanta Hawks
Creighton,13,6-7,Kyle Korver,SG,212,Atlanta Hawks
Louisiana Tech,10,6-7,Paul Millsap,PF,250,Atlanta Hawks
Bucknell,3,6-10,Mike Muscala,C,240,Atlanta Hawks
La Salle Towson University,6,6-4,Gary Neal,SG,210,Atlanta Hawks
Pitt,1,6-5,Lamar Patterson,SG,225,Atlanta Hawks
,3,6-1,Dennis Schröder,PG,172,Atlanta Hawks
Virginia,4,6-7,Mike Scott,PF,237,Atlanta Hawks
,10,6-6,Thabo Sefolosha,SF,220,Atlanta Hawks
,1,7-3,Edy Tavares,C,260,Atlanta Hawks
Baylor,R,6-7,Taurean Waller-Prince,SF,218,Atlanta Hawks
Baylor,4,6-7,Quincy Acy,PF,240,Brooklyn Nets
UNLV,3,6-8,Anthony Bennett,PF,245,Brooklyn Nets
,2,6-8,Bojan Bogdanović,SF,216,Brooklyn Nets
Clemson,6,6-8,Trevor Booker,PF,228,Brooklyn Nets
Colorado,2,6-5,Spencer Dinwiddie,PG,215,Brooklyn Nets
Indiana,R,6-0,Yogi Ferrell,PG,180,Brooklyn Nets
Villanova,10,6-4,Randy Foye,SG,213,Brooklyn Nets
Kentucky,3,6-5,Archie Goodwin,SG,200,Brooklyn Nets
Iowa State LSU,2,7-0,Justin Hamilton,C,260,Brooklyn Nets
Virginia,2,6-6,Joe Harris,SG,220,Brooklyn Nets
Arizona,1,6-6,Rondae Hollis-Jefferson,SF,217,Brooklyn Nets
Cincinnati,2,6-4,Sean Kilpatrick,SG,210,Brooklyn Nets
Michigan,R,6-6,Caris LeVert,SF,205,Brooklyn Nets
Harvard University,6,6-3,Jeremy Lin,PG,200,Brooklyn Nets
Stanford,8,7-0,Brook Lopez,C,270,Brooklyn Nets
Syracuse,1,6-11,Chris McCullough,PF,200,Brooklyn Nets
Clemson,2,6-6,K.J. McDaniels,SF,205,Brooklyn Nets
St. Bonaventure,4,6-9,Andrew Nicholson,PF,250,Brooklyn Nets
,9,6-9,Luis Scola,PF,240,Brooklyn Nets
Maryland,6,6-6,Greivis Vásquez,PG,217,Brooklyn Nets
Seton Hall,R,6-4,Isaiah Whitehead,PG,213,Brooklyn Nets
Texas,6,6-3,Avery Bradley,SG,180,Boston Celtics
California,R,6-6,Jaylen Brown,SF,223,Boston Celtics
Marquette,4,6-6,Jae Crowder,SF,235,Boston Celtics
,9,6-6,Gerald Green,SF,205,Boston Celtics
Florida,9,6-9,Al Horford,C,245,Boston Celtics
Notre Dame,R,6-1,Demetrius Jackson,PG,201,Boston Celtics
,6,6-10,Jonas Jerebko,PF,231,Boston Celtics
,11,6-9,Amir Johnson,PF,240,Boston Celtics
LSU,1,6-8,Jordan Mickey,PF,235,Boston Celtics
