GP_One_Day,GP_Two_Day,GP_Three_Day,Total_Pts,Home_Diff,HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
0,0,0,undefined,undefined,undefined,Indiana Pacers,Charlotte Hornets,0.900,-3.600,0.029,-2.400,-7.700,0.016,3.300,4.100,0.019,-2.900,-2.400,-0.047,-0.600,-0.500,-1,2,1.900,0,1.800,-0.500,-3.400,8,-8,6,-6,4.630,-0.620,4.010,-1,-5.700,-1.200,-0.017,-0.073,0.018,1.900,0.600,-0.025,-0.017,2.100,0,0,-3.600,-4.200,-0.019,-0.100,-1.700,0.016,-3.400,-2.500,-0.040,-0.800,-1,-0.003,-0.200,-3.200,-3.400,-1.900,0.300,-1.500,2,-1.100,-8,0,0
0,1,0,undefined,undefined,undefined,Minnesota Timberwolves,Phoenix Suns,0.800,3.500,-0.008,0.300,-0.500,0.017,0.500,3.900,-0.025,3.600,4.300,0.010,2.300,1.600,3.900,0.500,-0.200,0.600,-3,-3.800,5.500,10,-12,9,-11,8.180,-0.890,7.290,6.100,-2,0.300,0.038,-0.018,-0.009,-2.900,4,0.032,-0.011,-0.400,0.100,-0.054,-0.200,3.100,-0.020,1.900,4.100,0.014,-2.200,-1,-0.029,-4.100,-5.700,0.009,0.500,-0.100,0.300,0.200,-2.800,0.700,-0.600,2.800,-2.600,0,0
0,0,0,undefined,undefined,undefined,San Antonio Spurs,Los Angeles Clippers,0.600,0.400,0.005,0.200,-0.300,0.014,0.400,0.700,0.001,-4.900,-6.700,0.021,-0.400,-0.800,-1.200,1.800,0.100,-0.400,-2,-4.300,-3.500,2,0,4,-2,1.880,-0.200,1.690,0.200,-1.700,-3.200,-0.078,-0.005,0.006,-1.200,-0.900,-0.057,0.015,0.700,3.200,-0.049,-0.700,-2.900,0.006,1.200,2.800,0.007,-1.900,-5.800,0.017,-5.100,-6.200,-0.016,-2.100,0.300,-1.900,0.300,-0.800,-1.700,0.200,-3.600,-5.400,0,0
