Home_Diff,HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
undefined,undefined,Charlotte Hornets,Sacramento Kings,-2.600,-2,-0.018,-0.100,2.500,-0.031,-2.500,-4.400,-0.004,2.500,1,0.081,-0.700,0.500,-0.200,-1.900,-1.200,0.300,-1.300,-2.400,-2.700,-3,2,1,-2,0.960,-1.850,-0.890,0.700,-0.200,-3.900,0.016,0.034,-0.017,-0.800,-0.700,0.032,-0.002,-1.600,2.400,-0.028,-0.500,-0.600,-0.003,0,-0.100,0.004,-0.600,-0.500,-0.007,-2.700,-3.900,0.015,-1.300,-1,-2.300,0.800,-0.800,1.400,-2.500,-0.400,-3.600,0,0
undefined,undefined,Denver Nuggets,Chicago Bulls,3.500,3.500,0.021,1.600,4.100,0.007,1.800,-0.600,0.036,1,2.200,-0.029,4.600,0.800,5.400,5.700,-0.100,0.100,-1.100,-0.200,9.500,19,-20,18,-19,14.140,-0.500,13.640,11.900,-2.400,-1.600,0.015,0.034,0.028,-1.400,10.200,0.005,-0.009,-0.400,1.800,0.001,-1.700,-2.500,-0.005,-1,-1.300,-0.016,-0.700,-1.300,0,-0.300,0.600,-0.035,-0.800,-4.700,-5.500,-0.400,-0.100,-0.700,-0.800,2.200,-4.600,0,0
undefined,undefined,Indiana Pacers,Philadelphia 76ers,0.600,-0.700,0.011,-1.900,-6.600,0.017,2.500,5.900,-0.010,-5.700,-6.800,-0.022,-1.200,-2.600,-3.800,-1.300,1.800,-0.500,-1.300,-3.800,-6.400,0,-2,3,-5,3.020,-0.420,2.590,-1.500,-4.700,-3.400,-0.076,-0.073,0,-0.500,-1.700,-0.064,0.005,3.100,-1.400,-0.040,-3.100,-5.500,-0.007,1.300,2.300,0.014,-4.300,-7.800,-0.007,-4.600,-5.700,-0.009,0,-0.800,-0.700,1.300,-0.500,1.300,2.700,-2.900,-9.400,0,0
undefined,undefined,Oklahoma City Thunder,Los Angeles Lakers,0.300,3.100,-0.013,-0.500,-0.800,-0.006,0.800,4,-0.023,1.800,1.500,0.027,2.500,-1.300,1.200,-1.600,2.400,-0.200,-1.100,2,1.800,2,-4,4,-6,4,-0.780,3.220,1.700,-2.200,-0.200,0.008,-0.020,-0.017,-1.200,4.500,0.012,0.013,3,1.400,0.016,-1.200,-5,0.012,-0.300,-0.800,0.001,-0.900,-4.100,0.020,0.400,1.500,-0.030,-1.200,-1,-2.200,1.200,0,-0.100,3.300,1.600,-2.200,0,0
undefined,undefined,Toronto Raptors,Phoenix Suns,2.300,2,0.015,1.600,4.100,0.005,0.700,-2,0.032,1.900,1.900,0.019,1.200,3.700,4.900,0.100,-0.700,0.600,-2.200,-2.900,8.100,22,-22,19,-19,14.200,-1.780,12.420,8.300,-5.700,-0.100,0.015,0.038,0.022,-2,2.700,0.016,-0.032,-0.800,2,-0.057,-0.800,3.700,-0.028,-0.200,0.800,-0.016,-0.600,2.900,-0.036,-4.200,-5.900,0.007,0.100,-1.100,-1,-1,-1.900,0,-1,0.900,-6.100,0,0
undefined,undefined,Washington Wizards,New York Knicks,2.800,-0.800,0.034,1.100,3.400,-0.004,1.700,-4.200,0.065,-0.400,0.100,-0.016,-2.300,-1.500,-3.800,5.600,1.700,0.700,0.600,0,6.200,8,-7,7,-6,5.170,-1.180,3.990,3.800,-1.300,1.200,0.003,0.041,0.041,0.500,-3.200,-0.002,-0.004,1.900,-2.900,0.017,-0.400,0.300,-0.007,0.400,0.500,0.005,-0.800,-0.200,-0.012,1.600,1.200,0.025,1.200,-1.100,0.100,-0.700,0.900,-1.500,2.700,1,1,0,0
