Home_Diff,HW,HOME,VISITOR,FG,FGA,FG_PCT,Three_Pointers,Three_Pointers_Att,Three_Pointers_Pct,Two_Pointers,Two_Pointers_Att,Two_Pointers_Pct,FTM,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,PACE,FTr,Three_PAr,OFF_eFG_PCT,OFF_TOV_PCT,ORB_PCT,OFF_FT_FGA,DEF_eFG_PCT,DEF_TOV_PCT,DRB_PCT,DEF_FT_FGA,oFG,oFGA,oFGPCT,o3P,o3PA,o3PCT,o2P,o2PA,o2PCT,oFTM,oFTA,oFTPCT,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,createdAt,updatedAt
undefined,undefined,Boston Celtics,Toronto Raptors,-1.200,0.800,-0.017,1.700,3,0.020,-2.900,-2.300,-0.030,-1.700,-2,-0.003,-0.100,-0.400,-0.400,1.700,0.300,-0.200,-0.700,-0.400,-2.300,-8,6,-1,-1,0.560,-0.490,0.070,-1.300,-2,-0.600,-0.024,0.031,-0.007,-0.600,-1,-0.020,-0.004,0.900,1.500,0.028,-2.600,-3.800,-0.011,0.700,3.300,-0.013,-3.300,-7.100,0.005,1.700,2.400,-0.003,-1,2,1,-2.200,-0.500,-0.800,0.800,-0.300,-2.800,0,0
undefined,undefined,Dallas Mavericks,San Antonio Spurs,-3.300,-1.900,-0.028,2.200,10.200,-0.054,-5.500,-12.100,0.011,2.500,5.500,-0.073,1.300,0.300,1.600,-2.100,1.300,0,3.100,1.400,-1.800,-5,3,-4,2,-2.030,-0.360,-2.390,-3.700,-1.600,2.100,0.070,0.125,-0.014,2.400,2.800,0.034,-0.006,1.100,-1.200,0.009,-0.100,0.400,-0.002,-0.500,-0.600,-0.011,0.600,1,0,0.900,0.900,0.006,0.800,-1.100,-0.200,0,1.300,0.200,1.500,3.600,0.300,0,0
undefined,undefined,Detroit Pistons,Orlando Magic,0.200,2.200,-0.009,0.300,2.800,-0.019,-0.200,-0.600,0.002,2.700,4.800,-0.041,2.700,-0.200,2.400,-2.300,0.600,-1.400,1.200,3.600,3.300,-1,0,1,-2,1.030,0.140,1.160,0.900,-0.200,1.500,0.047,0.022,-0.010,0.400,4.800,0.026,0.005,1,1.300,0.039,0.400,-1.500,0.013,-1.600,-1.500,-0.039,2.100,0,0.036,3,3.700,0.007,-0.800,-0.800,-1.500,0.500,0.600,1.100,1.300,3.100,2.300,0,0
undefined,undefined,Golden State Warriors,New Orleans Pelicans,0.200,-1,0.008,2.900,5,0.034,-2.700,-6,0.010,-2.400,-4.500,0.047,-1.200,0.600,-0.600,1.800,-0.300,0.800,-0.300,-0.500,1,9,-9,5,-5,4.020,-0.390,3.630,2.200,-1.900,-2,-0.047,0.059,0.025,0.100,-2.100,-0.024,-0.017,-0.500,1.200,0.002,-1.400,-0.100,-0.015,-0.400,0.300,-0.016,-0.900,-0.400,-0.013,0.100,0,0.007,-0.500,0,-0.500,-1.200,-0.600,-1.900,-0.700,-2.600,-3.100,0,0
undefined,undefined,Houston Rockets,Brooklyn Nets,-1.400,-2.300,-0.004,3,9.100,-0.008,-4.400,-11.400,0.036,0.500,-0.100,0.024,-0.500,-3.100,-3.600,-2.100,1.100,1.100,-1,0.400,0.600,3,-5,2,-4,2.760,1.520,4.280,4,1.100,-2.300,0.007,0.117,0.015,-0.500,-0.400,0.012,0.009,1.100,-1.300,0.021,-1.600,-4.500,0.006,0.100,0.800,-0.009,-1.500,-5.200,0.021,0.900,1.200,0,-0.200,-0.900,-1.100,0.100,0.500,-0.300,1,-1.100,-2.100,0,0
undefined,undefined,Los Angeles Clippers,Utah Jazz,2.300,2.300,0.014,-1.700,-8.000,0.042,4,10.200,-0.022,4.600,3.400,0.076,0.200,0.300,0.500,-1.600,-2.400,-0.400,-0.900,1.400,7.500,0,-2,-4,2,-1.800,-0.190,-1.990,5.100,6.900,1.300,0.031,-0.102,0.003,-1.100,0.300,0.047,-0.003,-2.500,-5.100,0.029,2.600,6,-0.001,0.300,1.500,-0.009,2.400,4.600,0.002,3.800,4.100,0.030,3.100,-0.100,3,3.400,-0.500,1.400,-2.300,1.900,9.300,0,0
undefined,undefined,Memphis Grizzlies,Milwaukee Bucks,-6.100,-8.600,-0.025,-4.100,-11.400,-0.006,-2,2.800,-0.065,-0.600,-0.500,-0.007,-1.700,-7.500,-9.200,-3.500,1,0,-0.700,2.200,-16.900,-12,12,-14,14,-12.020,1.880,-10.150,-8.800,3,-7.800,0.020,-0.095,-0.042,0.500,-3.300,0.013,0.015,2.300,-2.800,0.060,-3.100,-10.300,0.016,-1.700,-4.900,0.004,-1.500,-5.300,0.021,3.100,3.100,0.032,-0.400,0.400,0.200,-1.400,0.400,0,1.500,0.700,-4.900,0,0
undefined,undefined,Portland Trail Blazers,Cleveland Cavaliers,2.600,2.900,0.015,1.600,4.700,-0.003,1,-1.800,0.031,2.200,2.300,0.019,0.500,5.300,5.800,1.800,-0.300,2.500,1.100,-0.500,9.100,17,-16,16,-15,12.410,0.760,13.170,4.800,-8.100,3.100,0.018,0.042,0.022,0.500,0.900,0.019,-0.039,-0.200,1.900,-0.008,-1.500,3.400,-0.036,-0.300,-1.200,0.006,-1.200,4.600,-0.063,0,0.600,-0.020,0.500,-0.100,0.400,-1.400,0.500,-0.300,0.200,1,-3.300,0,0
