2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
29.2,58.3,.501,8.9,26.1,.309,.341,23.6,4.8,.179,13.8,.507,34.1,76.1,105.7,38.1,84.4,.451,24.9,18.1,.728,.295,39,-0.85,.215,14.2,.504,10.3,23.6,104.9,97.4,18.2,43,103.2,39,-0.38,-1.23,8.2,15.8,44.3,43,27.9,56.7,.491,10.9,30.5,.357,23.4,5.2,33.2,38.8,87.3,.444,20.2,15.6,.772,10.7,21.6,104.0,9.0,15.4,43.9,Atlanta Hawks
27.1,53.6,.506,10.7,31.6,.371,.338,21.4,4.7,.212,11.6,.513,35.1,76.1,110.7,37.8,85.2,.444,24.6,19.4,.788,.289,62,-6.73,.228,14.7,.507,8.8,19.6,104.1,101.3,21.0,58,105.8,24,-0.01,-6.74,7.2,16.5,43.9,20,31.7,63.6,.498,10.0,27.2,.366,23.0,5.6,36.2,41.6,90.8,.458,25.0,19.3,.772,11.0,20.4,112.5,9.5,13.3,47.2,Brooklyn Nets
26.6,51.7,.515,12.0,33.4,.393,.359,25.2,4.1,.223,12.6,.503,32.9,75.3,108.4,38.6,85.1,.454,23.2,18.7,.807,.273,29,2.63,.220,12.2,.525,9.1,21.2,111.2,96.8,20.6,34,108.0,48,-0.39,2.25,7.5,13.3,42.0,53,29.7,58.8,.505,9.0,27.0,.332,22.6,5.2,33.8,38.6,85.8,.450,24.9,19.1,.769,10.8,20.3,105.4,7.6,13.9,44.5,Boston Celtics
27.7,56.7,.488,10.0,28.6,.335,.351,23.1,4.8,.164,12.1,.523,34.8,79.6,108.6,37.7,85.4,.442,23.8,19.4,.815,.279,46,0.20,.227,10.7,.501,8.8,19.9,108.8,95.7,16.6,40,104.9,42,-0.26,-0.07,7.0,11.5,43.6,36,27.9,55.1,.506,11.6,31.4,.369,24.5,5.5,35.5,39.5,86.5,.456,18.2,14.2,.776,8.9,19.9,104.7,6.6,13.1,44.4,Charlotte Hornets
31.0,64.8,.479,7.6,22.3,.256,.340,22.6,4.8,.169,12.4,.507,34.1,76.8,107.0,38.6,87.1,.444,22.5,18.0,.798,.259,41,0.43,.206,12.3,.487,12.2,27.0,107.4,95.3,17.7,40,102.9,42,-0.39,0.03,7.8,13.6,46.3,41,30.5,60.7,.503,8.9,25.9,.345,23.6,4.6,32.9,39.5,86.6,.456,19.0,14.6,.770,10.3,18.8,102.4,7.3,13.4,43.2,Chicago Bulls
26.9,51.0,.528,13.0,33.9,.399,.384,22.7,4.0,.174,11.4,.516,34.4,75.8,110.3,39.9,84.9,.470,23.3,17.5,.748,.275,31,3.18,.206,12.6,.547,9.3,21.9,113.6,96.2,18.1,33,110.3,49,-0.31,2.87,6.6,13.7,43.7,51,30.3,60.1,.504,10.4,28.7,.361,24.7,4.3,33.2,40.6,88.8,.458,20.0,15.5,.773,11.0,20.6,107.2,7.3,12.6,44.2,Cleveland Cavaliers
25.5,52.2,.489,10.7,30.2,.366,.355,20.8,3.7,.218,14.4,.529,30.7,77.6,108.8,36.2,82.3,.440,18.5,14.8,.801,.225,49,-2.93,.180,11.6,.505,7.9,18.1,105.6,92.2,19.1,49,97.9,33,0.40,-2.53,7.5,11.9,38.6,33,27.4,53.7,.510,9.6,25.3,.380,21.3,3.4,35.6,37.0,79.0,.469,22.3,17.2,.772,8.9,19.4,100.8,6.5,14.9,44.5,Dallas Mavericks
30.6,58.9,.519,10.6,28.8,.329,.368,25.3,3.9,.194,10.9,.532,34.6,78.7,112.7,41.2,87.7,.469,24.2,18.7,.774,.276,42,0.51,.214,13.2,.530,11.8,27.3,113.2,98.3,19.1,40,111.7,42,0.19,0.70,6.9,15.0,46.4,40,32.3,62.1,.519,9.9,26.3,.375,24.0,4.9,31.4,42.1,88.4,.477,21.9,17.1,.782,9.4,20.2,111.2,8.3,12.0,40.8,Denver Nuggets
32.2,65.5,.492,7.7,23.4,.263,.330,21.1,3.8,.197,12.1,.516,34.6,81.2,107.1,39.9,88.8,.449,19.3,13.9,.719,.218,45,-1.12,.157,10.9,.492,11.1,24.1,106.0,95.0,17.9,44,101.3,38,-0.17,-1.29,7.0,11.9,45.7,37,29.0,57.7,.502,9.4,25.6,.366,23.5,4.1,34.9,38.3,83.3,.460,21.0,16.4,.780,8.0,17.5,102.5,6.7,12.8,42.9,Detroit Pistons
31.1,55.8,.557,12.0,31.2,.359,.383,30.4,6.8,.198,13.5,.486,35.0,74.9,104.0,43.1,87.1,.495,22.6,17.8,.788,.259,15,11.63,.204,13.2,.563,9.4,22.8,115.6,99.8,19.3,15,115.9,67,-0.28,11.35,9.6,14.8,44.4,67,29.8,61.4,.485,9.0,27.8,.324,22.7,3.8,31.8,38.8,89.2,.435,23.2,17.7,.761,11.7,19.4,104.3,8.6,15.5,43.5,Golden State Warriors
25.9,46.9,.552,14.4,40.3,.462,.357,25.2,4.3,.194,13.2,.519,33.5,75.8,109.0,40.3,87.2,.462,26.5,20.3,.766,.304,27,5.77,.233,13.3,.545,10.9,24.6,114.7,100.0,19.9,27,115.3,55,0.08,5.84,8.2,15.1,44.4,55,31.2,59.7,.522,10.0,29.1,.343,24.1,5.0,33.4,41.2,88.9,.463,22.2,17.3,.778,10.7,20.4,109.6,8.5,15.1,44.1,Houston Rockets
30.6,61.5,.498,8.6,23.0,.272,.376,22.5,5.0,.225,13.6,.512,33.0,75.5,108.8,39.3,84.5,.465,22.1,17.9,.810,.261,40,-0.22,.212,12.8,.516,9.0,21.2,108.6,95.9,19.5,42,105.1,40,-0.42,-0.64,8.2,13.8,42.0,42,27.6,55.1,.501,10.4,29.1,.355,22.3,5.0,33.5,38.0,84.3,.451,24.1,19.0,.789,10.7,19.5,105.3,8.1,14.9,44.3,Indiana Pacers
29.3,55.8,.525,10.3,27.4,.329,.375,22.5,4.2,.211,12.1,.506,34.0,76.9,108.2,39.5,83.2,.475,26.0,19.3,.745,.312,31,4.29,.233,12.0,.537,9.0,21.5,112.7,96.1,19.8,30,108.7,52,0.13,4.42,7.5,13.0,43.0,51,29.4,59.1,.497,9.2,26.3,.350,23.1,3.1,32.9,38.6,85.4,.452,23.4,18.0,.772,10.2,22.4,104.4,7.0,13.2,43.1,Los Angeles Clippers
30.4,61.6,.493,8.9,25.7,.295,.346,20.9,3.9,.213,13.0,.542,32.1,75.8,113.0,39.3,87.4,.450,22.6,17.0,.754,.259,56,-6.88,.195,13.5,.501,11.4,25.0,106.0,98.5,20.7,58,104.6,24,0.58,-6.29,8.2,15.2,43.5,26,31.4,58.6,.536,10.1,27.4,.370,25.7,5.4,34.2,41.5,86.0,.483,24.0,18.3,.762,10.3,18.5,111.5,8.5,14.5,44.4,Los Angeles Lakers
27.0,57.1,.473,9.4,26.5,.316,.354,21.3,4.2,.256,13.6,.506,32.0,77.5,107.1,36.4,83.6,.435,23.4,18.3,.784,.280,39,0.49,.219,12.1,.491,10.8,24.8,107.7,92.3,22.4,40,100.5,42,0.47,0.96,8.0,12.9,42.8,43,25.0,50.8,.492,9.9,28.0,.354,20.1,5.0,32.8,34.9,78.8,.443,26.9,20.2,.753,9.3,20.8,100.0,7.0,14.3,42.1,Memphis Grizzlies
29.2,58.8,.496,9.9,27.0,.314,.365,21.2,5.7,.220,12.6,.496,33.0,76.4,106.7,39.0,85.8,.455,21.6,15.2,.706,.251,41,1.06,.177,12.4,.512,10.6,24.2,107.8,95.2,20.5,38,103.2,44,-0.29,0.77,7.2,13.4,43.6,41,30.1,61.5,.490,7.8,22.7,.343,19.6,4.9,33.4,37.9,84.2,.450,23.7,18.5,.782,10.2,18.7,102.1,6.8,13.7,43.6,Miami Heat
30.0,58.2,.516,8.8,23.7,.290,.370,24.2,5.3,.215,13.6,.518,31.6,75.4,109.3,38.8,81.9,.474,22.4,17.2,.768,.274,40,-0.18,.210,13.2,.527,8.8,21.5,109.1,94.5,20.2,42,103.6,40,-0.26,-0.45,8.1,14.0,40.4,42,28.0,54.8,.512,10.0,28.2,.353,24.1,4.6,32.1,38.0,83.0,.458,23.2,17.9,.771,10.3,19.3,103.8,7.4,14.7,42.5,Milwaukee Bucks
32.1,63.4,.507,7.3,21.0,.249,.349,23.7,4.5,.212,13.2,.535,31.0,75.9,112.0,39.5,84.4,.467,24.2,19.3,.799,.287,51,-1.11,.229,12.9,.511,11.4,27.2,110.8,94.6,20.1,44,105.6,38,0.47,-0.64,8.0,14.0,42.4,31,29.7,56.3,.528,9.9,27.0,.366,23.1,5.0,30.6,39.6,83.3,.475,22.9,17.6,.768,9.8,20.5,106.7,7.7,14.3,40.4,Minnesota Timberwolves
29.8,60.2,.495,9.4,26.8,.308,.350,22.8,5.5,.177,12.4,.509,35.1,76.8,107.4,39.1,87.0,.450,22.3,16.7,.750,.256,48,-2.10,.192,11.7,.504,8.6,18.5,105.2,98.0,18.2,47,104.3,35,0.41,-1.69,7.8,12.9,43.7,34,29.5,59.2,.499,10.5,29.8,.353,23.4,4.2,37.7,40.1,89.0,.450,20.7,15.8,.762,10.6,19.3,106.4,7.4,14.0,48.3,New Orleans Pelicans
