2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
28.1,55.5,.506,10.0,26.2,.321,.380,25.7,4.6,.185,14.9,.492,31.8,73.4,103.1,38.1,81.7,.466,21.2,16.5,.778,.259,22,5.43,.201,13.5,.527,8.7,21.4,108.9,93.9,17.8,26,102.5,56,-0.68,4.75,9.1,14.2,40.6,60,27.7,57.4,.483,8.8,25.8,.341,23.5,4.9,32.1,36.5,83.1,.439,20.1,15.4,.764,11.6,19.6,97.1,7.4,16.1,43.6,Atlanta Hawks
30.8,63.1,.489,6.6,19.9,.240,.331,20.9,4.1,.185,12.9,.506,32.0,73.7,107.4,37.4,83.0,.451,22.2,16.6,.748,.267,44,-2.88,.200,13.0,.491,10.3,23.9,104.4,92.7,19.3,49,98.0,33,-0.25,-3.13,7.0,13.8,42.4,38,29.9,60.6,.494,8.5,23.7,.358,23.7,4.5,32.9,38.4,84.3,.456,21.3,15.6,.731,11.4,20.0,100.9,7.8,13.9,44.3,Brooklyn Nets
30.9,63.3,.488,8.0,24.6,.280,.327,24.5,3.6,.208,13.7,.494,32.7,75.0,104.5,38.9,87.9,.443,20.5,15.4,.754,.233,42,0.16,.176,12.5,.489,11.1,24.7,104.7,95.8,21.2,41,101.4,41,-0.56,-0.40,8.2,13.8,43.8,40,30.7,62.7,.490,7.4,22.0,.336,21.9,5.3,33.8,38.1,84.7,.450,23.3,17.6,.755,10.9,18.8,101.2,7.1,15.1,44.7,Boston Celtics
29.5,65.4,.450,6.1,19.1,.226,.318,20.2,5.5,.188,12.0,.487,34.1,79.3,103.5,35.5,84.5,.420,22.8,17.0,.748,.269,49,-3.17,.202,11.2,.456,10.0,22.1,100.1,93.0,18.2,50,94.2,32,-0.27,-3.44,6.1,11.9,44.1,33,28.9,61.5,.470,7.9,22.1,.357,22.1,5.4,35.2,36.8,83.7,.440,20.4,15.8,.772,8.9,20.8,97.3,6.1,12.6,44.1,Charlotte Hornets
28.7,60.6,.474,7.9,22.3,.269,.353,21.7,5.8,.182,11.3,.473,34.0,74.4,104.3,36.6,82.9,.442,25.2,19.7,.783,.304,32,3.00,.238,12.9,.489,11.7,27.0,107.5,92.8,18.2,32,100.8,50,-0.46,2.54,6.3,14.0,45.7,50,31.2,67.1,.465,6.6,19.6,.335,20.2,5.4,31.7,37.7,86.7,.435,21.0,15.7,.749,11.7,21.2,97.8,7.5,12.2,43.4,Chicago Bulls
27.6,54.7,.504,10.1,27.5,.334,.367,22.1,4.1,.177,12.6,.502,31.9,74.7,106.3,37.7,82.2,.458,23.6,17.7,.751,.287,29,4.48,.216,13.4,.520,11.1,26.8,111.1,92.3,18.4,29,103.1,53,-0.40,4.08,7.4,14.3,43.0,53,30.3,61.0,.497,7.7,22.5,.343,24.1,4.5,30.3,38.1,83.5,.456,19.9,14.8,.745,10.8,20.5,98.7,7.8,13.3,41.1,Cleveland Cavaliers
30.8,60.4,.509,8.9,25.4,.296,.352,22.5,4.5,.204,14.7,.503,31.8,72.2,106.4,39.7,85.8,.463,22.5,16.9,.752,.262,32,2.90,.197,11.9,.515,10.5,23.6,109.5,95.2,20.0,33,105.2,49,0.46,3.36,8.1,13.0,42.3,50,29.0,59.7,.485,9.0,24.8,.364,22.3,3.8,33.9,38.0,84.5,.450,22.9,17.3,.753,12.3,22.1,102.3,7.3,16.3,46.1,Dallas Mavericks
29.7,62.5,.476,8.0,24.8,.284,.325,21.8,4.5,.239,13.0,.504,32.4,74.7,108.2,37.8,87.3,.433,24.3,17.8,.734,.278,52,-3.55,.204,12.7,.479,12.3,26.6,104.5,96.1,23.0,51,101.5,31,0.48,-3.07,7.8,14.2,44.7,30,30.9,62.0,.498,7.7,22.2,.346,23.1,6.1,34.1,38.6,84.3,.458,26.9,20.1,.748,11.0,20.7,105.0,7.5,14.4,45.1,Denver Nuggets
28.5,60.9,.468,8.6,24.9,.290,.344,21.6,4.7,.192,13.2,.502,32.1,75.0,106.4,37.1,85.8,.432,22.4,15.8,.703,.261,50,-1.00,.184,12.3,.482,12.8,27.7,105.3,92.8,19.0,44,98.5,38,-0.39,-1.39,7.6,13.4,44.9,32,30.1,61.3,.491,7.7,21.8,.355,23.8,4.8,33.4,37.9,83.1,.456,20.7,16.0,.772,10.7,19.3,99.5,7.0,14.0,44.1,Detroit Pistons
30.8,60.0,.514,10.8,27.0,.311,.398,27.4,6.0,.217,14.3,.470,34.3,74.5,101.4,41.6,87.0,.478,20.8,16.0,.768,.239,15,10.10,.184,13.1,.540,10.4,24.1,111.6,98.3,19.9,17,110.0,65,-0.09,10.01,9.3,14.5,44.7,67,29.7,65.0,.458,7.2,21.4,.337,21.0,3.6,32.8,37.0,86.4,.428,24.5,18.7,.763,11.7,18.8,99.9,8.3,16.2,44.5,Golden State Warriors
