2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
29.0,57.8,.501,8.6,23.2,.286,.371,24.5,4.5,.181,14.2,.496,31.6,73.6,104.4,37.6,81.0,.464,19.7,14.1,.715,.244,38,0.40,.174,14.2,.517,9.2,22.2,104.8,92.6,18.0,40,98.0,42,-0.48,-0.08,8.1,14.9,40.9,44,29.9,63.3,.473,7.6,19.9,.379,22.3,4.3,32.4,37.5,83.2,.450,19.7,15.0,.763,11.3,18.8,97.5,8.4,15.2,43.7,Atlanta Hawks
28.2,58.3,.484,7.7,21.5,.269,.357,20.3,4.8,.174,13.1,.503,30.0,73.7,106.2,35.9,79.8,.450,23.9,17.5,.731,.299,33,1.78,.219,14.0,.498,12.8,30.9,108.2,88.8,18.3,36,96.9,46,-0.53,1.25,7.3,14.7,42.8,49,31.1,63.4,.490,6.3,17.3,.366,21.4,4.8,28.5,37.4,80.7,.464,19.2,14.0,.731,10.7,21.4,95.1,7.5,13.4,39.2,Brooklyn Nets
30.9,62.6,.494,6.1,17.2,.215,.358,22.8,4.5,.216,14.2,.482,31.3,73.3,103.3,37.0,79.7,.465,21.0,16.3,.776,.263,40,-0.22,.204,14.1,.503,8.1,20.1,103.1,91.7,21.2,41,96.5,40,-0.40,-0.62,8.2,14.6,39.3,41,29.3,62.1,.472,6.8,19.9,.342,21.6,4.7,32.1,36.1,82.0,.441,23.9,17.7,.740,11.4,19.4,96.7,7.8,15.3,43.6,Boston Celtics
28.7,64.0,.448,5.7,17.1,.210,.335,19.4,5.8,.197,13.2,.524,29.1,71.1,111.5,34.4,81.1,.425,25.1,18.9,.750,.310,61,-9.23,.233,13.2,.460,11.2,25.7,101.5,91.5,19.0,65,93.4,17,-0.06,-9.29,7.2,14.1,40.3,21,30.1,59.9,.502,8.7,22.5,.388,25.3,6.9,32.3,38.8,82.5,.471,21.8,16.2,.747,11.8,21.3,102.7,6.9,14.0,44.1,Charlotte Bobcats
30.2,66.3,.456,5.4,15.4,.189,.353,23.0,5.1,.206,13.2,.477,30.7,73.6,103.2,35.7,81.7,.437,21.2,16.4,.773,.259,37,0.32,.201,13.6,.470,12.5,29.4,103.5,89.3,19.7,40,93.2,42,-0.33,-0.02,7.2,14.3,43.2,45,29.9,64.1,.467,5.5,16.0,.346,18.8,5.8,30.1,35.4,80.1,.443,22.3,16.5,.739,11.0,19.6,92.9,7.3,13.7,41.1,Chicago Bulls
29.8,64.9,.460,6.7,19.3,.229,.346,20.7,4.1,.225,14.4,.523,28.8,72.6,109.4,36.5,84.2,.434,22.3,16.8,.756,.265,58,-4.68,.200,13.0,.473,12.2,28.1,104.3,92.3,21.2,54,96.5,28,-0.19,-4.87,7.9,14.0,41.0,24,30.5,59.6,.511,7.4,20.0,.372,23.9,6.8,31.3,37.9,79.6,.476,24.2,17.9,.739,10.8,19.7,101.2,7.6,15.2,42.1,Cleveland Cavaliers
31.4,64.2,.489,7.4,19.9,.236,.372,23.2,5.5,.227,13.3,.492,32.6,73.1,106.5,38.8,84.0,.462,20.4,16.1,.793,.242,41,-0.60,.192,13.0,.506,9.4,21.8,105.9,94.1,20.7,43,101.1,39,0.36,-0.24,7.9,14.0,41.9,41,29.6,62.2,.475,7.8,21.8,.359,22.0,4.1,33.6,37.4,84.0,.445,25.4,19.1,.753,12.0,18.9,101.7,8.5,14.7,45.6,Dallas Mavericks
34.4,66.6,.516,6.4,18.5,.217,.343,24.4,6.5,.193,14.3,.493,31.7,71.8,105.1,40.7,85.2,.478,26.2,18.4,.701,.308,25,5.09,.216,13.6,.515,13.3,31.4,110.4,95.1,20.5,27,106.1,55,0.28,5.37,9.3,15.3,45.0,57,29.7,62.6,.474,8.4,23.1,.363,23.6,6.8,29.2,38.1,85.7,.444,22.7,16.6,.731,12.4,21.6,101.1,8.0,15.9,41.6,Denver Nuggets
30.1,63.4,.474,6.3,17.6,.217,.356,21.2,4.9,.209,13.1,.505,30.0,73.0,108.1,36.3,81.0,.449,22.8,15.9,.699,.282,53,-3.99,.197,14.3,.487,12.1,28.3,103.8,90.8,19.8,53,94.9,29,-0.34,-4.33,7.0,15.1,42.1,29,29.9,60.7,.492,7.4,20.4,.360,22.4,5.8,30.7,37.3,81.2,.459,22.2,16.9,.762,11.1,19.9,98.8,8.4,13.7,41.8,Detroit Pistons
30.1,63.5,.475,8.0,19.9,.239,.403,22.5,4.2,.211,12.4,.486,34.2,75.5,105.5,38.2,83.4,.458,21.3,16.8,.790,.255,35,0.89,.201,14.0,.506,10.8,25.4,106.4,94.5,21.4,38,101.2,44,0.42,1.32,6.9,15.1,45.0,47,29.2,61.7,.473,8.0,23.1,.347,23.5,4.9,31.7,37.2,84.8,.439,23.9,17.9,.748,11.1,19.2,100.3,8.2,13.5,42.7,Golden State Warriors
27.5,53.8,.511,10.6,28.9,.349,.366,23.2,4.4,.196,13.5,.502,32.3,75.2,106.1,38.1,82.7,.461,25.5,19.2,.754,.308,37,3.48,.232,14.9,.525,11.1,26.4,109.7,96.1,20.3,32,106.0,50,0.22,3.69,8.3,16.4,43.4,45,30.8,63.5,.484,8.1,21.9,.368,22.7,6.1,31.0,38.8,85.5,.454,21.6,16.8,.776,10.7,20.4,102.5,8.5,14.8,41.6,Houston Rockets
28.3,60.8,.465,6.9,19.7,.245,.347,20.3,6.3,.197,12.9,.453,33.0,74.6,99.8,35.1,80.6,.436,23.6,17.6,.746,.293,32,4.02,.219,14.3,.479,12.9,30.3,104.3,90.2,20.0,29,94.7,52,-0.69,3.34,7.2,15.1,45.9,49,29.1,65.6,.444,5.4,16.6,.327,19.2,5.7,29.6,34.5,82.2,.420,21.3,16.2,.760,11.2,21.9,90.7,7.5,13.5,40.9,Indiana Pacers
