2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
28.0,55.8,.502,9.4,25.8,.316,.363,24.9,4.0,.196,14.0,.510,31.3,74.4,106.4,37.3,81.6,.458,21.7,17.0,.781,.266,44,-0.48,.208,14.3,.515,8.7,21.0,105.9,94.6,19.2,42,101.0,40,-0.40,-0.88,8.3,15.3,40.0,38,30.6,61.6,.497,8.0,21.9,.365,23.2,4.3,32.8,38.6,83.5,.462,21.9,16.4,.748,10.8,20.0,101.5,8.2,15.2,43.5,Atlanta Hawks
27.1,54.5,.497,8.6,23.4,.301,.369,20.9,3.8,.236,14.9,.509,29.4,72.3,107.7,35.7,77.9,.459,24.4,18.4,.753,.313,38,-1.00,.236,14.1,.514,8.8,21.7,106.7,91.4,21.7,44,98.5,38,-0.58,-1.58,8.6,14.5,38.1,44,28.3,57.4,.492,8.1,22.0,.367,21.0,4.1,31.6,36.3,79.4,.458,24.7,18.8,.760,11.2,20.8,99.5,7.4,15.8,42.9,Brooklyn Nets
29.5,62.9,.470,7.0,21.1,.251,.333,21.0,4.2,.227,13.4,.505,30.5,74.2,107.7,36.5,83.9,.435,20.8,16.2,.777,.248,57,-4.46,.193,14.2,.477,12.0,27.4,102.9,93.3,21.3,54,96.2,28,-0.51,-4.97,7.1,15.4,42.5,25,31.2,62.5,.500,6.6,18.9,.347,22.1,4.5,31.7,37.8,81.4,.465,24.3,18.5,.761,10.6,19.1,100.7,7.4,14.2,42.3,Boston Celtics
30.0,64.1,.468,6.3,17.9,.219,.351,21.7,5.1,.183,12.6,.491,33.2,77.6,103.8,36.3,82.1,.442,24.4,18.0,.737,.297,39,-0.22,.219,11.7,.481,9.5,21.9,103.6,92.4,18.2,42,96.9,40,-0.67,-0.89,6.1,12.3,42.7,43,28.7,61.4,.468,8.1,22.0,.369,21.0,5.1,33.7,36.9,83.4,.442,20.1,15.3,.759,9.6,20.9,97.1,6.3,13.3,43.3,Charlotte Bobcats
28.5,62.4,.456,6.2,17.8,.222,.348,22.7,5.2,.189,13.7,.471,32.7,75.4,100.5,34.7,80.2,.432,23.3,18.1,.779,.290,34,1.85,.226,14.2,.471,11.4,27.2,102.5,90.2,19.1,35,93.7,47,-0.66,1.20,7.2,14.9,44.1,48,28.4,62.5,.454,6.6,18.7,.351,19.6,6.0,30.6,35.0,81.2,.430,20.3,15.3,.753,10.7,20.9,91.8,7.6,14.4,41.3,Chicago Bulls
29.9,64.8,.461,7.1,20.0,.236,.356,21.2,3.7,.199,13.0,.508,32.1,75.8,107.7,37.0,84.8,.437,22.7,17.0,.751,.268,49,-3.29,.201,13.0,.479,12.1,27.2,104.2,93.1,20.0,50,98.2,32,-0.57,-3.86,7.1,14.2,44.1,33,28.4,58.1,.490,9.3,25.4,.367,24.8,5.6,32.3,37.8,83.5,.452,22.0,16.6,.757,10.3,19.5,101.5,7.2,14.0,42.5,Cleveland Cavaliers
30.8,60.7,.508,8.8,22.9,.274,.384,23.6,4.3,.229,14.8,.515,30.7,72.7,108.7,39.6,83.6,.474,21.1,16.8,.795,.253,33,2.40,.201,12.7,.526,10.2,24.6,111.2,93.5,20.0,34,104.8,48,0.50,2.91,8.6,13.5,40.9,49,29.5,58.4,.505,8.3,23.0,.359,22.0,3.5,31.3,37.8,81.4,.464,24.6,18.7,.758,11.5,19.9,102.4,7.7,16.0,42.8,Dallas Mavericks
29.8,62.0,.481,8.6,23.9,.278,.358,22.4,5.6,.233,12.8,.500,33.1,74.5,108.2,38.4,85.9,.447,26.3,19.1,.726,.306,46,-2.15,.222,14.0,.497,12.3,27.5,106.0,98.1,23.0,47,104.4,35,0.75,-1.40,7.5,15.9,45.4,36,32.1,65.4,.491,7.4,21.0,.351,22.5,5.6,32.5,39.5,86.4,.457,26.4,20.2,.763,11.3,21.7,106.5,8.5,14.4,43.8,Denver Nuggets
32.6,67.6,.483,6.2,19.3,.222,.321,20.9,4.8,.218,13.8,.520,30.8,73.4,109.7,38.8,86.9,.447,25.7,17.3,.670,.296,53,-3.66,.199,12.9,.482,14.6,31.4,105.9,94.9,20.3,51,101.0,31,-0.48,-4.13,8.4,14.5,45.4,29,30.8,60.3,.510,8.3,22.8,.365,24.4,4.9,31.9,39.1,83.2,.470,24.0,18.1,.756,11.1,20.7,104.7,8.2,15.0,43.0,Detroit Pistons
30.0,60.6,.496,9.4,24.8,.291,.380,23.3,5.0,.224,13.6,.477,34.4,76.3,102.6,39.5,85.4,.462,21.1,15.9,.753,.247,31,4.80,.186,13.8,.517,10.9,25.1,107.5,96.2,21.8,28,104.3,54,0.34,5.15,7.8,15.2,45.3,51,29.9,64.2,.465,6.9,20.2,.344,20.5,4.2,32.6,36.8,84.4,.436,24.7,18.9,.765,10.7,19.3,99.5,7.9,15.0,43.3,Golden State Warriors
