2P,2PA,2PCT,3P,3PA,3PAr,3PCT,AST,BLK,DEF-FT/FGA,DEF-TOV%,DEF-eFG%,DRB,DRB%,DRtg,FG,FGA,FGPCT,FTA,FTM,FTPCT,FTr,L,MOV,OFF-FT/FGA,OFF-TOV%,OFF-eFG%,ORB,ORB%,ORtg,PACE,PF,PL,PTS,PW,SOS,SRS,STL,TOV,TRB,W,o2P,o2PA,o2PCT,o3P,o3PA,o3PCT,oAST,oBLK,oDRB,oFG,oFGA,oFGPCT,oFTA,oFTM,oFTPCT,oORB,oPF,oPTS,oSTL,oTOV,oTRB,team
28.7,56.1,.512,9.9,28.4,.336,.350,25.6,5.9,.194,14.4,.480,33.8,74.6,101.4,38.6,84.4,.458,20.0,15.6,.783,.237,34,3.61,.185,13.8,.516,8.3,19.1,105.1,97.1,19.1,31,102.8,51,-0.12,3.49,9.1,15.0,42.1,48,28.9,61.6,.469,8.3,24.5,.338,22.0,5.0,35.0,37.1,86.1,.432,22.1,16.7,.755,11.5,18.3,99.2,8.6,16.1,46.5,Atlanta Hawks
31.8,66.0,.481,6.5,18.4,.218,.352,22.3,4.0,.176,13.1,.534,31.9,75.7,110.9,38.2,84.4,.453,20.7,15.7,.757,.246,61,-7.35,.186,13.6,.492,10.5,24.1,103.2,95.2,18.0,60,98.6,22,0.24,-7.12,7.6,14.8,42.4,21,31.3,59.6,.526,9.5,25.6,.369,24.5,5.2,33.2,40.8,85.2,.479,19.6,15.0,.763,10.2,18.4,106.0,8.8,14.2,43.4,Brooklyn Nets
30.5,63.1,.483,8.7,26.1,.293,.335,24.2,4.2,.231,14.6,.487,33.3,74.6,103.6,39.2,89.2,.439,23.5,18.5,.788,.264,34,3.21,.208,12.1,.488,11.6,25.1,106.8,98.5,21.9,32,105.7,50,-0.37,2.84,9.2,13.7,44.9,48,29.7,61.7,.481,7.8,23.3,.336,20.9,5.5,34.6,37.5,85.0,.441,26.0,19.7,.755,11.4,21.0,102.5,7.6,16.4,46.0,Boston Celtics
26.4,55.0,.479,10.6,29.4,.348,.362,21.7,5.3,.191,12.5,.496,35.0,79.8,104.3,37.0,84.4,.439,23.7,18.7,.790,.280,34,2.72,.222,11.7,.502,9.0,20.0,107.1,95.7,18.1,33,103.4,49,-0.36,2.36,7.3,12.6,43.9,48,28.9,59.6,.485,8.9,25.4,.349,23.2,5.5,35.8,37.8,85.0,.444,21.2,16.3,.769,8.9,20.4,100.7,6.7,13.5,44.7,Charlotte Hornets
30.7,66.1,.464,7.9,21.4,.244,.371,22.8,5.7,.182,10.7,.485,35.2,74.9,106.5,38.6,87.4,.441,21.0,16.5,.787,.240,40,-1.48,.189,12.6,.487,11.1,24.5,105.0,95.7,18.8,45,101.6,37,0.01,-1.46,6.0,13.9,46.3,42,31.5,66.4,.474,7.9,23.0,.345,22.5,5.7,34.1,39.4,89.4,.441,22.1,16.3,.737,11.8,18.7,103.1,8.0,11.9,45.9,Chicago Bulls
27.9,54.4,.514,10.7,29.6,.352,.362,22.7,3.9,.205,12.6,.496,33.9,78.5,104.5,38.7,84.0,.460,21.7,16.3,.748,.259,25,6.00,.194,12.7,.524,10.6,25.1,110.9,93.3,20.3,25,104.3,57,-0.55,5.45,6.7,13.6,44.5,57,28.9,59.4,.487,7.9,22.7,.347,21.4,4.4,31.8,36.8,82.1,.448,22.6,16.8,.743,9.3,20.6,98.3,7.2,13.3,41.0,Cleveland Cavaliers
27.5,55.6,.495,9.8,28.6,.339,.344,22.1,3.7,.198,12.8,.504,33.9,76.2,107.0,37.4,84.1,.444,22.3,17.7,.794,.265,40,-0.30,.211,12.0,.502,9.2,20.6,106.7,94.3,19.5,42,102.3,40,0.29,-0.02,6.8,12.8,43.1,42,29.3,58.5,.500,9.1,26.5,.342,22.0,4.4,35.2,38.3,85.0,.451,22.8,16.9,.738,10.6,21.4,102.6,7.5,13.9,45.8,Dallas Mavericks
29.7,61.7,.482,8.0,23.7,.277,.338,22.7,4.8,.216,12.6,.515,33.1,77.3,108.9,37.7,85.4,.442,24.1,18.5,.766,.282,49,-3.10,.216,13.2,.489,11.5,25.8,105.6,95.7,21.0,49,101.9,33,0.29,-2.81,7.4,14.7,44.6,33,29.6,59.4,.498,9.2,24.8,.371,23.5,6.3,32.9,38.8,84.2,.461,23.9,18.2,.761,9.7,20.9,105.0,8.0,13.7,42.7,Denver Nuggets
28.9,60.2,.480,9.0,26.2,.303,.345,19.4,3.7,.196,12.5,.504,33.9,79.3,105.5,37.9,86.4,.439,25.5,17.1,.668,.296,38,0.61,.197,12.2,.491,12.5,27.0,106.1,95.1,19.0,39,102.0,43,-0.18,0.43,7.0,13.5,46.3,44,31.5,63.7,.495,7.3,20.5,.355,21.5,4.5,33.7,38.8,84.2,.461,21.0,16.5,.783,8.8,21.6,101.4,7.1,13.4,42.5,Detroit Pistons
29.4,55.7,.528,13.1,31.6,.362,.416,28.9,6.1,.208,12.6,.479,36.2,76.0,103.8,42.5,87.3,.487,21.8,16.7,.763,.250,9,10.76,.191,13.5,.563,10.0,23.5,114.5,99.3,20.7,17,114.9,65,-0.38,10.38,8.4,15.2,46.2,73,31.1,65.9,.472,7.8,23.5,.332,22.2,4.1,32.5,38.9,89.4,.435,24.5,18.6,.757,11.4,19.8,104.1,8.7,14.5,43.9,Golden State Warriors
27.0,52.6,.514,10.7,30.9,.370,.347,22.2,5.2,.219,14.7,.516,31.7,72.8,108.1,37.7,83.5,.452,29.4,20.4,.694,.352,41,0.20,.244,14.2,.516,11.3,25.7,108.3,97.6,21.8,40,106.5,42,0.14,0.34,10.0,15.9,43.1,41,29.3,58.2,.504,9.7,26.9,.361,24.6,4.9,32.8,39.0,85.1,.459,24.6,18.6,.756,11.8,22.5,106.4,9.0,16.6,44.6,Houston Rockets
30.2,62.1,.486,8.1,23.0,.270,.351,21.2,4.8,.205,14.3,.489,33.9,76.0,102.9,38.3,85.2,.450,22.8,17.4,.764,.268,37,1.71,.205,13.5,.497,10.3,23.4,104.6,96.6,20.0,36,102.2,46,-0.09,1.62,9.0,14.9,44.2,45,29.1,60.1,.484,8.3,24.8,.334,20.8,4.5,33.8,37.4,84.9,.440,23.2,17.4,.751,10.7,20.4,100.5,7.7,15.8,44.5,Indiana Pacers
28.6,55.7,.513,9.7,26.7,.324,.364,22.8,5.6,.222,13.8,.480,33.3,73.8,103.8,38.3,82.4,.465,26.2,18.2,.692,.318,29,4.28,.220,12.1,.524,8.8,20.1,108.3,95.8,21.3,29,104.5,53,-0.15,4.13,8.6,13.0,42.0,53,28.9,61.4,.471,7.9,23.3,.338,21.2,3.2,34.9,36.8,84.7,.434,25.1,18.8,.751,11.8,22.5,100.2,7.1,15.4,46.7,Los Angeles Clippers
27.3,60.2,.454,7.8,24.6,.290,.317,18.0,4.1,.202,11.6,.523,32.3,74.7,111.6,35.1,84.8,.414,24.7,19.3,.781,.292,65,-9.56,.228,12.5,.460,10.7,23.1,101.6,95.6,20.3,65,97.3,17,0.64,-8.92,7.2,13.7,43.0,17,32.0,61.1,.524,8.5,24.6,.347,24.7,5.6,35.5,40.5,85.6,.473,23.7,17.3,.731,10.9,19.2,106.9,7.5,12.6,46.5,Los Angeles Lakers
30.7,65.1,.471,6.1,18.5,.222,.331,20.7,4.3,.251,15.2,.518,30.5,75.1,107.8,36.8,83.6,.440,24.7,19.3,.783,.295,40,-2.24,.231,12.3,.477,11.2,25.3,105.4,93.3,21.7,47,99.1,35,0.11,-2.14,8.8,13.3,41.6,42,26.2,52.1,.503,9.7,26.6,.365,21.9,5.7,33.1,35.9,78.8,.456,25.7,19.7,.768,10.1,21.1,101.3,7.0,16.2,43.2,Memphis Grizzlies
32.3,63.6,.508,6.1,18.0,.221,.336,20.8,6.5,.196,12.1,.485,34.3,77.8,104.4,38.4,81.7,.470,23.0,17.1,.744,.282,34,1.65,.210,13.3,.508,9.8,23.8,106.1,93.6,18.3,36,100.0,46,-0.14,1.50,6.7,14.1,44.1,48,29.9,63.1,.474,7.4,21.2,.347,20.2,4.1,31.5,37.2,84.3,.442,21.5,16.5,.770,9.8,19.6,98.4,7.5,12.9,41.3,Miami Heat
33.0,66.6,.495,5.4,15.6,.189,.345,23.1,5.8,.221,14.2,.510,31.2,73.1,108.7,38.4,82.2,.467,22.7,17.0,.747,.276,49,-4.18,.207,14.2,.499,10.5,24.9,104.3,94.2,20.7,53,99.0,29,0.20,-3.98,8.2,15.2,41.7,33,28.4,56.7,.502,9.3,26.5,.352,24.5,5.6,31.5,37.8,83.1,.454,23.9,18.4,.768,11.5,19.5,103.2,8.3,15.5,43.0,Milwaukee Bucks
32.2,64.9,.496,5.5,16.4,.202,.338,23.4,4.6,.200,13.6,.524,31.5,74.7,110.1,37.7,81.3,.464,27.0,21.4,.792,.332,53,-3.54,.263,13.9,.498,10.0,24.3,106.5,95.2,20.7,51,102.4,31,0.15,-3.38,8.0,15.0,41.6,29,30.9,59.4,.520,9.0,25.5,.355,22.6,5.2,31.2,40.0,84.9,.471,22.5,17.0,.757,10.7,21.6,106.0,7.8,14.9,41.9,Minnesota Timberwolves
29.9,62.1,.482,8.6,23.8,.277,.360,22.2,4.2,.225,12.7,.523,33.1,78.8,109.5,38.5,85.9,.448,22.2,17.3,.776,.259,52,-3.79,.201,12.3,.498,9.5,21.2,105.6,96.8,20.9,51,102.7,31,0.24,-3.56,7.7,13.4,42.6,30,30.0,59.0,.510,9.2,24.9,.369,23.2,5.2,35.5,39.2,83.9,.468,24.0,18.8,.783,8.9,19.9,106.5,7.3,13.7,44.4,New Orleans Pelicans
29.4,62.5,.471,7.4,21.5,.256,.346,20.5,5.7,.204,10.5,.487,34.0,75.8,107.6,36.9,84.0,.439,21.4,17.2,.805,.255,50,-2.73,.205,12.6,.483,10.4,23.7,104.6,93.4,19.7,49,98.4,33,0.00,-2.74,5.7,13.4,44.4,32,30.3,63.4,.479,7.6,22.4,.341,20.8,4.2,33.3,38.0,85.8,.443,23.2,17.5,.754,10.9,18.5,101.1,7.2,11.3,44.2,New York Knicks
